X,Y,Stop,Descrip,Place,District,CoordXdiv,CoordYdiv,Shelt,Bench,Public,COORDX,COORDY,OBJECTID
-76.175875,36.86042,1316,BAKER & HAMPSHIRE (near side), ,08,121627960,34811090,0,0,-1,12162796,3481109,1046
-76.17741,36.862541,1317,BAKER & HAMPSHIRE (mdblk), ,08,121623280,34818700,0,0,-1,12162328,3481870,1047
-76.178425,36.864108,1318,BAKER & BAKER COURT, ,08,121620170,34824330,0,0,-1,12162017,3482433,1048
-76.19198,36.877764,1320,NORTHAMPTON & WESLEYAN, ,08,121579312,34873061,0,0,-1,12157931.2,3487306.1,1049
-76.187139,36.880767,1321,NORTHAMPTON & BURTON STATION, ,08,121593200,34884340,0,0,-1,12159320,3488434,1050
-76.182292,36.88393,1322,NORTHAMPTON & BAKER (far side),BAKER,08,121607090,34896200,0,0,-1,12160709,3489620,1051
-76.171553,36.89156,1323,NORTHAMPTON & BAYSIDE, ,08,121637804,34924741,0,0,-1,12163780.4,3492474.1,1052
-76.155264,36.895354,1324,NORTHAMPTON & SHELL (mid block), ,08,121685080,34939730,0,0,-1,12168508,3493973,1053
-76.157896,36.89478,1325,NORTHAMPTON & JACK FROST, ,08,121677440,34937450,0,0,-1,12167744,3493745,1054
-76.168752,36.89235,1326,NORTHAMPTON & BAYSIDE, ,08,121645920,34927820,0,0,-1,12164592,3492782,1055
-76.179716,36.886622,1327,NORTHAMPTON & DIAMOND SPRINGS, ,08,121614380,34906180,0,0,-1,12161438,3490618,1056
-76.18221,36.884377,1328,NORTHAMPTON & BAKER (near side),BAKER,08,121607290,34897830,0,0,-1,12160729,3489783,1057
-76.184034,36.883206,1329,NORTHAMPTON & BAKER (far side), ,08,121602060,34893440,0,0,-1,12160206,3489344,1058
-76.187748,36.880766,1330,NORTHAMPTON & BURTON STATION, ,08,121591420,34884290,0,0,-1,12159142,3488429,1059
-76.185273,36.872158,1332,WESLEYAN & COLLEGE, ,08,121599425,34853137,0,0,-1,12159942.5,3485313.7,1060
-76.181109,36.869722,1333,BAKER & CAMPUS, ,08,121611820,34844570,0,0,-1,12161182,3484457,1061
-76.178972,36.8648,1334,BAKER & LAKE EDWARD, ,08,121618510,34826810,0,0,-1,12161851,3482681,1062
-76.177281,36.862179,1335,BAKER & HAMPSHIRE, ,08,121623690,34817390,0,0,-1,12162369,3481739,1063
-76.176526,36.861134,1336,BAKER & HAMPSHIRE (far side), ,08,121625990,34813640,0,0,-1,12162599,3481364,1064
-76.176513,36.858007,1337,NEWTOWN & LAKE EDWARD, ,08,121626310,34802260,0,0,-1,12162631,3480226,1065
-76.137115,36.840343,1340,INDEPENDENCE & COLUMBUS, ,08,121743150,34740830,0,0,-1,12174315,3474083,1066
-76.135875,36.829235,1342,INDEPENDENCE & KEENER, ,08,121747790,34700490,0,0,-1,12174779,3470049,1067
-76.123935,36.821655,1344,HOLLAND & COMMUTER, ,08,121783420,34673780,0,0,-1,12178342,3467378,1068
-76.120131,36.819276,1345,HOLLAND & S. PLAZA,HOLPT,08,121794770,34665400,0,0,-1,12179477,3466540,1069
-76.254209,36.956633,1346,OCEAN VIEW & FIRST VIEW, ,05,121390520,35155740,0,0,-1,12139052,3515574,1070
-76.098308,36.812345,1354,ROSEMONT & HOLLAND,RSHOL,08,121859270,34641790,0,0,-1,12185927,3464179,1071
-76.100018,36.802477,1356,ROSEMONT & NORTHWOOD, ,08,121855180,34605750,0,0,-1,12185518,3460575,1072
-76.098917,36.798166,1357,ROSEMONT & DAHLIA, ,08,121858800,34590140,0,0,-1,12185880,3459014,1073
-76.098825,36.794829,1358,ROSEMONT & LYNNHAVEN (far), ,08,121859380,34578000,0,0,-1,12185938,3457800,1074
-76.097195,36.788995,1359,ROSEMONT & BUCKNER, ,08,121864690,34556890,0,0,-1,12186469,3455689,1075
-76.096653,36.78866,1360,ROSEMONT & BUCKNER, ,08,121866310,34555710,0,0,-1,12186631,3455571,1076
-76.098855,36.793727,1361,ROSEMONT & PRIMROSE, ,08,121859393,34573988,0,0,-1,12185939.3,3457398.8,1077
-76.093973,36.7948,1362,LYNNHAVEN & PRIMROSE, ,08,121873585,34578258,0,0,-1,12187358.5,3457825.8,1078
-76.088224,36.796263,1363,LYNNHAVEN & CRIMSON HOLLY, ,08,121890278,34584013,0,0,-1,12189027.8,3458401.3,1079
-76.082631,36.803969,1365,LYNNHAVEN & RIVERBEND, ,08,121905931,34612478,0,0,-1,12190593.1,3461247.8,1080
-76.072045,36.810541,1366,LYNNHAVEN & CHERIE, ,08,121936297,34637192,0,0,-1,12193629.7,3463719.2,1081
-76.069845,36.812027,1367,LYNNHAVEN & CHERIE (mid-block), ,08,121942599,34642765,0,0,-1,12194259.9,3464276.5,1082
-76.068094,36.815248,1368,LYNNHAVEN  MALL,LMALL,08,121947419,34654623,-1,0,-1,12194741.9,3465462.3,1083
-76.063731,36.840349,1370,LYNNHAVEN & SOUTHERN, ,08,121957830,34746310,0,0,-1,12195783,3474631,1084
-76.029689,36.867072,1371,FIRST COLONIAL & CAMELOT, ,08,122054870,34846160,0,0,-1,12205487,3484616,1085
-76.047194,36.88429,1374,GREAT NECK & GODFREY, ,08,122002050,34907490,0,0,-1,12200205,3490749,1086
-76.060059,36.895221,1375,GREAT NECK & GREEN HILL, ,08,121963410,34946300,0,0,-1,12196341,3494630,1087
-76.069584,36.912134,1376,SHORE & GREAT NECK,SHDGN,08,121933980,35007140,0,0,-1,12193398,3500714,1088
-76.072418,36.911228,1377,SHORE & EBB TIDE, ,08,121925780,35003630,0,0,-1,12192578,3500363,1089
-76.097109,36.907972,1378,SHORE & STRATFORD, ,08,121853920,34989930,0,0,-1,12185392,3498993,1090
