OBJECTID,ID,NAME,STATE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,WELLIDNO,API,PERMITNO,OPERATOR,OPERATORID,PRODTYPE,COORDTYPE,SURF_LAT,SURF_LONG,BOT_LAT,BOT_LONG,POSREL,FIELD,COMPDATE,TOTDEPTH
282017,W510001087,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.251519999999999,-81.851190000000003,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.251519999999999,-81.851190000000003,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1813
282018,W510001088,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.247880000000002,-81.855109999999996,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.247880000000002,-81.855109999999996,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2264
282019,W510001089,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.143639999999998,-81.984409999999997,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.143639999999998,-81.984409999999997,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1611
282020,W510001090,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.263019999999997,-81.851389999999995,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.263019999999997,-81.851389999999995,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1719
282021,W510001091,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.254339999999999,-81.860860000000002,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.254339999999999,-81.860860000000002,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1660
282022,W510001092,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.249659999999999,-81.864530000000002,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.249659999999999,-81.864530000000002,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2052
282023,W510001093,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.242500000000000,-81.860060000000004,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.242500000000000,-81.860060000000004,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2202
282024,W510001094,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.236969999999999,-81.865530000000007,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.236969999999999,-81.865530000000007,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1541
282025,W510001095,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.235830000000000,-81.861300000000000,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.235830000000000,-81.861300000000000,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1630
282026,W510001096,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.237520000000004,-81.870729999999995,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.237520000000004,-81.870729999999995,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1601
282027,W510001097,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.238939999999999,-81.851579999999998,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.238939999999999,-81.851579999999998,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1620
282028,W510001098,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.158859999999997,-82.110050000000001,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.158859999999997,-82.110050000000001,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2550
282029,W510001099,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.164740000000002,-82.081310000000002,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.164740000000002,-82.081310000000002,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2444
282030,W510001100,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.253909999999998,-81.851830000000007,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.253909999999998,-81.851830000000007,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2227
282031,W510001101,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.164409999999997,-82.089690000000004,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.164409999999997,-82.089690000000004,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2405
282032,W510001102,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.253819999999997,-81.856859999999998,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.253819999999997,-81.856859999999998,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1782
282033,W510001103,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.189129999999999,-81.923320000000004,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.189129999999999,-81.923320000000004,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1373
282034,W510001104,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.202050000000000,-81.921890000000005,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.202050000000000,-81.921890000000005,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1826
282035,W510001105,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.211620000000003,-81.926569999999998,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.211620000000003,-81.926569999999998,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1525
282036,W510001106,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.257880000000000,-81.856380000000001,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.257880000000000,-81.856380000000001,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1781
282037,W510001107,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.247079999999997,-81.847920000000002,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.247079999999997,-81.847920000000002,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1601
282038,W510001108,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.234960000000001,-81.873880000000000,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.234960000000001,-81.873880000000000,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2265
282039,W510001109,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.241500000000002,-81.863900000000001,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.241500000000002,-81.863900000000001,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2085
282040,W510001110,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.192200000000000,-81.922839999999994,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.192200000000000,-81.922839999999994,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1684
282041,W510001111,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.172289999999997,-82.029700000000005,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.172289999999997,-82.029700000000005,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2076
282042,W510001112,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.244830000000000,-81.846689999999995,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.244830000000000,-81.846689999999995,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1661
282043,W510001113,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.200940000000003,-82.059269999999998,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.200940000000003,-82.059269999999998,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,1992
282044,W510001114,NOT AVAILABLE,VA,OIL & NATURAL GAS WELL,NON-ACTIVE WELL,BUCHANAN,51027,USA,37.155670000000001,-82.119889999999998,213111,DRILLING OIL AND GAS WELLS,VIRGINIA DEPARTMENT OF MINES MINERALS AND ENERGY,2014/01/01 00:00:00.000,OTHER,2014/11/12 00:00:00.000,http://www.dmme.virginia.gov,NOT AVAILABLE,NOT AVAILABLE,-999,CNX GAS COMPANY LLC,-999,UNKNOWN WELL,T,37.155670000000001,-82.119889999999998,-999,-999,THIRD PARTY,NOT AVAILABLE,2014/12/03 00:00:00.000,2107
