X,Y,OBJECTID,ID,NAME,GRID
-75.990062771749052,36.647807032514024,29,29,6-14 WINESETT NURSERY DRAFTING SOURCE,M18
-75.995235848771742,36.645884159659175,30,30,6-13 DRAFTING SOURCE,L18
-76.015734688496394,36.647865847436996,31,31,6-12 DRAFTING SOURCE,K18
-76.016317448079064,36.649844061539561,32,32,6-11 DRAFTING SOURCE,K18
-76.046414246727053,36.648775488117053,33,33,6-10 DRAFTING SOURCE,J18
-76.009957866347648,36.682479702413303,34,34,6- 1 DRAFTING SOURCE,L16
-76.038386364155613,36.693206168220385,35,35,5- 6 WEST NECK MARINA DRAFTING SOURCE,J16
-76.040898411219501,36.695201073098737,36,36,5- 5 DRY DRAFT HYDRANT,J15
-76.067208550433477,36.69524598835126,37,37,5- 4 DRAFTING SOURCE,I16
-76.033776881159028,36.721070518647132,38,38,5- 3 DRY DRAFT HYDRANT,J14
-76.099978936589622,36.71773591202664,39,39,5- 2 NORTH LANDING BRIDGE DRAFTING SOURCE,G14
-76.116007714544722,36.744867450354818,40,40,5- 1 INDIAN RIVER BRIDGE DRAFTING SOURCE,F13
-75.990175071041051,36.683533761595179,41,41,17- 5 DRAFTING SOURCE,L16
-75.970052105295906,36.707094305547187,42,42,17- 4 DRAFTING SOURCE,M15
-75.972885300972166,36.730541038964738,43,43,17- 3 DRAFTING SOURCE,M13
-75.997995547884727,36.704998603309612,44,44,17- 2 DRAFTING SOURCE,L15
-75.988204865298655,36.709198021481392,45,45,17- 1 DRAFTING SOURCE,M15
-76.103343143498321,36.538491394731544,46,46,13- 9 DRAFTING SOURCE,G25
-76.09750923880317,36.575581691713893,47,47,13- 8 DRAFTING SOURCE,G23
-76.130463117534191,36.578517903661307,48,48,13- 7 DRAFTING SOURCE,F23
-76.100129514892473,36.579871381981185,49,49,13- 6 DRAFTING SOURCE,G23
-76.099829737200707,36.673565031504189,50,50,13- 4 DRAFTING SOURCE,G17
-76.084735525144694,36.60758293763719,51,51,13- 3 DRY DRAFT HYDRANT,H21
-76.08527757667197,36.585142075491845,52,52,13- 2 DRAFTING SOURCE,H22
-76.072035092453859,36.553327523764082,53,53,13-14 DRAFTING SOURCE,I24
-76.116851350275795,36.617512423842946,54,54,13-13 DRAFTING SOURCE,F20
-76.052763973041493,36.525269648444414,55,55,13-12 DRAFTING SOURCE,J26
-76.099964610257473,36.531158877343039,56,56,13-10 DRAFTING SOURCE,G26
-76.075648247680604,36.58190039251302,57,57,13- 1 DRY DRAFT HYDRANT,H22
-76.048287416452439,36.645279683925878,58,58,6-34 DRY DRAFT HYDRANT,J19
-76.005676849639769,36.574003029758558,59,59,6-35 DRY DRAFT HYDRANT,L23
-76.032919529051881,36.61876406671005,60,60,6-36 DRAFTING SOURCE,J20
-76.013922505395641,36.627077482524506,61,61,6-37 DRAFTING SOURCE,K20
-76.048216928347031,36.616079267522601,62,62,6-38 DRAFTING SOURCE,J20
-76.091683265333671,36.731498034742678,63,63,5- 7 DRY DRAFT HYDRANT,G13
-76.039729424557123,36.755772293121687,64,64,5- 8 DRAFTING SOURCE,J12
-76.153009219587958,36.585905855854847,65,65,1733 INDIAN CREEK RD,
-76.16578928792876,36.586639244284569,66,66,1355 INDIAN CREEK RD,
-76.19908033492861,36.606404323190837,67,67,322 SAINT BRIDES RD E,
-76.222290114110947,36.604787535466393,68,68,400 BLOCK SAINT BRIDES RD W,
-76.277890290287573,36.599445609008086,69,69,3531 BUNCH OF WALNUTS RD,
-76.142436946110848,36.65743861784469,70,70,1329 LONG RIDGE RD,
-76.160286742995837,36.661426882496485,71,71,1600 LAND OF PROMISE RD,
-76.19131261883652,36.661980959320942,72,72,1857 CENTERVILLE TURNPIKE S,
-76.199538383197037,36.650752425541448,73,73,2109 CENTERVILLE TURNPIKE S,
-76.204768578698761,36.642212115640618,74,74,360 HICKORY RD E,
-76.25221957728273,36.634514352282643,75,75,TWO GATES RD,
-76.255788240750121,36.643222686806354,76,76,KATHLEEN LN,
-76.272639547620372,36.637834717463143,77,77,2449 JOHNSTOWN RD,
-76.316784229427498,36.624876896606558,78,78,2600  BENEFIT RD,
-76.324835729606065,36.613980183196013,79,79,LAKE DRUMMOND CAUSEWAY,
-76.381430905842549,36.600880831953276,80,80,ROUTE 17 BOAT RAMP AT BALLAHACK RD,
-76.329512379636441,36.667339183955491,81,81,2924 AIRPORT DR,
-76.325542983110708,36.665635618750223,82,82,2800 AIRPORT DR,
-76.328420231270201,36.707414963235429,83,83,1045 DRESSAGE TRL,
-76.298736002781084,36.692492092549649,84,84,1269 SHILLELAGH RD,
-76.150325716475692,36.706746958663729,85,85,800 BEDFORD ST,
-76.149608522214109,36.704859139961798,86,86,809 BEDFORD ST,
-76.165158543038544,36.714814616365388,87,87,1735 MOUNT PLEASANT RD,
-76.187458330634669,36.715534161231488,88,88,1464 MOUNT PLEASANT RD,
-76.195728036985642,36.724780079747184,89,89,110 CENTERVILLE TURNPIKE N,
-76.186888267840217,36.726073280710644,90,90,1423 SABBATH LN,
-76.187679012564004,36.733385427100444,91,91,1488 BUTTS STATION RD,
-76.185887581444632,36.738501533614809,92,92,508 CENTERVILLE TURNPIKE N,
-76.173508367434749,36.738657269360743,93,93,1832 ELBOW RD,
-76.031991290885642,36.679897558209326,94,96,6-39 FIRE HYDRANT SOURCE WATER TOWER/FIRE PUMP ,J16
-76.031893302654453,36.680578100307386,95,95,6-40 FIRE HYDRANT SOURCE WATER TOWER /FIRE PUMP,J16
-76.031751363449658,36.681053953885709,96,94,6-41  FIRE HYDRANT SOURCE WATER TOWER/FIRE PUMP,J16
-76.032467900144468,36.679632515248223,97,97,6-42 DRY DRAFT HYDRANT,J16
-76.002455812627787,36.546992042323609,98,98,6-43 DRY DRAFT HYDRANT,L25
