FID,BNAME,BCAMPUS,BSIZE,BUNITS,BHOTEL,STORIES,YEARBLT,COMMENTS,BTYPE,BUSE,OWNERSHIP,GF_RETAIL
9986, , ,1236,1,0,2,1929, ,Detached house,Residential, , 
9987, , ,0,0,0,0,0, ,Garage or shed,Other, , 
9988, , ,1616,1,0,2,1927, ,Detached house,Residential, , 
9989, , ,0,0,0,2,0, ,Garage or shed,Other, , 
9990, , ,0,0,0,2,0, ,Garage or shed,Other, , 
9991, , ,1170,1,0,2,1939, ,Detached house,Residential, , 
9992, , ,0,0,0,0,0, ,Garage or shed,Other, , 
9993, , ,1065,1,0,1,1929, ,Detached house,Residential, , 
9994, , ,0,0,0,1,0, ,Garage or shed,Other, , 
9995, , ,1515,1,0,2,1932, ,Detached house,Residential, , 
9996, , ,1352,1,0,2,1935, ,Detached house,Residential, , 
9997, , ,1596,1,0,2,1900, ,Detached house,Residential, , 
9998, , ,0,0,0,0,0, ,Garage or shed,Other, , 
9999, , ,0,0,0,0,0, ,Garage or shed,Other, , 
10000, , ,3059,1,0,2,1979, ,Detached house,Residential, , 
14902, , ,970,1,0,2,1820, ,Townhouse or row house,Residential, , 
15100, , ,2116,1,0,3,2000, ,Townhouse or row house,Residential, , 
14903, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15101, , ,1960,0,0,1,0, ,Attached structure,Commercial, ,Yes
14904, ,Atlantic Self Storage,1515,0,0,1,1984, ,Detached structure,Industrial, , 
15102, , ,5460,0,0,2,0, ,Attached structure,Multiple or Mixed, , 
14905, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15103, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
14906, , ,1732,1,0,2,1790, ,Townhouse or row house,Residential, , 
15104, , ,27300,0,0,3,0, ,Attached structure,Multiple or Mixed, , 
14907, , ,0,0,0,1,0, ,Garage or shed,Other, , 
14908, , ,0,0,0,3,0, ,Detached structure,Institutional, , 
15105, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
14909, , ,2103,1,0,2.5,1999, ,Detached house,Residential, , 
15106, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
14910, , ,3415,1,0,2,1769, ,Detached house,Residential, , 
15107, , ,6486,0,0,2,1870, ,Attached structure,Commercial, , 
14911, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15108, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
15109, , ,0,0,0,1,0, ,Garage or shed,Transportation, ,Yes
14912, , ,6257,0,0,0,1986, ,Detached structure,Commercial, , 
14913, , ,0,0,0,2,0, ,Garage or shed,Other, , 
15110, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
14914, ,Build America Six Condominium,18203,0,0,1,1983, ,Detached structure,Multiple or Mixed, ,Yes
15111,Duvall House, ,4782,0,0,2.5,1770, ,Attached structure,Commercial, ,Yes
15112, , ,2152,2,0,3,1994, ,Townhouse or row house,Residential, , 
14915, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15113, , ,0,3,0,3.25,0, ,Attached structure,Multiple or Mixed, ,Yes
14916, , ,2340,1,0,2,1830, ,Townhouse or row house,Residential, , 
15114, , ,2645,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
14917, , ,1664,1,0,2,1850, ,Detached house,Residential, , 
15115, , ,3636,1,0,3,1846, ,Attached structure,Multiple or Mixed, ,Yes
14918, , ,1350,0,0,2,1820, ,Detached structure,Commercial, , 
15116, , ,3082,1,0,3,1999, ,Townhouse or row house,Residential, , 
14919, , ,0,0,0,1,0, ,Garage or shed,Other, , 
14920, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15117, , ,2520,0,0,3,1810, ,Attached structure,Commercial, ,Yes
14921, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15118, , ,2176,1,0,3,1994, ,Townhouse or row house,Residential, , 
14922, , ,32300,0,0,1,1966, ,Detached structure,Industrial, , 
15119, , ,4380,0,0,3,1860, ,Attached structure,Commercial, ,Yes
14923, , ,1484,1,0,2,1967, ,Detached house,Residential, , 
15120, , ,2152,1,0,3,1994, ,Townhouse or row house,Residential, , 
14924, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15121, , ,5408,0,0,2.5,1880,Vacant - costar,Attached structure,Commercial, ,Yes
15122, , ,1824,1,0,2,1980, ,Townhouse or row house,Residential, , 
14925, , ,5594,1,0,3,1870, ,Detached house,Residential, , 
15123, , ,1838,1,0,2,1980, ,Townhouse or row house,Residential, , 
14926,Saint Marys Catholic Elementary School, ,68160,0,0,3,0, ,Detached structure,Institutional, , 
15124, , ,1817,0,0,2.2,1800, ,Attached structure,Commercial, ,Yes
14927, , ,6786,0,0,3,0, ,Detached structure,Mass Assembly, , 
15125, , ,2726,1,0,3.25,1999, ,Townhouse or row house,Residential, , 
14928, , ,6167,1,0,2.75,1770, ,Detached house,Residential, , 
15126, , ,4225,0,0,3,1815, ,Attached structure,Commercial, ,Yes
14929, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15127, , ,2380,1,0,3,2001, ,Townhouse or row house,Residential, , 
14930, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15128, , ,2726,1,0,3.25,2000, ,Townhouse or row house,Residential, , 
14931, , ,1164,1,0,2,1820, ,Townhouse or row house,Residential, , 
14932, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15129, , ,2145,0,0,3,0, ,Attached structure,Multiple or Mixed, ,Yes
14933, , ,5795,1,0,2.5,1997, ,Detached house,Residential, , 
15130, , ,2200,1,0,2.25,2000, ,Townhouse or row house,Residential, , 
14934, , ,836,1,0,1,1916, ,Detached house,Residential, , 
15131, , ,2622,0,0,3,0, ,Attached structure,Commercial, ,Yes
14935, , ,3592,1,0,3.5,1800, ,Townhouse or row house,Residential, , 
15132, , ,2116,1,0,3,2000, ,Townhouse or row house,Residential, , 
15133, , ,2440,0,0,2,0, ,Attached structure,Commercial, ,Yes
14936, , ,35741,0,0,1,0, ,Detached structure,Institutional, , 
15134, , ,8448,3,0,3,0, ,Attached structure,Multiple or Mixed,Apartment, 
14937, , ,4698,0,0,3,1840, ,Detached structure,Commercial, , 
15135, , ,2961,1,0,3,2000, ,Townhouse or row house,Residential, , 
14938, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15136, , ,2116,1,0,3,2000, ,Townhouse or row house,Residential, , 
14939, , ,12672,0,0,3,1964, ,Detached structure,Commercial, , 
15137, , ,4144,0,0,2,0, ,Attached structure,Commercial, , 
14940, , ,8000,0,0,2,1974, ,Attached structure,Commercial, , 
15138, , ,2296,1,0,4,2000, ,Townhouse or row house,Residential, , 
14941, , ,14047,0,0,1,0,most of building footprint is not enclosed,Detached structure,Other, , 
15139, , ,0,0,0,2,0, ,Attached structure,Commercial, ,Yes
14942, , ,1916,0,0,0,0, ,Detached structure,Institutional, , 
15140, , ,2296,1,0,4,1999, ,Townhouse or row house,Residential, , 
14943, , ,0,0,0,0,0, ,Garage or shed,Other, , 
14944, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15141, , ,10302,0,0,4,0, ,Attached structure,Multiple or Mixed, , 
14945, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15142, , ,2296,1,0,4,2000, ,Townhouse or row house,Residential, , 
14946, , ,57901,32,0,1,1983, ,Detached structure,Multiple or Mixed,Apartment,Yes
15143, , ,2296,1,0,4,2001, ,Townhouse or row house,Residential, , 
15144, , ,2296,1,0,4,2001, ,Townhouse or row house,Residential, , 
14947, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15145, , ,219700,0,0,6,0, ,Attached structure,Multiple or Mixed, ,Yes
14948, , ,0,0,0,0,0, ,Garage or shed,Other, , 
14949, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15146, , ,2726,1,0,3.25,2001, ,Townhouse or row house,Residential, , 
14950, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15147, , ,2703,1,0,3.25,2001, ,Townhouse or row house,Residential, , 
14951, , ,2240,2,0,2,1956, ,Duplex,Residential, , 
15148, , ,2680,1,0,2.5,1986, ,Detached house,Residential, , 
14952, , ,1884,1,0,2,1820, ,Detached house,Residential, , 
15149, , ,2296,1,0,4,2002, ,Townhouse or row house,Residential, , 
14953, , ,2240,2,0,2,1956, ,Duplex,Residential, , 
15150, , ,2651,1,0,3.5,2002, ,Townhouse or row house,Residential, , 
14954, , ,1645,1,0,2,1980, ,Detached house,Residential, , 
15151, , ,2871,2,0,2,1900, ,Attached structure,Multiple or Mixed, ,Yes
14955, , ,0,0,0,1,0, ,Garage or shed,Other, , 
14956, , ,1176,1,0,2,1810, ,Detached house,Residential, , 
15152, , ,2912,0,0,2,1877, ,Attached structure,Commercial, , 
14957, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15153, , ,2247,1,0,4,2000, ,Townhouse or row house,Residential, , 
14958, , ,3822,1,0,2.25,1898, ,Detached house,Residential, , 
15154, , ,2106,1,0,3,1981, ,Townhouse or row house,Residential, , 
14959, , ,33800,0,0,1,1981, ,Detached structure,Industrial, , 
15155, , ,1347,1,0,2,1900, ,Townhouse or row house,Residential, , 
14960, , ,642096,0,0,13,1973, ,Detached structure,Commercial, , 
15156, , ,1932,1,0,2,1880, ,Townhouse or row house,Residential, , 
15157, , ,2180,2,0,2.25,2000, ,Townhouse or row house,Residential, , 
14961, , ,54000,0,0,2,1962, ,Detached structure,Industrial, , 
15158, , ,2162,2,0,2.25,2001, ,Townhouse or row house,Residential, , 
14962, , ,28683,0,0,1,0, ,Attached structure,Multiple or Mixed, , 
15159, , ,9360,0,0,3,1990, ,Attached structure,Commercial, , 
14963, , ,30600,0,0,2,1981, ,Detached structure,Industrial, , 
15160, , ,2200,1,0,2.25,2000, ,Townhouse or row house,Residential, , 
14964, , ,1340,1,0,2,1900, ,Detached house,Residential, , 
15161, , ,1848,0,0,2,0, ,Attached structure,Institutional, , 
14965, , ,112275,0,0,5,1983, ,Detached structure,Commercial, , 
15162, , ,9004,0,0,2,1920, ,Attached structure,Industrial, ,No
14966,US Federal Courthouse, ,400000,0,0,1,0, ,Detached structure,Institutional, , 
14967, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15163, , ,10530,0,0,2,0, ,Attached structure,Mass Assembly, , 
14968, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15164, , ,2352,1,0,3,1999, ,Townhouse or row house,Residential, , 
14969, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15165, , ,2116,1,0,3,1999, ,Townhouse or row house,Residential, , 
14970, , ,6182,1,0,3,1819, ,Detached house,Residential, , 
15166, , ,2116,1,0,3,1998, ,Townhouse or row house,Residential, , 
14971, , ,4673,0,0,0,0, ,Detached structure,Transportation, , 
15167, , ,2550,1,0,3,2001, ,Detached house,Residential, ,No
14972, , ,3298,2,0,1,2007, ,Detached house,Residential, , 
15168, , ,8491,0,0,1,1945, ,Attached structure,Industrial, , 
15169, , ,3522,3,0,1.5,0, ,Attached structure,Multiple or Mixed, ,Yes
14973,Covanta Alexandria, ,0,0,0,0,0,needs further review,Detached structure,Industrial, , 
15170, , ,2961,1,0,3,1999, ,Townhouse or row house,Residential, , 
15171, , ,1870,0,0,1,0, ,Attached structure,Commercial, ,Yes
14974, , ,3632,0,0,3,1820, ,Attached structure,Commercial, , 
15172, , ,2607,1,0,3.5,2002, ,Duplex,Residential, , 
14975, , ,2150,1,0,3,1846, ,Townhouse or row house,Residential, , 
15173, , ,2296,1,0,4,1999, ,Townhouse or row house,Residential, , 
14976, ,Waste-to-Energy Plant,0,0,0,0,0,needs further review,Detached structure,Industrial, , 
14977, , ,5382,1,0,2,1960, ,Townhouse or row house,Residential, , 
14978, ,UPS,0,0,0,1,0, ,Garage or shed,Industrial, , 
15174, , ,1900,0,0,1,1980, ,Attached structure,Commercial, , 
14979, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15175, , ,1590,1,0,2.25,1997, ,Townhouse or row house,Residential, , 
14980, ,UPS,55656,0,0,1,1978, ,Detached structure,Industrial, , 
15176, , ,2392,3,0,2,1920, ,Attached structure,Multiple or Mixed, ,Yes
15177, , ,1627,1,0,2.25,1996, ,Townhouse or row house,Residential, , 
14981, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15178, , ,958,1,0,2,1900, ,Townhouse or row house,Residential, , 
14982, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15179,Hopkins House, ,7166,0,0,1.75,0, ,Attached structure,Institutional, , 
14983, , ,14829,0,0,1,1988, ,Detached structure,Commercial, , 
15180, , ,1627,1,0,2.25,1996, ,Townhouse or row house,Residential, , 
14984, ,CITY OF ALEXANDRIA SANITATION AUTHORITY,0,0,0,0,0, ,Garage or shed,Institutional, , 
15181, , ,1206,1,0,2,1900, ,Townhouse or row house,Residential, , 
14985, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15182, , ,1648,1,0,2.25,1995, ,Townhouse or row house,Residential, , 
14986, ,CITY OF ALEXANDRIA SANITATION AUTHORITY,0,0,0,1,0, ,Detached structure,Institutional, , 
15183,Shiloh Baptist Church, ,11194,0,0,1,1981, ,Attached structure,Mass Assembly, , 
14987, , ,0,0,0,2.25,0, ,Garage or shed,Other, , 
15184, , ,2155,1,0,3,1996, ,Townhouse or row house,Residential, , 
14988, ,CITY OF ALEXANDRIA SANITATION AUTHORITY,0,0,0,1,0, ,Detached structure,Institutional, , 
15185, , ,776,1,0,2,1935, ,Townhouse or row house,Residential, , 
14989, , ,5784,1,0,2,1870, ,Detached house,Residential, , 
15186, , ,2192,1,0,3,1996, ,Townhouse or row house,Residential, , 
14990, , ,1322,0,0,0,0, ,Detached structure,Industrial, , 
15187, , ,776,1,0,2,1935, ,Townhouse or row house,Multiple or Mixed, , 
14991, , ,2068,1,0,2.25,1800, ,Townhouse or row house,Residential, , 
15188, , ,2192,1,0,3,1996, ,Townhouse or row house,Residential, , 
14992, , ,827,0,0,0,0, ,Detached structure,Industrial, , 
15189, , ,8309,0,0,2,1950, ,Detached structure,Commercial, , 
14993, , ,2136,1,0,2,1810, ,Townhouse or row house,Residential, , 
15190, , ,2110,1,0,2.25,2000, ,Townhouse or row house,Residential, , 
15191, , ,4902,0,0,2,1986, ,Attached structure,Commercial, , 
14994, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15192, , ,1796,1,0,3,1985, ,Townhouse or row house,Residential, , 
14995, , ,9147,2,0,3,1840, ,Detached house,Residential, , 
15193, , ,6480,0,0,2,0, ,Attached structure,Multiple or Mixed, , 
14996, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15194, , ,1546,1,0,2,1968, ,Townhouse or row house,Residential, , 
14997, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15195, , ,1796,1,0,3,1986, ,Townhouse or row house,Residential, , 
14998, ,CITY OF ALEXANDRIA SANITATION AUTHORITY,0,0,0,1,0, ,Garage or shed,Institutional, , 
14999, , ,1584,1,0,2,1961, ,Detached house,Residential, , 
15196, , ,15641,0,0,2,1991, ,Attached structure,Commercial, , 
15000, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15197, , ,5000,0,0,2,1991, ,Attached structure,Multiple or Mixed, , 
15198, , ,2016,1,0,3,1985, ,Townhouse or row house,Residential, , 
15199, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15200, , ,7000,0,0,2.5,0, ,Attached structure,Commercial, , 
15201, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15202, , ,4044,0,0,2.25,0, ,Attached structure,Mass Assembly, , 
15203, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15204, , ,1333,1,0,2.25,1900, ,Townhouse or row house,Residential, , 
15205, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15206, , ,5310,0,0,2,0, ,Attached structure,Institutional, , 
15207, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15208, , ,1476,1,0,2,1840, ,Townhouse or row house,Residential, , 
15209, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15210, , ,0,0,0,2,0, ,Garage or shed,Other, , 
15211, , ,1740,1,0,2,1830, ,Attached structure,Multiple or Mixed, ,Yes
15212, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15213, , ,1816,1,0,2,1880, ,Townhouse or row house,Residential, , 
15214, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15215,OLD TOWN VETERINARY HOSPITAL, ,4110,0,0,1,0, ,Attached structure,Commercial, ,Yes
15216, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15217, , ,1008,1,0,1,1920, ,Townhouse or row house,Residential, , 
15218, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15219, , ,5000,0,0,2.5,1980, ,Attached structure,Commercial, , 
15220, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15221, , ,6380,1,0,2.5,1830, ,Detached house,Residential, , 
15222, , ,2849,1,0,2.5,1790, ,Townhouse or row house,Residential, , 
15223, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15224, , ,988,1,0,1,1960, ,Duplex,Residential, , 
15225, , ,3741,0,0,2,1870, ,Attached structure,Commercial, ,Yes
15226, , ,1577,1,0,1.8,2004,"consolidated lot; missing REA info",Townhouse or row house,Residential, , 
15227, , ,1956,1,0,2,1969, ,Townhouse or row house,Residential, , 
15228, , ,1420,1,0,2,1968, ,Townhouse or row house,Residential, , 
15229, , ,2665,0,0,1,0, ,Attached structure,Mass Assembly, , 
15230,NEW PENTACOSTAL CHURCH, ,3118,0,0,2,2007, ,Attached structure,Mass Assembly, , 
15231, , ,1408,1,0,2,1968, ,Townhouse or row house,Residential, , 
15232, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15233, , ,2260,1,0,3,1982, ,Townhouse or row house,Residential, , 
15234, , ,2154,1,0,3,0, ,Attached structure,Residential, ,Yes
15235, , ,2260,1,0,3,1982, ,Townhouse or row house,Residential, , 
15236, , ,26461,0,0,3,1984, ,Attached structure,Commercial, , 
15237, , ,2128,1,0,3,1982, ,Townhouse or row house,Residential, , 
15238, , ,1594,1,0,2,1940, ,Townhouse or row house,Residential, , 
15239, , ,2788,1,0,3,1999, ,Townhouse or row house,Residential, , 
15240, , ,2876,1,0,1,2011, ,Townhouse or row house,Residential, , 
15241, , ,2636,1,0,3,1999, ,Townhouse or row house,Residential, , 
15242, , ,1684,1,0,2,2011, ,Townhouse or row house,Residential, , 
15243, , ,2788,1,0,3,1999, ,Townhouse or row house,Residential, , 
15244, , ,1994,1,0,2,1870, ,Townhouse or row house,Residential, , 
15245, , ,2410,1,0,3,1997, ,Townhouse or row house,Residential, , 
15246,Towne Motel, ,7204,26,26,3,1965, ,Attached structure,Residential, , 
15247, , ,2804,1,0,3,1996, ,Townhouse or row house,Residential, , 
15248, , ,2788,1,0,3,2000, ,Townhouse or row house,Residential, , 
15249, , ,3636,1,0,3,1890, ,Townhouse or row house,Residential, , 
15250, , ,2216,1,0,3,2000, ,Townhouse or row house,Residential, , 
15251,WATERFONT OF OLD TOWNE, ,0,0,0,4,1971, ,Attached structure,Transportation, ,Yes
15252, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
15253,WATERFONT OF OLD TOWNE, ,73828,0,0,4,1971, ,Detached structure,Multiple or Mixed, ,Yes
15254, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
15255, , ,0,0,0,5,1987, ,Attached structure,Transportation, ,Yes
15256, , ,1778,1,0,3,1994, ,Townhouse or row house,Residential, , 
15257, , ,79555,0,0,5,1987, ,Detached structure,Multiple or Mixed, ,Yes
15258, , ,2788,1,0,3,1998, ,Townhouse or row house,Residential, , 
15259, , ,1120,1,0,2,1870, ,Townhouse or row house,Residential, , 
15260, , ,0,1,0,2,1990, ,Townhouse or row house,Residential,ARHA, 
15261, , ,1074,1,0,2,1870, ,Townhouse or row house,Residential, , 
15262, , ,2194,1,0,3,1996, ,Townhouse or row house,Residential, , 
15263, , ,1254,1,0,2,1870, ,Townhouse or row house,Multiple or Mixed,Apartment, 
15264, , ,2176,1,0,3,1995, ,Townhouse or row house,Residential, , 
15265, , ,1102,1,0,2,1870, ,Townhouse or row house,Residential, , 
15266, , ,2152,1,0,3,1994, ,Townhouse or row house,Residential, , 
15267, , ,4436,0,0,3,1872, ,Attached structure,Commercial, , 
15268, , ,1824,1,0,2,1980, ,Townhouse or row house,Residential, , 
15269, , ,3964,0,0,3,1872, ,Attached structure,Commercial, , 
15270, , ,2726,1,0,3.25,2000, ,Townhouse or row house,Residential, , 
15271, , ,2594,1,0,3,2000, ,Townhouse or row house,Residential, , 
15272, , ,7875,0,0,2,1977, ,Attached structure,Commercial, , 
15273, , ,2726,1,0,3.25,2000, ,Townhouse or row house,Residential, , 
15274, , ,2726,1,0,3.25,2000, ,Townhouse or row house,Residential, , 
15275, , ,1816,1,0,2,1890, ,Townhouse or row house,Residential, , 
15276, , ,2155,2,0,2.25,2000,more splits to match unit #,Townhouse or row house,Residential, , 
15277, , ,10774,0,0,1,1982, ,Attached structure,Commercial, , 
15278, , ,1638,0,0,1,0, ,Attached structure,Commercial, ,Yes
15279, , ,2552,1,0,3,2000, ,Townhouse or row house,Residential, , 
15280, , ,2300,0,0,2,0, ,Attached structure,Commercial, ,Yes
15281, , ,2247,1,0,4,2001, ,Townhouse or row house,Residential, , 
15282, , ,6000,0,0,1.5,1960, ,Attached structure,Commercial, ,Yes
15283, , ,2651,1,0,3.5,2002, ,Townhouse or row house,Residential, , 
15284, , ,3367,0,0,1,1940, ,Attached structure,Commercial, ,Yes
15285, , ,2607,1,0,3.5,2002, ,Townhouse or row house,Residential, , 
15286, , ,2536,0,0,1,1940, ,Attached structure,Commercial, ,Yes
15287, , ,2220,1,0,2,2000, ,Townhouse or row house,Residential, , 
15288, , ,1825,0,0,2,1940, ,Attached structure,Commercial, ,Yes
15289, , ,2216,1,0,2,1998, ,Townhouse or row house,Residential, , 
15290, , ,4400,0,0,1,1963, ,Attached structure,Multiple or Mixed, , 
15291, , ,2180,2,0,2.25,2000, ,Townhouse or row house,Residential, , 
15292, , ,2430,1,0,3,1999, ,Townhouse or row house,Residential, , 
15293, , ,2800,0,0,1,1963, ,Attached structure,Commercial, ,Yes
15294, , ,2380,1,0,3,1999, ,Townhouse or row house,Residential, , 
15295, , ,1700,0,0,1,1963, ,Attached structure,Commercial, ,Yes
15296, , ,1100,0,0,1,1963, ,Attached structure,Commercial, ,Yes
15297, , ,2064,0,0,2,1950, ,Attached structure,Commercial, ,Yes
15298, , ,1000,0,0,2,1950, ,Attached structure,Commercial, ,Yes
15299, , ,1760,0,0,2,0, ,Attached structure,Commercial, , 
15300, , ,1410,1,0,3,1820, ,Townhouse or row house,Residential, , 
15301, , ,1587,0,0,2,0, ,Townhouse or row house,Commercial, , 
15302, , ,1158,0,0,2,1910, ,Townhouse or row house,Commercial, , 
15303, , ,1158,0,0,2,0, ,Townhouse or row house,Commercial, , 
15304, , ,1508,0,0,2,0, ,Townhouse or row house,Commercial, , 
15305, , ,1508,0,0,2,0, ,Townhouse or row house,Commercial, , 
15306, , ,1482,1,0,3,1880, ,Townhouse or row house,Residential, , 
15307, , ,1508,0,0,2,1910, ,Townhouse or row house,Commercial, , 
15308, , ,0,14,0,4,1968, ,Attached structure,Residential,Apartment, 
15309, , ,3675,1,0,3,1840, ,Townhouse or row house,Residential, , 
15310, , ,0,14,0,4,1968, ,Attached structure,Residential,Apartment, 
15311, , ,3406,1,0,3,1820, ,Townhouse or row house,Residential, , 
15312, , ,1508,0,0,2,1910, ,Townhouse or row house,Commercial, , 
15313, , ,1474,1,0,2,1892, ,Townhouse or row house,Residential, , 
15314, , ,3880,1,0,3.25,1967, ,Townhouse or row house,Residential, , 
15315, , ,0,14,0,4,1968, ,Attached structure,Residential,Apartment, 
15316, , ,2340,1,0,3.25,1967, ,Townhouse or row house,Residential, , 
15317, , ,1700,1,0,2,1910, ,Townhouse or row house,Residential, , 
15318, , ,2890,1,0,3.5,1967, ,Townhouse or row house,Residential, , 
15319, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15320, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15321, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15322, , ,3421,0,0,1,1956, ,Attached structure,Commercial, ,Yes
15323, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15324, , ,1499,0,0,1,1956, ,Attached structure,Commercial, ,No
15325, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15326, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15327, , ,2868,0,0,1,1956, ,Attached structure,Commercial, ,Yes
15328, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15329, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15330, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15331, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15332, , ,0,0,0,1,0, ,Garage or shed,Other, , 
15333, , ,0,1,0,1,0, ,Attached structure,Residential, , 
15334, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15335, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15336, , ,1824,1,0,2,1978, ,Detached house,Residential, , 
15337, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15338, , ,1134,1,0,1,1959, ,Detached house,Residential, , 
15339, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15340, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15341, , ,1600,1,0,2,1955, ,Detached house,Residential, , 
15342, ,THE ENCORE,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15343, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15344, , ,1244,1,0,1,1956, ,Detached house,Residential, , 
15345, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15346, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15347, , ,2720,1,0,2,1979, ,Detached house,Residential, , 
15348, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15349, , ,2030,1,0,2,1958, ,Detached house,Residential, , 
15350, , ,1175,1,0,1,1956, ,Detached house,Residential, , 
15351, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15352, , ,0,6,0,4,1968, ,Attached structure,Residential,Apartment, 
15353, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15354, , ,26069,0,0,1,1993, ,Detached structure,Commercial, , 
15355, , ,4158,0,0,2,0, ,Attached structure,Commercial, , 
15356, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15357, , ,2200,1,0,2,1962, ,Detached house,Residential, , 
15358, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15359, , ,3296,0,0,2,0, ,Attached structure,Commercial, , 
15360, , ,5600,0,0,2,0, ,Attached structure,Multiple or Mixed, , 
15361, , ,0,0,0,0,0, ,Garage or shed,Other, , 
15362, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15363, , ,0,0,0,0,0,Building partially demolished - New Develop. Case,Garage or shed,Other, , 
15364, , ,6250,0,0,2,1900, ,Attached structure,Mass Assembly, , 
15365, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15366, , ,8787,0,0,1,2008, ,Detached structure,Institutional, , 
15367, , ,8820,0,0,2,0, ,Attached structure,Multiple or Mixed, , 
15368, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15369, , ,8008,0,0,1,0, ,Detached structure,Multiple or Mixed, ,Yes
15370, , ,0,14,0,4,1966, ,Attached structure,Residential,Apartment, 
15371, , ,3580,0,0,2,1890, ,Attached structure,Commercial, , 
15372, , ,1755,1,0,1.75,1930, ,Detached house,Residential, , 
15373, , ,1344,1,0,2,1948, ,Detached house,Residential, , 
