OBJECTID,UNITID,UNITID2,COMPKEY,UNITTYPE,MOS_ID,NAME,ADDRESS,COMMENTS,FEATURE_TO,FEATURE_FR,COMPTYPE,MAINCOMP1,MAINCOMP2,DITCH_LENGTH,MAINT_ZONE,MAP_NO,HUC,BASE_WID,CHAN_WID,BANK_HT,REC_WATER,COMMENTS2,CATEGORY
1043,0537-2164-R,0537-0655-R,1158591,DITCH,NA,MUDDY CREEK RD,MUDDY CREEK RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L18,AS20,0,0,0,,,
2045,S2022,S2027,774080,ORD,NA,Munden Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L20,AS20,0,0,0,,,
1044,0537-BRIDGE-L,0537-0588-L,1158604,DITCH,NA,MUDDY CREEK RD,MUDDY CREEK RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,M16,AS19,0,0,0,,,
2046,S2027,S2035,774083,ORD,NA,Munden Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L20,AS20,0,0,0,,,
1045,0538-0054-R,0538-0089-R,767098,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K14,AS14,0,0,0,,,
2047,S2027,S2032,774086,ORD,NA,Munden Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L20,AS20,0,0,0,,,
1046,0538-0054-R,0538-0089-R,767098,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K14,AS18,0,0,0,,,
2048,S2032,S2035,774087,ORD,NA,Munden Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L20,AS20,0,0,0,,,
1047,0538-0054-R,0538-0089-R,767098,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K14,AS18,0,0,0,,,
2049,S2126,S2132,774273,ORD,NA,Princess Anne Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,0,0,0,,,
1048,0538-0054-R,0538-0089-R,767098,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K14,AS18,0,0,0,,,
2050,S2134,S2142,774278,ORD,NA,McChesney,1258 Princess Anne Rd,"Ditch located N of PL across from Vaughan Rd, flows E",ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,3,12,4,,,
1049,0538-0311-L,0538-0089-L,766598,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2051,S2145,S2154,774285,ORD,NA,McChesney, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,10,20,3,,,
1050,0538-0311-L,0538-0089-L,766598,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2052,S2155,S2158,774290,ORD,MK17-02,Princess Anne and Gum Bridge Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,3,15,4,,,
1051,0538-0311-L,0538-0089-L,766598,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2053,S2158,S2140,774293,ORD,NA,Princess Anne and Gum Bridge Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,4,15,5,,,
1052,0538-0311-L,0538-0089-L,766598,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS14,0,0,0,,,
2054,S2162,S2163,774295,ORD,NA,Princess Anne and Gum Bridge Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K16,AS20,8,20,5,,,
1053,0538-0311-L,0538-0089-L,766598,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2055,S2163,S2172,774296,ORD,NA,Princess Anne and Gum Bridge Road, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,6,12,4,,,
1054,0538-0311-L,0538-0089-L,766598,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2056,S2173,S2174,774299,ORD,MK17-04, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,0,0,0,,,
1055,0538-0537-L,0538-0311-L,767092,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L15,AS18,0,0,0,,,
2057,S2174,S2175,774300,ORD,MK17-04,Pungo Ridge Court, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,0,0,0,,,
2058,S2175,S2177,774301,ORD,MK17-04,Pungo Ridge Court, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,0,0,0,,,
1056,0538-0537-L,0538-0311-L,767092,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L15,AS18,0,0,0,,,
2059,S2180,S2194,774302,ORD,NA,Charity Neck Road South, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L17,AS20,0,0,0,,,
1057,0538-2968-R,0538-0054-R,766595,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2060,S2194,S2195,774314,ORD,NA,Charity Neck Road South, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,0,0,0,,,
1058,0538-2968-R,0538-0054-R,766595,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2061,S2195,S2200,774315,ORD,NA,Charity Neck Road South, , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K17,AS20,9,15,3,,,
1059,0538-2968-R,0538-0054-R,766595,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2062,S2203,S2204,774320,ORD,NA,Princess Anne To Jarvis Road,1449 PRINCESS ANNE ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K16,AS14,2,7,2,,,
1060,0538-2968-R,0538-0054-R,766595,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L14,AS18,0,0,0,,,
2063,S2204,S2205,774321,ORD,NA,Princess Anne To Jarvis Road,1449 PRINCESS ANNE ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K16,AS14,0,0,0,,,
1061,0540-0089-L,0540-2802-L,1034472,DITCH,NA,MUNDEN POINT RD,MUNDEN POINT RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K23,AS17,0,0,0,,,
2064,S2205,S2209,774322,ORD,NA,Princess Anne To Jarvis Road,1449 PRINCESS ANNE ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K16,AS14,0,0,0,,,
2065,S2209,S2210,774323,ORD,NA,Princess Anne To Jarvis Road,1449 PRINCESS ANNE ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K16,AS14,0,0,0,,,
1062,0540-0089-R,0540-4137-R,1034479,DITCH,NA,MUNDEN POINT RD,MUNDEN POINT RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K23,AS17,0,0,0,,,
2066,S2210,S2219,774324,ORD,NA,Princess Anne To Jarvis Road,1449 PRINCESS ANNE ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1063,0540-2802-L,0540-3369-L,1034474,DITCH,NA,MUNDEN POINT RD,MUNDEN POINT RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K23,AS17,0,0,0,,,
2067,S2219,S2220,774325,ORD,NA,Princess Anne To Jarvis Road,1449 PRINCESS ANNE ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1064,0540-3369-L,0540-END-L,1034476,DITCH,NA,MUNDEN POINT RD,MUNDEN POINT RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K23,AS17,0,0,0,,,
2068,S2223,S2224,774418,MOS,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1065,0540-4137-R,0540-END-R,1034481,DITCH,NA,MUNDEN POINT RD,MUNDEN POINT RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J23,AS17,0,0,0,,,
2069,S2224,S2225,774419,MOS,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1066,0545-0089-L,0545-0119-L,765972,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,I12,AS14,0,0,0,,,
2070,S2225,S2226,774420,MOS,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1067,0545-0089-L,0545-0119-L,765972,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,I12,AS14,0,0,0,,,
2071,S2227,S2228,774421,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1068,0545-0102-R,0545-0053-R,765685,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G13,AS13,0,0,0,,,
2072,S2229,S2230,774422,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1069,0545-0119-L,0545-5499-L,765973,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,I12,AS14,0,0,0,,,
2073,S2231,S2232,774423,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1070,0545-5499-L,0545-0053-L,765837,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G13,AS13,0,0,0,,,
2074,S2232,S2233,774424,ORD,MJ16-01,Princess Anne To Jarvis Road,JARVIS ROAD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,2,6,3,,,
2075,S2233,S2234,774425,ORD,MJ16-01, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,2,6,3,,,
1071,0545-P402-R,0545-P834-R,771922,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,H13,AS13,0,0,0,,,
2076,S2234,S2235,774426,ORD,MJ16-01, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,0,0,0,,,
1072,0545-P834-R,0545-5660-R,771890,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G13,AS13,0,0,0,,,
2077,S2235,S2236,774427,ORD,MJ16-01, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,J16,AS14,3,8,1,,,
1073,0552-0014-L,0552-CITY-L,767089,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G19,AS16,0,0,0,,,
2078,S2238,S2239,774428,ORD,NA,1625 PRINCESS ANNE RD,1625 PRINCESS ANNE RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K15,AS14,0,0,0,,,
1074,0552-0014-R,0552-CITY-R,765693,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,G19,AS16,0,0,0,,,
2079,S2239,S2240,774429,ORD,NA,1625 PRINCESS ANNE RD,1625 PRINCESS ANNE RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K15,AS14,0,0,0,,,
1075,0553-0378-R,0553-5041-R,766556,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L10,AS18,0,0,0,,,
2080,S2240,S2241,774430,ORD,NA,1625 PRINCESS ANNE RD,1625 PRINCESS ANNE RD, ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,K15,AS14,0,0,0,,,
1076,0553-2240-L,0553-0039-L,766564,DITCH,NA, , , ,ASSET_STORM_NODE,ASSET_STORM_NODE,28,32,32,,,L10,AS18,0,0,0,,,
