OBJECTID,FCODE,SOURCE,MODIFIED_DATE,SHAPElen
3923,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,34.254903
3924,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,224.587748
3925,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,186.477257
3926,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,418.493682
3927,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,914.595793
3928,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,148.699282
3929,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,227.291761
3930,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,218.568684
3931,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,59.29524
3932,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,1198.55401
3933,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,242.340108
3934,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,417.551941
3935,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,139.468127
3936,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,491.793293
3937,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,41.5081
3938,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,107.240515
3939,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,42.520402
3940,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,69.225206
3941,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,142.193875
3942,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,381.654954
3943,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,69.126028
3944,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,539.150899
3945,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,116.628342
3946,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,85.986917
3947,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,141.282126
3948,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,110.879485
