OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
12,827,IRVING,Fairfax,2014-10-17T08:37:06.648Z,stulad,827,IRVING,Fairfax County,Terry R. McAuliffe (D),1446,Terry R. McAuliffe (D),Terry R. McAuliffe (D),686,0.474412,Robert C. Sarvis (L),Robert C. Sarvis (L),80,0.055325,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",490,0.338866
13,833,WHITE OAKS,Fairfax,2014-10-17T08:37:06.648Z,stulad,833,WHITE OAKS,Fairfax County,Terry R. McAuliffe (D),1370,Terry R. McAuliffe (D),Terry R. McAuliffe (D),717,0.523358,Robert C. Sarvis (L),Robert C. Sarvis (L),76,0.055474,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",451,0.329197
14,415,CRESTWOOD,Fairfax,2014-10-17T08:37:06.648Z,stulad,415,CRESTWOOD,Fairfax County,Terry R. McAuliffe (D),1037,Terry R. McAuliffe (D),Terry R. McAuliffe (D),545,0.525554,Robert C. Sarvis (L),Robert C. Sarvis (L),55,0.053038,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",371,0.357763
15,128,CARDINAL,Fairfax,2014-10-17T08:37:06.648Z,stulad,128,CARDINAL,Fairfax County,Terry R. McAuliffe (D),1114,Terry R. McAuliffe (D),Terry R. McAuliffe (D),552,0.495512,Robert C. Sarvis (L),Robert C. Sarvis (L),48,0.043088,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",407,0.36535
16,801,BURKE,Fairfax,2014-10-17T08:37:06.648Z,stulad,801,BURKE,Fairfax County,Terry R. McAuliffe (D),1989,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1060,0.532931,Robert C. Sarvis (L),Robert C. Sarvis (L),96,0.048265,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",627,0.315234
17,127,BURKE CENTRE,Fairfax,2014-10-17T08:37:06.648Z,stulad,127,BURKE CENTRE,Fairfax County,Terry R. McAuliffe (D),1938,Terry R. McAuliffe (D),Terry R. McAuliffe (D),975,0.503096,Robert C. Sarvis (L),Robert C. Sarvis (L),93,0.047988,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",677,0.349329
18,105,FAIRVIEW,Fairfax,2014-10-17T08:37:06.648Z,stulad,105,FAIRVIEW,Fairfax County,Terry R. McAuliffe (D),2323,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1170,0.503659,Robert C. Sarvis (L),Robert C. Sarvis (L),87,0.037452,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",860,0.370211
19,401,BUSH HILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,401,BUSH HILL,Fairfax County,Terry R. McAuliffe (D),1553,Terry R. McAuliffe (D),Terry R. McAuliffe (D),805,0.518352,Robert C. Sarvis (L),Robert C. Sarvis (L),81,0.052157,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",554,0.356729
20,402,CAMERON,Fairfax,2014-10-17T08:37:06.648Z,stulad,402,CAMERON,Fairfax County,Terry R. McAuliffe (D),506,Terry R. McAuliffe (D),Terry R. McAuliffe (D),284,0.561265,Robert C. Sarvis (L),Robert C. Sarvis (L),19,0.037549,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",166,0.328063
21,125,SIGNAL HILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,125,SIGNAL HILL,Fairfax County,Terry R. McAuliffe (D),1767,Terry R. McAuliffe (D),Terry R. McAuliffe (D),880,0.498019,Robert C. Sarvis (L),Robert C. Sarvis (L),94,0.053198,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",588,0.332767
22,119,LAUREL,Fairfax,2014-10-17T08:37:06.648Z,stulad,119,LAUREL,Fairfax County,Terry R. McAuliffe (D),2123,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1045,0.492228,Robert C. Sarvis (L),Robert C. Sarvis (L),107,0.0504,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",786,0.370231
23,526,BREN MAR,Fairfax,2014-10-17T08:37:06.648Z,stulad,526,BREN MAR,Fairfax County,Terry R. McAuliffe (D),1347,Terry R. McAuliffe (D),Terry R. McAuliffe (D),858,0.636971,Robert C. Sarvis (L),Robert C. Sarvis (L),51,0.037862,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",303,0.224944
24,123,ROBINSON,Fairfax,2014-10-17T08:37:06.648Z,stulad,123,ROBINSON,Fairfax County,Terry R. McAuliffe (D),2066,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1002,0.484995,Robert C. Sarvis (L),Robert C. Sarvis (L),87,0.04211,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",735,0.35576
25,521,BROOK HILL,Fairfax,2014-10-17T08:37:06.648Z,stulad,521,BROOK HILL,Fairfax County,Terry R. McAuliffe (D),905,Terry R. McAuliffe (D),Terry R. McAuliffe (D),467,0.516022,Robert C. Sarvis (L),Robert C. Sarvis (L),34,0.037569,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",331,0.365746
26,504,BRISTOW,Fairfax,2014-10-17T08:37:06.648Z,stulad,504,BRISTOW,Fairfax County,Terry R. McAuliffe (D),894,Terry R. McAuliffe (D),Terry R. McAuliffe (D),556,0.621924,Robert C. Sarvis (L),Robert C. Sarvis (L),27,0.030201,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",267,0.298658
27,106,HERITAGE,Fairfax,2014-10-17T08:37:06.648Z,stulad,106,HERITAGE,Fairfax County,Terry R. McAuliffe (D),1236,Terry R. McAuliffe (D),Terry R. McAuliffe (D),810,0.65534,Robert C. Sarvis (L),Robert C. Sarvis (L),66,0.053398,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",302,0.244337
28,104,CHAPEL,Fairfax,2014-10-17T08:37:06.648Z,stulad,104,CHAPEL,Fairfax County,Terry R. McAuliffe (D),1369,Terry R. McAuliffe (D),Terry R. McAuliffe (D),684,0.499635,Robert C. Sarvis (L),Robert C. Sarvis (L),68,0.049671,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",504,0.368152
29,116,WAKEFIELD,Fairfax,2014-10-17T08:37:06.648Z,stulad,116,WAKEFIELD,Fairfax County,Terry R. McAuliffe (D),1377,Terry R. McAuliffe (D),Terry R. McAuliffe (D),733,0.532317,Robert C. Sarvis (L),Robert C. Sarvis (L),70,0.050835,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",427,0.310094
30,518,COLUMBIA,Fairfax,2014-10-17T08:37:06.648Z,stulad,518,COLUMBIA,Fairfax County,Terry R. McAuliffe (D),1163,Terry R. McAuliffe (D),Terry R. McAuliffe (D),634,0.545142,Robert C. Sarvis (L),Robert C. Sarvis (L),51,0.043852,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",371,0.319003
31,528,RIDGELEA,Fairfax,2014-10-17T08:37:06.648Z,stulad,528,RIDGELEA,Fairfax County,Terry R. McAuliffe (D),688,Terry R. McAuliffe (D),Terry R. McAuliffe (D),345,0.501453,Robert C. Sarvis (L),Robert C. Sarvis (L),44,0.063953,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",225,0.327035
32,503,BELVEDERE,Fairfax,2014-10-17T08:37:06.648Z,stulad,503,BELVEDERE,Fairfax County,Terry R. McAuliffe (D),947,Terry R. McAuliffe (D),Terry R. McAuliffe (D),574,0.606125,Robert C. Sarvis (L),Robert C. Sarvis (L),46,0.048574,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",222,0.234424
33,923,BULL RUN,Fairfax,2014-10-17T08:37:06.648Z,stulad,923,BULL RUN,Fairfax County,"Ken T. Cuccinelli, II (R)",1137,Terry R. McAuliffe (D),Terry R. McAuliffe (D),366,0.3219,Robert C. Sarvis (L),Robert C. Sarvis (L),60,0.05277,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",582,0.511873
34,928,POPLAR TREE,Fairfax,2014-10-17T08:37:06.648Z,stulad,928,POPLAR TREE,Fairfax County,Terry R. McAuliffe (D),1348,Terry R. McAuliffe (D),Terry R. McAuliffe (D),594,0.440653,Robert C. Sarvis (L),Robert C. Sarvis (L),53,0.039318,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",577,0.428042
35,515,WESTLAWN,Fairfax,2014-10-17T08:37:06.648Z,stulad,515,WESTLAWN,Fairfax County,Terry R. McAuliffe (D),693,Terry R. McAuliffe (D),Terry R. McAuliffe (D),434,0.626263,Robert C. Sarvis (L),Robert C. Sarvis (L),26,0.037518,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",203,0.292929
36,705,GRAHAM-GREENWAY,Fairfax,2014-10-17T08:37:06.648Z,stulad,705,GRAHAM-GREENWAY,Fairfax County,Terry R. McAuliffe (D),1583,Terry R. McAuliffe (D),Terry R. McAuliffe (D),982,0.620341,Robert C. Sarvis (L),Robert C. Sarvis (L),82,0.0518,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",397,0.25079
37,903,CUB RUN,Fairfax,2014-10-17T08:37:06.648Z,stulad,903,CUB RUN,Fairfax County,Terry R. McAuliffe (D),1801,Terry R. McAuliffe (D),Terry R. McAuliffe (D),849,0.471405,Robert C. Sarvis (L),Robert C. Sarvis (L),95,0.052748,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",703,0.390339
38,846,GREENBRIAR EAST,Fairfax,2014-10-17T08:37:06.648Z,stulad,846,GREENBRIAR EAST,Fairfax County,Terry R. McAuliffe (D),1324,Terry R. McAuliffe (D),Terry R. McAuliffe (D),668,0.504532,Robert C. Sarvis (L),Robert C. Sarvis (L),68,0.05136,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",472,0.356495
39,913,ROCKY RUN,Fairfax,2014-10-17T08:37:06.648Z,stulad,913,ROCKY RUN,Fairfax County,Terry R. McAuliffe (D),2013,Terry R. McAuliffe (D),Terry R. McAuliffe (D),909,0.451565,Robert C. Sarvis (L),Robert C. Sarvis (L),84,0.041729,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",830,0.41232
40,847,GREENBRIAR WEST,Fairfax,2014-10-17T08:37:06.648Z,stulad,847,GREENBRIAR WEST,Fairfax County,Terry R. McAuliffe (D),1087,Terry R. McAuliffe (D),Terry R. McAuliffe (D),494,0.454462,Robert C. Sarvis (L),Robert C. Sarvis (L),58,0.053358,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",445,0.409384
41,915,VIRGINIA RUN,Fairfax,2014-10-17T08:37:06.648Z,stulad,915,VIRGINIA RUN,Fairfax County,"Ken T. Cuccinelli, II (R)",1479,Terry R. McAuliffe (D),Terry R. McAuliffe (D),504,0.340771,Robert C. Sarvis (L),Robert C. Sarvis (L),80,0.054091,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",716,0.484111
42,720,THOREAU,Fairfax,2014-10-17T08:37:06.648Z,stulad,720,THOREAU,Fairfax County,Terry R. McAuliffe (D),1020,Terry R. McAuliffe (D),Terry R. McAuliffe (D),522,0.511765,Robert C. Sarvis (L),Robert C. Sarvis (L),65,0.063725,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",331,0.32451
43,904,STONECROFT,Fairfax,2014-10-17T08:37:06.648Z,stulad,904,STONECROFT,Fairfax County,"Ken T. Cuccinelli, II (R)",730,Terry R. McAuliffe (D),Terry R. McAuliffe (D),296,0.405479,Robert C. Sarvis (L),Robert C. Sarvis (L),42,0.057534,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",340,0.465753
44,730,PENDERBROOK,Fairfax,2014-10-17T08:37:06.648Z,stulad,730,PENDERBROOK,Fairfax County,Terry R. McAuliffe (D),1366,Terry R. McAuliffe (D),Terry R. McAuliffe (D),706,0.516837,Robert C. Sarvis (L),Robert C. Sarvis (L),48,0.035139,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",494,0.36164
45,317,WESTHAMPTON,Fairfax,2014-10-17T08:37:06.648Z,stulad,317,WESTHAMPTON,Fairfax County,Terry R. McAuliffe (D),1215,Terry R. McAuliffe (D),Terry R. McAuliffe (D),648,0.533333,Robert C. Sarvis (L),Robert C. Sarvis (L),73,0.060082,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",349,0.287243
46,307,HAYCOCK,Fairfax,2014-10-17T08:37:06.648Z,stulad,307,HAYCOCK,Fairfax County,Terry R. McAuliffe (D),1439,Terry R. McAuliffe (D),Terry R. McAuliffe (D),736,0.511466,Robert C. Sarvis (L),Robert C. Sarvis (L),65,0.04517,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",437,0.303683
47,312,LONGFELLOW,Fairfax,2014-10-17T08:37:06.648Z,stulad,312,LONGFELLOW,Fairfax County,Terry R. McAuliffe (D),1392,Terry R. McAuliffe (D),Terry R. McAuliffe (D),705,0.506466,Robert C. Sarvis (L),Robert C. Sarvis (L),83,0.059626,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",390,0.280172
48,714,WALKER,Fairfax,2014-10-17T08:37:06.648Z,stulad,714,WALKER,Fairfax County,Terry R. McAuliffe (D),1415,Terry R. McAuliffe (D),Terry R. McAuliffe (D),805,0.568905,Robert C. Sarvis (L),Robert C. Sarvis (L),64,0.04523,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",426,0.30106
49,315,PIMMIT,Fairfax,2014-10-17T08:37:06.648Z,stulad,315,PIMMIT,Fairfax County,Terry R. McAuliffe (D),1297,Terry R. McAuliffe (D),Terry R. McAuliffe (D),749,0.577487,Robert C. Sarvis (L),Robert C. Sarvis (L),78,0.060139,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",384,0.296068
50,310,KIRBY,Fairfax,2014-10-17T08:37:06.648Z,stulad,310,KIRBY,Fairfax County,Terry R. McAuliffe (D),1147,Terry R. McAuliffe (D),Terry R. McAuliffe (D),574,0.500436,Robert C. Sarvis (L),Robert C. Sarvis (L),50,0.043592,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",319,0.278117
51,305,EL NIDO,Fairfax,2014-10-17T08:37:06.648Z,stulad,305,EL NIDO,Fairfax County,Terry R. McAuliffe (D),1337,Terry R. McAuliffe (D),Terry R. McAuliffe (D),678,0.507105,Robert C. Sarvis (L),Robert C. Sarvis (L),60,0.044877,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",350,0.26178
52,318,WESTMORELAND,Fairfax,2014-10-17T08:37:06.648Z,stulad,318,WESTMORELAND,Fairfax County,Terry R. McAuliffe (D),813,Terry R. McAuliffe (D),Terry R. McAuliffe (D),442,0.543665,Robert C. Sarvis (L),Robert C. Sarvis (L),30,0.0369,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",224,0.275523
53,302,CHESTERBROOK,Fairfax,2014-10-17T08:37:06.648Z,stulad,302,CHESTERBROOK,Fairfax County,Terry R. McAuliffe (D),1557,Terry R. McAuliffe (D),Terry R. McAuliffe (D),719,0.461785,Robert C. Sarvis (L),Robert C. Sarvis (L),74,0.047527,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",475,0.305074
54,301,CHAIN BRIDGE,Fairfax,2014-10-17T08:37:06.648Z,stulad,301,CHAIN BRIDGE,Fairfax County,Terry R. McAuliffe (D),1851,Terry R. McAuliffe (D),Terry R. McAuliffe (D),767,0.414371,Robert C. Sarvis (L),Robert C. Sarvis (L),74,0.039978,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",551,0.297677
55,323,SHOUSE,Fairfax,2014-10-17T08:37:06.648Z,stulad,323,SHOUSE,Fairfax County,Terry R. McAuliffe (D),1219,Terry R. McAuliffe (D),Terry R. McAuliffe (D),604,0.495488,Robert C. Sarvis (L),Robert C. Sarvis (L),61,0.050041,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",420,0.344545
56,240,COLVIN,Fairfax,2014-10-17T08:37:06.648Z,stulad,240,COLVIN,Fairfax County,"Ken T. Cuccinelli, II (R)",1271,Terry R. McAuliffe (D),Terry R. McAuliffe (D),517,0.406766,Robert C. Sarvis (L),Robert C. Sarvis (L),68,0.053501,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",521,0.409913
57,322,FORESTVILLE,Fairfax,2014-10-17T08:37:06.648Z,stulad,322,FORESTVILLE,Fairfax County,"Ken T. Cuccinelli, II (R)",1640,Terry R. McAuliffe (D),Terry R. McAuliffe (D),644,0.392683,Robert C. Sarvis (L),Robert C. Sarvis (L),80,0.04878,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",723,0.440854
58,419,LANE,Fairfax,2014-10-17T08:37:06.648Z,stulad,419,LANE,Fairfax County,Terry R. McAuliffe (D),1397,Terry R. McAuliffe (D),Terry R. McAuliffe (D),883,0.632069,Robert C. Sarvis (L),Robert C. Sarvis (L),47,0.033644,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",351,0.251253
59,710,PINE SPRING,Fairfax,2014-10-17T08:37:06.648Z,stulad,710,PINE SPRING,Fairfax County,Terry R. McAuliffe (D),1038,Terry R. McAuliffe (D),Terry R. McAuliffe (D),665,0.640655,Robert C. Sarvis (L),Robert C. Sarvis (L),60,0.057803,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",250,0.240848
60,221,HUNTERS WOODS,Fairfax,2014-10-17T08:37:06.648Z,stulad,221,HUNTERS WOODS,Fairfax County,Terry R. McAuliffe (D),1648,Terry R. McAuliffe (D),Terry R. McAuliffe (D),891,0.540655,Robert C. Sarvis (L),Robert C. Sarvis (L),73,0.044296,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",440,0.26699
61,219,WESTBRIAR,Fairfax,2014-10-17T08:37:06.648Z,stulad,219,WESTBRIAR,Fairfax County,Terry R. McAuliffe (D),1775,Terry R. McAuliffe (D),Terry R. McAuliffe (D),930,0.523944,Robert C. Sarvis (L),Robert C. Sarvis (L),84,0.047324,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",579,0.326197
62,120,SIDEBURN,Fairfax,2014-10-17T08:37:06.648Z,stulad,120,SIDEBURN,Fairfax County,"Ken T. Cuccinelli, II (R)",1888,Terry R. McAuliffe (D),Terry R. McAuliffe (D),803,0.425318,Robert C. Sarvis (L),Robert C. Sarvis (L),90,0.047669,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",822,0.435381
63,522,CAMELOT,Fairfax,2014-10-17T08:37:06.648Z,stulad,522,CAMELOT,Fairfax County,Terry R. McAuliffe (D),870,Terry R. McAuliffe (D),Terry R. McAuliffe (D),432,0.496552,Robert C. Sarvis (L),Robert C. Sarvis (L),36,0.041379,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",336,0.386207
64,223,GLADE,Fairfax,2014-10-17T08:37:06.648Z,stulad,223,GLADE,Fairfax County,Terry R. McAuliffe (D),1967,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1261,0.641078,Robert C. Sarvis (L),Robert C. Sarvis (L),104,0.052872,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",420,0.213523
65,409,PIONEER,Fairfax,2014-10-17T08:37:06.648Z,stulad,409,PIONEER,Fairfax County,Terry R. McAuliffe (D),1837,Terry R. McAuliffe (D),Terry R. McAuliffe (D),1110,0.604246,Robert C. Sarvis (L),Robert C. Sarvis (L),84,0.045727,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",508,0.276538
66,519,HUMMER,Fairfax,2014-10-17T08:37:06.648Z,stulad,519,HUMMER,Fairfax County,Terry R. McAuliffe (D),810,Terry R. McAuliffe (D),Terry R. McAuliffe (D),459,0.566667,Robert C. Sarvis (L),Robert C. Sarvis (L),26,0.032099,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",260,0.320988
67,625,LORTON CENTER,Fairfax,2014-10-17T08:37:06.648Z,stulad,625,LORTON CENTER,Fairfax County,Terry R. McAuliffe (D),867,Terry R. McAuliffe (D),Terry R. McAuliffe (D),464,0.535179,Robert C. Sarvis (L),Robert C. Sarvis (L),23,0.026528,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",299,0.344867
68,510,PARKLAWN,Fairfax,2014-10-17T08:37:06.648Z,stulad,510,PARKLAWN,Fairfax County,Terry R. McAuliffe (D),1006,Terry R. McAuliffe (D),Terry R. McAuliffe (D),555,0.55169,Robert C. Sarvis (L),Robert C. Sarvis (L),43,0.042744,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",309,0.307157
69,845,FOUNTAINHEAD,Fairfax,2014-10-17T08:37:06.648Z,stulad,845,FOUNTAINHEAD,Fairfax County,"Ken T. Cuccinelli, II (R)",2030,Terry R. McAuliffe (D),Terry R. McAuliffe (D),763,0.375862,Robert C. Sarvis (L),Robert C. Sarvis (L),87,0.042857,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",943,0.464532
70,838,SANGSTER,Fairfax,2014-10-17T08:37:06.648Z,stulad,838,SANGSTER,Fairfax County,Terry R. McAuliffe (D),1284,Terry R. McAuliffe (D),Terry R. McAuliffe (D),552,0.429907,Robert C. Sarvis (L),Robert C. Sarvis (L),68,0.05296,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",527,0.410436
71,126,BONNIE BRAE,Fairfax,2014-10-17T08:37:06.648Z,stulad,126,BONNIE BRAE,Fairfax County,Terry R. McAuliffe (D),1099,Terry R. McAuliffe (D),Terry R. McAuliffe (D),593,0.539581,Robert C. Sarvis (L),Robert C. Sarvis (L),59,0.053685,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",366,0.33303
72,726,MAGARITY,Fairfax,2014-10-17T08:37:06.648Z,stulad,726,MAGARITY,Fairfax County,Terry R. McAuliffe (D),1360,Terry R. McAuliffe (D),Terry R. McAuliffe (D),770,0.566176,Robert C. Sarvis (L),Robert C. Sarvis (L),69,0.050735,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",382,0.280882
73,901,CENTRE RIDGE,Fairfax,2014-10-17T08:37:06.648Z,stulad,901,CENTRE RIDGE,Fairfax County,Terry R. McAuliffe (D),1430,Terry R. McAuliffe (D),Terry R. McAuliffe (D),779,0.544755,Robert C. Sarvis (L),Robert C. Sarvis (L),73,0.051049,"Ken T. Cuccinelli, II (R)","Ken T. Cuccinelli, II (R)",500,0.34965
