OBJECTID,CE_PLAT_NUM,CE_CHAIN_ID,CE_RIGHT_FROM,CE_LEFT_FROM,CE_RIGHT_TO,CE_LEFT_TO,CE_RF_SUB,CE_LF_SUB,CE_RT_SUB,CE_LT_SUB,CE_C_STAT,CE_LOUD_ID,CE_UPD_DATE,ST_CHAIN_ID,ST_FROM,ST_TO,ST_STR_NAME,ST_DIR_SUF,ST_STR_TYPE,ST_DIR_PREF,ST_PO,ST_SUBDV,ST_CDATE,ST_SUBDV_SEC,ST_JURIS,ST_STR_DIR,ST_RTNO
195028,2006-0248,7134,42721,42720,42723,42722,0,0,0,0,2,18709,,7134,LONSDALE DR,LONSDALE DR,WILMAR, ,SQ, ,ASHBURN,WINDERMERE,2007-09-06T00:00:00.000Z,2,COUNTY,WE,PAE-U
195029,2002-0624,5850,0,0,0,0,0,0,0,0, ,12910,,5850,WESTWIND DR,STATE ST,HICKORY HILL, ,SQ, ,ASHBURN,CAMDEN WESTWIND,2003-10-02T00:00:00.000Z, ,COUNTY,NS,PAE-U
195030,2002-0624,5850,0,0,0,0,0,0,0,0, ,12911,,5850,WESTWIND DR,STATE ST,HICKORY HILL, ,SQ, ,ASHBURN,CAMDEN WESTWIND,2003-10-02T00:00:00.000Z, ,COUNTY,NS,PAE-U
195031,2002-0624,5851,22537,0,22539,0,0,0,0,0, ,12913,,5851,HICKORY HILL SQ,HICKORY HILL SQ,LOST CREEK, ,TE, ,ASHBURN,CAMDEN WESTWIND,2003-10-02T00:00:00.000Z, ,COUNTY,NS,PAE-U
195032,2001-0453,5203,22675,22674,22699,22698,0,0,0,0, ,9905,,5203,LAMOREAUX LANDING SQ,DEXTER HOUSE TE,SIMONET BLANC, ,TE, ,ASHBURN,LOUDOUN PARKWAY CENTER,2004-03-30T00:00:00.000Z,27A,COUNTY,NS,PAE-U
195033,2001-0453,5204,22709,22708,22717,22716,0,0,0,0, ,9907,,5204,SIMONET BLANC TE,ENDS,DEXTER HOUSE, ,TE, ,ASHBURN,LOUDOUN PARKWAY CENTER,2004-03-30T00:00:00.000Z,27A,COUNTY,NS,PAE-U
195034,2001-0453,5205,22683,22682,22707,22706,0,0,0,0, ,9909,2006-04-06T00:00:00.000Z,5205,LAMOREAUX LANDING SQ,CHADWICK TE,ASHLEY INN, ,TE, ,ASHBURN,LOUDOUN PARKWAY CENTER,2004-03-30T00:00:00.000Z,27A,COUNTY,NS,PAE-U
195035,2000-0400,4642,0,0,0,0,0,0,0,0, ,12925,,4642,WESTWIND DR,BARRISTER ST,STATE, ,ST, ,STERLING,LOUDOUN PKWY CTR,2000-01-20T00:00:00.000Z, ,COUNTY,WE, 
195036,2006-0248,7137,42859,42858,42895,42894,0,0,0,0,2,18719,,7137,LONSDALE DR,LONSDALE DR,BITTNER, ,SQ, ,ASHBURN,WINDERMERE,2007-09-06T00:00:00.000Z,2,COUNTY,WE,PAE-U
195037,2006-0248,7139,22255,22254,22275,22274,0,0,0,0,2,18723,,7139,BITTNER SQ,BITTNER SQ,MAYBURGH, ,TE, ,ASHBURN,WINDERMERE,2007-09-06T00:00:00.000Z,2,COUNTY,NS,PAE-U
195038,2002-0624,5851,22541,0,22581,0,0,0,0,0, ,12914,,5851,HICKORY HILL SQ,HICKORY HILL SQ,LOST CREEK, ,TE, ,ASHBURN,CAMDEN WESTWIND,2003-10-02T00:00:00.000Z, ,COUNTY,NS,PAE-U
195039,2002-0624,5851,0,22556,0,22560,0,0,0,0, ,12915,,5851,HICKORY HILL SQ,HICKORY HILL SQ,LOST CREEK, ,TE, ,ASHBURN,CAMDEN WESTWIND,2003-10-02T00:00:00.000Z, ,COUNTY,NS,PAE-U
195040, ,1066,14851,14850,15305,15304,0,0,0,0,1,12725,2007-09-07T00:00:00.000Z,1066,EDGEGROVE RD,END,SHANNONDALE, ,RD, ,PURCELLVILLE, ,1996-01-18T00:00:00.000Z, ,COUNTY,NS,714
195041,2006-0247,7113,42805,42804,42831,42830,0,0,0,0,2,18593,,7113,RAVENGLASS DR,CLAIBORNE PKWY,RAVENGLASS, ,DR, ,ASHBURN,WINDERMERE,2007-08-13T00:00:00.000Z,1,COUNTY,WE,PAE-U
195042,2006-0247,7113,42781,42780,42789,42788,0,0,0,0,2,18591,,7113,RAVENGLASS DR,CLAIBORNE PKWY,RAVENGLASS, ,DR, ,ASHBURN,WINDERMERE,2007-08-13T00:00:00.000Z,1,COUNTY,WE,PAE-U
195043,2006-0247,7114,42833,42832,42885,42884,0,0,0,0,2,18596,,7114,RAVENGLASS DR,RAVENGLASS DR,BRAEMOUNT, ,CIR, ,ASHBURN,WINDERMERE,2007-09-11T00:00:00.000Z,1,COUNTY,WE,PAE-U
195044,2006-0247,7113,42669,42668,42779,42778,0,0,0,0,2,18590,,7113,RAVENGLASS DR,CLAIBORNE PKWY,RAVENGLASS, ,DR, ,ASHBURN,WINDERMERE,2007-08-13T00:00:00.000Z,1,COUNTY,WE,PAE-U
195045, ,4469,21771,21770,21777,21776,0,0,0,0, ,6981,,4469,SAINT HELENA TE,ENDS,FLORA SPRINGS, ,TE, ,ASHBURN,RYAN PARK CENTER,2001-04-20T00:00:00.000Z,1,COUNTY,NS,PAE-U
195046, ,4470,43661,43660,43673,43672,0,0,0,0, ,6982,,4470,FLORA SPRINGS TE,OAKVILLE TE,SAINT HELENA, ,TE, ,ASHBURN,RYAN PARK CENTER,2001-04-20T00:00:00.000Z,1,COUNTY,WE,PAE-U
195047, ,3372,45165,0,45191,0,0,0,0,0,1,8464,2006-08-16T00:00:00.000Z,3372,PACIFIC BLVD,END,COLUMBIA, ,PL, ,STERLING,DULLES 28 CENTRE,1995-06-30T00:00:00.000Z, ,COUNTY,WE, 
195048,2006-0228,6908,22015,22014,22045,22044,0,0,0,0, ,17891,,6908,MONTEREY PL,END,DULLES RETAIL, ,PLAZA, ,STERLING,DULLES 28 CENTRE,2006-08-09T00:00:00.000Z, ,COUNTY,NS,PAE-U
195049, ,3775,0,0,0,0,0,0,0,0, ,17884,2006-08-16T00:00:00.000Z,3775,COMMERCIAL DR,COLUMBIA PL,COLORADO, ,DR, ,STERLING,DULLES 28 CENTRE,1996-04-04T00:00:00.000Z, ,COUNTY,NS, 
195050, ,7025,0,0,0,0,0,0,0,0,1,18747,,7025,SHREVE MILL RD,SB DULLES GREENWAY, ,TO,RAMP,EN, , ,2007-01-24T00:00:00.000Z, ,COUNTY, , 
195051, ,2984,0,0,0,0,0,0,0,0,1,13650,2009-11-06T00:00:00.000Z,2984,CLAIBORNE PKWY,SHELLHORN RD,BROADLANDS, ,BLVD, ,ASHBURN,BROADLANDS,2010-04-02T00:00:00.000Z,PHS B,COUNTY,WE,640
195052, ,2984,0,0,0,0,0,0,0,0,1,13649,2009-11-06T00:00:00.000Z,2984,CLAIBORNE PKWY,SHELLHORN RD,BROADLANDS, ,BLVD, ,ASHBURN,BROADLANDS,2010-04-02T00:00:00.000Z,PHS B,COUNTY,WE,640
195053,2006-0228,6908,22001,22000,22013,22012,0,0,0,0, ,17890,,6908,MONTEREY PL,END,DULLES RETAIL, ,PLAZA, ,STERLING,DULLES 28 CENTRE,2006-08-09T00:00:00.000Z, ,COUNTY,NS,PAE-U
195054, ,2432,0,0,0,0,0,0,0,0,1,18609,,2432,LAWSON RD,TEMP. END,BATTLEFIELD,SE,PKWY, ,LEESBURG, ,1995-06-30T00:00:00.000Z, ,LEESBURG,NS,PAE-U
195055, ,693,31963,31962,32523,32522,0,0,0,0,1,4768,,693,TRAPPE RD,END,LLANGOLLEN, ,RD, ,UPPERVILLE, ,1994-11-04T00:00:00.000Z, ,COUNTY,WE,766
195056, ,2595,34789,34788,35143,35142,0,0,0,0,1,1618,,2595,SNICKERSVILLE TPKE,END,PAXSON, ,RD, ,COUNTY, ,1996-01-18T00:00:00.000Z, ,COUNTY,WE,725
195057, ,29,18561,18560,19279,19278,0,0,0,0,1,1693,2007-01-30T00:00:00.000Z,29,ROUND HILL TOWN LIMITS,TRAPPE RD,AIRMONT, ,RD, ,COUNTY, ,1994-11-04T00:00:00.000Z, ,COUNTY,NS,719
195058, ,101,39615,39614,40011,40010,0,0,0,0,1,10493,,101,MILLTOWN RD,END,THE NARROWS, ,RD, ,COUNTY, ,1996-01-19T00:00:00.000Z, ,COUNTY,WE,694
195059, ,1015,39691,39690,39905,39904,0,0,0,0,1,7971,2010-11-18T00:00:00.000Z,1015,MILLTOWN RD,END,ROCKY, ,LA, ,LOVETTSVILLE, ,1996-05-23T00:00:00.000Z, ,COUNTY,WE,692
195060, ,1228,40751,40750,40857,40856,0,0,0,0,1,11603,,1228,LOYALTY RD,JAMES MONROE HWY,STUMPTOWN, ,RD, ,COUNTY, ,1992-07-08T00:00:00.000Z, ,COUNTY,WE,662
195061,2007-0061,7116,13117,13116,13365,13364,0,0,0,0,2,18601,2007-08-29T00:00:00.000Z,7116,APRIL CIR,END,WATERFORD VIEW, ,CT, ,LOVETTSVILLE,WATERFORD VIEW ESTATES,2007-08-16T00:00:00.000Z,4,COUNTY,NS,PAE-U
195062,2006-0618,3539,0,0,0,0,0,0,0,0,2,18731,,3539,NORTHSTAR BLVD,JOHN MOSBY HWY,TALL CEDARS, ,PKWY, ,CHANTILLY,SOUTH RIDING,2014-01-28T00:00:00.000Z, ,COUNTY,WE,2200
195063,2006-0618,7141,0,0,0,0,0,0,0,0,2,18736,,7141, , ,EASTGATE VIEW, ,DR, ,CHANTILLY,EAST GATE,2012-01-25T00:00:00.000Z, ,COUNTY,WE,3010
195064,1974-0008,50,0,0,0,0,101,100,133,134,1,665,2011-01-27T00:00:00.000Z,50,ORCHARD CIR,END,APPLEWOOD, ,CT, ,HAMILTON,HAMILTON KNOLLS,1911-01-01T00:00:00.000Z,1,HAMILTON,WE,1113
195065, ,605,0,43794,0,43824,0,0,0,0,1,5711,2007-09-21T00:00:00.000Z,605,FAIRFAX COUNTY,FAUQUIER COUNTY,JOHN MOSBY, ,HWY, ,COUNTY, ,1994-11-04T00:00:00.000Z, ,COUNTY,WE,50
195066, ,605,0,43826,0,44138,0,0,0,0,1,18728,2007-09-21T00:00:00.000Z,605,FAIRFAX COUNTY,FAUQUIER COUNTY,JOHN MOSBY, ,HWY, ,COUNTY, ,1994-11-04T00:00:00.000Z, ,COUNTY,WE,50
195067,2005-0491,7133,0,0,0,0,0,0,0,0,3,18667,,7133,SUNBURY ST,SUNBURY ST,FEATHER REED, ,SQ, ,ASHBURN,LOUDOUN VALLEY ESTATES II LB 1,2007-08-29T00:00:00.000Z,5,COUNTY,NS,PAE-U
195068, ,7365,44385,44384,45299,45298,0,0,0,0,1,18739,2010-03-29T00:00:00.000Z,7365,OPERATIONS RD,WINDSHEAR RD,PERIMETER, ,RD,N,STERLING,DULLES AIRPORT,2009-06-11T00:00:00.000Z, ,DULLES,WE,PAE-U
195069,2005-0167,7119,42441,42440,42455,42454,0,0,0,0,3,18621,2007-09-24T00:00:00.000Z,7119,ELAND PL,ENDS,CHAMOIS, ,CT, ,STERLING,WINSBURY,2012-10-24T00:00:00.000Z, ,COUNTY,WE,2954
195070,2007-0143,3539,43721,0,43749,0,0,0,0,0,2,18729,2008-09-12T00:00:00.000Z,3539,NORTHSTAR BLVD,JOHN MOSBY HWY,TALL CEDARS, ,PKWY, ,CHANTILLY,SOUTH RIDING,2014-01-28T00:00:00.000Z, ,COUNTY,WE,2200
195071,2007-0143,3539,0,43720,0,43748,0,0,0,0,2,18732,2008-09-12T00:00:00.000Z,3539,NORTHSTAR BLVD,JOHN MOSBY HWY,TALL CEDARS, ,PKWY, ,CHANTILLY,SOUTH RIDING,2014-01-28T00:00:00.000Z, ,COUNTY,WE,2200
195072,1999-0099,2397,20845,20844,20879,20878,0,0,0,0,1,6497,2007-10-17T00:00:00.000Z,2397,MARSHFIELD DR,END,ISHERWOOD, ,TE, ,ASHBURN,ASHBURN FARM,1999-07-07T00:00:00.000Z,6-2,COUNTY,NS,PAE-U
195073, ,605,43827,0,44137,0,0,0,0,0,1,18727,2007-09-21T00:00:00.000Z,605,FAIRFAX COUNTY,FAUQUIER COUNTY,JOHN MOSBY, ,HWY, ,COUNTY, ,1994-11-04T00:00:00.000Z, ,COUNTY,WE,50
195074,2005-0491,7133,0,0,0,0,0,0,0,0,3,18664,,7133,SUNBURY ST,SUNBURY ST,FEATHER REED, ,SQ, ,ASHBURN,LOUDOUN VALLEY ESTATES II LB 1,2007-08-29T00:00:00.000Z,5,COUNTY,NS,PAE-U
195075,1999-0099,2397,0,0,0,0,0,0,0,0,1,6469,2007-10-17T00:00:00.000Z,2397,MARSHFIELD DR,END,ISHERWOOD, ,TE, ,ASHBURN,ASHBURN FARM,1999-07-07T00:00:00.000Z,6-2,COUNTY,NS,PAE-U
195076,1999-0099,2397,0,0,0,0,0,0,0,0,1,6473,2007-10-17T00:00:00.000Z,2397,MARSHFIELD DR,END,ISHERWOOD, ,TE, ,ASHBURN,ASHBURN FARM,1999-07-07T00:00:00.000Z,6-2,COUNTY,NS,PAE-U
195077,2005-0491,7133,0,0,0,0,0,0,0,0,3,18666,,7133,SUNBURY ST,SUNBURY ST,FEATHER REED, ,SQ, ,ASHBURN,LOUDOUN VALLEY ESTATES II LB 1,2007-08-29T00:00:00.000Z,5,COUNTY,NS,PAE-U
195078,1999-0099,2397,20881,20880,20889,20888,0,0,0,0,1,6498,2007-10-17T00:00:00.000Z,2397,MARSHFIELD DR,END,ISHERWOOD, ,TE, ,ASHBURN,ASHBURN FARM,1999-07-07T00:00:00.000Z,6-2,COUNTY,NS,PAE-U
195079,2006-0572,7061,0,43668,0,43698,0,0,0,0,2,18331,,7061,FRONT ST,FRONT ST,CHICACOAN CREEK, ,SQ, ,LEESBURG,LANSDOWNE TOWN CENTER,2005-10-31T00:00:00.000Z,E5,COUNTY,WE,PAE-U
195080,2005-0491,7132,23101,23100,23141,23140,0,0,0,0,3,18669,,7132,BARNSTEAD DR,LOUDOUN RESERVE DR,DUNLOP HEIGHTS, ,TE, ,ASHBURN,LOUDOUN VALLEY ESTATES II LB 1,2007-08-29T00:00:00.000Z,5,COUNTY,NS,PAE-U
195081,2005-0491,7129,23131,23130,23145,23144,0,0,0,0,3,18653,,7129,CHERTSEY ST,LOUDOUN RESERVE DR,SUNBURY, ,ST, ,ASHBURN,LOUDOUN VALLEY ESTATES II LB 1,2007-08-29T00:00:00.000Z,5,COUNTY,NS,PAE-U
195082,2005-0491,7132,23143,23142,23159,23158,0,0,0,0,3,18670,,7132,BARNSTEAD DR,LOUDOUN RESERVE DR,DUNLOP HEIGHTS, ,TE, ,ASHBURN,LOUDOUN VALLEY ESTATES II LB 1,2007-08-29T00:00:00.000Z,5,COUNTY,NS,PAE-U
195083,2005-0490,6952,43327,43326,43469,43468,0,0,0,0,1,23443,2014-02-26T00:00:00.000Z,6952,EVERGREEN RIDGE BLVD, ,LOUDOUN RESERVE, ,DR, ,ASHBURN,LOUDOUN VALLEY ESTATES II,2014-02-27T00:00:00.000Z, ,COUNTY,WE,3101
195084,2007-0003,7144,0,0,0,0,0,0,0,0,2,18763,,7144,EASTGATE VIEW DR,END,EASTERN MARKETPLACE, ,PLAZA, ,CHANTILLY,EAST GATE MARKETPLACE,2007-10-05T00:00:00.000Z, ,COUNTY,NS,PAE-U
195085,2006-0574,7147,22375,22374,22385,22384,0,0,0,0,2,18774,,7147,CAVALRY HEIGHTS CIR,END,CIDER SPRING, ,PL, ,MIDDLEBURG,APPLETON FARM ESTATES,2007-10-10T00:00:00.000Z, ,COUNTY,NS,PAE-U
195086,2006-0574,7148,22345,22344,22419,22418,0,0,0,0,2,18773,,7148,CIDER SPRING PL,CIDER SPRING PL,CAVALRY HEIGHTS, ,CIR, ,MIDDLEBURG,APPLETON FARM ESTATES,2007-10-10T00:00:00.000Z, ,COUNTY,NS,PAE-U
195087,2006-0574,7147,22387,22386,22419,22418,0,0,0,0,2,18775,,7147,CAVALRY HEIGHTS CIR,END,CIDER SPRING, ,PL, ,MIDDLEBURG,APPLETON FARM ESTATES,2007-10-10T00:00:00.000Z, ,COUNTY,NS,PAE-U
195088, ,843,22237,22236,22389,22388,0,0,0,0,1,5064,2007-10-11T00:00:00.000Z,843,UNISON RD,ST LOUIS RD,NEWLIN MILL, ,RD, ,MIDDLEBURG, ,1993-10-18T00:00:00.000Z, ,COUNTY,NS,790
195089, ,843,22391,22390,22409,22408,0,0,0,0,1,18772,2007-10-11T00:00:00.000Z,843,UNISON RD,ST LOUIS RD,NEWLIN MILL, ,RD, ,MIDDLEBURG, ,1993-10-18T00:00:00.000Z, ,COUNTY,NS,790
195090,2006-0654,7055,42175,42174,42199,42198,0,0,0,0,3,18371,2007-12-05T00:00:00.000Z,7055,GUM SPRING RD,END,PARADISE, ,PL, ,CHANTILLY,LITTLE RIVER COMMONS,2013-04-08T00:00:00.000Z,1,COUNTY,WE,2590
195091,2006-0654,7055,42201,42200,42247,42246,0,0,0,0,3,18372,2007-12-05T00:00:00.000Z,7055,GUM SPRING RD,END,PARADISE, ,PL, ,CHANTILLY,LITTLE RIVER COMMONS,2013-04-08T00:00:00.000Z,1,COUNTY,WE,2590
195092,2007-0375,7150,0,0,0,0,2,1,14,15,1,18781,2008-10-24T00:00:00.000Z,7150,E BROAD WY,END,CHURCH, ,ST,N,LOVETTSVILLE, ,2007-10-16T00:00:00.000Z, ,LOVETTSVILLE,NS,PAE-U
195093, ,262,19587,19586,19995,19994,0,0,0,0,1,10002,,262,LOUDOUN ORCHARD RD,END,SHELBURNE GLEBE, ,RD, ,COUNTY, ,1996-01-18T00:00:00.000Z, ,COUNTY,NS,729
195094, ,384,38431,38430,38565,38564,0,0,0,0,1,1645,,384,LINCOLN RD,SHELBURNE GLEBE RD,FOREST MILLS, ,RD, ,COUNTY, ,1996-01-18T00:00:00.000Z, ,COUNTY,WE,727
195095, ,3921,19051,19050,19373,19372,0,0,0,0,4,1713,,3921,SHELBURNE GLEBE RD,END,MOUNTAIN SPRING, ,LA, ,LEESBURG, ,1999-07-08T00:00:00.000Z, ,COUNTY,NS,PAE-R
195096, ,262,19481,19480,19585,19584,0,0,0,0,1,1735,,262,LOUDOUN ORCHARD RD,END,SHELBURNE GLEBE, ,RD, ,COUNTY, ,1996-01-18T00:00:00.000Z, ,COUNTY,NS,729
195097,2006-0677,7141,44111,44110,44139,44138,0,0,0,0,2,18755,2013-10-21T00:00:00.000Z,7141, , ,EASTGATE VIEW, ,DR, ,CHANTILLY,EAST GATE,2012-01-25T00:00:00.000Z, ,COUNTY,WE,3010
195098, ,938,25483,25482,25599,25598,0,0,0,0,1,14008,2007-10-09T00:00:00.000Z,938,DULLES AIRPORT,FAIRFAX COUNTY,PLEASANT VALLEY, ,RD, ,CHANTILLY, ,1993-04-08T00:00:00.000Z, ,COUNTY,NS,609
195099,2000-0026,4857,0,0,0,0,0,0,0,0,2,8676,2008-06-10T00:00:00.000Z,4857,SANDRIDGE WY,HARBOR HILLS TE,STONE HAVEN, ,DR, ,LEESBURG,FAIRWAYS AT LANSDOWNE,2000-10-23T00:00:00.000Z, ,COUNTY,NS, 
195100,1998-0341,4144,45563,45562,45575,45574,0,0,0,0,1,6559,2007-10-26T00:00:00.000Z,4144,GLENBROOK TE,END,BENTGRASS, ,TE, ,STERLING,JEFFERSON VILLAGE,1999-09-13T00:00:00.000Z, ,COUNTY,WE,PAE-U
195101,2005-0198,7030,0,0,0,0,0,0,0,0,2,18819,,7030,WINDSOR LOCKS SQ,LEANNE TE,CRAIGHILL, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,WE,PAE-U
195102,2005-0198,7028,22561,0,22575,0,0,0,0,0,2,18824,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195103,2005-0198,7028,22577,22576,22589,22588,0,0,0,0,2,18826,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195104,2005-0198,7028,22491,22490,22559,22558,0,0,0,0,2,18823,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195105,2005-0198,7028,0,22560,0,22574,0,0,0,0,2,18825,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195106,2005-0198,7027,22501,22500,22589,22588,0,0,0,0,2,18816,2008-09-12T00:00:00.000Z,7027,CLARENDON SQ,END,DEIRDRE, ,SQ, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195107,2005-0198,7030,0,0,0,0,0,0,0,0,2,18818,,7030,WINDSOR LOCKS SQ,LEANNE TE,CRAIGHILL, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,WE,PAE-U
195108,2005-0198,7028,22441,22440,22455,22454,0,0,0,0,2,18821,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195109,2005-0198,7028,22457,22456,22489,22488,0,0,0,0,2,18822,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195110,2006-0647,7183,0,0,0,0,0,0,0,0,2,18846,2008-03-03T00:00:00.000Z,7183,BUNCHFLOWER TE SE,FLAMEFLOWER TE SE,WILD ONION,SE,TE, ,LEESBURG,OAKLAWN,2007-12-07T00:00:00.000Z,2,LEESBURG,NS,PAE-U
195111,2005-0198,6610,43111,43110,43119,43118,0,0,0,0,2,18809,2007-12-21T00:00:00.000Z,6610,MOOREVIEW PKWY,RYAN RD,OLD RYAN, ,RD, ,ASHBURN, ,2006-10-27T00:00:00.000Z, ,COUNTY,WE,772
195112,2005-0198,7028,0,0,0,0,0,0,0,0,2,18820,,7028,OLD RYAN RD,END,LEANNE, ,TE, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195113,2005-0198,7027,22441,22440,22453,22452,0,0,0,0,2,18814,2008-12-04T00:00:00.000Z,7027,CLARENDON SQ,END,DEIRDRE, ,SQ, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195114,2005-0198,7027,22455,22454,22499,22498,0,0,0,0,2,18815,,7027,CLARENDON SQ,END,DEIRDRE, ,SQ, ,ASHBURN,MOOREFIELD STATION,2007-02-15T00:00:00.000Z,2A,COUNTY,NS,PAE-U
195115,2006-0322,2432,0,0,0,0,0,0,0,0, ,17688,2007-11-09T00:00:00.000Z,2432,LAWSON RD,TEMP. END,BATTLEFIELD,SE,PKWY, ,LEESBURG, ,1995-06-30T00:00:00.000Z, ,LEESBURG,NS,PAE-U
195116,2006-0647,7157,0,0,0,0,0,0,0,0,2,18844,,7157,MILLER DR,VIRGINIA WILDFLOWER TE,BUNCHFLOWER,SE,TE, ,LEESBURG,OAKLAWN,2007-10-26T00:00:00.000Z,2,LEESBURG,WE,PAE-U
195117,2006-0647,7157,0,0,0,0,0,0,0,0,2,18845,2007-12-06T00:00:00.000Z,7157,MILLER DR,VIRGINIA WILDFLOWER TE,BUNCHFLOWER,SE,TE, ,LEESBURG,OAKLAWN,2007-10-26T00:00:00.000Z,2,LEESBURG,WE,PAE-U
195118,2006-0647,7157,0,0,0,0,0,0,0,0,2,18842,,7157,MILLER DR,VIRGINIA WILDFLOWER TE,BUNCHFLOWER,SE,TE, ,LEESBURG,OAKLAWN,2007-10-26T00:00:00.000Z,2,LEESBURG,WE,PAE-U
195119,2006-0647,7157,0,0,0,0,0,0,0,0,2,18843,2007-12-06T00:00:00.000Z,7157,MILLER DR,VIRGINIA WILDFLOWER TE,BUNCHFLOWER,SE,TE, ,LEESBURG,OAKLAWN,2007-10-26T00:00:00.000Z,2,LEESBURG,WE,PAE-U
195120,2006-0322,1507,0,0,0,0,980,981,998,999,1,18840,2013-05-09T00:00:00.000Z,1507,SYCOLIN RD SE,ENDS,MILLER,SE,DR, ,LEESBURG,LEESBURG AIRPARK,1993-03-09T00:00:00.000Z, ,LEESBURG,WE,PAE-U
