FID,STPFX,STNAME,STTYPE,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,FULLNAME,BLK_NUM,RD_CLASS,FLOW,OWNER,SPEED_P
703, ,DUKE,ST,N/A,N/A,3460,3400,DUKE ST,3400,Arterial,Divided,City,35
4594, ,LANE,DR,N/A,N/A,6001,6001,LANE DR,6000,Local,Normal,City,25
1605,N,HOWARD,ST,600,624,601,621,N HOWARD ST,600,Local,Normal,City,25
3609, ,CRESTWOOD,DR,612,614,613,615,CRESTWOOD DR,600,Local,Normal,City,25
4595, ,BISHOP WALKER,CR,N/A,N/A,N/A,N/A,BISHOP WALKER CR,0,Local,Normal,Private,15
704,E,WINDSOR,AV,400,420,401,425,E WINDSOR AV,400,Residential Collector,Normal,City,25
1606,S,PATRICK,ST,N/A,N/A,N/A,N/A,S PATRICK ST,0,Ramp,One Way,City,25
4596, ,SEMINARY,RD,3620,3638,3621,3639,SEMINARY RD,3600,Arterial,Normal,City,25
705,E,RAYMOND,AV,N/A,N/A,N/A,N/A,E RAYMOND AV,400,Residential Collector,Normal,City,25
3610, ,VERMONT,AV,4400,4424,4401,4411,VERMONT AV,4400,Local,Normal,City,25
1607,W,BRADDOCK,RD,N/A,N/A,4698,4650,W BRADDOCK RD,4600,Primary Collector,Divided,City,35
4597, ,RANDOLPH,AV,2607,2619,2602,2612,RANDOLPH AV,2600,Local,One Way,City,25
706,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,2000,Arterial,Divided,City,25
3611, ,HANCOCK,AV,1500,1506,1501,1507,HANCOCK AV,1500,Local,Normal,City,25
4598, ,RANDOLPH,AV,2601,2605,2600,2600,RANDOLPH AV,2600,Local,One Way,City,25
1608,S,WEST,ST,N/A,N/A,N/A,N/A,S WEST ST,300,Local,Normal,City,25
707, ,DUKE,ST,N/A,N/A,N/A,N/A,DUKE ST,0,Arterial,Divided,City,35
3612, ,CRESTWOOD,DR,900,904,901,905,CRESTWOOD DR,900,Local,Normal,City,25
4599, ,RANDOLPH,AV,2505,2513,2502,2506,RANDOLPH AV,2500,Local,One Way,City,25
1609,S,PATRICK,ST,N/A,N/A,N/A,N/A,S PATRICK ST,0,Ramp,One Way,City,25
708,N,PICKETT,ST,1436,1460,1437,1459,N PICKETT ST,1400,Residential Collector,Normal,City,25
3613, ,DEWITT,AV,1400,1412,1401,1411,DEWITT AV,1400,Local,Normal,City,25
709,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
4600, ,RANDOLPH,AV,2401,2413,2400,2404,RANDOLPH AV,2400,Local,One Way,City,25
3614, ,CAMERON MILLS,RD,3100,3102,N/A,N/A,CAMERON MILLS RD,3000,Local,Normal,City,25
1610,S,GLEBE,RD,N/A,N/A,N/A,N/A,S GLEBE RD,0,Arterial,Normal,Arlington,25
710,N,QUAKER,LA,N/A,N/A,1913,1933,N QUAKER LA,1900,Arterial,Divided,City,25
1611,W,BRADDOCK,RD,N/A,N/A,4651,4699,W BRADDOCK RD,4600,Primary Collector,Divided,City,35
4601, ,GIBBON,ST,1000,1060,1001,1059,GIBBON ST,1000,Local,One Way,City,25
3615, ,VERMONT,AV,4220,4238,4221,4229,VERMONT AV,4200,Local,Normal,City,25
711,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
3616, ,OLD DOMINION,BV,3400,3404,3311,3321,OLD DOMINION BV,3400,Residential Collector,Normal,City,25
4602, ,HENRY G SHIRLEY MEMORIAL,HY,N/A,N/A,N/A,N/A,HENRY G SHIRLEY MEMORIAL HY,0,Ramp,One Way,City,25
1612,N,HOWARD,ST,700,712,701,711,N HOWARD ST,700,Local,Normal,City,25
712,E,CUSTIS,AV,2,22,1,21,E CUSTIS AV,1,Local,Normal,City,25
3617, ,CRESTWOOD,DR,906,910,907,911,CRESTWOOD DR,900,Local,Normal,City,25
4603, ,KING,ST,1500,1560,1501,1559,KING ST,1500,Primary Collector,Normal,City,25
713,W,WINDSOR,AV,400,402,401,403,W WINDSOR AV,400,Residential Collector,Normal,City,25
1613,S,WEST,ST,N/A,N/A,N/A,N/A,S WEST ST,300,Local,Normal,City,25
3618, ,VERMONT,AV,4426,4438,4413,4433,VERMONT AV,4400,Local,Normal,City,25
4604, ,KING,ST,1600,1612,1601,1609,KING ST,1600,Primary Collector,Normal,City,25
714,E,RAYMOND,AV,N/A,N/A,N/A,N/A,E RAYMOND AV,400,Residential Collector,Normal,City,25
1614,S,GLEBE,RD,N/A,N/A,N/A,N/A,S GLEBE RD,0,Arterial,Normal,Arlington,25
3619, ,OLD DOMINION,BV,3406,3414,3401,3407,OLD DOMINION BV,3400,Residential Collector,Normal,City,25
4605, ,HENRY G SHIRLEY MEMORIAL,HY,N/A,N/A,N/A,N/A,HENRY G SHIRLEY MEMORIAL HY,0,Expressway,Reversible,City,55
715,N,VAN DORN,ST,500,598,501,599,N VAN DORN ST,500,Arterial,Normal,City,25
1615,S,QUAKER,LA,N/A,N/A,N/A,N/A,S QUAKER LA,1,Local,Normal,City,25
3620, ,CEDAR,ST,2,24,1,23,CEDAR ST,1,Local,Normal,City,25
4606, ,HENRY G SHIRLEY MEMORIAL,HY,N/A,N/A,N/A,N/A,HENRY G SHIRLEY MEMORIAL HY,0,Expressway,One Way,City,55
1616,N,JORDAN,ST,600,606,601,619,N JORDAN ST,600,Primary Collector,Normal,City,25
716,W,WINDSOR,AV,200,230,201,229,W WINDSOR AV,200,Residential Collector,Normal,City,25
4607, ,POWHATAN,ST,N/A,N/A,1323,1359,POWHATAN ST,1400,Residential Collector,Divided,City,25
1617, ,POTOMAC,AV,N/A,N/A,N/A,N/A,POTOMAC AV,1700,Primary Collector,Divided,City,25
717,E,HOWELL,AV,400,418,401,419,E HOWELL AV,400,Local,Normal,City,25
3621, ,RUSSELL,RD,1502,1508,1501,1511,RUSSELL RD,1500,Residential Collector,Normal,City,25
4608, ,VALLEY FORGE,DR,5200,5250,N/A,N/A,VALLEY FORGE DR,5200,Local,Normal,City,25
1618,S,GLEBE,RD,N/A,N/A,N/A,N/A,S GLEBE RD,0,Arterial,Normal,Arlington,25
718,N,VAN DORN,ST,N/A,N/A,601,637,N VAN DORN ST,600,Arterial,Normal,City,25
3622, ,CRESTWOOD,DR,912,916,913,917,CRESTWOOD DR,900,Local,Normal,City,25
3623, ,TENNESSEE,AV,700,706,701,711,TENNESSEE AV,700,Local,Normal,City,25
4609, ,ARGALL,PL,N/A,N/A,1301,1359,ARGALL PL,1300,Local,Normal,Private,25
1619,S,QUAKER,LA,N/A,N/A,N/A,N/A,S QUAKER LA,1,Local,Normal,City,25
719,W,WINDSOR,AV,300,310,301,309,W WINDSOR AV,300,Residential Collector,Normal,City,25
3624, ,MOUNT VERNON,AV,1400,1418,1401,1415,MOUNT VERNON AV,1400,Arterial,Normal,City,25
4610, ,ARGALL,PL,N/A,N/A,1401,1459,ARGALL PL,1400,Local,Normal,Private,25
1620,N,IMBODEN,ST,600,610,601,609,N IMBODEN ST,500,Local,Normal,City,25
720,N,VAN DORN,ST,N/A,N/A,420,400,N VAN DORN ST,400,Arterial,Divided,City,25
3625, ,OLD DOMINION,BV,3416,3422,3501,3503,OLD DOMINION BV,3500,Residential Collector,Normal,City,25
4611, ,VALLEY FORGE,DR,N/A,N/A,N/A,N/A,VALLEY FORGE DR,0,Local,Normal,City,25
1621,W,BRADDOCK,RD,N/A,N/A,4701,4789,W BRADDOCK RD,4700,Primary Collector,Divided,City,35
3626, ,VERMONT,AV,4308,4328,4307,4319,VERMONT AV,4300,Local,Normal,City,25
4612, ,GRETNA GREEN,CT,200,204,N/A,N/A,GRETNA GREEN CT,200,Local,Normal,Private,25
721,N,CHAMBLISS,ST,1014,1034,1001,1039,N CHAMBLISS ST,1000,Residential Collector,Normal,City,25
1622, ,POTOMAC,AV,N/A,N/A,N/A,N/A,POTOMAC AV,1700,Primary Collector,Divided,City,25
722,S,WEST,ST,200,260,201,259,S WEST ST,200,Primary Collector,Normal,City,25
4613, ,VALLEY,DR,3200,3278,3201,3247,VALLEY DR,3200,Residential Collector,Normal,City,25
3627, ,OLD DOMINION,BV,3500,3512,3505,3511,OLD DOMINION BV,3500,Residential Collector,Normal,City,25
1623,S,28TH,ST,N/A,N/A,N/A,N/A,S 28TH ST,3300,Local,Normal,City,25
723,W,BRADDOCK,RD,N/A,N/A,4401,4401,W BRADDOCK RD,4400,Primary Collector,Divided,City,35
3628, ,TENNESSEE,AV,800,810,801,813,TENNESSEE AV,800,Local,Normal,City,25
724,E,RAYMOND,AV,300,326,297,321,E RAYMOND AV,300,Residential Collector,Normal,City,25
4614, ,VALLEY,DR,3300,3342,3301,3323,VALLEY DR,3300,Residential Collector,Normal,City,25
1624,S,GLEBE,RD,N/A,N/A,N/A,N/A,S GLEBE RD,0,Arterial,Normal,Arlington,25
3629, ,RAMSEY,ST,1400,1406,1401,1407,RAMSEY ST,1400,Local,Normal,City,25
725,E,WINDSOR,AV,2,26,1,51,E WINDSOR AV,1,Residential Collector,Normal,City,25
1625, ,CARSON,PL,4000,4004,4001,4005,CARSON PL,4000,Local,Normal,Private,25
4615, ,BRENMAN PARK,DR,4800,4860,4801,4859,BRENMAN PARK DR,4800,Local,Normal,City,25
3630, ,BRENMAN PARK,DR,N/A,N/A,4911,4961,BRENMAN PARK DR,4900,Local,Divided,City,25
726,N,JORDAN,ST,400,412,401,423,N JORDAN ST,400,Primary Collector,Normal,City,25
1626, ,JEFFERSON DAVIS,HY,N/A,N/A,N/A,N/A,JEFFERSON DAVIS HY,0,Arterial,Divided,City,25
4616, ,BRENMAN PARK,DR,N/A,N/A,N/A,N/A,BRENMAN PARK DR,0,Local,Normal,City,25
3631, ,RUSSELL,RD,1600,1602,1603,1601,RUSSELL RD,1600,Residential Collector,Normal,City,25
727,W,BRADDOCK,RD,718,720,719,721,W BRADDOCK RD,700,Primary Collector,Normal,City,25
3632, ,PRINCESS,ST,500,560,501,559,PRINCESS ST,500,Local,Normal,City,25
4617, ,MOUNT EAGLE,PL,1600,1656,1601,1655,MOUNT EAGLE PL,1600,Local,Normal,City,25
1627,S,28TH,ST,N/A,N/A,N/A,N/A,S 28TH ST,3300,Local,Normal,City,25
728,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
3633, ,MONTICELLO,BV,500,504,503,509,MONTICELLO BV,500,Residential Collector,Normal,City,25
4618, ,SEMINARY,RD,N/A,N/A,N/A,N/A,SEMINARY RD,0,Ramp,One Way,City,25
1628,W,BRADDOCK,RD,N/A,N/A,3701,3759,W BRADDOCK RD,3700,Primary Collector,Divided,City,35
729,N,MORGAN,ST,6000,6054,6001,6055,N MORGAN ST,6000,Residential Collector,Normal,City,25
3634, ,POCOSIN,LA,N/A,N/A,5255,5263,POCOSIN LA,5200,Local,Normal,Private,25
4619, ,MARTHA CUSTIS,DR,3440,3498,3425,3463,MARTHA CUSTIS DR,3400,Local,Normal,City,25
4620, ,SEMINARY,RD,N/A,N/A,4706,4700,SEMINARY RD,4700,Arterial,Divided,City,25
1629,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,3400,Arterial,Divided,City,25
3635, ,HANCOCK,AV,2000,2006,2001,2007,HANCOCK AV,2000,Local,Normal,City,25
730,N,QUAKER,LA,N/A,N/A,N/A,N/A,N QUAKER LA,0,Arterial,Divided,City,25
4621, ,KENMORE,AV,4700,4758,4701,4701,KENMORE AV,4700,Primary Collector,Normal,Private,25
1630, ,JEFFERSON DAVIS,HY,N/A,N/A,1701,1803,JEFFERSON DAVIS HY,1800,Arterial,Divided,City,35
3636, ,BRENMAN PARK,DR,N/A,N/A,4901,4909,BRENMAN PARK DR,4900,Local,Divided,City,25
731,S,HENRY,ST,400,460,401,459,S HENRY ST,400,Local,Normal,City,25
4622, ,MARTHA CUSTIS,DR,3500,3542,3501,3531,MARTHA CUSTIS DR,3500,Local,Normal,City,25
1631, ,FOUR MILE RUN,DR,N/A,N/A,N/A,N/A,FOUR MILE RUN DR,0,Local,Normal,Arlington,25
732, ,DUKE,ST,N/A,N/A,N/A,N/A,DUKE ST,0,Arterial,One Way,City,25
1632,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,3400,Arterial,Divided,City,25
4623, ,KENMORE,AV,4600,4620,4601,4661,KENMORE AV,4600,Primary Collector,Normal,City,25
3637, ,CRESTWOOD,DR,1000,1014,1001,1019,CRESTWOOD DR,1000,Local,Normal,City,25
1633,W,BRADDOCK,RD,N/A,N/A,3801,3860,W BRADDOCK RD,3800,Primary Collector,Divided,City,35
733,E,HOWELL,AV,300,324,301,319,E HOWELL AV,300,Local,Normal,City,25
4624, ,MARTHA CUSTIS,DR,3157,3165,3136,3150,MARTHA CUSTIS DR,3100,Local,Normal,City,25
3638, ,POCOSIN,LA,N/A,N/A,5265,5269,POCOSIN LA,5200,Local,Normal,Private,25
1634, ,MOSBY,ST,2700,2714,2701,2715,MOSBY ST,2700,Local,Normal,City,25
734,N,QUAKER,LA,N/A,N/A,1405,1411,N QUAKER LA,1400,Arterial,Divided,City,25
4625, ,MARTHA CUSTIS,DR,3200,3284,3201,3253,MARTHA CUSTIS DR,3200,Local,Normal,City,25
3639, ,CLAYTON,LA,N/A,N/A,401,425,CLAYTON LA,400,Local,Normal,Private,25
1635,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,3400,Arterial,Divided,City,25
735,W,TAYLOR RUN,PY,2,54,1,39,W TAYLOR RUN PY,1,Residential Collector,Normal,City,25
4626, ,SEMINARY,RD,N/A,N/A,N/A,N/A,SEMINARY RD,0,Ramp,One Way,City,25
736,W,BRADDOCK,RD,N/A,N/A,4301,4311,W BRADDOCK RD,4300,Primary Collector,Divided,City,35
3640, ,HANCOCK,AV,1900,1906,1901,1907,HANCOCK AV,1900,Local,Normal,City,25
1636, ,JEFFERSON DAVIS,HY,N/A,N/A,N/A,N/A,JEFFERSON DAVIS HY,1800,Arterial,Divided,City,35
4627, ,LIBRARY,LA,4600,4660,4601,4645,LIBRARY LA,4600,Local,Normal,City,25
737,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,0,Arterial,Divided,City,25
3641, ,WITTER,DR,2700,2760,2701,2759,WITTER DR,2700,Local,Normal,City,25
1637, ,FOUR MILE RUN,DR,N/A,N/A,N/A,N/A,FOUR MILE RUN DR,0,Local,Normal,Arlington,25
738,W,TAYLOR RUN,PY,100,120,N/A,N/A,W TAYLOR RUN PY,100,Residential Collector,Normal,City,25
739,N,QUAKER,LA,N/A,N/A,1401,1403,N QUAKER LA,1400,Arterial,Divided,City,25
3642, ,KENWOOD,AV,N/A,N/A,1401,1405,KENWOOD AV,1400,Residential Collector,Normal,City,25
1638,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,3400,Arterial,Divided,City,25
4628, ,PRESTON,RD,1612,1662,1647,1669,PRESTON RD,1600,Residential Collector,Normal,City,25
740,N,BEAUREGARD,ST,N/A,N/A,N/A,N/A,N BEAUREGARD ST,0,Arterial,Divided,City,25
4629, ,LIBRARY,LA,N/A,N/A,N/A,N/A,LIBRARY LA,4600,Local,Normal,City,25
1639, ,MOSBY,ST,2800,2808,2801,2823,MOSBY ST,2800,Local,Normal,City,25
3643, ,CAMERON STATION,BV,N/A,N/A,171,199,CAMERON STATION BV,100,Local,Circle,City,25
741,W,TAYLOR RUN,PY,200,236,201,201,W TAYLOR RUN PY,200,Residential Collector,Normal,City,25
1640,W,BRADDOCK,RD,N/A,N/A,4212,4200,W BRADDOCK RD,4200,Primary Collector,Divided,City,35
4630, ,PRESTON,RD,1700,1770,1701,1763,PRESTON RD,1700,Residential Collector,Normal,City,25
3644, ,HIGH,ST,200,202,201,207,HIGH ST,200,Residential Collector,Normal,City,25
742,N,BEAUREGARD,ST,N/A,N/A,1456,1456,N BEAUREGARD ST,1400,Arterial,Divided,City,25
1641, ,JEFFERSON DAVIS,HY,N/A,N/A,N/A,N/A,JEFFERSON DAVIS HY,0,Arterial,Divided,City,25
4631, ,KNAPP,PL,5132,5156,5131,5155,KNAPP PL,5100,Local,Normal,Private,25
3645, ,VERMONT,AV,4300,4306,4301,4305,VERMONT AV,4300,Local,Normal,City,25
1642,S,25TH,ST,N/A,N/A,N/A,N/A,S 25TH ST,0,Local,Normal,City,25
743,N,RADFORD,ST,1500,1560,1501,1559,N RADFORD ST,1500,Local,Normal,City,25
4632, ,STADIUM,DR,N/A,N/A,N/A,N/A,STADIUM DR,1,Local,Normal,Private,25
3646, ,KENWOOD,AV,1500,1504,1501,1505,KENWOOD AV,1500,Residential Collector,Normal,City,25
1643, ,JEFFERSON DAVIS,HY,N/A,N/A,N/A,N/A,JEFFERSON DAVIS HY,0,Arterial,Divided,Arlington,25
3647, ,WITTER,DR,N/A,N/A,N/A,N/A,WITTER DR,2700,Local,Normal,City,25
4633, ,KNAPP,PL,5158,5170,5157,5169,KNAPP PL,5100,Local,Normal,Private,25
744,N,JORDAN,ST,500,532,501,531,N JORDAN ST,500,Primary Collector,Normal,City,25
1644,S,25TH,ST,N/A,N/A,N/A,N/A,S 25TH ST,0,Local,Normal,City,25
3648, ,HIGH,ST,300,302,301,303,HIGH ST,300,Residential Collector,Normal,City,25
745,E,UHLER,AV,200,212,201,211,E UHLER AV,200,Local,One Way,City,25
4634, ,STADIUM,DR,2,98,1,99,STADIUM DR,1,Local,Normal,Private,25
1645, ,MAIN LINE,BV,N/A,N/A,N/A,N/A,MAIN LINE BV,1700,Primary Collector,Normal,City,25
746,N,LONGVIEW,DR,200,204,201,207,N LONGVIEW DR,200,Local,Normal,City,25
3649, ,CENTRE,PZ,N/A,N/A,1701,1721,CENTRE PZ,1700,Local,Normal,Private,25
4635, ,SHOP,DR,50,98,51,99,SHOP DR,1,Local,Normal,Private,25
1646, ,MOSBY,ST,2900,2910,2901,2931,MOSBY ST,2900,Local,Normal,City,25
747,E,HOWELL,AV,200,220,201,221,E HOWELL AV,200,Local,Normal,City,25
3650, ,PRINCESS,ST,400,460,401,459,PRINCESS ST,400,Local,Normal,City,25
4636, ,KNAPP,PL,5172,5184,5171,5183,KNAPP PL,5100,Local,Normal,Private,25
1647,W,BRADDOCK,RD,N/A,N/A,4112,4100,W BRADDOCK RD,4100,Primary Collector,Divided,City,35
748,S,ROYAL,ST,100,160,101,159,S ROYAL ST,100,Local,Normal,City,25
3651, ,LA GRANDE,AV,2302,2308,2303,2307,LA GRANDE AV,2300,Local,Normal,City,25
4637, ,THOMSEN,LA,1100,1180,1097,1179,THOMSEN LA,1100,Local,Normal,Private,25
1648,N,BEAUREGARD,ST,N/A,N/A,3450,3400,N BEAUREGARD ST,3400,Arterial,Divided,City,25
749,N,HIGHVIEW,LA,1463,1463,N/A,N/A,N HIGHVIEW LA,1400,Local,Normal,Private,25
1649,W,BRADDOCK,RD,N/A,N/A,4012,4000,W BRADDOCK RD,4000,Primary Collector,Divided,City,35
3652, ,GARDNER,DR,5000,5034,N/A,N/A,GARDNER DR,5000,Local,Normal,Private,25
4638, ,MAURY,LA,4800,4848,4801,4875,MAURY LA,4800,Local,Normal,City,25
750, ,JEFFERSON DAVIS,HY,N/A,N/A,2714,2700,JEFFERSON DAVIS HY,2700,Arterial,Divided,City,35
1650,S,25TH,ST,N/A,N/A,N/A,N/A,S 25TH ST,0,Local,Normal,City,25
3653, ,DONOVAN,DR,5118,5120,5101,5123,DONOVAN DR,5100,Local,Normal,Private,25
4639, ,THOMSEN,LA,1182,1198,1181,1199,THOMSEN LA,1100,Local,Normal,Private,25
751,W,WINDSOR,AV,N/A,N/A,N/A,N/A,W WINDSOR AV,0,Residential Collector,Normal,City,25
1651, ,23RD,ST,N/A,N/A,N/A,N/A,23RD ST,0,Local,Normal,Arlington,25
3654, ,CENTRE,PZ,N/A,N/A,N/A,N/A,CENTRE PZ,1700,Local,Normal,Private,25
4640, ,BUSINESS CENTER,DR,2900,2960,2901,2959,BUSINESS CENTER DR,2900,Local,Normal,Private,25
1652,S,VAN DORN,ST,N/A,N/A,N/A,N/A,S VAN DORN ST,100,Arterial,Normal,City,25
752,W,UHLER,AV,2,26,1,25,W UHLER AV,1,Local,Normal,City,25
4641, ,TRINITY,DR,3500,3538,3501,3517,TRINITY DR,3500,Local,Normal,City,25
3655, ,LESLIE,AV,1300,1316,1301,1315,LESLIE AV,1300,Local,Normal,City,25
1653, ,COMMONWEALTH,AV,N/A,N/A,3550,3500,COMMONWEALTH AV,3500,Primary Collector,Divided,City,25
753,N,DEARING,ST,2204,2218,2213,2221,N DEARING ST,2200,Local,Normal,City,25
3656, ,GARDNER,DR,N/A,N/A,5101,5125,GARDNER DR,5100,Local,Normal,Private,25
1654, ,MARK CENTER,DR,N/A,N/A,N/A,N/A,MARK CENTER DR,0,Local,Normal,City,25
4642, ,BUSINESS CENTER,DR,3000,3060,3001,3059,BUSINESS CENTER DR,3000,Local,Normal,Private,25
754,W,TIMBER BRANCH,PY,N/A,N/A,900,922,W TIMBER BRANCH PY,900,Local,Normal,City,25
3657, ,REGENCY,PL,5000,5006,5001,5009,REGENCY PL,5000,Local,Normal,City,25
1655, ,DUKE,ST,N/A,N/A,N/A,N/A,DUKE ST,1600,Arterial,Divided,City,25
1656,S,VAN DORN,ST,N/A,N/A,101,179,S VAN DORN ST,100,Arterial,Normal,City,25
4643, ,BUSINESS CENTER,DR,3100,3160,3101,3159,BUSINESS CENTER DR,3100,Local,Normal,Private,25
3658, ,COMMONWEALTH,AV,1400,1416,1401,1415,COMMONWEALTH AV,1400,Primary Collector,Normal,City,25
755,N,GAILLARD,ST,1200,1200,1201,1201,N GAILLARD ST,1200,Local,Normal,City,25
3659, ,KENWOOD,AV,1600,1616,1601,1647,KENWOOD AV,1600,Residential Collector,Normal,City,25
1657, ,22ND,ST,N/A,N/A,N/A,N/A,22ND ST,0,Local,Normal,Arlington,25
4644, ,BALLENGER,AV,1800,1860,1801,1869,BALLENGER AV,1800,Local,Normal,City,25
756,N,VAN DORN,ST,N/A,N/A,1101,1159,N VAN DORN ST,1100,Arterial,Normal,City,25
1658, ,JAMIESON,AV,1600,1660,1601,1659,JAMIESON AV,1600,Local,Normal,City,25
757,N,GAILLARD,ST,1100,1122,1101,1125,N GAILLARD ST,1100,Local,Normal,City,25
3660, ,DUKE,ST,N/A,N/A,3401,3447,DUKE ST,3400,Arterial,Divided,City,35
4645, ,HOLLAND,LA,N/A,N/A,301,359,HOLLAND LA,300,Arterial,Divided,City,25
758,E,BELLEFONTE,AV,500,508,501,513,E BELLEFONTE AV,500,Local,Normal,City,25
4646, ,FORD,AV,4300,4360,4301,4359,FORD AV,4300,Residential Collector,Normal,City,25
3661, ,VALLEY,DR,2800,2812,2801,2811,VALLEY DR,2800,Residential Collector,Normal,City,25
1659, ,COMMONWEALTH,AV,N/A,N/A,3450,3400,COMMONWEALTH AV,3400,Primary Collector,Divided,City,25
4647, ,EISENHOWER,AV,N/A,N/A,N/A,N/A,EISENHOWER AV CONNECTOR,0,Arterial,Divided,City,25
3662, ,RHOADES,PL,5000,5006,5001,5005,RHOADES PL,5000,Local,Normal,City,25
759,N,CLARENS,ST,1,1,2,2,N CLARENS ST,1,Local,Normal,City,25
4648, ,JONES POINT,DR,100,160,101,159,JONES POINT DR,100,Local,Normal,City,25
1660,N,MORGAN,ST,5800,5860,5801,5859,N MORGAN ST,5800,Residential Collector,Normal,City,25
3663, ,NORMANDY HILL,DR,100,104,100,104,NORMANDY HILL DR,100,Local,Normal,Private,25
760,E,HOWELL,AV,100,114,101,117,E HOWELL AV,100,Local,Normal,City,25
3664, ,DEWITT,AV,1300,1322,1301,1315,DEWITT AV,1300,Local,Normal,City,25
761,N,GRAYSON,ST,100,124,101,141,N GRAYSON ST,100,Local,Normal,City,25
4649, ,LESLIE,AV,1200,1216,1201,1215,LESLIE AV,1200,Local,One Way,City,25
1661, ,CAPITAL BELTWAY, ,N/A,N/A,N/A,N/A,CAPITAL BELTWAY,0,Ramp,One Way,City,25
3665, ,PENDER,CT,5300,5308,5301,5303,PENDER CT,5300,Local,Normal,City,25
4650, ,FRANKLIN,ST,20,22,21,99,FRANKLIN ST,1,Local,Circle,Private,25
3666, ,KENWOOD,AV,1618,1628,1649,1701,KENWOOD AV,1600,Residential Collector,Normal,City,25
4651, ,BATTERY,PL,600,610,601,611,BATTERY PL,600,Local,Circle,Private,25
1662,S,VAN DORN,ST,N/A,N/A,N/A,N/A,S VAN DORN ST,500,Arterial,Normal,City,25
762,E,GLEBE,RD,500,520,501,519,E GLEBE RD,500,Primary Collector,Normal,City,25
4652, ,QUEEN,ST,1229,1200,1230,1200,QUEEN ST,1200,Local,One Way,City,25
1663, ,25TH,ST,N/A,N/A,N/A,N/A,25TH ST,0,Local,Normal,Arlington,25
763,E,HOWELL,AV,2,28,1,29,E HOWELL AV,1,Local,Normal,City,25
3667, ,HANCOCK,AV,1302,1310,1301,1311,HANCOCK AV,1300,Local,Normal,City,25
4653, ,RICHMOND,HY,N/A,N/A,N/A,N/A,RICHMOND HY,0,Ramp,One Way,City,25
1664, ,COMMONWEALTH,AV,N/A,N/A,3350,3300,COMMONWEALTH AV,3300,Primary Collector,Divided,City,25
764,N,PELHAM,ST,1000,1040,1001,1027,N PELHAM ST,1000,Local,Normal,City,25
3668, ,PRINCESS,ST,300,360,301,359,PRINCESS ST,300,Local,Normal,City,25
4654, ,QUEEN,ST,1129,1101,1130,1100,QUEEN ST,1100,Local,One Way,City,25
1665,S,VAN DORN,ST,N/A,N/A,520,520,S VAN DORN ST,500,Arterial,Normal,City,25
765,N,HOWARD,ST,714,766,713,765,N HOWARD ST,700,Residential Collector,Normal,City,25
3669, ,NEWCOMB,PL,4700,4716,4701,4717,NEWCOMB PL,4700,Local,Normal,City,25
4655, ,RICHMOND,HY,N/A,N/A,N/A,N/A,RICHMOND HY,0,Ramp,One Way,City,25
766,E,BELLEFONTE,AV,300,320,301,319,E BELLEFONTE AV,300,Local,Normal,City,25
1666, ,CAPITAL BELTWAY, ,N/A,N/A,N/A,N/A,CAPITAL BELTWAY,0,Ramp,One Way,Fairfax,35
3670, ,SUMMIT,AV,1200,1210,1201,1209,SUMMIT AV,1200,Residential Collector,Normal,City,25
4656, ,QUEEN,ST,1029,1001,1030,1000,QUEEN ST,1000,Local,One Way,City,25
1667,N,BRECKINRIDGE,PL,200,200,201,205,N BRECKINRIDGE PL,200,Local,Normal,City,25
3671, ,NORMANDY HILL,DR,N/A,N/A,N/A,N/A,NORMANDY HILL DR,0,Local,Normal,Private,25
767,S,PAYNE,ST,200,260,201,259,S PAYNE ST,200,Local,Normal,City,25
4657, ,QUEEN,ST,929,900,930,900,QUEEN ST,900,Local,One Way,City,25
1668, ,COMMONWEALTH,AV,N/A,N/A,3250,3200,COMMONWEALTH AV,3200,Primary Collector,Divided,City,25
3672, ,OAKCREST,DR,1300,1304,1301,1309,OAKCREST DR,1300,Local,Normal,City,25
768,N,PITT,ST,1210,1220,1201,1211,N PITT ST,1200,Local,Normal,City,25
4658, ,QUEEN,ST,829,801,830,800,QUEEN ST,800,Local,One Way,City,25
1669,N,VAN DORN,ST,N/A,N/A,N/A,N/A,N VAN DORN ST,0,Local,One Way,City,25
3673, ,CEDAR,ST,100,106,101,105,CEDAR ST,100,Local,Normal,City,25
769,N,IVANHOE,ST,1400,1424,1409,1425,N IVANHOE ST,1400,Local,Normal,City,25
4659, ,CAPITAL BELTWAY, ,N/A,N/A,N/A,N/A,CAPITAL BELTWAY,0,Ramp,One Way,City,25
1670, ,24TH,ST,N/A,N/A,N/A,N/A,24TH ST,0,Local,Normal,Arlington,25
