OBJECTID_12,BROOK,BROWN,RAINBOW,NRCS_HUC,UPSTR_QUAD,DNSTR_QUAD,REACHCODE,NAME,STREAMCODE,CLASS,TYPE,USGS_HUC
94,Y, , ,N19,Check,Endicott,04BIR-01,Big Run,04BIR,III, ,5050001
95, , , , , , ,04BIR-01T,Big Run,04BIR,III,tributary,5050001
96,Y, ,Y,N01,Park,Park,04BKR-01,Baker Branch,04BKR,II, ,5050001
97, ,Y, ,N21,Indian Valley,Indian Valley,04BLC-01,Big Laurel Creek,04BLC,II, ,5050001
98,Y, , ,N13,Laurel Fork,Laurel Fork,04BLL-01,Big Laurel Creek,04BLL,III, ,5050001
99, ,Y,Y,N09,Cedar Springs,Cedar Springs,04BLU-01,Blue Spring Creek,04BLU,II, ,5050001
100, , , , , , ,04BLU-01T,Blue Spring Creek,04BLU,II,tributary,5050001
101,Y, ,Y,N16,Indian Valley,Hiwassee,04BMK-01,Big Macks Creek,04BMK,IV, ,5050001
102,Y, , ,N14,Hillsville,Hillsville,04BNP-01,"Buckhorn Creek, NP",04BNP,II, ,5050001
103,Y, , ,N14,Dugspur,Dugspur,04BON-01,Brannon Branch,04BON,III, ,5050001
104, , , , , , ,04BON-01T,Brannon Branch,04BON,III,tributary,5050001
105,Y, , ,N19,Check,Endicott,04BOT-01,Boothe Creek,04BOT,II, ,5050001
106,Y, , ,N06,Cripple Creek,Cripple Creek,04BOU-01,Bournes Branch,04BOU,II, ,5050001
107,Y,Y, ,N13,Laurel Fork,Laurel Fork,04BRC-01,Bear Creek,04BRC,II, ,5050001
108,Y,Y, ,N14,Willis,Dugspur,04BRF-01,Burks Fork,04BRF,III, ,5050001
109, , , , , , ,04BRF-01T,Burks Fork,04BRF,III,tributary,5050001
110, , ,Y,N02,Trout Dale,Grassy Creek,04BRR-01,Brier Run,04BRR,II, ,5050001
111, , ,Y,N23,Staffordsville,Eggleston,04BSB-01,Bear Spring Branch,04BSB,II, ,5050002
112, , ,Y,N36,Tiptop,Cove Creek,04BST-01,Bluestone River,04BST,III, ,5050002
113,Y, , ,N01,Park,Park,04BUR-01,Burgess Creek,04BUR,III, ,5050001
114, , , , , , ,04BUR-01T,Burgess Creek,04BUR,III,tributary,5050001
115,Y, , ,N07,Woodlawn,Woodlawn,04BVD-01,Beaverdam Creek,04BVD,III, ,5050001
116, , , , , , ,04BVD-01T,Beaverdam Creek,04BVD,III,tributary,5050001
117, ,Y, ,N21,Alum Ridge,Floyd,04BVR-01,Beaver Creek,04BVR,III, ,5050001
118, , , , , , ,04BVR-01T,Beaver Creek,04BVR,III,tributary,5050001
119, ,Y,Y,N02,White-top Mtn.,Grassy Creek,04BWC-01,Big Wilson Creek,04BWC,II, ,5050001
120, , , , , , ,04BWC-01T,Big Wilson Creek,04BWC,II,tributary,5050001
121, , ,Y,N01,Park,Park,04CAB-01,Cabin Creek,04CAB,II, ,5050001
122, , , ,N01,White-top Mtn.,Park,04CAB-02,Cabin Creek,04CAB,I, ,5050001
123,Y, , ,N32,Cove Creek,Cove Creek,04CCE-01,"Cove Creek, EF",04CCE,II, ,5050002
124, , , , , , ,04CCE-01T,"Cove Creek, EF",04CCE,II,tributary,5050002
125,Y,Y, ,N32,Tiptop,Cove Creek,04CCW-01,"Cove Creek, WF",04CCW,II, ,5050002
126, , , , , , ,04CCW-01T,"Cove Creek, WF",04CCW,II,tributary,5050002
127,Y, , ,N06,Lambsburg,Cumberland Knob,04CEF-01,"Chestnut Creek, EF",04CEF,II, ,5050001
128, , , , , , ,04CEF-01T,"Chestnut Creek, EF",04CEF,II,tributary,5050001
129,Y, ,Y,N09,Cedar Springs,Cedar Springs,04CGG-01,Crigger Creek,04CGG,IV, ,5050001
130,Y, , ,N14,Fancy Gap,Dugspur,04CHR-01,Cherry Creek,04CHR,II, ,5050001
131,Y,Y, ,N13,Dugspur,Dugspur,04CHS-01,Chisholm Creek,04CHS,II, ,5050001
132, ,Y, ,N32,Cove Creek,Bastian,04CLR-01,Clear Fork,04CLR,III, ,5050002
133, , , , , , ,04CLR-01T,Clear Fork,04CLR,III,tributary,5050002
134,Y,Y, ,N07,Fancy Gap,Woodlawn,04COK-01,"Crooked Creek, EF",04COK,III, ,5050001
135, , , , , , ,04COK-01T,"Crooked Creek, EF",04COK,III,tributary,5050001
136,Y, , ,O10,Hutchinson Rock,Hutchinson Rock,04COV-01,Cove Branch,04COV,II, ,6010101
137,Y, , ,N32,Tiptop,Tiptop,04COX-01,Cox Branch,04COX,II, ,5050002
138,Y,Y, ,N07,Woodlawn,Galax,04CRK-01,Crooked Creek,04CRK,III, ,5050001
139, , , , , , ,04CRK-01T,Crooked Creek,04CRK,III,tributary,5050001
140,Y,Y, ,N07,Lambsburg,Woodlawn,04CRK-02,Crooked Creek,04CRK,II, ,5050001
141, , , , , , ,04CRK-02T,Crooked Creek,04CRK,II,tributary,5050001
142,Y, , ,N05,Middle Fox Creek,Elk Creek,04CRW-01,"Corners Rock Branch, WF",04CRW,III, ,5050001
143, , , , , , ,04CRW-01T,"Corners Rock Branch, WF",04CRW,III,tributary,5050001
144,Y, , ,N06,Cumberland Knob,Galax,04CST-01,Chestnut Creek,04CST,III, ,5050001
145, , , , , , ,04CST-01T,Chestnut Creek,04CST,III,tributary,5050001
146, , , ,N32,Cove Creek,Cove Creek,04CVR-01,Cove Creek,04CVR,II, ,5050002
147, , , ,N06,Cumberland Knob,Cumberland Knob,04CWF-01,"Chestnut Creek, WF",04CWF,III, ,5050001
148,Y, , ,N07,Sylvatus,Galax,04DAL-01,Daniel Branch,04DAL,III, ,5050001
149,Y, , ,N20,Willis,Alum Ridge,04DBB-01,Dobbins Creek,04DBB,III, ,5050001
150, , , , , , ,04DBB-01T,Dobbins Creek,04DBB,III,tributary,5050001
151,Y, , ,N09,Speedwell,Speedwell,04DEF-01,"Dry Run, EF",04DEF,II, ,5050001
152,Y, , ,N28,Interior,Interior,04DIS-01,Dismal Branch,04DIS,III, ,5050002
153, , , , , , ,04DIS-01T,Dismal Branch,04DIS,III,tributary,5050002
154, , ,Y,N26,White Gate,Mechanicsburg,04DML-01,Dismal Creek,04DML,III, ,5050002
155, , , , , , ,04DML-01T,Dismal Creek,04DML,III,tributary,5050002
156,Y, , ,N26,Mechanicsburg,Mechanicsburg,04DNG-01,Ding Branch,04DNG,III, ,5050002
157, , , , , , ,04DNG-01T,Ding Branch,04DNG,III,tributary,5050002
158,Y,Y, ,N09,Cedar Springs,Cedar Springs,04DRC-01,Dry Creek,04DRC,IV, ,5050001
159, , , , , , ,04DRC-01T,Dry Creek,04DRC,IV,tributary,5050001
160,Y, , ,N09,Speedwell,Speedwell,04DWF-01,"Dry Run, WF",04DWF,III, ,5050001
161,Y, , ,N20,Woolwine,Floyd,04DWK-01,"Dodd Creek, WF",04DWK,III, ,5050001
162, , , , , , ,04DWK-01T,"Dodd Creek, WF",04DWK,III,tributary,5050001
163,Y, , ,N28,Interior,Interior,04DXN-01,Dixon Branch,04DXN,II, ,5050002
164,Y, , ,N33,Oakvale,Princeton,04DYF-01,Dry Fork,04DYF,II, ,5050002
165,Y, , ,N09,Speedwell,Speedwell,04DYR-01,Dry Run,04DYR,III, ,5050001
166,Y, , ,N05,Middle Fox Creek,Middle Fox Creek,04ECN-01,"Elk Creek, NB",04ECN,II, ,5050001
167, , , , , , ,04ECN-01T,"Elk Creek, NB",04ECN,II,tributary,5050001
168,Y, , ,N07,Woodlawn,Woodlawn,04EKN-01,Elkhorn Creek,04EKN,II, ,5050001
169, ,Y, ,N21,Alum Ridge,Alum Ridge,04ERL-01,Earl Branch,04ERL,III, ,5050001
170, , , , , , ,04ERL-01T,Earl Branch,04ERL,III,tributary,5050001
171,Y, , ,N20,Willis,Willis,04FEP-01,"Furnace Creek, EP",04FEP,II, ,5050001
172, , , , , , ,04FEP-01T,"Furnace Creek, EP",04FEP,II,tributary,5050001
173, , ,Y,N09,Speedwell,Cripple Creek,04FMC-01,Francis Mill Creek,04FMC,III, ,5050001
174, , , , , , ,04FMC-01T,Francis Mill Creek,04FMC,III,tributary,5050001
175,Y, , ,N20,Willis,Willis,04FNC-01,Furnace Creek,04FNC,II, ,5050001
176,Y, , ,N20,Willis,Willis,04FWP-01,"Furnace Creek, WP",04FWP,III, ,5050001
177,Y, ,Y,N03,White-top Mtn.,Trout Dale,04FXC-01,Fox Creek,04FXC,II, ,5050001
178, , , , , , ,04FXC-01T,Fox Creek,04FXC,II,tributary,5050001
179,Y,Y, ,N14,Willis,Indian Valley,04GNF-01,"Greasy Creek, NF",04GNF,III, ,5050001
180,Y, , ,N13,Laurel Fork,Laurel Fork,04GRN-01,Greens Creek,04GRN,III, ,5050001
181, , , , , , ,04GRN-01T,Greens Creek,04GRN,III,tributary,5050001
182,Y, , ,N13,Laurel Fork,Laurel Fork,04GRS-01,Grassy Creek,04GRS,III, ,5050001
183, , , , , , ,04GRS-01T,Grassy Creek,04GRS,III,tributary,5050001
184,Y,Y, ,N14,Willis,Dugspur,04GSC-01,Greasy Creek,04GSC,III, ,5050001
185, , , , , , ,04GSC-01T,Greasy Creek,04GSC,III,tributary,5050001
186,Y, , ,N03,Middle Fox Creek,Middle Fox Creek,04GUF-01,Guffey Creek,04GUF,III, ,5050001
187, , , , , , ,04GUF-01T,Guffey Creek,04GUF,III,tributary,5050001
188, , ,Y,N31,Garden Mtn.,Big Bend,04HCC-01,Hunting Camp Creek,04HCC,III, ,5050002
189,Y, , ,N24,Eggleston,Eggleston,04HEM-01,Hemlock Branch,04HEM,II, ,5050002
190, , , , , , ,04HEM-01T,Hemlock Branch,04HEM,II,tributary,5050002
191,Y, , ,N06,Lambsburg,Lambsburg,04HKS-01,Hanks Branch,04HKS,III, ,5050001
192, , , , , , ,04HKS-01T,Hanks Branch,04HKS,III,tributary,5050001
193,Y, , ,N01,Park,Park,04HMF-01,"Helton Creek, MF",04HMF,I, ,5050001
194,Y, , ,N01,White-top Mtn.,Park,04HMF-02,"Helton Creek, MF",04HMF,I, ,5050001
195,Y, ,Y,N01,White-top Mtn.,Park,04HTN-01,Helton Creek,04HTN,II, ,5050001
196,Y, , ,N24,Eggleston,Interior,04HUB-01,Hunters Branch,04HUB,II, ,5050002
197,Y, , ,N20,Woolwine,Alum Ridge,04HWL-01,Howell Creek,04HWL,II, ,5050001
198,Y, , ,N03,Middle Fox Creek,Middle Fox Creek,04JER-01,Jerry Creek,04JER,II, ,5050001
199,Y, , ,N09,Speedwell,Cedar Springs,04JNC-01,Jones Creek,04JNC,III, ,5050001
200,Y, ,Y,N09,Cedar Springs,Cedar Springs,04KLN-01,Killinger Creek,04KLN,II, ,5050001
201,Y, , ,N09,Speedwell,Cedar Springs,04KNS-01,Kinser Creek,04KNS,III, ,5050001
202, , , , , , ,04KNS-01T,Kinser Creek,04KNS,III,tributary,5050001
203,Y, , ,N33,Cove Creek,Bastian,04LAC-01,Laurel Creek,04LAC,III, ,5050002
204, , , , , , ,04LAC-01T,Laurel Creek,04LAC,III,tributary,5050002
205,Y, , ,N07,Galax,Woodlawn,04LCB-01,Little Cranberry Creek,04LCB,III, ,5050001
206,Y, , ,N23,Newport,Newport,04LCK-01,Laurel Creek,04LCK,II, ,5050002
207, , , , , , ,04LCK-01T,Laurel Creek,04LCK,II,tributary,5050002
208,Y, , ,N15,Fancy Gap,Fancy Gap,04LEF-01,"Little Reed Island Ck., EF",04LEF,III, ,5050001
209, , , , , , ,04LEF-01T,"Little Reed Island Ck., EF",04LEF,III,tributary,5050001
210, ,Y, ,N13,Laurel Fork,Laurel Fork,04LFT-01,Laurel Fork tributary,04LFT,III, ,5050001
211, , ,Y,N01,Park,Grassy Creek,04LHC-01,Little Helton Creek,04LHC,II, ,5050001
212,Y, , ,N28,Sylvatus,Sylvatus,04LLB-01,Laurel Branch,04LLB,II, ,5050002
213, , , , , , ,04LLB-01T,Laurel Branch,04LLB,II,tributary,5050002
214,Y, ,Y,N03,Middle Fox Creek,Trout Dale,04LLL-01,Laurel Creek,04LLL,III, ,5050001
215, , , , , , ,04LLL-01T,Laurel Creek,04LLL,III,tributary,5050001
216,Y,Y, ,N13,Willis,Meadows of Dan,04LMC-01,Long Mountain Creek,04LMC,II, ,5050001
217, , , , , , ,04LMC-01T,Long Mountain Creek,04LMC,II,tributary,5050001
218,Y, , ,N16,Hiwassee,Hiwassee,04LMK-01,Little Macks Creek,04LMK,III, ,5050001
219,Y, , ,N24,Eggleston,Eggleston,04LRC-01,Laurel Creek,04LRC,II, ,5050002
220,Y, , ,N15,Woodlawn,Fancy Gap,04LRF-01,"Little Reed Island Creek, WF",04LRF,III, ,5050001
221, , , , , , ,04LRF-01T,"Little Reed Island Creek, WF",04LRF,III,tributary,5050001
222,Y, ,Y,N24,Interior,Pearisburg,04LRY-01,Little Stony Creek,04LRY,II, ,5050002
223, , , , , , ,04LRY-01T,Little Stony Creek,04LRY,II,tributary,5050002
224,Y, , ,N30,Hutchinson Rock,Hutchinson Rock,04LTL-01,Little Creek,04LTL,II, ,5050002
225,Y, , ,N14,Fancy Gap,Hillsville,04LTS-01,Little Snake Creek,04LTS,II, ,5050001
226, , , , , , ,04LTS-01T,Little Snake Creek,04LTS,II,tributary,5050001
227,Y, ,Y,N02,Trout Dale,Trout Dale,04LWL-01,Little Wilson Creek,04LWL,II, ,5050001
228,Y, ,Y,N03,White-top Mtn.,White-top Mtn.,04LWS-01,Lewis Fork,04LWS,I, ,5050001
229,Y, , ,N15,Sylvatus,Sylvatus,04MCK-01,Mill Creek,04MCK,III, ,5050001
230, , , , , , ,04MCK-01T,Mill Creek,04MCK,III,tributary,5050001
231,Y, , ,N24,Interior,Interior,04MDT-01,Meredith Branch,04MDT,II, ,5050002
232,Y,Y, ,N32,Cove Creek,Cove Creek,04MDY-01,Mudley Creek,04MDY,II, ,5050002
233,Y, , ,N14,Dugspur,Dugspur,04MED-01,Meadowview Run,04MED,III, ,5050001
234,Y, , ,N24,Interior,Interior,04MFB-01,Maple Flats Branch,04MFB,II, ,5050002
235,Y,Y, ,N03,Middle Fox Creek,Middle Fox Creek,04MFX-01,Middle Fox Creek,04MFX,III, ,5050001
236, , , , , , ,04MFX-01T,Middle Fox Creek,04MFX,III,tributary,5050001
237,Y, ,Y,N03,Trout Dale,Trout Dale,04MIR-01,Mill Creek,04MIR,II, ,5050001
238, , , , , , ,04MIR-01T,Mill Creek,04MIR,II,tributary,5050001
239, , ,Y,N32,Narrows,Narrows,04MLL-01,Mill Creek,04MLL,II, ,5050002
240,Y, , ,N15,Fancy Gap,Fancy Gap,04MNE-01,Mine Branch,04MNE,III, ,5050001
241, , , , , , ,04MNE-01T,Mine Branch,04MNE,III,tributary,5050001
242,Y, , ,N14,Dugspur,Indian Valley,04MRA-01,Mira Fork,04MRA,III, ,5050001
243,Y, , ,N32,Narrows,Narrows,04MRC-01,Mercy Branch,04MRC,II, ,5050002
244,Y, , ,N19,Endicott,Endicott,04MWC-01,Meadow Creek,04MWC,III, ,5050001
245, , , , , , ,04MWC-01T,Meadow Creek,04MWC,III,tributary,5050001
246,Y, , ,N26,Narrows,Mechanicsburg,04NBS-01,Nobusiness Creek,04NBS,III, ,5050002
247, , , , , , ,04NBS-01T,Nobusiness Creek,04NBS,III,tributary,5050002
248,Y, , ,N28,Interior,Interior,04NET-01,Nettle Hollow,04NET,IV, ,5050002
249,Y,Y, ,N13,Willis,Willis,04OLD-01,Oldfield Creek,04OLD,II, ,5050001
250,Y, , ,N32,Cove Creek,Cove Creek,04OND-01,Oneida Branch,04OND,II, ,5050002
251,Y, ,Y,N03,Trout Dale,Trout Dale,04OPM-01,Opposum Creek,04OPM,II, ,5050001
252,Y, , ,N26,Mechanicsburg,Mechanicsburg,04PDB-01,Panther Den Branch,04PDB,III, ,5050002
253,Y, , ,N24,Eggleston,Interior,04PDD-01,Pond Drain,04PDD,II, ,5050002
254, , , , , , ,04PDD-01T,Pond Drain,04PDD,II,tributary,5050002
255,Y, , ,N13,Fancy Gap,Laurel Fork,04PIC-01,Pine Creek 2,04PIC,III, ,5050001
256, ,Y, ,N19,Floyd,Floyd,04PIN-01,Pine Creek,04PIN,III, ,5050001
257, , , , , , ,04PIN-01T,Pine Creek,04PIN,III,tributary,5050001
258, , ,Y,N17,Long Spur,Long Spur,04PKC-01,Peak Creek,04PKC,IV, ,5050001
259, , , , , , ,04PKC-01T,Peak Creek,04PKC,IV,tributary,5050001
260,Y,Y, ,N13,Meadows of Dan,Laurel Fork,04PNC-01,Pine Creek 1,04PNC,III, ,5050001
261,Y, , ,N28,Interior,Interior,04PSB-01,Pine Swamp Branch,04PSB,III, ,5050002
262,Y, , ,N13,Laurel Fork,Laurel Fork,04PSM-01,Pipestem Branch,04PSM,III, ,5050001
263,Y, , ,N26,Mechanicsburg,Mechanicsburg,04PTB-01,Pearis Thompson Branch,04PTB,IV, ,5050002
264, , ,Y,N16,Hiwassee,Hiwassee,04PUN-01,Puncheoncamp Branch,04PUN,II, ,5050001
265,Y, , ,N14,Dugspur,Dugspur,04PYF-01,Piney Fork,04PYF,II, ,5050001
266,Y, , ,N19,Endicott,Endicott,04PYN-01,Payne Creek,04PYN,III, ,5050001
267, , ,Y,N02,White-top Mtn.,Trout Dale,04QBC-01,Quebec Branch,04QBC,I, ,5050001
268,Y,Y, ,N14,Dugspur,Hillsville,04RAD-01,Road Creek,04RAD,III, ,5050001
269, , ,Y,N09,Cedar Springs,Cedar Springs,04RCN-01,Raccoon Branch,04RCN,IV, ,5050001
270,Y,Y, ,N13,Meadows of Dan,Laurel Fork,04RIC-01,Big Reed Island Creek,04RIC,III, ,5050001
271, , , , , , ,04RIC-01T,Big Reed Island Creek,04RIC,III,tributary,5050001
272,Y, , ,N14,Hiwassee,Hiwassee,04RKC-01,Rock Creek,04RKC,IV, ,5050001
273, , , , , , ,04RKC-01T,Rock Creek,04RKC,IV,tributary,5050001
274,Y,Y, ,N13,Meadows of Dan,Laurel Fork,04ROA-01,Roads Creek,04ROA,II, ,5050001
275,Y, ,Y,N03,Trout Dale,Trout Dale,04RPK-01,Ripshin Creek,04RPK,II, ,5050001
276, , , , , , ,04RPK-01T,Ripshin Creek,04RPK,II,tributary,5050001
277,Y,Y, ,N13,Laurel Fork,Laurel Fork,04RTE-01,Rte. 640 Tributary,04RTE,III, ,5050001
