OBJECTID,PAR_GPIN,PCDESC,LEGAL1,DISTNUM,PROPCLAS,ZONING,OWNER1,MAILADDR,MAILCITY,MAILSTAT,MAILZIP,AREA_DOC,SHAPEarea,SHAPElen
2067,14667881430000, ,,,,,,,,,,,1367.260429,151.894856
2068,14668802000000, ,,,,,,,,,,,1388.284313,154.434648
2069,14667881590000, ,,,,,,,,,,,970.058525,133.548263
2070,14587970420000, ,,,,,,,,,,,5683.03285,478.077009
2071,14588828970000, ,,,,,,,,,,,1196.58224,140.837678
2072,14588930520000, ,,,,,,,,,,,1518.859719,179.06626
2073,14588877490000, ,,,,,,,,,,,1518.120964,254.358859
2074,14588864190000, ,,,,,,,,,,,4514.818781,559.095384
2075,14588849880000, ,,,,,,,,,,,954.918344,133.8863
2076,24171755650000, ,,,,,,,,,,,1353.407966,154.447468
2077,24171669250000, ,,,,,,,,,,,1918.480709,176.840541
2078,24171648840000, ,,,,,,,,,,,849.546557,127.156593
2079,24171646700000, ,,,,,,,,,,,1048.250802,135.649807
2080,14895767610000, ,,,,,,,,,,,4842.26802,300.712612
2081,14998538110000, ,,,,,,,,,,,232.901205,61.044667
2082,24270757370000, ,,,,,,,,,,,813.423712,137.327075
2083,24270737110000, ,,,,,,,,,,,441.511796,87.060224
2084,24270735360000, ,,,,,,,,,,,494.943078,95.586162
2085,24174583320000, ,,,,,,,,,,,6627.329905,375.041986
2086,24172601640000, ,,,,,,,,,,,3675.922357,242.66124
2087,24172508140000, ,,,,,,,,,,,690.416096,110.638771
2088,24172527240000, ,,,,,,,,,,,833.017547,129.912947
2089,24172523130000, ,,,,,,,,,,,1449.062575,155.976696
2090,24172522160000, ,,,,,,,,,,,725.910717,125.563928
2091,24172521380000, ,,,,,,,,,,,725.934921,125.563524
2092,24172543950000, ,,,,,,,,,,,943.030973,136.351499
2093,24172551060000, ,,,,,,,,,,,1110.745774,143.421876
2094,24172573960000, ,,,,,,,,,,,1304.588929,148.246601
2095,24173504470000, ,,,,,,,,,,,901.941357,132.634238
2096,24171489190000, ,,,,,,,,,,,1726.661341,220.434727
2097,24188198650000, ,,,,,,,,,,,1911.470991,175.147204
2098,24188290210000, ,,,,,,,,,,,6385.272147,348.289438
2099,24188178830000, ,,,,,,,,,,,2774.911435,225.574811
2100,24170620320000, ,,,,,,,,,,,2031.179166,187.299708
2101,24170610630000, ,,,,,,,,,,,748.315681,144.803909
2102,24170630720000, ,,,,,,,,,,,3254.379758,228.381699
2103,24079592680000, ,,,,,,,,,,,1220.776484,152.62062
2104,24170565590000, ,,,,,,,,,,,1639.937992,164.619647
2105,24170525180000, ,,,,,,,,,,,908.339151,133.306943
2106,24170525020000, ,,,,,,,,,,,908.298402,133.305051
2107,24170514980000, ,,,,,,,,,,,908.334447,133.306448
2108,24170570460000, ,,,,,,,,,,,2716.67979,246.931281
2109,24170468960000, ,,,,,,,,,,,1671.934412,224.741279
2110,24170478520000, ,,,,,,,,,,,1356.825695,218.08739
2111,24170484280000, ,,,,,,,,,,,2547.8398,231.024159
2112,24170473280000, ,,,,,,,,,,,1540.079758,167.895043
2113,24170446210000, ,,,,,,,,,,,1852.344039,186.596453
2114,24170448030000, ,,,,,,,,,,,1450.637591,191.223697
2115,24170409840000, ,,,,,,,,,,,1228.939868,141.548326
2116,24079575180000, ,,,,,,,,,,,1611.728062,170.950499
2117,24079573480000, ,,,,,,,,,,,161.679971,102.283846
2118,24079574110000, ,,,,,,,,,,,816.125186,129.692673
2119,24079563850000, ,,,,,,,,,,,293.854077,107.818906
2120,24079563580000, ,,,,,,,,,,,797.300662,128.903441
2121,24079563250000, ,,,,,,,,,,,292.693473,107.770517
2122,24079591220000, ,,,,,,,,,,,1133.005247,140.916378
2123,24079570370000, ,,,,,,,,,,,1089.607159,141.126792
2124,24079444320000, ,,,,,,,,,,,1089.919687,141.155402
2125,24079475440000, ,,,,,,,,,,,1089.577222,141.550897
2126,24079484090000, ,,,,,,,,,,,1094.354876,141.55332
2127,24078469490000, ,,,,,,,,,,,1357.351109,161.777281
2128,24078561010000, ,,,,,,,,,,,4185.697367,274.287212
2129,24078561070000, ,,,,,,,,,,,2092.51007,228.433115
2130,24077510340000, ,,,,,,,,,,,1455.688418,156.984931
2131,24077435450000, ,,,,,,,,,,,1952.119437,178.319358
2132,24077434560000, ,,,,,,,,,,,1133.79597,143.809475
2133,24077424170000, ,,,,,,,,,,,904.328002,134.194512
2134,24077424310000, ,,,,,,,,,,,1364.468429,152.724026
2135,24076428950000, ,,,,,,,,,,,1337.316827,151.665892
2136,24076428400000, ,,,,,,,,,,,1105.42678,138.976277
2137,24076406490000, ,,,,,,,,,,,1046.534853,134.648595
2138,24075487490000, ,,,,,,,,,,,1127.665938,140.928712
2139,24074643450000, ,,,,,,,,,,,3201.996044,279.883762
2140,24074824830000, ,,,,,,,,,,,621.311149,102.69535
2141,24070486460000, ,,,,,,,,,,,115727.655057,1406.993526
2142,24070323320000, ,,,,,,,,,,,1440.972863,163.340431
2143,24070320350000, ,,,,,,,,,,,2450.820518,229.234668
2144,14979381310000, ,,,,,,,,,,,5086.42423,325.017341
2145,24070265500000, ,,,,,,,,,,,2095.5694,206.120058
2146,24174113120000, ,,,,,,,,,,,160833.782704,2140.910748
2147,24174194360000, ,,,,,,,,,,,37777.58155,797.274748
2148,24176246810000, ,,,,,,,,,,,727.724471,114.499254
2149,24176244830000, ,,,,,,,,,,,576.798428,106.786346
2150,24173399960000, ,,,,,,,,,,,2715.45242,217.933433
2151,14974737850000, ,,,,,,,,,,,88810.036637,6578.795137
2152,14747641530000, ,,,,,,,,,,,166826.366962,2218.754324
2153,14842435860000, ,,,,,,,,,,,77931.881157,1265.114303
2154,14844006240000, ,,,,,,,,,,,6268.091596,322.526555
2155,24047205820000, ,,,,,,,,,,,35418.224351,1182.313989
2156,24037905150000, ,,,,,,,,,,,25504.947108,1422.546928
2157,24140164960000, ,,,,,,,,,,,27803.861306,880.246527
2158,24140053940000, ,,,,,,,,,,,49407.618955,1842.180545
2159,24039867760000, ,,,,,,,,,,,23242.698559,923.247263
2160,24143114990000, ,,,,,,,,,,,1595.163201,172.265309
2161,24040105900000, ,,,,,,,,,,,54297.706956,1395.931242
2162,14931165710000, ,,,,,,,,,,,133484.922244,4714.370318
2163,14831664290000, ,,,,,,,,,,,339462.947334,4255.649244
2164,14666865540000, ,,,,,,,,,,,9672.967481,403.451116
2165,14666885150000, ,,,,,,,,,,,2951.301629,251.582327
2166,14678442360000, ,,,,,,,,,,,30268.843069,746.366023
2167,14774457290000, ,,,,,,,,,,,2635.061078,235.195375
2168,14774379760000, ,,,,,,,,,,,3200.794034,636.446629
2169,14695237800000, ,,,,,,,,,,,952.908678,135.429443
2170,14695281070000, ,,,,,,,,,,,108562.296091,3219.434197
2171,14692539900000, ,,,,,,,,,,,893.853043,118.831909
2172,24272263700000, ,,,,,,,,,,,5100.049499,449.936563
2173,24272111580000, ,,,,,,,,,,,621.848096,103.348046
2174,14994728530000, ,,,,,,,,,,,434.117679,182.372873
2175,14796123400000, ,,,,,,,,,,,3756.234482,248.763582
2176,14890397400000, ,,,,,,,,,,,26894.727577,915.039714
2177,14690486060000, ,,,,,,,,,,,104470.684022,1875.135548
2178,14778545190000, ,,,,,,,,,,,728.583111,129.328028
2179,14778596180000, ,,,,,,,,,,,7406.34076,749.916543
2180,14653767260000, ,,,,,,,,,,,1880.423353,183.812209
2181,24171741790000, ,,,,,,,,,,,849.939574,127.184761
2182,24055185020000, ,,,,,,,,,,,82906.588689,1756.434554
2183,14588953330000, ,,,,,,,,,,,3320.439087,311.254189
2184,14588969080000, ,,,,,,,,,,,63830.152057,1398.115592
2185,24076494380000, ,,,,,,,,,,,1305.275451,148.466824
2186,24272316710000, ,,,,,,,,,,,87559.344224,2460.831285
2187,24271375810000, ,,,,,,,,,,,11.600623,31.173573
2188,14678426850000, ,,,,,,,,,,,1734.098879,163.293644
2189,24076418670000, ,,,,,,,,,,,1106.523535,139.049051
2190,14934326930000, ,,,,,,,,,,,162213.635826,2044.719812
2191,14934300500000, ,,,,,,,,,,,13280.998484,589.450322
2192,24079484510000, ,,,,,,,,,,,1103.717913,141.540027
2193,24079473970000, ,,,,,,,,,,,1085.697778,140.779264
2194,24079474310000, ,,,,,,,,,,,1094.632402,141.157832
2195,24170429850000, ,,,,,,,,,,,1534.359199,156.686916
2196,24170438330000, ,,,,,,,,,,,1663.348586,164.9884
2197,14678563120000, ,,,,,,,,,,,6785.656039,321.77059
2198,24070340790000, ,,,,,,,,,,,2166.603752,210.034169
2199,14979201640000, ,,,,,,,,,,,5790.688164,511.828127
2200,14678437760000, ,,,,,,,,,,,1612.073806,161.989928
2201,24171454050000, ,,,,,,,,,,,4237.486048,267.746951
2202,14977310720000, ,,,,,,,,,,,15135.411496,615.950161
2203,24196509730000, ,,,,,,,,,,,380.667911,83.791283
2204,14599544040000, ,,,,,,,,,,,2161.606938,386.204937
2205,14851405680000, ,,,,,,,,,,,827.191264,118.09
2206,14867736710000, ,,,,,,,,,,,785073.470155,6051.501168
2207,24077436240000, ,,,,,,,,,,,1389.20177,153.417453
2208,14653883350000, ,,,,,,,,,,,1762.127632,168.305611
2209,14653882800000, ,,,,,,,,,,,3350.806771,276.349239
2210,24171745220000, ,,,,,,,,,,,803.093128,136.093094
2211,24171735840000, ,,,,,,,,,,,669.30433,130.126719
2212, , ,,,,,,,,,,,1599.540878,161.796122
2213, , ,,,,,,,,,,,1157.57769,153.528633
2214, , ,,,,,,,,,,,2415.878143,261.541257
2215, , ,,,,,,,,,,,1933.867856,181.403594
2216, , ,,,,,,,,,,,874.148286,131.412231
2217,24078531310000, ,,,,,,,,,,,4230.058794,257.870529
2218,24171733480000, ,,,,,,,,,,,2180.557247,187.867517
2219,24076413420000, ,,,,,,,,,,,1707.362548,190.276885
1,14979355520000, ,,,,,,,,,,,1082.56264,150.262882
2,24170600620000, ,,,,,,,,,,,1785.374036,178.904018
3,14478027730000,PUBLIC UTILITIES,,,,,,,,,,,252.252749,63.960625
4,14552870150000,PUBLIC UTILITIES,,,,,,,,,,,613.529866,99.333378
5,14562086560000,SCHOOLS,,,,,,,,,,,26279.253709,822.175422
6,14562067130000,SCHOOLS,,,,,,,,,,,68833.501065,1151.470673
7,14561181820000,PUBLIC UTILITIES,,,,,,,,,,,1042.131818,164.523723
8,14560327200000,PARKS AND RECREATION,,,,,,,,,,,1897.802296,182.639352
9,14560347650000,PUBLIC UTILITIES,,,,,,,,,,,443.809787,89.110673
10,14561672050000, ,,,,,,,,,,,26946.998519,1566.459142
11,14561532740000,PUBLIC UTILITIES,,,,,,,,,,,366.780776,77.808977
12,14562466990000, ,,,,,,,,,,,1145.565955,135.015948
13,14562476650000, ,,,,,,,,,,,1094.980742,132.246163
14,14562485390000, ,,,,,,,,,,,1088.752555,132.11566
15,14562485940000, ,,,,,,,,,,,1093.823344,133.002866
16,14562494690000, ,,,,,,,,,,,1189.672097,136.835132
17,14562530030000,PUBLIC UTILITIES,,,,,,,,,,,314.859421,69.024448
18,14560922260000,PUBLIC UTILITIES,,,,,,,,,,,405.045246,80.921172
19,14560659180000,PUBLIC UTILITIES,,,,,,,,,,,358.675615,75.799476
20,14560932010000,PARKS AND RECREATION,,,,,,,,,,,3672.706582,252.606117
21,14562659910000,PUBLIC UTILITIES,,,,,,,,,,,293.98887,69.283939
22,14563076030000,PARKS AND RECREATION,,,,,,,,,,,12540.656087,810.959519
23,14563002720000,PARKS AND RECREATION,,,,,,,,,,,5154.320909,365.44893
24,14564015510000,PUBLIC UTILITIES,,,,,,,,,,,411.757623,81.406507
25,14565113520000,PARKS AND RECREATION,,,,,,,,,,,63659.950078,1353.87454
26,14565144840000, ,,,,,,,,,,,5294.488249,529.571658
27,14565141570000,PUBLIC UTILITIES,,,,,,,,,,,290.385925,68.571539
28,14564132120000,PARKS AND RECREATION,,,,,,,,,,,2632.706797,252.160333
29,14563205320000,PUBLIC UTILITIES,,,,,,,,,,,611.982775,121.860081
30,14563431770000, ,,,,,,,,,,,1145.102179,135.382635
31,14563432020000, ,,,,,,,,,,,1147.865506,135.771792
32,14563422370000, ,,,,,,,,,,,1147.011301,136.01968
33,14563413620000, ,,,,,,,,,,,1141.107672,137.105944
34,14563414100000, ,,,,,,,,,,,1053.239151,136.186827
35,14563369190000, ,,,,,,,,,,,1182.87246,142.165343
36,14563450260000, ,,,,,,,,,,,1096.54458,133.684378
37,14563441410000, ,,,,,,,,,,,1109.743873,134.117564
38,14565464140000,SCHOOLS,,,,,,,,,,,140294.827436,1579.105479
39,14565675560000,PARKS AND RECREATION,,,,,,,,,,,31727.455964,1088.394862
40,14564677180000,PUBLIC UTILITIES,,,,,,,,,,,292.863615,69.065585
41,14563803840000,PUBLIC UTILITIES,,,,,,,,,,,508.403879,91.438206
42,14548825870000,PARKS AND RECREATION,,,,,,,,,,,12988.718675,482.709998
43,14547856350000,PUBLIC UTILITIES,,,,,,,,,,,362.123166,75.92574
44,14558776650000, ,,,,,,,,,,,2045.57486,288.500693
45,14558626320000,SCHOOLS,,,,,,,,,,,177272.720867,1687.867206
46,14557607710000,PUBLIC UTILITIES,,,,,,,,,,,374.277599,77.795596
47,14558753730000, ,,,,,,,,,,,4085.670139,290.690382
48,14558742400000, ,,,,,,,,,,,4549.206826,277.757416
49,14557654850000, ,,,,,,,,,,,4047.58886,260.381273
50,14557677310000, ,,,,,,,,,,,5758.23172,313.698678
51,14557642830000, ,,,,,,,,,,,10253.889276,529.433668
52,14557688420000, ,,,,,,,,,,,3909.44615,273.345457
53,14557665380000, ,,,,,,,,,,,4084.669232,264.917298
54,14568067510000,PUBLIC UTILITIES,,,,,,,,,,,532.660431,93.819452
55,14568328420000, ,,,,,,,,,,,9173.506269,562.654637
56,14568332440000,PARKS AND RECREATION,,,,,,,,,,,185312.110937,2397.318451
57,14566620020000, ,,,,,,,,,,,155560.231396,2540.503232
58,14566658310000,PARKS AND RECREATION,,,,,,,,,,,3288.062319,256.113715
59,14566614590000,PARKS AND RECREATION,,,,,,,,,,,19062.033147,665.273151
60,14566742810000,PUBLIC UTILITIES,,,,,,,,,,,960.459323,214.378319
61,14568707310000,PUBLIC UTILITIES,,,,,,,,,,,688.706666,187.076306
62,14588997460000,PUBLIC UTILITIES,,,,,,,,,,,3307.990038,240.661515
63,14588986880000, ,,,,,,,,,,,3217.013857,240.280574
64,14588975730000, ,,,,,,,,,,,3126.243409,237.23964
65,14597060570000,PUBLIC UTILITIES,,,,,,,,,,,6338.096842,330.058977
66,14588905010000,PUBLIC UTILITIES,,,,,,,,,,,13051.601098,462.861112
67,14588970240000,PUBLIC UTILITIES,,,,,,,,,,,1417.244338,163.648989
68,14588920900000, ,,,,,,,,,,,1422.975807,187.501977
69,14588839950000, ,,,,,,,,,,,1972.15876,202.207283
70,14597069500000, ,,,,,,,,,,,2043.304715,184.003399
71,14597078330000, ,,,,,,,,,,,1915.982386,177.414387
72,14597142630000, ,,,,,,,,,,,5238.41591,352.885777
73,14597049760000, ,,,,,,,,,,,1410.433036,151.488024
74,14652381560000,PUBLIC UTILITIES,,,,,,,,,,,1202.400154,139.570947
75,14654248920000,PARKS AND RECREATION,,,,,,,,,,,28559.259507,687.004391
76,14654443140000,PUBLIC UTILITIES,,,,,,,,,,,712.434063,125.641286
77,14652230470000,PARKS AND RECREATION,,,,,,,,,,,4011.829395,511.322129
78,14687160140000,PARKS AND RECREATION,,,,,,,,,,,16410.461483,525.960385
79,14687356880000,SCHOOLS,,,,,,,,,,,155406.553172,1632.203042
80,14686254740000,SCHOOLS,,,,,,,,,,,114919.83764,1398.530425
81,14686443740000,PUBLIC UTILITIES,,,,,,,,,,,426.389981,90.850709
82,14686579320000,PUBLIC UTILITIES,,,,,,,,,,,491.489902,88.518672
83,14687925520000,PUBLIC UTILITIES,,,,,,,,,,,445.01252,85.273011
84,14775412730000, ,,,,,,,,,,,16314.008727,605.512752
85,14775450980000,PUBLIC UTILITIES,,,,,,,,,,,145.277656,49.576945
86,14774421730000, ,,,,,,,,,,,2572.535182,204.001845
87,14774403880000,PUBLIC UTILITIES,,,,,,,,,,,497.329064,90.722374
88,14598333250000,PUBLIC UTILITIES,,,,,,,,,,,225.628172,60.091564
89,14597122290000, ,,,,,,,,,,,1372.694122,154.839454
90,14597113870000, ,,,,,,,,,,,1253.829452,180.837404
91,14598150160000, ,,,,,,,,,,,1225.316481,172.841846
92,14598110870000, ,,,,,,,,,,,6013.443691,321.564184
93,14598161400000, ,,,,,,,,,,,3987.133594,405.061877
94,14598165750000, ,,,,,,,,,,,17435.810659,620.99
95,14598196520000,PUBLIC UTILITIES,,,,,,,,,,,1744.793817,167.852408
96,14598186670000,PUBLIC UTILITIES,,,,,,,,,,,1734.883911,167.360901
97,14597171570000, ,,,,,,,,,,,748.242211,115.166768
98,14597172900000, ,,,,,,,,,,,374.159716,95.364448
99,14597181040000, ,,,,,,,,,,,374.292764,95.371511
100,14597181470000, ,,,,,,,,,,,374.087301,95.359328
101,14597181520000, ,,,,,,,,,,,374.206721,95.369314
102,14597191750000, ,,,,,,,,,,,7879.43374,356.552594
103,14597153980000, ,,,,,,,,,,,374.224623,95.362107
104,14597154930000, ,,,,,,,,,,,748.268388,115.167615
105,14597154450000, ,,,,,,,,,,,374.165045,95.360251
106,14597154020000, ,,,,,,,,,,,374.118624,95.355249
107,14597133940000, ,,,,,,,,,,,374.187798,95.359965
108,14597143610000, ,,,,,,,,,,,748.263409,115.167165
109,14597153610000, ,,,,,,,,,,,3367.378229,253.841191
110,14597133560000, ,,,,,,,,,,,374.294881,95.367043
111,14597136510000, ,,,,,,,,,,,1665.938056,171.553316
112,14598113020000, ,,,,,,,,,,,12545.145422,547.576633
113,14598117480000,PUBLIC UTILITIES,,,,,,,,,,,6044.508166,312.06075
114,14598125300000,PUBLIC UTILITIES,,,,,,,,,,,16446.767126,637.107281
115,14598133500000, ,,,,,,,,,,,879.03403,122.465349
116,14598122590000,PUBLIC UTILITIES,,,,,,,,,,,1159.949444,182.329427
117,14598123740000,PUBLIC UTILITIES,,,,,,,,,,,862.678009,121.227315
118,14641864360000,PARKS AND RECREATION,,,,,,,,,,,45429.822965,950.298019
119,14641731230000,PUBLIC UTILITIES,,,,,,,,,,,484.219105,95.910627
120,14549755950000,SCHOOLS,,,,,,,,,,,95371.7708,1239.089252
121,14549926280000,PARKS AND RECREATION,,,,,,,,,,,10419.905344,464.003127
122,14651180900000,PUBLIC UTILITIES,,,,,,,,,,,865.531828,121.443545
123,14651344580000,SCHOOLS,,,,,,,,,,,291938.729669,2468.474817
124,14559273430000, ,,,,,,,,,,,11312.119039,636.234038
125,14559530540000,PUBLIC UTILITIES,,,,,,,,,,,758.804474,166.400592
126,14651614180000,PUBLIC UTILITIES,,,,,,,,,,,584.801217,98.58415
127,14559803640000, ,,,,,,,,,,,8060.326721,930.644272
128,14651966560000,PUBLIC UTILITIES,,,,,,,,,,,443.63596,84.513151
129,14650873570000,PUBLIC UTILITIES,,,,,,,,,,,306.323986,70.028435
130,14651942980000, ,,,,,,,,,,,1035.019776,174.700103
131,14651951570000, ,,,,,,,,,,,661.145034,144.799892
132,14660116800000,PARKS AND RECREATION,,,,,,,,,,,20601.90287,591.408689
133,14660318100000,PARKS AND RECREATION,,,,,,,,,,,7139.683477,396.027206
134,14661168810000,PARKS AND RECREATION,,,,,,,,,,,10159.439247,498.282548
135,14661079380000,PARKS AND RECREATION,,,,,,,,,,,30132.154639,706.092625
136,14660223790000,PUBLIC UTILITIES,,,,,,,,,,,903.823212,150.979343
137,14661106350000, ,,,,,,,,,,,35046.905041,923.261523
138,14660423520000,PUBLIC UTILITIES,,,,,,,,,,,435.666265,83.853128
139,14569453020000, ,,,,,,,,,,,15752.061345,673.688068
140,14569450170000, ,,,,,,,,,,,1963.684714,180.223699
141,14569440280000,PUBLIC UTILITIES,,,,,,,,,,,817.396343,119.080906
142,14661642760000,PUBLIC UTILITIES,,,,,,,,,,,260.496224,64.645196
143,14569685210000,PUBLIC UTILITIES,,,,,,,,,,,278.786412,67.784711
144,14661855840000,PARKS AND RECREATION,,,,,,,,,,,71496.268866,1514.942328
145,14569847560000,PARKS AND RECREATION,,,,,,,,,,,84035.166849,1564.553447
146,14661808670000,PARKS AND RECREATION,,,,,,,,,,,65525.652674,1996.72726
147,14661781330000,PARKS AND RECREATION,,,,,,,,,,,10417.752706,424.539668
148,14670014220000,SCHOOLS,,,,,,,,,,,175375.017279,1672.311724
149,14579059640000,PUBLIC UTILITIES,,,,,,,,,,,1969.567774,280.381996
150,14579390740000, ,,,,,,,,,,,641.508366,124.165019
151,14589193440000,PARKS AND RECREATION,,,,,,,,,,,1883.742318,233.460801
152,14680133220000, ,,,,,,,,,,,1069.405815,753.633142
153,14681106670000, ,,,,,,,,,,,1109.859214,876.718696
154,14589669540000, ,,,,,,,,,,,2395.014261,287.113256
155,14680608950000,PUBLIC UTILITIES,,,,,,,,,,,203.554751,57.200034
156,14681522530000,PARKS AND RECREATION,,,,,,,,,,,15029.844905,686.977116
157,14681960550000, ,,,,,,,,,,,868.815501,279.634462
158,14691034390000,PUBLIC UTILITIES,,,,,,,,,,,1303.83221,231.394742
159,14589906970000, ,,,,,,,,,,,4065.520107,296.353255
160,14599116660000, ,,,,,,,,,,,21110.438279,835.921886
161,14691347310000,SCHOOLS,,,,,,,,,,,54799.573457,1052.762504
162,14599565070000,PUBLIC UTILITIES,,,,,,,,,,,374.647753,77.073053
163,14599521100000, ,,,,,,,,,,,1080.220489,159.269134
164,14642617230000,PUBLIC UTILITIES,,,,,,,,,,,356.122925,75.779247
165,14642653720000,PARKS AND RECREATION,,,,,,,,,,,13130.05634,633.035201
166,14643611790000,PARKS AND RECREATION,,,,,,,,,,,55213.633905,1204.871779
167,14652165810000,PARKS AND RECREATION,,,,,,,,,,,41834.919428,828.702703
168,14652171630000,PARKS AND RECREATION,,,,,,,,,,,5231.581861,349.426755
169,14655108120000,PUBLIC UTILITIES,,,,,,,,,,,591.154523,108.838407
170,14652094310000,PARKS AND RECREATION,,,,,,,,,,,66094.303027,1054.637006
171,14642977090000,PARKS AND RECREATION,,,,,,,,,,,44461.710479,915.661347
172,14642999110000,PARKS AND RECREATION,,,,,,,,,,,5588.964906,587.041678
173,14642999270000,PARKS AND RECREATION,,,,,,,,,,,5686.820172,582.72018
174,14652090270000,PARKS AND RECREATION,,,,,,,,,,,8705.730178,609.497076
175,14654624090000,PUBLIC UTILITIES,,,,,,,,,,,853.870792,120.615559
176,14652990020000,PUBLIC UTILITIES,,,,,,,,,,,448.717972,84.492245
177,14664005830000,PUBLIC UTILITIES,,,,,,,,,,,988.557871,129.395586
178,14652893760000,PUBLIC UTILITIES,,,,,,,,,,,237.378758,61.634393
179,14662340190000,PUBLIC UTILITIES,,,,,,,,,,,466.748386,104.899591
180,14663219010000,PUBLIC UTILITIES,,,,,,,,,,,674.397538,107.103896
181,14664209950000,PARKS AND RECREATION,,,,,,,,,,,72181.398643,1278.690737
182,14664383500000,PUBLIC UTILITIES,,,,,,,,,,,513.508438,91.847807
183,14663628910000,PUBLIC UTILITIES,,,,,,,,,,,852.687163,117.828359
184,14664516780000,PARKS AND RECREATION,,,,,,,,,,,39897.408941,883.747931
