"Report Definition","rank","Group: NAICS 3-digit industry name","Average Quarterly Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Growth in Employment (%) (2012Q1,2013Q1)","Hiring Growth (2012Q1,2013Q1)","Hiring Growth (%) (2012Q1,2013Q1)","Hiring (2013Q1)","Hiring (2012Q1)","Average Quarterly New Hire Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Quarterly Job Change (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Monthly Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)","Earning Growth ($) (2012Q1,2013Q1)","Average Earning Growth (%) (2012Q1,2013Q1)"
"","22","236 Construction of Buildings","37052","-1.24240712937838","307","13.6596218020022","2401","2094","2769","610","4620","43","0.93773852360702"
"","23","713 Amusement, Gambling, and Recreation Industries","37047","5.39505624123901","358","15.2210884353741","2531","2173","3422","834","1619","82","5.35248041775456"
"","24","811 Repair and Maintenance","34342","-0.29991240182322","-177","-8.31571529245947","2040","2217","2444","317","3508","199","5.81786288554305"
"","25","424 Merchant Wholesalers, Nondurable Goods","33223","-0.35039076187139","-13","-0.96834264432029","1336","1349","1645","129","4438","146","3.31969076853115"
"","26","444 Building Material and Garden Equipment and Supplies Dealers","32651","-1.20423108218063","149","9.54822172380647","1635","1486","2125","196","2600","98","3.68837034249153"
"","27","448 Clothing and Clothing Accessories Stores","31972","2.13540626488255","166","3.57066035706603","4732","4566","3798","460","1557","8","0.54127198917456"
"","28","237 Heavy and Civil Engineering Construction","29629","-6.47894343384002","211","13.6879662666234","1647","1436","2229","34","4428","-96","-2.30326295585412"
"","29","311 Food Manufacturing","29518","-1.14818316898554","216","17.2938350680544","1357","1141","1457","391","3378","160","4.8825144949649"
"","30","447 Gasoline Stations","29411","-0.78868172541423","93","3.92985421508557","2413","2320","2666","202","1812","12","0.67340067340067"
"","31","451 Sporting Goods, Hobby, Book, and Music Stores","28846","1.89224523498245","51","1.57723828668625","3259","3208","2893","404","2560","76","2.94345468628969"
"","32","484 Truck Transportation","28757","1.13707695894685","-59","-3.6341238065907","1594","1653","2120","346","3528","73","2.17877928667363"
"","33","517 Telecommunications","28740","-7.34940771234142","180","16.6821130676552","1169","989","1103","-14","8033","903","9.02593832775251"
"","34","446 Health and Personal Care Stores","23318","7.84650384169635","377","20.1120298746332","2063","1686","1815","541","2852","-56","-1.99785943631823"
"","35","453 Miscellaneous Store Retailers","22137","0.17724452927943","101","5.11262971399645","2026","1925","1948","301","1987","-4","-0.20844189682126"
"","36","425 Wholesale Electronic Markets and Agents and Brokers","21347","-2.954173685881","28","2.28384991843393","1240","1212","1503","236","7994","-36","-0.42323066071008"
"","37","493 Warehousing and Storage","18713","-0.10477787091366","-81","-8.07980049875311","962","1043","1006","238","3052","131","4.12793445722388"
"","38","332 Fabricated Metal Product Manufacturing","18699","-3.21932667327316","-78","-11.0169491525423","669","747","773","215","4496","-37","-0.81976293342195"
"","39","333 Machinery Manufacturing","17742","-10.2708485838166","-109","-22.4049331963001","432","541","556","-227","4891","39","0.72215535598555"
"","40","511 Publishing Industries (except Internet)","17041","-4.23779395965142","14","1.79948586118251","785","771","871","44","6307","-285","-4.06997500892538"
"","41","326 Plastics and Rubber Products Manufacturing","16305","-3.29121725731895","128","25.5489021956087","565","437","500","107","4722","25","0.5051015254066"
"","42","488 Support Activities for Transportation","15343","0.79777898331046","-5","-0.48947626040137","1019","1024","1001","212","3982","57","1.47229755908562"
"","43","481 Air Transportation","14878","-2.8174936921783","171","25.6179775280898","753","582","676","64","5456","182","3.10898530919029"
"","44","325 Chemical Manufacturing","14472","-12.6528660244585","-119","-29.7872340425531","340","459","396","-327","5807","314","5.09740259740259"
"","45","442 Furniture and Home Furnishings Stores","13764","-5.57516386948066","80","7.17488789237668","1155","1075","1066","-6","2620","-1","-0.03937783028155"
"","46","334 Computer and Electronic Product Manufacturing","12930","-4.22045296436577","-142","-37.4670184696569","308","450","410","24","7899","538","6.45470905818836"
"","47","321 Wood Product Manufacturing","12579","-3.32357363298251","111","17.8313253012048","678","567","698","-15","3080","140","4.61133069828722"
"","48","454 Nonstore Retailers","12488","22.3118673903476","1462","101.386962552011","2173","711","1232","580","3256","-86","-2.69423558897243"
"","49","492 Couriers and Messengers","12208","6.16128529090625","104","15.1162790697674","740","636","524","49","3924","134","3.57333333333333"
"","50","523 Securities, Commodity Contracts, and Other Financial Investments and Related Activities","12178","0.23085167779701","-15","-2.9440628066732","502","517","592","87","12219","1164","8.15925977849432"
"","51","532 Rental and Leasing Services","11896","-6.15665955501371","-47","-6.42515379357484","708","755","811","-40","3460","-183","-5.19222584763796"
"","52","814 Private Households","10938","4.96106143640034","21","2.73972602739726","777","756","949","244","1949","-33","-1.71740827478532"
"","53","323 Printing and Related Support Activities","10800","-1.32856412876852","104","25.9351620947631","453","349","423","67","3534","-35","-1.00589165109929"
"","54","221 Utilities","10776","-3.64571376096239","35","20.5278592375366","188","153","190","50","8523","50","0.52088759245754"
"","55","518 Data Processing, Hosting and Related Services","10206","4.96814657513951","-19","-3.33625987708516","560","579","624","10","7070","645","8.94528812148949"
"","56","337 Furniture and Related Product Manufacturing","9671","-1.85931205453982","18","5.01392757660167","368","350","462","50","2962","19","0.64048542052924"
"","57","327 Nonmetallic Mineral Product Manufacturing","8366","-4.49902723735408","-107","-34.0222575516693","261","368","348","29","3742","100","2.73298715496037"
"","58","515 Broadcasting (except Internet)","8260","1.56373113522031","224","55.3086419753086","517","293","386","102","5080","535","10.6839740389415"
"","59","335 Electrical Equipment, Appliance, and Component Manufacturing","8228","-4.3723127233089","-56","-21.6216216216216","231","287","267","-9","4854","166","3.24345447440406"
"","60","562 Waste Management and Remediation Services","8144","-6.8154817732758","-87","-19.1419141914191","411","498","502","-63","3877","-253","-6.41887606241278"
"","61","485 Transit and Ground Passenger Transportation","7885","6.94346403131617","77","14.2724745134383","578","501","557","225","2667","31","1.20224936978863"
"","62","312 Beverage and Tobacco Product Manufacturing","7814","-4.93408171257016","6","2.16606498194945","280","274","350","39","5729","21","0.34367073070943"
"","63","322 Paper Manufacturing","7694","3.01122365179304","-24","-9.41176470588235","243","267","529","149","5145","169","3.08929713920117"
"","64","339 Miscellaneous Manufacturing","7085","2.7381467070183","7","2.21169036334913","320","313","357","120","4297","-112","-2.6578073089701"
"","65","212 Mining (except Oil and Gas)","6990","0.26408450704225","-100","-32.7868852459016","255","355","328","27","5758","140","2.41921548297909"
"","66","711 Performing Arts, Spectator Sports, and Related Industries","6866","-5.61758548499651","-83","-19.4152046783625","386","469","493","-13","5209","447","10.181072770755"
"","67","512 Motion Picture and Sound Recording Industries","5370","0.56990881458966","116","25","522","406","467","15","2513","-142","-5.67092651757188"
"","68","111 Crop Production","5036","-0.07428500680945","0","0","179","179","365","89","2427","-79","-3.57870894677236"
"","69","525 Funds, Trusts, and Other Financial Vehicles","4725","-191.223186507286","-372","-189.795918367346","10","382","188","20","4434","-275","-4.60520807167378"
"","70","712 Museums, Historical Sites, and Similar Institutions","4668","5.34579887330696","-9","-5.98006644518272","146","155","248","73","2291","35","1.55313956068338"
"","71","313 Textile Mills","4358","-5.50670985654789","2","1.9047619047619","106","104","125","-43","2767","74","2.77257399775196"
"","72","331 Primary Metal Manufacturing","4124","-6.88317983519147","33","24.5353159851301","151","118","201","52","4730","-526","-10.4531001589825"
"","73","519 Other Information Services","3694","-4.37996931231692","-48","-22.6415094339622","188","236","276","102","8189","261","3.02065852670563"
"","74","314 Textile Product Mills","3607","-5.28281012308117","31","33.1550802139037","109","78","128","-16","2729","24","0.90874668686103"
"","75","112 Animal Production","3244","-10.1068999028182","-33","-22.680412371134","129","162","187","-2","2553","-14","-0.58947368421052"
"","76","113 Forestry and Logging","2034","4.6606914212548","6","6","103","97","148","38","2888","-25","-0.88983804947499"
"","77","483 Water Transportation","1949","4.12536833645861","-108","-50.9433962264151","158","266","160","33","8390","-320","-3.85681571652404"
"","78","521 Monetary Authorities-Central Bank","1695","2.81859070464767","8","20.5128205128205","43","35","58","29","7135","195","2.88525560405415"
"","79","115 Support Activities for Agriculture and Forestry","1426","17.1471359041557","27","38.8489208633093","83","56","116","28","2848","-34","-1.27245508982035"
"","80","315 Apparel Manufacturing","1345","6.42166344294003","6","13.953488372093","46","40","58","40","2153","-79","-3.64643434110316"
"","81","213 Support Activities for Mining","1271","-48.3175803402646","-80","-112.676056338028","31","111","74","-80","5027","-21","-0.46108244593259"
"","82","443 Electronics and Appliance Stores","937","-3.50492880613362","12","26.6666666666666","51","39","48","1","2816","-124","-4.60966542750929"
"","83","533 Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","725","-98.0332829046898","-84","-164.705882352941","9","93","36","-6","6415","2120","32.9090344613474"
"","84","324 Petroleum and Coal Products Manufacturing","484","-28.2511210762331","-6","-66.6666666666666","6","12","11","-37","4814","18","0.35474970437524"
"","85","211 Oil and Gas Extraction","434","-17.4011299435028","-12","-85.7142857142857","8","20","7","-10","8345","-220","-2.24765018389865"
"","86","487 Scenic and Sightseeing Transportation","328","4.8780487804878","-1","-11.7647058823529","8","9","32","13","1920","-544","-30.751837196156"
"","87","486 Pipeline Transportation","273","14.2857142857142","-1","-22.2222222222222","4","5","7","9","6485","680","9.22409115572436"
