"Report Definition","rank","Group: NAICS 3-digit industry name","Average Quarterly Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Growth in Employment (%) (2012Q1,2013Q1)","Hiring Growth (2012Q1,2013Q1)","Hiring Growth (%) (2012Q1,2013Q1)","Hiring (2013Q1)","Hiring (2012Q1)","Average Quarterly New Hire Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Quarterly Job Change (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Monthly Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)","Earning Growth ($) (2012Q1,2013Q1)","Average Earning Growth (%) (2012Q1,2013Q1)"
"","35","453 Miscellaneous Store Retailers","3320","3.01447545142516","77","26.970227670753","324","247","301","76","1920","86","4.73047304730473"
"","36","484 Truck Transportation","3135","-2.01552948950933","-9","-5.34124629080118","164","173","226","22","3351","82","2.60565618048935"
"","37","446 Health and Personal Care Stores","3007","25.4473161033797","152","58.2375478927203","337","185","232","171","2702","-55","-2.05645915124322"
"","38","532 Rental and Leasing Services","2658","-4.68356880201277","12","7.45341614906832","167","155","162","-5","3428","-210","-5.64819795589026"
"","39","425 Wholesale Electronic Markets and Agents and Brokers","2413","-19.1016136066288","30","20.5479452054794","161","131","164","30","7655","-212","-2.7235354573484"
"","40","493 Warehousing and Storage","2405","-7.984267453294","4","2.64900662251655","153","149","128","-13","4184","327","6.95966797914228"
"","41","442 Furniture and Home Furnishings Stores","2004","-5.92808551992225","7","4.59016393442623","156","149","154","7","2787","-31","-1.15520775107136"
"","42","483 Water Transportation","1846","4.52232899943471","-108","-51.4285714285714","156","264","154","33","8457","-221","-2.7682094319534"
"","43","511 Publishing Industries (except Internet)","1738","11.7202268431001","23","30.0653594771241","88","65","142","57","4765","167","3.40642529321774"
"","44","454 Nonstore Retailers","1660","-14.4065325167687","-20","-24.0963855421686","73","93","76","-68","2788","181","6.87559354226021"
"","45","332 Fabricated Metal Product Manufacturing","1633","-10.6162294081757","-22","-25.8823529411764","74","96","82","13","4183","-311","-7.77402824646919"
"","46","562 Waste Management and Remediation Services","1555","2.09388720027017","-6","-6.74157303370786","86","92","110","30","3940","6","0.15067805123053"
"","47","523 Securities, Commodity Contracts, and Other Financial Investments and Related Activities","1550","4.81770833333333","16","26.2295081967213","69","53","75","21","9960","1488","14.972831555645"
"","48","518 Data Processing, Hosting and Related Services","1369","-0.36778227289444","37","45.3987730061349","100","63","75","5","4323","149","3.42646889732091"
"","49","492 Couriers and Messengers","1319","6.23188405797101","0","0","80","80","71","8","3468","108","3.21428571428571"
"","50","323 Printing and Related Support Activities","1277","7.18367346938775","24","45.2830188679245","65","41","97","22","2946","-70","-2.5035765379113"
"","51","327 Nonmetallic Mineral Product Manufacturing","1121","-5.97826086956521","1","3.38983050847457","30","29","47","-2","3919","44","1.17710005350454"
"","52","339 Miscellaneous Manufacturing","1096","-0.55045871559633","-28","-50","42","70","53","10","4110","-133","-3.61462155184128"
"","53","221 Utilities","1055","-0.2820874471086","3","26.0869565217391","13","10","12","13","8189","23","0.27402156430571"
"","54","512 Motion Picture and Sound Recording Industries","1045","5.36847242557345","-11","-13.3333333333333","77","88","79","20","1983","-98","-4.81335952848723"
"","55","517 Telecommunications","902","0.73956682514527","-4","-8.88888888888889","43","47","39","10","5504","37","0.63145319566515"
"","56","485 Transit and Ground Passenger Transportation","799","-7.36896730669434","18","36","59","41","48","-2","2086","44","1.80995475113122"
"","57","711 Performing Arts, Spectator Sports, and Related Industries","777","-2.71646859083191","17","38.2022471910112","53","36","54","-2","2954","299","6.71080686791605"
"","58","814 Private Households","750","11.646297627606","2","3.44827586206896","59","57","74","25","1816","117","6.63829787234042"
"","59","325 Chemical Manufacturing","730","-7.49665327978581","-8","-27.5862068965517","25","33","29","1","5800","-64","-1.04370515329419"
"","60","481 Air Transportation","666","11.7117117117117","-1","-1.9047619047619","52","53","57","29","3942","-141","-3.5105191086767"
"","61","314 Textile Product Mills","641","-7.46624305003971","-5","-28.5714285714285","15","20","17","-8","2980","76","2.70848182466144"
"","62","337 Furniture and Related Product Manufacturing","611","9.60548885077187","-2","-6.89655172413793","28","30","36","25","3463","83","2.48987550622468"
"","63","111 Crop Production","539","-1.06269925611052","7","51.8518518518518","17","10","31","1","2853","-430","-13.8978668390433"
"","64","326 Plastics and Rubber Products Manufacturing","539","-11.913357400722","18","105.882352941176","26","8","17","-11","4143","298","6.91094619666048"
"","65","335 Electrical Equipment, Appliance, and Component Manufacturing","495","9.18964076858813","13","63.4146341463414","27","14","17","20","3643","34","0.72836332476435"
"","66","322 Paper Manufacturing","352","-53.4653465346534","-34","-91.8918918918919","20","54","52","-29","4513","-1808","-34.3595591030026"
"","67","712 Museums, Historical Sites, and Similar Institutions","313","0","2","15.3846153846153","14","12","22","2","1907","38","1.8783984181908"
"","68","334 Computer and Electronic Product Manufacturing","257","46.6666666666666","13","89.6551724137931","21","8","16","24","5351","-1221","-22.1576989383903"
"","69","321 Wood Product Manufacturing","247","8","18","120","24","6","14","8","3474","318","9.02383654937571"
"","70","443 Electronics and Appliance Stores","228","-11.0091743119266","2","15.3846153846153","14","12","15","-4","3326","264","8.39427662957074"
"","71","519 Other Information Services","208","-3.94088669950739","-12","-66.6666666666666","12","24","17","1","5418","-165","-2.97484900387631"
"","72","115 Support Activities for Agriculture and Forestry","175","16.9096209912536","2","22.2222222222222","10","8","12","7","3990","-207","-6.94747440845779"
"","73","487 Scenic and Sightseeing Transportation","136","-2.7906976744186","3","66.6666666666666","6","3","16","6","1694","-863","-48.5513361462728"
"","74","331 Primary Metal Manufacturing","104","-11.8811881188118","-2","-40","4","6","6","2","4699","37","0.98627215780354"
