FID,FACILITYID,LOCATION,PARKID,SHAPE_STAr,SHAPE_STLe
58,000069PARK,Beach Park,S05,74993.1262732,1304.69063283
59,000072PARK,Ben Brenman Park,BB18,2231462.3397,6683.31704161
60,000073PARK,Beverley Park,FM03,82578.2699714,1529.71261823
61,000074PARK,Braddock and Commonwealth,S06,9419.09986348,478.734175671
62,000075PARK,Braddock Field,S07,233238.59466,2137.99435424
63,000078PARK,Cameron Station Linear Park,BB04,318466.239819,5824.10025729
64,000080PARK,Carlyle Dog Park,S29,117244.84759,2039.82618524
65,000083PARK,Charles Houston Rec Center,S08,52337.3507414,2477.67802775
68,000088PARK,Clermont Natural Park,BB06,311355.513394,3811.3838075
66,000084PARK,Charles W. Hill Park,FM05,17485.0654704,640.4188619
67,000085PARK,Chetworth Park,S09,12169.3757151,464.104551205
70,000090PARK,Cook Lake,H37,313868.32297,3601.86301474
71,000091PARK,Cooper Dawson,FM62,28849.2189754,916.684105774
69,000089PARK,Colasanto Center,FM07,21565.6686486,789.949725932
72,000093PARK,Courthouse Square,S01,16718.4870009,554.264689373
73,000094PARK,Custis Linear/ Finger Park,S97,22643.7202167,1235.66864103
74,000095PARK,Daingerfield Island,WF39,7009692.57874,35711.2241312
75,000096PARK,Dee Campbell Rowing Center,WF21,18985.3447287,1149.2349372
76,000098PARK,Dora Kelley Park & Ford Nature Center,BB08,1889688.11179,10014.9249541
79,000104PARK,Elbert Triangle,FM08,6975.06505632,348.194793147
78,000101PARK,Dulany Park 1 & 2,WF31,40593.6273702,1217.33443257
77,000100PARK,Duke St Dog Park,BB09,97155.9777511,1221.11548878
80,000105PARK,Ewald Park,H48,167541.86351,1906.81797944
81,000107PARK,Fords Landing,WF03,32128.6136129,2096.26974327
82,000108PARK,Forest Park,FM09,873443.29309,5673.53853646
83,000109PARK,Fort Ward Park & Historic Site,H49,1893092.55101,7054.52596617
84,000110PARK,Fort Williams Park,H50,372343.483138,4921.41167679
85,000111PARK,Founders Park,WF04,209290.892503,2176.5778146
86,000112PARK,Founders Park Alley,WF91,986.703220056,150.323925215
87,000115PARK,Freedmens Cemetery,WF05,47622.1366152,973.43905571
88,000116PARK,Gentry Park,FM11,8524.5809771,601.617362765
90,000119PARK,Goat Hill Park,FM13,106312.189108,1877.27791355
89,000117PARK,George Mason School,FM12,344233.18691,4823.00231781
91,000141PARK,Joseph Hensley Park,H52,1051609.67328,11635.6024301
92,000120PARK,Hillside Park,FM14,13320.9296589,538.022780828
93,000122PARK,Holmes Run Park/ All Veterans Park,BB19,795595.83248,11005.1962034
94,000123PARK,Holmes Run Park/ Brookvalley Park,BB03,1467982.88773,12804.8391117
96,000125PARK,Holmes Run Scenic Easement,BB10,353097.746415,3933.64353918
99,000129PARK,Hume Springs Park,FM15,23521.46035,673.67978221
95,000124PARK,Holmes Run Park/ Easement,H27,543374.202193,7298.72046535
98,000128PARK,Hufty Siegel,S78,54464.2284247,1440.0941222
97,000126PARK,Hooffs Run Park & Greenway,S13,213687.076796,5912.122507
100,000130PARK,Hunter Miller Park,S12,13990.8504222,473.637825212
101,000132PARK,Interior Park,S14,3097.14145821,236.343195712
102,000133PARK,James Bland,S30,12157.6985276,441.812272389
104,000071PARK,Beatley,BB22,74530.1046911,1962.478366
105,000070PARK,Beachcomber,WF06,5727.32730387,492.540392904
103,000134PARK,James K. Polk School,H45,460898.134411,6424.22119263
106,000066PARK,ATA 2203 Mill Road,S76,104003.872667,1453.80004306
108,000194PARK,Rose Square,S24,10775.33752,469.550024179
109,000165PARK,Neighborhood Park,S85,26729.2853153,636.560204635
110,000127PARK,Howell Linear,S99,35603.4450468,1109.80418818
111,000102PARK,Duncan Library,FM56,20690.4056719,1547.34104917
112,000162PARK,Mt. Vernon Rec Center,FM23,142325.737154,4113.84116857
107,000106PARK,Fire Station Park,S69,8980.37011196,510.635590792
115,000137PARK,Jefferson Houston School,S15,185003.36655,3542.00875979
113,000135PARK,James Mulligan Park,H53,170379.04935,1803.67369797
116,000139PARK,John Carlyle Square,WF32,61190.2602715,967.826804146
114,000136PARK,Janneys Lane and Francis Hammond,FM45,10388.9899601,404.992721191
120,000144PARK,Kust Easement,S71,114268.90968,2247.46251817
118,000142PARK,King Street Gardens,WF08,16682.92856,608.407142091
119,000143PARK,King Street Park,WF07,7606.53580361,367.105216475
117,000140PARK,Jones Point Park,WF33,2780862.6831,8436.55002976
121,000145PARK,Le Bosquet at Sunnyside,FM17,12343.6194021,458.57033177
122,000148PARK,Luckett Stadium,H54,148239.96134,1493.66533193
123,000150PARK,Lynhaven Gateway,FM18,7854.05788169,369.999731311
124,000151PARK,Lynhaven Park,FM19,11439.683691,442.244303676
126,000155PARK,Methodist Protestant Cementary,S65,119481.8552,1403.78166209
125,000152PARK,Market Square,WF10,47885.1784756,957.832922311
127,000156PARK,Metro Linear Park,S19,112697.93025,4996.69062602
128,000158PARK,Montgomery Park,WF11,103528.72431,1278.57491008
129,000159PARK,Monticello Park,FM20,278503.537555,3336.24233495
130,000160PARK,Mt. Ida Greenway,FM21,8053.95724136,596.538000001
131,000163PARK,MV Commons,S81,5161.18758468,363.786023844
132,000169PARK,Oronoco Bay Park,WF15,245182.778431,3620.83348431
135,000174PARK,Picketts Ridge,H28,47962.8793275,891.203616158
136,000175PARK,Point Lumley,WF17,18452.9079004,944.589182503
134,000171PARK,Payne St Condos,S84,38061.5809174,3148.24164388
133,000170PARK,Patrick Henry School,H42,651729.983003,8051.09107343
137,000176PARK,Polk/Pelham Property,H40,102483.8362,1353.23096567
138,000177PARK,Portner Park,S22,1733.15778187,175.214964776
140,000154PARK,Maury School,S18,113752.066512,3540.35493444
139,000181PARK,Potomac Greens Park,S23,761106.000629,7271.2750175
142,000166PARK,Old Cameron Run Channel,WF14,117314.226615,3203.91739522
141,000164PARK,Nannie J Lee Center,S11,274486.662652,7551.95484737
144,000173PARK,Penny Hill Cemetery,WF16,98560.9507051,1386.4041843
143,000172PARK,Pendleton Park,S21,4646.88939684,497.169302792
145,000205PARK,St. Martin de Porres Senior Center,H33,72943.0998957,2397.42854562
146,000086PARK,Chinquapin Park,FM06,1211697.36907,5469.46133332
147,000214PARK,Temple Beth El,H31,135317.21445,4998.10789659
148,000187PARK,PY Plaza East,S33,18292.471601,564.379460271
149,000179PARK,Post II / Carlyle Block O,S91,39796.7524889,2350.27254835
153,000185PARK,Presbyterian Meeting House Yard,WF41,14083.0345833,1249.4335757
151,000183PARK,Potomac Yard Park,S31,885563.49279,25249.3184183
152,000184PARK,Powhatan Park,S25,67942.1311181,1361.48273518
154,000186PARK,President Gerald Ford Park,FM24,49157.5141508,896.534702113
155,000189PARK,Rail Park,S92,181433.45972,4147.65299874
156,000190PARK,Randolph and La Grande,S80,4491.50544447,307.625135402
158,000192PARK,Roberdeau Park,WF20,9248.67291824,497.368076113
157,000191PARK,Rivergate Park,WF19,130485.555199,1581.27647141
159,000193PARK,Robert Leider Park,FM25,58308.7860375,1166.47966131
160,000196PARK,Rynex Natural Area,BB14,405765.44026,4296.24231286
161,000197PARK,Schuyler Hamilton Jones Skateboard Park,H46,43699.4527666,951.967051219
162,000198PARK,Seminary Forest,H10,205048.821222,2976.59663711
163,000199PARK,Shipyard Park,WF22,71795.5949816,1937.12942523
164,000201PARK,Simpson Stadium Park,S26,709888.146345,4089.01909315
167,000207PARK,Stevenson Park,BB17,385231.236027,2781.55456204
165,000203PARK,South Reynolds Park,BB16,49449.1883717,1032.18153529
166,000204PARK,St. Asaph Park,FM27,11412.9243759,662.116896973
168,000208PARK,Stonegate Scenic Easement,H43,135074.988844,2208.26471496
169,000209PARK,Sunset Mini Park,S28,6838.96871362,337.120593399
150,000182PARK,Potomac Yard Landbay N,S77,227100.27124,17225.8819263
171,000212PARK,Taney Avenue Park,H55,125306.0837,1556.95677974
172,000213PARK,Taylor Run Park,FM61,151340.72005,3223.27997576
173,000216PARK,Thomspons Alley,WF23,6383.3632386,691.154858996
175,000219PARK,Timberland Park,FM28,21804.5341762,876.44508605
174,000218PARK,Timberbranch Parkway,FM44,322774.54162,6723.81985962
176,000220PARK,Torpedo Factory & City Marina,WF25,66039.0710328,4502.0098298
170,000211PARK,T.C. WIlliams High School,FM60,661225.25169,11716.5233046
178,000222PARK,Urban Deck,S98,45098.6230535,1596.1132733
177,000221PARK,Upland Street Right of Way,FM46,11789.7100391,518.653110691
179,000223PARK,Warwick Pool / Landover Park,FM16,82892.3700309,1176.57326445
180,000202PARK,South Carlyle Square,S27,3806.9668615,258.498479115
181,000225PARK,Waterfront Park,WF27,66735.2284971,1097.86778856
182,000118PARK,George Washington School,S10,536664.851429,10244.7911482
183,000114PARK,Francis Hammond School,H44,786581.98492,13035.3074409
184,000113PARK,Four Mile Run Park,FM10,2150759.9522,12842.7658661
185,000188PARK,PY Plaza West,S34,24334.3168012,1195.1977816
187,000103PARK,Durant Recreation Center,S62,11758.57278,978.765306204
186,000215PARK,The Henry,S70,25092.52634,1036.266816
188,000076PARK,Buchanan Park,S16,19427.9642725,839.174639185
189,000224PARK,Washington Way,WF26,2666.79264064,212.137475235
190,000228PARK,Windmill Hill/Potomac View Park,WF29,276152.93372,3741.08410044
193,000231PARK,Woodbine Tot Lot,FM30,5674.60498825,313.701582691
194,000232PARK,Wythe Street Plaza,WF30,17192.8425866,634.944995317
192,000230PARK,Witter Fields,H47,548750.967562,3857.16537695
195,000233PARK,Yoakum Parkway Easement,H12,65963.0731906,1119.51427729
196,000001PARK,1007 King St.,WF56,853.3510152,233.993707057
200,000167PARK,Old Club,WF38,6029.45703746,769.857098386
197,000003PARK,1122 Prince St.,WF77,606.850813308,111.867810377
199,000087PARK,Christ Church,S73,31471.8547559,1243.07400953
198,000168PARK,Old Town Pool,S20,107790.01035,1952.14285805
201,000042PARK,508 S. Fairfax St.,WF54,5745.37150887,647.400719432
202,000056PARK,808 Prince St.,WF75,750.651148591,163.678303379
203,000026PARK,307 S. St. Asaph Street,WF97,5841.03657759,521.19992584
204,000149PARK,Lyles-Crouch School,WF09,49569.7015829,2624.21210245
205,000153PARK,Mason Avenue Park,S17,14058.7314028,694.366295938
191,000229PARK,Winkler Botanical Reserve,BB32,1922192.55536,8511.80143034
207,000161PARK,Mt. Jefferson Park & Greenway,FM22,300357.232412,7184.81364603
206,000157PARK,Minnie Howard School,H41,330385.276963,8097.33434736
208,000227PARK,William Ramsay Rec Center and School,BB13,347136.812922,7674.53298432
209,000195PARK,Ruby Tucker Park,FM26,10383.872062,450.163216745
210,000200PARK,Shops at Del Ray,S83,1251.71834437,294.332109258
211,000081PARK,Chambliss Park,BB05,354335.83465,3109.96171189
213,000131PARK,INOVA,H30,435843.945886,5787.39741232
214,000099PARK,Douglas MacArthur School,FM31,138441.097509,4151.95697773
212,000138PARK,John Adams School,BB12,183928.71348,5877.30802568
215,000039PARK,505 N. Columbus Street,WF94,904.0668506,227.114247453
217,000180PARK,Postmasters,WF37,4018.22931347,634.153712825
218,000121PARK,Holland Lane,S95,58677.0636747,1609.68531059
216,000061PARK,Alexandria Country Day School,FM64,79203.8005316,3224.5578368
222,000051PARK,614 Oronoco Street,WF96,4095.33122045,522.255830555
219,000060PARK,African American Heritage Park,S03,261419.077495,3068.69264033
220,000210PARK,Swann FInger Park,S75,21115.0996893,1166.48266292
221,000079PARK,Cameron Station Phase VII,BB31,16043.8071158,612.852780954
223,000146PARK,Lee-Fendall House,WF40,4884.05028794,398.549483745
224,000092PARK,Cora Kelly Elementary School,FM54,176242.721148,8024.3638446
225,000067PARK,Battery Heights,H51,113420.46752,1549.51718153
226,000077PARK,Cameron Run Regional Park,H36,1054106.16663,12175.8022281
227,000082PARK,Charles Barrett School,FM04,191197.866141,5609.1039236
228,000147PARK,Lloyd House,WF90,17120.0868368,534.13400139
229,000226PARK,Wests Point,WF28,3623.80500655,253.023851911
230,000021PARK,"216, 218, 220 N Lee Street",WF58,3817.17834015,383.650447787
231,000217PARK,Tide Lock Park,WF24,174794.777013,3971.82660394
232,000178PARK,Post II / Carlyle Block I,S105,9836.54936215,1220.2147448
233,000206PARK,St. Stephens and St. Agnes,H34,545526.64493,6534.60597193
