Virginia coal quality database (coal sample analyses) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyses reported:  as-received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  raw data from USGS coal quality database / non-USGS collectors / Virginia scan and subset created 2006-01-18 (Hostettler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version:  release copy / data revised 2008-07-09 (Lovett) / format revised 2008-09-09 (Lovett),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database inventory (all 375 samples accounted for - jal),,U.S. location and geologic setting,,,,"Regional location, coal bed name (in stratigraphic order), geologic formation, and VDMR Id. No. ",,,,,,"USGS Lab. No., location detail, and sample information",,,,,,,,,,,,,,,Proximate Analysis (%),,,,Ultimate Analysis (%),,,,,Heat,,Forms of Sulfur (%),,,,Ash-Fusion Temperature (F),,,,,Major- and Minor-Oxides (%),,,,,,,,,,,,Major- and Minor-Elements (ppm),,,,,,,,,Trace Elements (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS supplemental data,,,
 Sample inventory [jal],Inventory notes (jal),CPROVINC,CREGION,SYSTEM,SER_EPOC,STATE,CFIELD,CBED,CFORMATN,ESTRANK,POINTID [modified to VDMR Id. No.2] ,LABID,USGS Lab No.,POINTID [modified to VDMR Field Id. No.2],LATITUDE1,NS,LONGITUDE1,EW,Quad Map Name,COUNTY,SAMPTHK,COMMENTS [USGS],SAMP_TYPE [VDMR (jal)]2,SAMPTYPE [USGS],SAMP_COND [VDMR (jal)]2,PART_OF_BED [VDMR (jal)]2,MOISTR,VOLMAT,FIXEDC,STDASH,HYDRGN,CARBON,NITRGN,OXYGEN,SULFUR,BTU/LB,ADLOSS,SLFATE,SLFPYR,SLFORG,FRESWL,ASHDEF,ASHSOF,ASHFLD,HGI [VDMR (jal)]2,COMPL_No [VDMR (jal)]2,GSASH,SIO2,AL2O3,CAO,MGO,MNO,NA2O,K2O,FE2O3,TIO2,P2O5,SO3,SI_E,AL_E,CA_E,MG_E,NA_E,K_E,FE_E,TI_E,S_E,AG_E,AS_E,AU_E,B_E,BA_E,BE_E,BI_E,BR_E,CD_E,CE_E,CL_E,CO_E,CR_E,CS_E,CU_E,DY_E,ER_E,EU_E,F_E,GA_E,GD_E,GE_E,HF_E,HG_E,HO_E,IN_E,IR_E,LA_E,LI_E,LU_E,MN_E,MO_E,NB_E,ND_E,NI_E,OS_E,P_E,PB_E,PD_E,PR_E,PT_E,RB_E,RE_E,RH_E,RU_E,SB_E,SC_E,SE_E,SM_E,SN_E,SR_E,TA_E,TB_E,TE_E,TH_E,TL_E,TM_E,U_E,V_E,W_E,Y_E,YB_E,ZN_E,ZR_E,,POINTID [USGS],COLLECTR,SUBDATE,IDMARPLOT       [end]
10 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,POCAHONTAS NO 3,POCAHONTAS,BITUMINOUS,R-8486,W,214763,87B-9,37.203794,N,-81.997034,W,KEEN MOUNTAIN (7.5'),BUCHANAN,54.00,"UG,VA POCAHONTAS BEATRICE MN",Underground mine,11,slightly weathered,Full Thickness,1.57,17.98,74.98,5.47,4.37,84.79,1.13,3.64,0.6,"14,511",0.6,0.05,0.09,0.46,2.5,"2,170","2,310","2,410", --- ,0.83,18.3,58,24,3.2,0.85,0.01,0.53,1.1,4.8,1.8,0.13,3,50000,23000,4200,930,710,1700,6200,1900,2200,0.097,9.8,1.3,15,130,3.7,1.3,44,0.044,34,1200,7.4,16,0.8,38,2.8,1.3,0.73,30,5.1,1.9,0.66,1.5,0.085,0.87,0.87,1.9,22,24,0.14,20,2.7,4.4,8.8,18,2.8,100,18,0.13,8.7,0.59,17,1.3,0.28,0.28,1,3.9,4.3,2.8,0.92,180,0.53,0.43,0,4.4,0.59,0.59,1.6,18,0.9,7.5,1.3,5.7,33,,R8486-87B-9,VADMR-WILKES G P,81/07/17,AAAAAAAAAAAA5949
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 1,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,COVE CREEK,LEE,BITUMINOUS,R-8808,W,238471,60C-1,36.779617,N,-82.72278,W,EAST STONE GAP (7.5'),SCOTT,34.80,"UG,EGAN ENERGY #1",Underground mine,1,fresh / unweathered,Full Thickness,3.19,34.76,52.8,9.25,5.27,74.2,1.59,9.03,0.66,"13,222",2.16,0.01,0.19,0.46,4.5,"2,130","2,200","2,260",46,1.06,10.4,30,16,20,2.8,0.09,0.14,1.1,7.9,0.59,1.3,15,15000,8900,15000,1800,100,950,5700,360,6300,0.042,7.6,0.5,25,230,0.78,1.6,51,0.025,14,70,14,6.9,0.73,8.2,0.73,0.33,0.26,30,3,0.73,0.68,0.41,0.003,0.11,0.16,0.73,8.2,4.4,0.12,79,1.7,1.1,4.7,15,0.73,460,3.1,0.05,1.4,0.11,22,0.73,0.11,0.033,0.31,1.8,1.1,1.5,0.84,300,0.13,0.16,0,1.5,0.73,0.23,0.47,8,0.45,5.6,0.58,8.8,14,,R8808-60C-1,VADMR-WILKES G P,86/10/22,AAAAAAAAAAAA5675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,TILLER,NORTON,BITUMINOUS,R-6863,W,192709,88C-2,37.000399,N,-82.185699,W,DUTY (7.5'),RUSSELL,50.76,"UG,CLINCHFIELD CC,MOSS #2",Underground mine,1,fresh / unweathered,Full Thickness,1.8,29.2,56.8,12.2,4.9,75.2,1.3,5.8,0.6,"13,263",0.9,0,0,0.5,0.0,"2,305","2,385","2,415", --- ,0.90,11.4,42,18,10,1.1,0.04,1.1,2.3,6.5,0.94,0.04,8,22000,11000,8100,740,900,2200,5200,640,3600,0.008,2.5,0.8,21,130,1.8,1.8,6.3,0.039,16,0,4.2,10,0.98,15,2.6,0.8,0.3,66,3.2,1.5,0.37,0.68,0.034,0.54,0.54,1.2,8.5,8.2,0.12,36,1.1,2.9,9.1,6.4,0.8,20,3.8,0.12,5.4,0.54,18,0.8,0.08,0.26,0.22,2.4,2.9,1.4,0.54,100,0.17,0.24,0,2,0.8,0.37,0.71,15,0.34,9.6,0.7,4.6,27,,R6863-88C-2,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA6017
2 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,TILLER,NORTON,BITUMINOUS,R-6945,W,197303,58B-7,36.986716,N,-82.239346,W,CARBO (7.5'),RUSSELL,35.88,"UG,CLINCHFILED CC,MOSS #2",Underground mine,1,fresh / unweathered,Full Thickness,1.6,31.5,60.8,6.1,5.1,81.5,1.4,5.4,0.5,"14,346",0.4,0.02,0.04,0.46,9.0,"2,250","2,300","2,350", --- ,0.70,8.4,39,24,8.9,1.6,0.06,0.97,3.6,9,1,0.04,8.3,15000,11000,5400,810,600,2500,5300,500,2800,0.005,2.1,0.59,8.2,130,1.3,0.88,46,0.029,13,0,7.7,10,1.1,21,1.3,0.59,0.23,860,2.2,0.92,1.3,0.5,0.007,0.4,0.4,0.88,7,13,0.13,45,0.47,1,2.7,5.5,1.3,15,5.7,0.088,4,0.4,17,0.59,0.13,0.19,0.85,2.3,4.3,1.1,0.088,130,0.11,0.21,0,1.8,0.19,0.27,1.5,8.4,0.4,5.4,0.75,3.4,10,,R6945-58B-7,VADMR-HENDERSON J A,77/08/16,AAAAAAAAAAAA6015
3 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,TILLER,NORTON,BITUMINOUS,R-6946,W,197304,58B-8,36.986623,N,-82.239353,W,CARBO (7.5'),RUSSELL,5.40,"UG,CLINCHFIELD CC,MOSS #2",Underground mine,1,fresh / unweathered,Full Thickness,1.8,32.9,60.9,4.4,5.3,81.7,1.4,6.6,0.6,"14,560",0.6,0.02,0.08,0.48,9.0,"2,140","2,190","2,350", --- ,0.82,4.3,33,21,9.5,2,0.11,1.2,2.3,15,0.85,0.06,13,6600,4800,2900,520,380,820,4400,220,2200,0.016,7.3,0.3,2.5,73,4.7,0.45,58,0.015,7.5,0,5.1,6.1,0.4,9,0.66,0.3,0.18,200,3.3,0.52,2.8,0.4,0.007,0.2,0.2,0.45,4,7.3,0.1,37,0.32,0.28,1.4,4.7,0.66,11,3.5,0.045,2,0.2,13,0.3,0.066,0.096,1.3,1.4,2.3,0.8,0.045,140,0.055,0.18,0,0.9,0.096,0.14,0.95,5.2,1.5,3.1,0.6,3.1,3.8,,R6946-58B-8,VADMR-HENDERSON J A,77/08/16,AAAAAAAAAAAA6014
4 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,TILLER,NORTON,BITUMINOUS,R-6947,W,197305,58B-9,36.986540,N,-82.239353,W,CARBO (7.5'),RUSSELL,9.00,"UG,CLINCHFIELD CC,MOSS #2",Underground mine,1,fresh / unweathered,Full Thickness,1.2,33.6,62.3,2.9,5.3,83.7,1.4,6.2,0.6,"15,026",0.2,0.02,0.1,0.46,8.5,"2,080","2,180","2,280", --- ,0.80,4.1,34,21,17,1.8,0.23,0.58,2.5,19,0.94,0.07,11,6500,4500,5000,450,180,840,5400,230,1800,0.017,17,0.29,2.1,49,6.6,0.43,60,0.011,6,0,5,5.5,0.4,8.2,0.63,0.29,0.17,68,4.1,0.53,6.6,0.3,0.007,0.2,0.2,0.43,3,9,0.1,74,0.35,0.57,1.3,5.3,0.63,13,5.7,0.043,2,0.2,13,0.29,0.063,0.092,1.8,1.4,2.1,0.7,0.043,110,0.06,0.15,0,0.8,0.092,0.13,0.99,5.7,1.4,3.9,0.5,4.9,6.2,,R6947-58B-9,VADMR-HENDERSON J A,77/08/16,AAAAAAAAAAAA6013
