OBJECTID,STATE10,COUNTY10,TRACT10,BLKGRP10,GEOID10,ALAND10,AWATER10,Shape_Length,Shape_Area
79,51,510,200303,4,515102003034,273420,33607,12033.3998510084,3304488.59515498
81,51,510,200301,1,515102003011,465466,0,13244.0005501448,5009746.75416128
84,51,510,201300,2,515102013002,269110,0,7253.70331453625,2896419.60678863
83,51,510,200405,3,515102004053,119534,0,5067.33690243771,1286528.13435761
85,51,510,200600,4,515102006004,187130,0,6253.93061399805,2014061.40873345
82,51,510,201500,1,515102015001,625000,0,12862.2723553736,6726782.43497997
87,51,510,201801,2,515102018012,1365256,26342,22227.8962354685,14977671.5197196
86,51,510,201202,2,515102012022,148581,0,5706.58897910289,1599162.6817273
89,51,510,201100,3,515102011003,326712,0,8173.43270009111,3516379.38214227
88,51,510,201202,1,515102012021,211930,0,8109.08814758615,2280965.12573726
90,51,510,200103,2,515102001032,193165,7610,9051.3481344039,2160917.71730712
91,51,510,201202,3,515102012023,155607,0,7985.04902751409,1674784.9494148
92,51,510,200407,1,515102004071,71949,0,3932.79978375497,774373.941920019
93,51,510,200103,4,515102001034,270608,340,13379.0709816122,2916168.41477839
94,51,510,200106,3,515102001063,251810,0,7903.80315194559,2710213.09777467
95,51,510,200702,1,515102007021,1199637,17177,16378.7184701319,13096423.3798686
97,51,510,200900,2,515102009002,381369,0,8767.13274440878,4104617.29513433
96,51,510,201000,1,515102010001,460372,10639,10527.1831811696,5069420.96943595
99,51,510,200105,1,515102001051,53223,0,3757.73245157617,572837.12838473
98,51,510,201400,2,515102014002,220087,0,6738.77057492235,2368781.52588381
101,51,510,200107,2,515102001072,239239,0,8081.45137354345,2574916.03092612
100,51,510,200500,1,515102005001,225339,0,8260.90777481783,2425287.87710437
102,51,510,202001,1,515102020011,181671,4944,7407.35103279757,2008497.40515411
103,51,510,201300,1,515102013001,342438,0,8107.63259838864,3685604.18751032
105,51,510,200105,2,515102001052,133005,0,4706.15640648051,1431519.84616472
104,51,510,200802,2,515102008022,230627,0,6375.42476295274,2482210.83189273
106,51,510,202001,2,515102020012,201625,21411,7422.19547675719,2400505.25199765
