OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA
85,Seatack Comm. Park,2417515588,City,NP,Neighborhood Parks,5.0608,Oceanfront
86,17th Street Park,2427270166,City,SURA,Special Use – Recreation Areas,0.1469,Oceanfront
87,Pine Wood Gardens Park,1497334641,City,NP,Neighborhood Parks,2.6669,Little Neck
88,Thalia Trace Oaks Park, ,City,GOS,General Open Space sites,1.2307,Little Neck
89,Thalia Trace Park,1487129784,City,NP,Neighborhood Parks,0.5557,Little Neck
90,Groveland Park, ,City,NP,Neighborhood Parks,2.4831,Little Neck
91,Thalia Park, ,City,NP,Neighborhood Parks,6.1496,Little Neck
92,Little Neck Rd. Park Sec-3,1487783424,City,GOS,General Open Space sites,2.3634,Little Neck
93,Little Neck Rd. Park Sec-2,1487774434,City,GOS,General Open Space sites,2.2801,Little Neck
94,Little Neck Rd. Park Sec-1,1487765443,City,GOS,General Open Space sites,2.2884,Little Neck
95,Francis Land Park,1497143770,City,NRA,Natural Resource Areas,1.5227,Little Neck
96,Francis Land Park,1497146755,City,NRA,Natural Resource Areas,1.9044,Little Neck
97,Kings Grant Parcel 1,1488726013,City,GOS,General Open Space sites,2.5976,Little Neck
98,Lynnhaven Baseball Complex,1487997303,City,SUAC,Special Use ? Athletic Complex sites,12.4515,Little Neck
99,Seatack Rec. Center, ,City,SURC,Special Use ? Recreation Center sites,8.4402,Oceanfront
100,Croatan Beach Park,2427308604,City,NP,Neighborhood Parks,17.3464,Oceanfront
101,VA. Beach Park #2,2417894595,City,NP,Neighborhood Parks,1.1399,Oceanfront
102,Seabridge Square Park,2417751024,City,NP,Neighborhood Parks,0.6132,Oceanfront
103,Virginia Marine Science Museum, ,City, ,,24.4209,Oceanfront
104,Owl Creek Boat Ramp,2416987653,City,SUWA,Special Use ? Water Access sites,12.046,Oceanfront
105,Owl Creek Tennis Center,2416758858,City,SUAC,Special Use ? Athletic Complex sites,10.1502,Oceanfront
106,Princess Anne Athletic Complex,1484671178,City,SUAC,Special Use ? Athletic Complex sites,106.9214,Courthouse Sandbridge
107,Chelsea Park,1499746497,City,NP,Neighborhood Parks,1.6135,Great Neck
108,Great Neck Park,1499807756,City,MP,Metro Parks,9.945,Great Neck
109,Virginia Aquarium & Marine Science Center,2416758858,City, , ,15.5592,Oceanfront
110,Norfolk Ave Trail,2417940472,City,LINK,Linkages,0.9724,Oceanfront
111,31st Street Park,2428027242,City,SURA,Special Use – Recreation Areas,0.2016,Oceanfront
112,Owl Creek Preservation Area Park,2416678078,City,GOS,General Open Space sites,38.608,Oceanfront
113,Norfolk Ave Trail,2417649312,City,LINK,Linkages,7.4088,Oceanfront
114,Norfolk Ave Trail,2427047327,City,LINK,Linkages,0.5121,Oceanfront
115,Norfolk Ave Trail,2427042306,City,LINK,Linkages,0.7396,Oceanfront
116,Norfolk Ave Trail,2417947471,City,LINK,Linkages,0.2369,Oceanfront
117,Owl Creek Golf Course, ,City/Leasee,SUGC,Special Use ? Golf Courses,75.1477,Oceanfront
118,Rudee Heights Parcel 1, ,City,GOS,General Open Space sites,0.3271,Oceanfront
119,Rudee Heights Parcel 2,2427211262,City,GOS,General Open Space sites,0.0482,Oceanfront
120,Rudee Heights Parcel 3, ,City,GOS,General Open Space sites,0.3549,Oceanfront
121,Red Wing Golf Course,2425095570,City,SUGC,Special Use ? Golf Courses,296.9955,Courthouse Sandbridge
122,Red Wing Park,2415871160,City,MP,Metro Parks,96.9578,Courthouse Sandbridge
123,Red Wing on the Park,2415464535,City,NP,Neighborhood Parks,7.3591,Courthouse Sandbridge
124,Dunwoody Park,2415340141,City,CP,Community Parks,25.2707,Courthouse Sandbridge
125,Upton Estates Park Sec. 1,2415632842,City,NP,Neighborhood Parks,1.5769,Courthouse Sandbridge
126,Upton Estates Park Sec. 2,2415529627,City,NP,Neighborhood Parks,3.1055,Courthouse Sandbridge
127,Hunt Club Forest Park,2404972965,City,NP,Neighborhood Parks,2.2561,Courthouse Sandbridge
128,Sandbridge Beach Park,2434117352,City,NP,Neighborhood Parks,0.5078,Courthouse Sandbridge
129,Lago Mar Park,2423090795,City,NP,Neighborhood Parks,1.7894,Courthouse Sandbridge
130,Fox Fire Park,2403395116,City,NP,Neighborhood Parks,4.3483,Courthouse Sandbridge
131,Fox Fire Park,2403386659,City,NP,Neighborhood Parks,4.1369,Courthouse Sandbridge
132,Landstown Meadows Sec-1 Park, ,City,NP,Neighborhood Parks,3.279,Courthouse Sandbridge
133,Landstown Lakes Park,1495122535,City,NP,Neighborhood Parks,4.9964,Courthouse Sandbridge
134,Landstown Meadows Park,1495404074,City,NP,Neighborhood Parks,4.8968,Courthouse Sandbridge
135,Woods of Piney Grove Park,1494496180,City,NP,Neighborhood Parks,1.8435,Courthouse Sandbridge
136,Holland Oaks Park,1495510057,City,NP,Neighborhood Parks,0.6363,Courthouse Sandbridge
137,Holland Pines Park,1495716286,City,GOS,General Open Space sites,10.7316,Courthouse Sandbridge
138,Holland Pines Park,1494796677,City,GOS,General Open Space sites,33.0839,Courthouse Sandbridge
139,Holland Pines West Park,1495509729,City,NP,Neighborhood Parks,3.7272,Courthouse Sandbridge
140,Holland Pines Park,1495710517,City,GOS,General Open Space sites,15.8269,Courthouse Sandbridge
141,Lake Placid Park,2405035459,City,NP,Neighborhood Parks,5.0722,Courthouse Sandbridge
142,Pine Ridge Park, ,City,NP,Neighborhood Parks,4.1128,Courthouse Sandbridge
143,Hunt Club Park,2404780812,City,NP,Neighborhood Parks,1.4969,Courthouse Sandbridge
144,Hunters Run Park,2404770138,City,NP,Neighborhood Parks,1.8386,Courthouse Sandbridge
145,Strawbridge Park Sec-2,2404993415,City,NP,Neighborhood Parks,6.1934,Courthouse Sandbridge
146,Strawbridge Park Sec-1,2405907007,City,NP,Neighborhood Parks,5.4319,Courthouse Sandbridge
147,Strawbridge Park Sec-3, ,City,NP,Neighborhood Parks,2.4629,Courthouse Sandbridge
148,Southgate  Park,2404759811,City,NP,Neighborhood Parks,1.9785,Courthouse Sandbridge
149,Southgate Park Sec.1, ,City,NP,Neighborhood Parks,1.3864,Courthouse Sandbridge
150,Malbon Acres Park,2415307156,City,NP,Neighborhood Parks,0.6705,Courthouse Sandbridge
151,Ocean lakes North,2415506186,City,NP,Neighborhood Parks,2.0584,Courthouse Sandbridge
152,Ocean Lakes East Park,2414486353,City,NP,Neighborhood Parks,2.0091,Courthouse Sandbridge
153,Pine Meadows Park,2415836154,City,NP,Neighborhood Parks,4.9758,Courthouse Sandbridge
154,Pine Meadows Sec.3 Park,2415938926,City,NP,Neighborhood Parks,2.8519,Courthouse Sandbridge
155,Pine Meadows Place Park,2415947675,City,NP,Neighborhood Parks,2.2577,Courthouse Sandbridge
156,Ocean Lakes Park,2425311625,City,CP,Community Parks,24.6639,Courthouse Sandbridge
157,Red Mill Farms Park,2414412649,City,NP,Neighborhood Parks,14.3758,Courthouse Sandbridge
158,Box Elder Park,2415817847,City,NP,Neighborhood Parks,0.4634,Courthouse Sandbridge
159,Middle Oaks Plantation Park,2404894473,City,NP,Neighborhood Parks,1.8487,Courthouse Sandbridge
160,Lotus Gardens Park,2413959482,City,NP,Neighborhood Parks,2.0929,Courthouse Sandbridge
161,US. Field Hockey Complex,1484869245,City,SUAC,Special Use ? Athletic Complex sites,130.0851,Courthouse Sandbridge
162,Buyrn Farms Park,1494883552,City,NP,Neighborhood Parks,4.9701,Courthouse Sandbridge
163,Holland Woods Park,1494974485,City,NP,Neighborhood Parks,0.715,Courthouse Sandbridge
164,Princess Anne Rec-Center,2404879300,City,SURC,Special Use ? Recreation Center sites,15.7516,Courthouse Sandbridge
165,Princess Anne Crossing Park,1494754608,City,NP,Neighborhood Parks,1.0167,Courthouse Sandbridge
166,Princess Anne Athletic Complex,1484762033,City,SUAC,Special Use ? Athletic Complex sites,67.438,Courthouse Sandbridge
167,Princess Anne Athletic Complex,1484458720,City,SUAC,Special Use ? Athletic Complex sites,89.9444,Courthouse Sandbridge
168,Sportsplex,1484879998,City,SUAC,Special Use ? Athletic Complex sites,136.8488,Courthouse Sandbridge
169,Sportsplex,1484871819,City,SUAC,Special Use ? Athletic Complex sites,2.9099,Courthouse Sandbridge
170,Three Oaks Park,2414120223,City,CP,Community Parks,39.2804,Courthouse Sandbridge
171,Red Mill Farms Park Sec-2,2414471462,City,NP,Neighborhood Parks,0.3604,Courthouse Sandbridge
172,Red Mill Farms Park Sec-2,2414470289,City,NP,Neighborhood Parks,0.6048,Courthouse Sandbridge
173,Indian River Rd. Parcel A,1483280297,City,GOS,General Open Space sites,49.4065,Courthouse Sandbridge
174,Indian River Rd. Parcel B,1469318348,City,GOS,General Open Space sites,31.3897,Courthouse Sandbridge
175,Upton Estates Park Sec. 1,2415645251,City,NP,Neighborhood Parks,0.2451,Courthouse Sandbridge
176,Sawyer Lakes Estates Park,2414669936,City,NP,Neighborhood Parks,1.0936,Courthouse Sandbridge
177,Litchfield Manor Park,2404151930,City,NP,Neighborhood Parks,16.5355,Courthouse Sandbridge
178,Princess Anne Woods Park,2404632928,City,GOS,General Open Space sites,0.4142,Courthouse Sandbridge
179,Princess Anne Woods Park Sec-2,2404357187,City,GOS,General Open Space sites,52.2824,Courthouse Sandbridge
180,Lagomar at Back Bay Park,2424134536,City,NP,Neighborhood Parks,2.6787,Courthouse Sandbridge
181,Lagomar at Back Bay Park,2424136653,City,NP,Neighborhood Parks,0.8679,Courthouse Sandbridge
182,Rolling Woods Park, ,City,NP,Neighborhood Parks,59.2638,Courthouse Sandbridge
183,Lotus Garden Farm Park,2423077808,City,GOS,General Open Space sites,22.6856,Courthouse Sandbridge
184,Dozier Bridge Canoe Launch, ,City,SUWA,Special Use ? Water Access sites,1.0766,Courthouse Sandbridge
185,Soccer Complex,1484493328,City,SUAC,Special Use ? Athletic Complex sites,75.3743,Courthouse Sandbridge
186,Princess Anne Park,1485706942,City,NP,Neighborhood Parks,13.9185,Courthouse Sandbridge
187,Lagomar North Park,2424060263,City,NP,Neighborhood Parks,3.4447,Courthouse Sandbridge
188,Prosperity Park,2416708636,City,GOS,General Open Space sites,131.9226,Courthouse Sandbridge
189,Princess Anne Athletic Complex,1484689679,City,SUAC,Special Use ? Athletic Complex sites,17.8537,Courthouse Sandbridge
190,Princess Anne Athletic Complex,1484360232,City,SUAC,Special Use ? Athletic Complex sites,48.6464,Courthouse Sandbridge
191,Princess Anne Athletic Complex,1484378542,City,SUAC,Special Use ? Athletic Complex sites,25.6211,Courthouse Sandbridge
192,New Bridge Park, ,City,GOS,General Open Space sites,45.5445,Courthouse Sandbridge
193,Princess Anne Quarter Park,2404153227,City,NP,Neighborhood Parks,6.459,Courthouse Sandbridge
194,Virginia Beach National Golf Course, ,City,SUGC,Special Use ? Golf Courses,415.6106,Courthouse Sandbridge
195,Virginia Beach National Golf Course, ,City,SUGC,Special Use ? Golf Courses,31.7371,Courthouse Sandbridge
196,West Neck Creek Park,1493997457,City,NRA,Natural Resource Areas,527.444,Courthouse Sandbridge
197,Buffington/Whitehurst Parcel,1494904627,City,GOS,General Open Space sites,8.6921,Courthouse Sandbridge
198,Laurel Cove Park,2408171123,City,NP,Neighborhood Parks,2.0933,Great Neck
199,Great Neck Farms Park,2408255902,City,NP,Neighborhood Parks,2.2262,Great Neck
200,Colonial Oaks Park,2408153146,City,NP,Neighborhood Parks,5.8479,Great Neck
201,Lynnhaven Park,2408442880,City,CP,Community Parks,15.1653,Great Neck
202,Trant Brookshire Parcel B Park,1498548374,City,GOS,General Open Space sites,2.0657,Great Neck
203,Trant Brookshire Parcel A Park,1498544157,City,GOS,General Open Space sites,2.7662,Great Neck
204,Great Neck Meadows Park,2408422854,City,NP,Neighborhood Parks,3.6729,Great Neck
205,South Hall Quarter Park,2408712071,City,NP,Neighborhood Parks,1.2552,Great Neck
206,Glouchester Park,2408401788,City,NP,Neighborhood Parks,1.2353,Great Neck
207,Kenstock Park, ,City,NP,Neighborhood Parks,0.7265,Great Neck
208,Deerwood Trace,1497883258,City,NP,Neighborhood Parks,2.9157,Great Neck
209,Point of Woods Park,2407174920,City,NP,Neighborhood Parks,7.714,Great Neck
210,Oceana Athletic Field Park,2407757433,City,NP,Neighborhood Parks,5.2584,Great Neck
211,Oceana Village Garden Park,2407645491,City,NP,Neighborhood Parks,1.6669,Great Neck
212,London Bridge Park,2407070716,City,NP,Neighborhood Parks,1.9219,Great Neck
213,Holy Family Church Ballfield,2408262509,City,NP,Neighborhood Parks,9.7032,Great Neck
214,Wolfsnare Park,1498807874,City,NP,Neighborhood Parks,0.8318,Great Neck
215,London Bridge Creek Park,1497524019,City,GOS,General Open Space sites,10.5849,Holland
216,Highland Meadows Park,1484231207,City,NP,Neighborhood Parks,4.375,Holland
217,Bow Creek Neighborhood Park,1486788331,City,NP,Neighborhood Parks,3.5748,Holland
218,Bow Creek Rec-Center, ,City,SURC,Special Use ? Recreation Center sites,3.3171,Holland
219,Bow Creek Golf Course, ,City,SUGC,Special Use ? Golf Courses,124.3735,Holland
220,Salem Lakes South Park,1474987671,City,NP,Neighborhood Parks,1.6149,Holland
221,Salem Lakes South Park,1474986715,City,NP,Neighborhood Parks,1.1378,Holland
222,Pecan Gardens Park, ,City,NP,Neighborhood Parks,0.4598,Holland
223,Hillcrest Farms Park,1474554336,City,NP,Neighborhood Parks,2.2084,Holland
224,Hillcrest Farms Park,1474555554,City,NP,Neighborhood Parks,1.6706,Holland
225,Doyle Way Park, ,City,NP,Neighborhood Parks,0.2581,Holland
226,Green Run Park,1485185599,City,NP,Neighborhood Parks,5.8528,Holland
227,The Lakes East Park,1486936032,City,NP,Neighborhood Parks,1.5801,Holland
228,River Oaks Park,1473973325,City,GOS,General Open Space sites,69.5324,Holland
229,Indian River Farms Park,1474701578,City,GOS,General Open Space sites,37.042,Holland
230,Brigands Quay Park,1495034618,City,NP,Neighborhood Parks,1.414,Holland
231,Highland Parish,1474940005,City,GOS,General Open Space sites,17.4633,Holland
232,Hillcrest Landing Parcel 1,1474566371,City,GOS,General Open Space sites,1.2841,Holland
233,Hillcrest Landing Parcel 2,1474568427,City,GOS,General Open Space sites,0.3291,Holland
234,Hillcrest Farms Parcel,1474747826,City,GOS,General Open Space sites,36.2447,Holland
235,Dewberry Farms Parcel,1474924642,City,GOS,General Open Space sites,10.3746,Holland
236,The Lakes Parcel 1,1496015423,City,GOS,General Open Space sites,0.4173,Holland
237,Hillcrest Landing Parcel 3,1474666229,City,GOS,General Open Space sites,17.4654,Holland
238,Kempsville Greens Golf Course,1476178592,City,SUGC,Special Use ? Golf Courses,47.6897,Kempsville
239,Kempsville Greens Golf Course,1476178592,City,SUGC,Special Use ? Golf Courses,68.5878,Kempsville
240,Carolanne Farm Park,1466180867,City,CP,Community Parks,10.3544,Kempsville
241,Carolanne Farm Park,1466185584,City,CP,Community Parks,11.2981,Kempsville
242,Fairfield Forest Park,1466178133,City,NP,Neighborhood Parks,1.6465,Kempsville
243,Woodstock Cove Park,1456567556,City,NP,Neighborhood Parks,5.0143,Kempsville
244,Woodstock Cove Park,1456665831,City,NP,Neighborhood Parks,0.5196,Kempsville
245,Woodstock Cove Park,1456661459,City,NP,Neighborhood Parks,3.0126,Kempsville
246,Fairfield Park,1466451678,City,NP,Neighborhood Parks,6.306,Kempsville
247,Woodstock Community Park,1456833244,City,CP,Community Parks,29.2951,Kempsville
248,Woodstock Community Park,1456832842,City,CP,Community Parks,1.4501,Kempsville
249,Stoneybrook Park, ,City,NP,Neighborhood Parks,1.1899,Kempsville
250,Chatham Hall Park,1466420995,City,NP,Neighborhood Parks,11.4112,Kempsville
251,Whitehurst Grove Park,1466116881,City,NP,Neighborhood Parks,1.6062,Kempsville
252,Level Green Park,1456511352,City,NP,Neighborhood Parks,10.065,Kempsville
253,Cedar Hill Park,1466011680,City,NP,Neighborhood Parks,3.2573,Kempsville
254,Dunbarton Park,1476414484,City,NP,Neighborhood Parks,3.0029,Kempsville
255,Level Green Park,1456413212,City,NP,Neighborhood Parks,0.4162,Kempsville
256,Newlight Park,1466107938,City,NP,Neighborhood Parks,4.7643,Kempsville
257,Level Green Parcel R-1 Park,1456307603,City,GOS,General Open Space sites,1.9829,Kempsville
258,Level Green Parcel R-2 Park,1456300272,City,GOS,General Open Space sites,0.815,Kempsville
259,Bellamy Woods Park,1475498294,City,NP,Neighborhood Parks,2.9472,Kempsville
260,Salem Woods Park,1475768771,City,CP,Community Parks,10.6545,Kempsville
261,Salem Woods Park,1475768771,City,CP,Community Parks,9.0609,Kempsville
262,Rosemont Forest Park,1475069033,City,NP,Neighborhood Parks,3.6318,Kempsville
263,Coventry Park,1475343840,City,NP,Neighborhood Parks,1.0458,Kempsville
264,Rosemont Forest Ball Fields,1475248569,City,NP,Neighborhood Parks,5.2662,Kempsville
265,Bellamy Plantation Park,1475736800,City,NP,Neighborhood Parks,2.5747,Kempsville
266,Brigadoon Pines Park,1465731734,City,NP,Neighborhood Parks,4.2825,Kempsville
267,Brigadoon Park,1465424892,City,NP,Neighborhood Parks,4.5182,Kempsville
268,Charlestowne East Park,1465223047,City,NP,Neighborhood Parks,0.5201,Kempsville
269,Brigadoon Woods Park,1465216581,City,NP,Neighborhood Parks,6.619,Kempsville
270,Charlestowne East Park,1465223047,City,NP,Neighborhood Parks,0.0739,Kempsville
271,Woodbridge Park,1464297709,City,CP,Community Parks,10.1975,Kempsville
272,Centerville Park,1454992628,City,NP,Neighborhood Parks,1.6488,Kempsville
273,Wyndamere Park,1474797277,City,NP,Neighborhood Parks,13.8066,Kempsville
274,Charlestowne Athletic Com. Park,1464186436,City,NP,Neighborhood Parks,7.1895,Kempsville
275,Alexandria 1-B Park,1454882587,City,NP,Neighborhood Parks,2.0555,Kempsville
276,Charlestowne Lakes South Sec. B Park,1464265372,City,NP,Neighborhood Parks,2.0782,Kempsville
277,Bentley Gate Park, ,City,NP,Neighborhood Parks,0.7936,Kempsville
278,Bellamy Plantation East Park, ,City,NP,Neighborhood Parks,0.7587,Kempsville
279,Stumpy Lake Golf Course,1464788948,City,SUGC,Special Use ? Golf Courses,343.504,Kempsville
280,Kempsville Rec. Center,1476043993,City,SURC,Special Use ? Recreation Center sites,8.1108,Kempsville
281,Larkdowns Park,1476043993,City,NP,Neighborhood Parks,14.9502,Kempsville
282,Carolanne Neighborhood Park,1466497060,City,NP,Neighborhood Parks,0.4758,Kempsville
283,Centerville Park,1455808194,City,NP,Neighborhood Parks,0.8247,Kempsville
284,Queen City Park,1456032720,City,NP,Neighborhood Parks,0.0968,Kempsville
285,Woodstock School Park,1456546414,City,NP,Neighborhood Parks,7.701,Kempsville
286,Parliament Village Park,1467417597,City,NP,Neighborhood Parks,2.7634,Kempsville
287,Stratford Chase Park,1466635447,City,NP,Neighborhood Parks,5.5643,Kempsville
288,Lecove Park,1456093201,City,NP,Neighborhood Parks,0.5803,Kempsville
289,St. Matthews Catholic Church Park,1456072294,City,NP,Neighborhood Parks,13.0113,Kempsville
290,Hunts Pointe Park,1456497095,City,NP,Neighborhood Parks,3.5762,Kempsville
291,Kempsville Park,1466741824,City,NP,Neighborhood Parks,9.7038,Kempsville
292,City View Park,1455608890,City,MP,Metro Parks,35.3072,Kempsville
293,Providence Park,1456730383,City,CP,Community Parks,24.1762,Kempsville
294,Centerville Tpk. Parcel A,1455737900,City,GOS,General Open Space sites,6.5058,Kempsville
295,Woodbridge Park,1465209431,City,CP,Community Parks,10.4584,Kempsville
296,Woodbridge Park,1465400292,City,CP,Community Parks,3.5193,Kempsville
297,Bentley Gate Parcel, ,City,GOS,General Open Space sites,45.1112,Kempsville
298,Country Haven Parcel 2, ,City,GOS,General Open Space sites,0.492,Kempsville
299,Country Haven Parcel 1, ,City,GOS,General Open Space sites,0.4047,Kempsville
300,Little Island Park,2432726712,City,SP,Signature Parks,89.9082,Courthouse Sandbridge
301,Stumpy Lake Park,1465704777,City,NRA,Natural Resource Areas,444.4567,Kempsville
302,Rosemont Forest Park #3,1465914778,City,NP,Neighborhood Parks,13.0759,Kempsville
303,Mill Dam Park,2408452724,City,NP,Neighborhood Parks,11.0435,Great Neck
304,Great Neck Neighborhood Park,1499608184,City,NP,Neighborhood Parks,5.6574,Great Neck
305,Great Neck Rec-Center,1499608184,City,SURC,Special Use ? Recreation Center sites,9.3385,Great Neck
306,Great Neck Park,1499608184,City,MP,Metro Parks,55.4706,Great Neck
