OBJECTID,MAPNO,INS,DC,BLK,LOT,SUBLOT,ACCOUNT,GPIN,CONDO_NAME,NOTES,CHGDATE,ParcelType,SHAPE_Length,SHAPE_Area
38168,23,,A,,87,, 23   A     87,2693-30-3650,,,2003-11-20T00:00:00.000Z,101,1696.19766,140666.911738
38169,20,N,1,,4,, 20N  1      4,2653-60-6855,,,,101,687.935956,24423.194039
38170,20,J,7,,22,, 20J  7     22,2653-80-1858,,,,101,703.512823,27097.116443
38171,20,J,13,,29,, 20J 13     29,2663-10-1804,,,,101,777.545352,27015.782387
38172,20,J,7,,11,, 20J  7     11,2653-80-8932,,,,101,693.430812,27649.425537
38173,20,J,13,,30,, 20J 13     30,2663-10-0962,,,,101,763.06368,24514.717784
38174,20,N,1,,2,, 20N  1      2,2653-61-5032,,,,101,688.542898,24534.892688
38175,20,J,11,,13,, 20J 11     13,2653-91-8070,,,,101,701.462085,26743.962047
38176,20,J,11,,17,, 20J 11     17,2663-01-4001,,,,101,669.910546,25709.999974
38177,20,J,7,,9,, 20J  7      9,2653-91-0102,,,,101,638.458121,22725.44555
38178,20,J,13,,33,, 20J 13     33,2663-01-8038,,,,101,815.484641,31903.566014
38179,20,J,2,,17,, 20J  2     17,2653-81-3142,,8,,101,695.031164,27697.89341
38180,23,,12,,5,, 23  12      5,2693-81-3049,,,2003-11-20T00:00:00.000Z,101,3186.858656,410983.317489
38181,20,J,13,,9,, 20J 13      9,2663-01-8531,,,,101,654.745914,23773.692872
38182,20,J,14,,4,, 20J 14      4,2652-99-0613,,,,101,1414.143539,55525.328426
38183,23,,A,,85,F, 23   A     85F,2692-39-0634,,,2004-03-12T00:00:00.000Z,101,1864.712202,192775.586432
38184,20,J,14,,6,, 20J 14      6,2652-89-8787,,,,101,1437.33433,63643.446462
38185,20,J,11,,50,, 20J 11     50,2652-99-8946,,,,101,848.404184,44534.639173
38186,20,J,11,,46,, 20J 11     46,2663-00-0124,,,,101,663.577854,24537.404957
38187,20,J,10,,19,, 20J 10     19,2652-89-6901,,,,101,2280.889606,232682.2043
38188,20,J,11,,23,, 20J 11     23,2663-00-9643,,,,101,634.873335,21734.772816
38189,20,J,11,,37,, 20J 11     37,2663-00-6621,,,,101,700.787777,26092.483621
38190,20,J,11,,6,, 20J 11      6,2663-00-0690,,,,101,839.462275,27584.435659
38191,20,J,10,,29,, 20J 10     29,2653-80-9650,,,,101,1296.375082,95820.48684
38192,20,J,11,,8,, 20J 11      8,2663-00-2733,,,,101,578.418341,19615.346676
38193,20,J,13,,28,, 20J 13     28,2663-10-1765,,,,101,791.115432,29126.258704
38194,20,J,7,,21,, 20J  7     21,2653-70-8884,,,,101,812.074952,36948.162951
38195,20,J,11,,21,, 20J 11     21,2663-00-7881,,,,101,689.673193,27070.286781
38196,20,J,7,,23,, 20J  7     23,2653-80-2863,,,,101,614.962528,20548.486522
38197,20,J,11,,10,, 20J 11     10,2663-00-1845,,,,101,686.46445,24590.077531
38198,20,J,13,,22,, 20J 13     22,2663-10-4848,,,,101,613.375951,21666.342028
38199,20,J,11,,19,, 20J 11     19,2663-00-5991,,,,101,634.71496,22004.965024
38200,20,N,1,,3,, 20N  1      3,2653-60-5993,,,,101,687.392669,24327.599166
38201,20,J,10,,9,, 20J 10      9,2653-90-7859,,,,101,956.463542,33478.840615
38202,20,J,11,,18,, 20J 11     18,2663-00-5905,,,,101,629.951146,21497.128803
38203,20,J,2,,64,, 20J  2     64,2653-81-3531,,,,101,651.325233,23515.015452
38204,20,J,15,,7,, 20J 15      7,2652-98-5906,,,,101,2061.594437,162096.141556
38205,20,J,14,,3,, 20J 14      3,2652-99-1549,,,,101,1561.580738,83390.250343
38206,20,J,15,,10,, 20J 15     10,2652-99-7780,,,,101,2095.131952,167600.384511
38207,20,J,11,,29,, 20J 11     29,2663-00-2060,,,,101,602.660011,20021.826739
38208,20,J,14,,2,, 20J 14      2,2652-99-4981,,,,101,1126.179325,75450.644445
38209,20,J,11,,27,, 20J 11     27,2663-00-7146,,,,101,648.940549,23483.226904
38210,20,J,11,,31,, 20J 11     31,2663-00-3187,,,,101,746.038229,27348.366547
38211,22,,A,,65,A, 22   A     65A,2673-90-9518,,,,101,874.403515,43744.937751
38212,20,J,11,,7,, 20J 11      7,2663-00-1675,,,,101,749.480673,24193.466683
38213,20,J,7,,14,, 20J  7     14,2653-80-5771,,,,101,618.509781,20785.846677
38214,20,J,11,,38,, 20J 11     38,2663-00-5703,,,,101,683.83766,26878.655409
38215,20,J,7,,24,, 20J  7     24,2653-80-3777,,,,101,708.493227,30403.978725
38216,20,J,11,,9,, 20J 11      9,2663-00-2893,,,,101,627.458646,24066.671666
38217,20,J,11,,20,, 20J 11     20,2663-00-6886,,,,101,640.990317,22329.419886
38218,20,J,10,,31,, 20J 10     31,2653-90-1842,,,,101,930.958044,38077.353414
38219,20,J,11,,11,, 20J 11     11,2663-00-0849,,,,101,740.864195,26840.294786
38220,20,J,7,,25,, 20J  7     25,2653-80-4913,,,,101,745.533815,27430.423175
38221,20,J,13,,21,, 20J 13     21,2663-10-3996,,,,101,630.598742,21692.964207
38222,20,J,11,,12,, 20J 11     12,2653-90-9954,,,,101,731.37641,27685.289449
38223,20,J,10,,34,, 20J 10     34,2653-91-3090,,,,101,675.501061,22601.660396
38224,20,J,13,,31,, 20J 13     31,2663-10-0909,,,,101,769.474877,25215.183753
38225,20,J,7,,26,, 20J  7     26,2653-81-5001,,,,101,649.947374,23880.747149
38226,20,J,2,,19,, 20J  2     19,2653-81-0083,,8,,101,770.160341,36540.395225
38227,20,J,7,,10,, 20J  7     10,2653-81-9031,,,,101,701.652724,28482.459756
38228,20,J,11,,16,, 20J 11     16,2663-01-2077,,,,101,678.103856,26606.901727
38229,20,J,10,,35,, 20J 10     35,2653-91-4068,,,,101,686.142981,23910.743246
38230,20,J,11,,15,, 20J 11     15,2663-01-1173,,,,101,633.090718,21601.971792
38231,20,J,7,,27,, 20J  7     27,2653-81-5190,,,,101,711.398841,27227.798785
38232,20,J,7,,8,, 20J  7      8,2653-91-0241,,,,101,621.655418,21007.16192
38233,20,J,13,,35,, 20J 13     35,2663-01-6274,,,,101,565.064448,18003.822876
38234,20,J,11,,14,, 20J 11     14,2663-01-1202,,,,101,862.674265,36816.217372
38235,20,J,2,,70,, 20J  2     70,2653-81-1248,,,,101,720.501377,30785.579708
38236,20,J,13,,18,, 20J 13     18,2663-11-1295,,,,101,770.456429,35074.765634
38237,20,J,13,,36,, 20J 13     36,2663-01-5381,,,,101,660.018761,26494.086794
38238,20,J,7,,7,, 20J  7      7,2653-91-0383,,,,101,705.727917,29926.792711
38239,20,J,13,,2,, 20J 13      2,2663-01-3368,,,,101,746.360452,31910.505956
38240,20,J,7,,31,, 20J  7     31,2653-81-8441,,,,101,734.455003,28308.794716
38241,23,,12,,7,, 23  12      7,2693-91-0005,,,2003-11-20T00:00:00.000Z,101,2458.073373,257253.593862
38242,20,J,13,,10,, 20J 13     10,2663-01-7453,,,,101,680.15605,26712.969256
38243,20,J,13,,3,, 20J 13      3,2663-01-4448,,,,101,688.740946,24855.456689
38244,20,J,7,,4,, 20J  7      4,2653-91-4485,,,,101,888.00006,37357.189274
38245,21,A,4,,180,, 21A  4    180,2664-73-6879,,,,101,447.485286,4958.172669
38246,21,I,2,,17,, 21I  2     17,2674-23-3954,,,,101,296.461749,4603.220246
38247,21,A,4,,23,, 21A  4     23,2664-73-1829,,,,101,486.102824,5623.742297
38248,20,T,1,,10,, 20T  1     10,2663-45-2224,,,,101,1682.06508,112646.394234
38249,23,F,2,,6,, 23F  2      6,2693-15-1310,,,,101,670.194003,23278.747038
38250,20,M,2,,10,, 20M  2     10,2663-15-7169,,,,101,1959.914024,147069.726062
38251,20,A,14,,20,, 20A 14     20,2654-72-7658,,,,101,911.291807,50486.574905
38252,20,S,5,,59,, 20S  5     59,2664-13-4932,,,,101,680.062934,28906.962725
38253,21,A,4,,20,, 21A  4     20,2664-73-0952,,,,101,488.417646,5877.794235
38254,21,A,4,,19,, 21A  4     19,2664-73-0932,,,,101,484.521981,5455.974093
38255,21,A,4,,174,, 21A  4    174,2664-73-5935,,,,101,449.192715,5107.79617
38256,23,,A,,72,A, 23   A     72A,2693-01-9714,,,2003-11-20T00:00:00.000Z,101,836.863401,43735.57862
38257,20,J,2,,9,, 20J  2      9,2653-81-8794,,,,101,682.511473,25758.814882
38258,21,,8,,2,A, 21   8      2A,2673-52-7103,,,2003-11-25T00:00:00.000Z,101,1496.728805,70283.4147
38259,20,J,2,,4,, 20J  2      4,2653-92-1255,,,,101,626.186093,21221.349045
38260,20,,5,,1,, 20   5      1,2653-52-7039,,,,101,488.722815,15721.441149
38261,69,,3,,8,, 69   3      8,2557-98-0878,,,2004-01-16T00:00:00.000Z,101,5138.866944,738933.49552
38262,16,,A,,21,, 16   A     21,3624-57-5606,,,2010-05-14T00:00:00.000Z,101,3132.780979,498753.577429
38263,68,A,6,,3,, 68A  6      3,2547-45-0098,,,2004-01-15T00:00:00.000Z,101,947.565781,42557.995905
38264,9,,7,,3,,  9   7      3,3636-43-8027,,,2003-12-03T00:00:00.000Z,101,7629.259414,1645000.164622
38265,59,,A,,56,D, 59   A     56D,3529-47-7411,,,2004-02-04T00:00:00.000Z,101,3075.065673,388957.238226
38266,,,,,,,,3529-47-1392,,ROW,2010-05-27T00:00:00.000Z,102,1403.297353,6282.540227
38267,59,,A,,56,, 59   A     56,3529-57-8533,,,2004-02-04T00:00:00.000Z,101,8303.057626,2834922.227519
38268,47,,A,,36,, 47   A     36,3630-00-7041,,,2004-01-08T00:00:00.000Z,101,1550.526889,135200.876311
38269,60,,A,,15,, 60   A     15,3539-18-6926,,,2004-02-05T00:00:00.000Z,101,1975.644166,192298.568594
38270,47,,A,,39,, 47   A     39,3630-22-8117,,,2004-01-09T00:00:00.000Z,101,11632.183072,5353358.139432
38271,42,,A, ,20, , 42   A     20,2660-62-0527, , ,2003-12-30T00:00:00.000Z,101,1423.343615,101787.419534
38272,20,J,10,,33,, 20J 10     33,2653-91-2051,,,,101,1154.258243,43529.782825
38273,20,J,10,,7,, 20J 10      7,2653-91-9221,,,,101,660.481151,25473.748135
38274,12,G,1,,26,, 12G  1     26,2664-79-2312,,,2003-11-21T00:00:00.000Z,101,653.877294,21610.77668
38275,20,J,2,,16,, 20J  2     16,2653-81-4221,,,,101,638.592337,22200.696397
38276,20,J,7,,29,, 20J  7     29,2653-81-7261,,,,101,744.805253,26457.075283
38277,20,J,10,,6,, 20J 10      6,2653-91-9383,,,,101,676.472191,26086.856526
38278,20,J,7,,30,, 20J  7     30,2653-81-7391,,,,101,724.181251,26264.031829
38279,12,G,1,,27,, 12G  1     27,2664-79-1282,,,2003-11-21T00:00:00.000Z,101,695.069498,25721.80065
38280,20,J,13,,12,, 20J 13     12,2663-11-0311,,,,101,608.606532,22916.353571
38281,20,J,10,,5,, 20J 10      5,2663-01-1415,,,,101,1044.784466,51758.066809
38282,20,J,2,,65,, 20J  2     65,2653-81-2461,,,,101,707.019088,30889.887004
38283,20,J,7,,5,, 20J  7      5,2653-91-3389,,,,101,787.531587,30611.020009
38284,20,J,2,,12,, 20J  2     12,2653-81-6563,,,,101,643.922988,22234.294934
38285,23,,A,,81,, 23   A     81,2683-91-9415,,,2003-11-20T00:00:00.000Z,101,1406.967056,119163.44595
38286,20,,7,,2,A, 20   7      2A,2653-61-2575,,,,101,1157.529471,56055.049056
38287,20,J,13,,4,, 20J 13      4,2663-01-5515,,,,101,679.895996,24725.361073
38288,21,A,4,,228,, 21A  4    228,2664-74-9258,,,,101,498.215313,5743.098554
38289,20,I,13,,3,, 20I 13      3,2653-85-3103,,,,101,1797.026821,77095.680034
38290,23,,A,,148,, 23   A    148,2694-42-6454,,,,101,2908.023177,472878.883991
38291,21,B,1,,51,, 21B  1     51,2664-62-1744,,,,101,522.130174,5736.240796
38292,20,C,1,,39,B, 20C  1     39B,2664-33-9995,,,,101,418.260726,4927.747663
38293,21,A,4,,175,, 21A  4    175,2664-73-5954,,,,101,448.704371,5061.206342
38294,21,I,2,,22,, 21I  2     22,2674-23-4977,,,,101,307.836231,4881.350142
38295,20,A,12,,3,, 20A 12      3,2654-73-9993,,,,101,646.854852,24821.479583
38296,20,J,10,,8,, 20J 10      8,2653-91-7067,,,,101,703.918579,29884.215937
38297,20,J,13,,37,, 20J 13     37,2663-01-5134,,,,101,735.323263,32350.238396
38298,20,J,13,,19,, 20J 13     19,2663-11-2175,,,,101,675.937307,25698.189676
38299,20,J,10,,36,, 20J 10     36,2653-91-5126,,,,101,715.095206,26398.316088
38300,20,J,13,,34,, 20J 13     34,2663-01-7132,,,,101,849.830356,38109.363545
38301,20,J,13,,1,, 20J 13      1,2663-01-3205,,,,101,725.038175,30888.257264
38302,20,J,2,,71,, 20J  2     71,2653-81-0208,,,,101,662.125659,24618.232282
38303,20,J,10,,38,, 20J 10     38,2653-91-6279,,,,101,688.773002,21678.291383
38304,20,J,2,,14,, 20J  2     14,2653-81-5347,,,,101,631.819577,21122.206609
38305,23,,12,,8,, 23  12      8,2693-90-2959,,,2003-11-20T00:00:00.000Z,101,2423.253936,238033.110689
38306,20,J,7,,6,, 20J  7      6,2653-91-2267,,,,101,1146.128128,72880.531226
38307,20,,7,,1,A, 20   7      1A,2653-61-2379,,,,101,875.649234,45714.026767
38308,20,J,2,,13,, 20J  2     13,2653-81-6405,,,,101,643.286748,22311.611803
38309,20,J,13,,13,, 20J 13     13,2663-11-0476,,,,101,637.370401,22512.35883
38311,21,G,7,A,A,, 21G  7  A   A,2674-23-8889,,,,101,622.717993,22591.253992
38312,23,,A,,10,A, 23   A     10A,2694-13-7886,,,,101,678.252718,25432.851203
38313,21,A,4,,24,, 21A  4     24,2664-73-1848,,,,101,484.481406,5446.717079
38314,21,A,4,,179,, 21A  4    179,2664-73-6940,,,,101,446.941422,4891.56062
38315,20,C,1,,39,, 20C  1     39,2664-43-0930,,,,101,501.226901,10641.030331
38316,20,J,5,,1,, 20J  5      1,2653-85-8279,,,,101,637.250825,22291.334857
38317,23,K,1,F,6,, 23K  1  F   6,3603-15-8274,,,,101,875.768888,34671.914617
38318,23,F,3,,8,, 23F  3      8,2683-95-7224,,,,101,1053.821917,45177.132437
38319,20,J,7,,2,, 20J  7      2,2653-91-6720,,,,101,837.100046,39463.119024
38320,23,,A,,74,, 23   A     74,2693-01-4726,,,2003-11-20T00:00:00.000Z,101,967.029937,58183.36362
38321,20,L,1,,22,, 20L  1     22,2653-71-8747,,,,101,573.190905,17992.718593
38322,21,K,1,,2,, 21K  1      2,2663-92-6189,,,,101,1246.640005,91834.400076
38323,20,L,1,,16,, 20L  1     16,2653-62-9002,,,,101,681.767034,24367.799364
38324,20,J,2,,32,, 20J  2     32,2653-82-5046,,,,101,628.495279,21966.611977
38325,21,K,1,,1,, 21K  1      1,2663-91-6915,,,,101,1242.112593,89679.616833
38326,20,L,1,,27,, 20L  1     27,2653-72-6005,,,,101,795.399333,40384.580631
38327,23,,A,,72,, 23   A     72,2693-11-0959,,,2003-11-20T00:00:00.000Z,101,1495.459924,134142.984272
38328,17,,A,,20,, 17   A     20,3624-58-1899,,,2003-12-30T00:00:00.000Z,101,6828.477762,2380607.471471
38329,16,,A,,22,, 16   A     22,3624-47-7712,,,2014-10-15T00:00:00.000Z,101,4702.483415,717270.037488
38330,16,,A,,20,, 16   A     20,3624-57-1306,,,2010-05-14T00:00:00.000Z,101,1978.091643,224885.825394
38331,9,,7,,1,,  9   7      1,3636-22-7570,,,2003-12-03T00:00:00.000Z,101,6026.288329,1671177.597096
38332,9,,7,,2,,  9   7      2,3636-33-9102,,,2003-12-03T00:00:00.000Z,101,6161.34345,1740635.569837
38333,17,A,1,,336,, 17A  1    336,3636-20-4578,,,2003-12-10T00:00:00.000Z,101,585.18668,7131.928638
38334,59,A,1,,1,, 59A  1      1,3529-47-4840,,,2004-02-04T00:00:00.000Z,101,564.680798,15475.367252
38335,59,A,1,,5,, 59A  1      5,3529-47-3313,,TAX EXEMPT,2010-05-27T00:00:00.000Z,202,650.903828,25056.914438
38336,59,A,1,,3,, 59A  1      3,3529-47-3448,,TAX EXEMPT,2010-05-27T00:00:00.000Z,202,901.523632,50165.63435
38337,60,,6,,1,, 60   6      1,3539-28-8369,,,2005-04-08T00:00:00.000Z,101,11112.027564,3292929.231229
38338,47,,A,,38,, 47   A     38,3539-29-6772,,,2004-01-08T00:00:00.000Z,101,9531.459338,2442541.762076
38339,60,,A,,14,B, 60   A     14B,3539-17-1372,,,2004-02-06T00:00:00.000Z,101,14909.293356,6487108.524548
38340,23,E,4,,26,, 23E  4     26,2693-59-5784,,,,101,1545.815966,113979.551308
38341,83,A,11,35,10,, 83A 11 35  10,2556-36-9336,,,2004-01-22T00:00:00.000Z,101,342.50681,4262.489238
38342,21,B,1,,52,, 21B  1     52,2664-62-1726,,,,101,520.809878,5879.258393
38343,21,,A,,83,A, 21   A     83A,2664-82-6810,,TAX EXEMPT,,202,278.61194,4515.235816
38344,22,C,11,,E,, 22C 11      E,2684-12-9676,,,2003-11-22T00:00:00.000Z,101,1294.035062,28619.458103
38345,21,B,3,,7,, 21B  3      7,2664-52-7785,,,,101,617.743856,21070.939757
38346,21,A,4,,18,, 21A  4     18,2664-73-0913,,,,101,486.058132,5622.264531
38347,,,,,,,,2674-23-6729,,ROW,2003-11-17T00:00:00.000Z,102,1263.797114,27016.785436
38348,20,C,1,,42,, 20C  1     42,2664-33-7976,,,,101,508.017113,16115.567502
38349,23,,A,,71,, 23   A     71,2693-11-1733,,,2003-11-20T00:00:00.000Z,101,919.340897,50109.910196
38350,20,J,2,,52,, 20J  2     52,2653-82-4225,,,,101,661.470701,25905.013709
38351,20,L,1,,13,, 20L  1     13,2653-62-7228,,,,101,614.00962,20154.666797
38352,20,L,1,,28,, 20L  1     28,2653-72-6214,,,,101,878.884647,45699.070234
38353,20,,A,,45,A, 20   A     45A,2653-52-4210,,,,101,953.753429,52828.851764
38354,59,A,1,,2,, 59A  1      2,3529-47-4608,,,2004-02-04T00:00:00.000Z,101,763.135582,36081.553779
38355,,,,,,,,3630-22-8189,,ROW,2010-05-27T00:00:00.000Z,102,607.787542,2856.074551
38356,47,D,1,,1,, 47D  1      1,3630-20-0325,,,2004-01-06T00:00:00.000Z,101,958.356843,45633.686025
38357,23,,A,,132,A, 23   A    132A,2693-59-1157,,,,101,4216.971032,679643.676789
38358,23,,A,,125,, 23   A    125,2694-20-8392,,,2010-05-28T00:00:00.000Z,101,2430.906798,289131.875719
38359,23,,3,,1,, 23   3      1,2694-20-8392,,,,101,2081.427572,184092.316966
38360,23,E,4,,12,, 23E  4     12,2693-69-2408,,,,101,1037.117788,42475.676774
38361,23,E,4,,11,, 23E  4     11,2693-69-1567,,,,101,1056.047827,44149.556802
38362,23,E,4,,10,, 23E  4     10,2693-69-1638,,,,101,1047.999537,48558.094541
38363,23,E,4,,9,, 23E  4      9,2693-69-1709,,,,101,1030.51935,42764.863668
38364,55,A,1, ,6, , 55A  1      6,2579-22-8896, ,,2004-01-22T00:00:00.000Z,101,1194.303197,81543.820056
38365,55,A,1, ,8, , 55A  1      8,2579-22-5285, ,,2004-01-22T00:00:00.000Z,101,1722.931765,152057.598637
38366,20,N,1,,1,, 20N  1      1,2653-61-4180,,,,101,680.804555,23809.678207
38367,23,,A,,88,, 23   A     88,2693-31-1085,,,2003-11-20T00:00:00.000Z,101,1256.83148,88990.187752
38368,20,J,7,,28,, 20J  7     28,2653-81-6194,,,,101,736.679311,25985.449991
38369,20,J,10,,37,, 20J 10     37,2653-91-5293,,,,101,715.019066,25378.334926
38370,23,,12,,10,, 23  12     10,2693-90-7849,,,2003-11-20T00:00:00.000Z,101,2384.98287,236581.57164
38371,20,J,2,,15,, 20J  2     15,2653-81-4380,,,,101,644.086849,22690.499053
38372,23,,A,,88,A, 23   A     88A,2693-31-0252,,,2003-11-20T00:00:00.000Z,101,1510.398605,86170.160456
38373,23,,12,,9,, 23  12      9,2693-90-4995,,,2003-11-20T00:00:00.000Z,101,2436.293425,244891.92296
38374,20,J,13,,11,, 20J 13     11,2663-01-9326,,,,101,608.765595,21078.397871
38375,22,,A,,58,A, 22   A     58A,2673-71-0391,,,2003-11-25T00:00:00.000Z,101,1193.948789,63671.168676
38376,20,,A,,42,A, 20   A     42A,2653-31-7366,,,,101,2107.185492,84916.91351
38377,20,J,2,,69,, 20J  2     69,2653-71-9476,,,,101,844.958479,39165.299933
38378,23,,A,,89,, 23   A     89,2693-21-8316,,,2003-11-20T00:00:00.000Z,101,2297.719663,171110.446657
38379,23,,12,,6,, 23  12      6,2693-81-7059,,,2003-11-20T00:00:00.000Z,101,2399.830885,230373.462457
38380,20,J,10,,39,, 20J 10     39,2653-91-7473,,,,101,883.615084,44532.125723
38381,20,,A,,59,H, 20   A     59H,2653-91-6593,,,,101,771.280818,22788.139682
38382,20,B,2,,6,G1, 20B  2      6G1,2664-13-7895,,,,101,855.141207,22394.185228
38383,20,S,5,,42,, 20S  5     42,2664-13-2878,,,,101,645.7361,25955.50813
38384,23,A,2,,77,, 23A  2     77,2694-33-0950,,,,101,507.64004,10930.425147
38385,20,S,5,,3,, 20S  5      3,2664-13-6933,,,,101,565.671354,18301.665923
38386,23,K,1,F,5,, 23K  1  F   5,3603-15-7274,,,,101,854.934609,30812.57311
38387,23,F,3,,2,, 23F  3      2,2693-05-0392,,,,101,625.612277,23881.506425
38388,20,I,9,,B,, 20I  9      B,2653-65-9272,,,,101,1391.329011,114942.457078
38389,42,A,3, ,2, , 42A  3      2,2660-62-3544, , ,2003-12-30T00:00:00.000Z,101,2074.657186,224284.863243
38390,42,A,3, ,1, , 42A  3      1,2660-52-9192, , ,2003-12-30T00:00:00.000Z,101,2235.100872,175711.966403
38391,23,E,4,,27,, 23E  4     27,2693-59-7829,,,,101,774.125037,37255.130989
38392,23,E,4,,32,, 23E  4     32,2694-50-1637,,,,101,2043.235673,91575.780282
38393,23,E,4,,7,, 23E  4      7,2693-69-0948,,,,101,1044.364358,42316.457902
38394,23,E,4,,15,, 23E  4     15,2693-69-3114,,,,101,1012.545333,46304.113475
38395,23,E,4,,13,, 23E  4     13,2693-69-2326,,,,101,1065.048824,51483.5887
38396,23,E,4,,8,, 23E  4      8,2693-69-0878,,,,101,1028.112003,39517.954132
38397,23,E,4,,5,, 23E  4      5,2694-50-9186,,,,101,1043.542943,39741.653175
38398,83,A,11,35,9,A, 83A 11 35   9A,2556-36-9315,,,2004-01-22T00:00:00.000Z,101,311.883564,2160.05391
38399,23,,A,,12,A, 23   A     12A,2694-23-2108,,,2003-11-20T00:00:00.000Z,101,2083.844778,194099.062589
38400,23,,1,,4,, 23   1      4,2694-12-2728,,,2010-06-02T00:00:00.000Z,101,2015.182376,215116.396448
38401,55,A,1, ,1, , 55A  1      1,2579-33-4496, ,,2004-01-22T00:00:00.000Z,101,813.659505,40624.461722
38402,55,A,1, ,3, , 55A  1      3,2579-33-2267, ,,2004-01-22T00:00:00.000Z,101,832.756202,41780.425386
38403,55,,A, ,97, , 55   A     97,2579-20-0298, ,,2004-01-26T00:00:00.000Z,101,13644.229169,7805017.629114
38404,22,I,4,,173,, 22I  4    173,2683-59-5958,,,2010-06-07T00:00:00.000Z,101,213.456684,2228.907601
38405,22,I,4,,169,, 22I  4    169,2683-59-6966,,,2010-06-07T00:00:00.000Z,101,194.998695,1461.501477
38406,22,I,4,,168,, 22I  4    168,2683-59-6987,,,2010-06-07T00:00:00.000Z,101,194.999363,1461.517766
38407,22,I,4,,164,, 22I  4    164,2683-59-7967,,,2010-06-07T00:00:00.000Z,101,214.501152,2231.804659
38408,20,I,13,,4,, 20I 13      4,2653-85-3061,,,,101,1979.898685,123468.98871
38409,23,K,3,,9,, 23K  3      9,3603-05-2129,,,,101,716.412349,19142.282838
38410,20,J,8,,2,, 20J  8      2,2653-95-3241,,,,101,1177.935358,58645.088067
38411,23,F,1,,5,, 23F  1      5,2693-05-4208,,,,101,642.038283,22520.019896
38412,83,A,11,35,9,, 83A 11 35   9,2556-36-9304,,,2004-01-22T00:00:00.000Z,101,309.512217,2026.197039
38413,23,,A,,9,A, 23   A      9A,2694-03-4493,,,2010-06-02T00:00:00.000Z,101,843.24414,28130.02614
