OBJECTID,BLOCKID10,HOUSING10,POP10,LandSqMi,PopSqMi
5285,518100424001026,13,26,0.00913,2847.754655
4796,518100454144002,40,80,0.00331,24169.18429
5286,518100448074009,0,0,0.00205,0
4797,518100454211008,25,92,0.01317,6985.573273
5288,518100400001000,0,0,0.4871,0
4798,518100400002062,0,0,0.0015,0
4799,518100454065004,26,103,0.00763,13499.344692
5289,518100400002011,0,0,0.02603,0
4800,518100404041009,15,40,0.00281,14234.875445
5290,518100454065012,0,0,0.00069,0
4801,518100402002003,0,0,0.03423,0
5291,518100402001027,0,0,0.00161,0
4802,518100404041025,0,0,0.00719,0
5292,518100442002006,32,88,0.0069,12753.623188
5293,518100402001044,0,0,0.00058,0
4803,518100460121005,29,76,0.00664,11445.783133
5294,518100402001030,47,87,0.15384,565.522621
4804,518100448072049,0,0,0.00041,0
4805,518100442004012,0,0,0.0027,0
4806,518100454233005,0,0,0.00013,0
5295,518100460132010,1,0,0.00031,0
4807,518100420001026,89,213,0.16856,1263.644993
5296,518100402001069,0,0,0.00431,0
5297,518100402001065,32,71,0.02249,3156.958648
4808,518100454121059,15,33,0.40694,81.093036
5298,518100462072002,15,50,0.00523,9560.229446
5299,518100462042051,7,23,0.0129,1782.945736
4809,518100418022017,0,0,0.00041,0
5300,518100462042010,25,64,0.01656,3864.7343
4810,518100414001000,0,0,0.00195,0
5301,518100462042027,6,17,0.00331,5135.951662
4811,518100430021037,0,0,0.00026,0
5302,518100462042021,8,19,0.00484,3925.619835
4812,518100422022040,0,0,0.00014,0
4813,518100456011025,0,0,0.00021,0
5303,518100462042053,22,50,0.01065,4694.835681
4814,518100426002031,0,0,0.00176,0
5304,518100462201001,0,0,0.00014,0
4815,518100410021021,48,106,0.01393,7609.475951
5305,518100462201015,1,2,0.0007,2857.142857
5306,518100460102012,14,36,0.00647,5564.142195
4816,518100460064005,0,0,0.00086,0
5307,518100462041013,32,88,0.01437,6123.869172
4817,518100458031003,0,0,0.00744,0
4818,518100462041034,0,0,0.00071,0
5308,518100462041010,22,62,0.01062,5838.041431
4819,518100454084018,0,0,0.00256,0
5309,518100412003018,0,0,0.00027,0
5310,518100456031023,16,51,0.0075,6800
4820,518100454084016,0,0,0.00184,0
5311,518100456031022,25,59,0.00713,8274.894811
4821,518100420002013,9,26,0.01127,2307.00976
5312,518100456043001,19,57,0.00769,7412.223667
5313,518100458013020,0,0,0,0
4822,518100420002001,121,353,0.26076,1353.735235
5314,518100424001001,92,257,0.08477,3031.732924
4823,518100422021009,75,222,0.10047,2209.61481
5315,518100456042002,200,395,0.02553,15471.993733
4824,518100448073003,0,0,0.00022,0
5316,518100456012007,15,44,0.00758,5804.74934
4825,518100422012000,1,1,0.0007,1428.571429
5317,518100424004014,18,47,0.00763,6159.895151
4826,518100432001052,0,0,0.01813,0
5318,518100424004015,26,59,0.0115,5130.434783
4827,518100432001047,0,0,0.00582,0
5319,518100456031002,0,0,0.00058,0
4828,518100430033003,18,46,0.00956,4811.715481
5320,518100460111005,124,340,0.05231,6499.713248
4829,518100430031019,16,29,0.00663,4374.057315
4830,518100430031007,20,33,0.0034,9705.882353
5321,518100456042013,183,380,0.01862,20408.163265
4831,518100430031023,11,26,0.01352,1923.076923
5322,518100458011032,14,35,0.00604,5794.701987
4832,518100430033028,0,0,0.0005,0
4833,518100430042010,10,21,0.00356,5898.876404
5323,518100458011026,17,55,0.00695,7913.669065
4834,518100454233050,18,60,0.00595,10084.033613
5324,518100458012010,42,105,0.02043,5139.500734
5325,518100444012016,14,36,0.01201,2997.502082
4835,518100430041012,1,4,0.00043,9302.325581
4836,518100430022035,4,8,0.00381,2099.737533
5326,518100454055002,27,94,0.01124,8362.989324
4837,518100430022006,45,144,0.04771,3018.235171
5327,518100432001097,0,0,0.01166,0
4838,518100454072006,12,43,0.00523,8221.797323
5328,518100438003004,14,34,0.02276,1493.848858
4839,518100454062010,4,8,0.00374,2139.037433
5329,518100432001108,0,0,0.00205,0
4840,518100454222010,136,339,0.05141,6594.047851
5330,518100462224008,71,201,0.04341,4630.269523
5331,518100456043009,60,79,0.00216,36574.074074
4841,518100450001046,0,0,0.01811,0
5332,518100410034016,0,0,0.01051,0
4842,518100454201008,124,94,0.07758,1211.652488
5333,518100402001034,0,0,0.00019,0
4843,518100448071011,15,30,0.00623,4815.40931
5334,518100402001061,0,0,0.00151,0
5335,518100404022010,0,0,0.0128,0
4844,518100448062006,19,40,0.00644,6211.180124
4845,518100448063025,36,82,0.00922,8893.709328
5336,518100432001030,0,0,0.00135,0
4846,518100448062011,40,82,0.01252,6549.520767
5337,518100400002009,0,0,0.00728,0
5338,518100418023001,0,0,0.00074,0
4847,518100448062004,16,35,0.00728,4807.692308
5339,518100444022013,0,0,0.00037,0
4848,518100452001006,0,0,0.05317,0
5340,518100440012011,0,0,0.00074,0
4849,518100462042001,36,92,0.02193,4195.166439
5341,518100448071000,0,0,0.0006,0
5342,518100448072031,23,45,0.00223,20179.372197
4850,518100444011014,58,154,0.14292,1077.525889
5343,518100462041024,31,75,0.02664,2815.315315
5344,518100460102021,16,61,0.00766,7963.446475
4851,518100444022012,144,200,0.00338,59171.597633
5345,518100460102015,16,38,0.00714,5322.128852
4852,518100462231014,10,33,0.0049,6734.693878
5346,518100442001034,1,2,0.00394,507.614213
4853,518100462202009,79,245,0.03013,8131.430468
5347,518100410043030,4,4,0.01706,234.466589
5348,518100462203001,93,288,0.04891,5888.366387
4854,518100430022005,174,489,0.22863,2138.826926
5349,518100462213007,70,174,0.01047,16618.911175
5350,518100462211007,33,81,0.01402,5777.46077
5351,518100408011000,0,0,0.00187,0
5352,518100462212005,16,44,0.00958,4592.901879
4855,518100428021016,36,103,0.01637,6291.997557
5353,518100462211002,50,133,0.00786,16921.119593
4856,518100454262006,63,164,0.0194,8453.608247
5354,518100462212004,33,71,0.00234,30341.880342
4857,518100456041010,0,0,0.01142,0
5355,518100416003010,0,0,0.00054,0
4858,518100402001042,0,0,0.01886,0
5356,518100462221005,126,371,0.12733,2913.68884
4859,518100402001040,0,0,0.06906,0
4860,518100454071003,0,0,0.0041,0
5357,518100424002007,34,92,0.01506,6108.897742
4861,518100412003020,0,0,0.00035,0
4862,518100454074007,0,0,0.0009,0
5358,518100424003001,40,121,0.02012,6013.916501
4863,518100404041015,32,96,0.03124,3072.983355
5359,518100424001007,0,0,0.00125,0
5360,518100424004007,12,34,0.00599,5676.126878
4864,518100404042050,106,239,0.01306,18300.153139
5361,518100424004021,16,52,0.00693,7503.607504
4865,518100406003030,0,0,0.01277,0
5362,518100424004022,16,38,0.00694,5475.504323
4866,518100434002043,32,65,0.00819,7936.507937
5363,518100456042012,208,463,0.0288,16076.388889
4867,518100430021044,40,112,0.03623,3091.360751
5364,518100424001019,16,39,0.00591,6598.984772
4868,518100430021060,20,42,0.01158,3626.943005
5365,518100422022010,17,35,0.01579,2216.59278
4870,518100430042024,6,15,0.00351,4273.504273
4871,518100444012035,28,86,0.02316,3713.298791
5366,518100424002004,26,69,0.00941,7332.624867
5367,518100426002014,0,0,0.00444,0
4872,518100440032004,26,44,0.00737,5970.149254
5368,518100428011011,25,69,0.01013,6811.451135
4873,518100432001051,0,0,0.00119,0
5369,518100458051011,7,20,0.00358,5586.592179
4874,518100432001081,0,0,0.00245,0
5370,518100464001026,7,5,0.06693,74.704916
4875,518100432001031,0,0,0.00261,0
4876,518100432001012,0,0,0.01189,0
4877,518100432001053,0,0,0.10617,0
5371,518100460022004,123,324,0.09183,3528.258739
5372,518100402001020,0,0,0.00195,0
4878,518100432001061,0,0,0.00196,0
4879,518100432001060,0,0,0.00211,0
5373,518100460024004,46,131,0.14863,881.383301
4880,518100432001067,0,0,0.0061,0
5374,518100462073011,210,492,0.02219,22172.149617
4881,518100448062021,0,0,0.00127,0
4882,518100450001064,0,0,0.00355,0
5375,518100462203004,40,137,0.00694,19740.634006
4883,518100450001045,0,0,0.0188,0
5376,518100418011004,17,35,0.0109,3211.009174
4884,518100446003020,0,0,0.00651,0
5377,518100400002060,0,0,0.00493,0
4885,518100446003015,0,0,0.00434,0
5378,518100448051027,0,0,0.00099,0
4886,518100440014000,0,0,0.00289,0
5379,518100448051029,0,0,0.00034,0
4887,518100454143009,4,10,0.00023,43478.26087
5380,518100448052004,0,0,0.00052,0
4889,518100442001009,10,19,0.00702,2706.552707
5381,518100448071036,0,0,0.00166,0
4890,518100438002029,48,64,0.00227,28193.832599
5382,518100448052009,0,0,0.00092,0
5383,518100448052033,0,0,0.00085,0
4891,518100440042025,9,10,0.00933,1071.811361
5384,518100448074021,0,0,0.00138,0
4892,518100438003038,0,0,0.00739,0
4893,518100440042004,2,3,0.00369,813.00813
5385,518100442004033,0,0,0.00039,0
4894,518100440042046,46,67,0.00473,14164.904863
5386,518100410033009,0,0,0.0095,0
4895,518100454201003,78,223,0.07635,2920.759659
5387,518100448083016,0,0,0.00176,0
5388,518100462221032,16,43,0.00751,5725.699068
4896,518100454272014,108,318,0.04175,7616.766467
5389,518100462071022,9,26,0.00511,5088.062622
5390,518100462222008,28,84,0.01178,7130.730051
4897,518100464001067,0,0,1.00167,0
5391,518100462171001,36,95,0.01524,6233.595801
5392,518100400001004,0,0,0.02024,0
5393,518100400001007,0,0,0.01575,0
5394,518100400002027,0,0,0.01918,0
5395,518100400001023,0,0,0.00416,0
4898,518100418011019,1,2,0.00085,2352.941176
5396,518100400001006,0,665,0.01145,58078.60262
4899,518100418023016,21,55,0.01541,3569.110967
5397,518100400001008,0,0,0.00871,0
5398,518100418011009,14,36,0.00354,10169.491525
4900,518100444013011,20,54,0.01364,3958.944282
4901,518100444011016,14,29,0.0242,1198.347107
5399,518100402001011,0,0,0,0
5400,518100400002055,0,0,0.0098,0
4902,518100446002019,31,89,0.01774,5016.910936
5401,518100404033013,32,84,0.01203,6982.543641
4903,518100462223007,23,74,0.01049,7054.337464
5402,518100404033001,19,44,0.00808,5445.544554
4904,518100460052012,3,5,0.00043,11627.906977
5403,518100404033009,8,20,0.0008,25000
4905,518100460062000,0,0,0.002,0
5404,518100404033004,21,56,0.00668,8383.233533
4906,518100454233040,0,0,0.0001,0
5405,518100404033021,0,0,0,0
4907,518100454231026,0,0,0.00105,0
5406,518100412002020,0,0,0,0
5407,518100420001027,17,47,0.02565,1832.358674
4908,518100454231036,0,0,0.00019,0
4909,518100454231046,1,1,0.00074,1351.351351
5408,518100464002039,0,0,0.00233,0
4910,518100464001019,0,0,0.00864,0
5409,518100452003003,0,0,0,0
4911,518100464001052,2,6,0.00313,1916.932907
5410,518100462111003,0,0,0.00063,0
4912,518100464003006,0,0,0.0008,0
5411,518100462041016,34,84,0.00345,24347.826087
4913,518100464003002,1,1,0.02814,35.536603
5412,518100462064006,35,97,0.02642,3671.461014
4914,518100464004005,59,130,8.23694,15.78256
5413,518100446002009,25,58,0.04795,1209.593326
5414,518100448071009,96,163,0.00187,87165.775401
5415,518100458063003,51,148,0.02279,6494.076349
5416,518100454053004,2,4,0.00012,33333.333333
5417,518100426002012,0,0,0.00314,0
5418,518100442003011,0,0,0.00281,0
5419,518100442003013,0,0,0.00631,0
4915,518100402001031,113,229,0.0021,109047.619048
5420,518100460051008,0,0,0.01163,0
4916,518100404021014,0,0,0.00139,0
4917,518100400001001,0,1362,0.03033,44906.03363
5421,518100458091007,0,0,0.00886,0
4918,518100444012032,32,80,0.02329,3434.950623
5422,518100454074062,0,0,0.00093,0
5423,518100462073019,0,0,0.01724,0
4919,518100408024004,0,0,0.00247,0
4920,518100446004047,0,0,0.00377,0
5424,518100460141011,0,0,0.01173,0
4921,518100446004044,0,0,0.00105,0
5425,518100454064008,58,214,0.01494,14323.962517
4922,518100448051013,0,0,0.00107,0
4923,518100412002002,0,0,0.00471,0
5426,518100464001080,0,0,0.20323,0
4924,518100432001099,20,64,0.00742,8625.336927
4925,518100446001017,24,71,0.05822,1219.512195
5427,518100464004009,1,2,0.04713,42.435816
4926,518100430021034,5,12,0.01228,977.198697
5428,518100460141019,0,0,0.00188,0
5429,518100442004017,0,0,0.00016,0
4927,518100454233036,9,35,0.00431,8120.649652
5430,518100400002016,0,0,0.00485,0
4928,518100454233041,10,36,0.00441,8163.265306
5431,518100454233067,0,0,0.00049,0
4929,518100454233037,8,25,0.00414,6038.647343
5432,518100454233015,0,0,0.00108,0
4930,518100400002035,0,0,0.00542,0
5433,518100454241003,0,0,0.00013,0
4931,518100440011018,0,0,0.00829,0
5434,518100464004028,25,72,1.55947,46.169532
4932,518100434002021,0,0,0.00059,0
4933,518100434001027,16,14,0.00278,5035.971223
4934,518100434002026,0,0,0.00096,0
5435,518100454065026,32,32,0.00517,6189.555126
4935,518100434001025,15,6,0.00556,1079.136691
4936,518100442002005,0,0,0.00176,0
5436,518100454232058,0,0,0.00155,0
4937,518100440041021,16,32,0.00366,8743.169399
5437,518100464001087,0,0,0.35978,0
4938,518100440041014,25,58,0.00361,16066.481994
4939,518100440041018,20,30,0.00366,8196.721311
4940,518100440034007,29,67,0.00668,10029.94012
4941,518100440034003,26,51,0.007,7285.714286
4942,518100440034015,47,60,0.00553,10849.909584
4943,518100442001001,121,219,0.02558,8561.376075
5438,518100460161017,37,127,0.05049,2515.349574
4944,518100442003002,20,38,0.00164,23170.731707
4945,518100442001035,0,0,0.13645,0
5439,518100460051022,1,1,0.02137,46.794572
5440,518100454141010,14,53,0.00438,12100.456621
4946,518100452001012,0,0,0.03997,0
5441,518100428021005,92,201,0.01241,16196.615633
4947,518100440033019,14,35,0.00504,6944.444444
5443,518100460021009,0,0,0.00921,0
4948,518100440033020,16,36,0.00501,7185.628743
4949,518100440031033,10,15,0.00433,3464.203233
5444,518100412003008,43,119,0.08877,1340.542976
4950,518100440033004,28,57,0.01001,5694.305694
4951,518100454274000,340,936,0.18395,5088.339223
5445,518100454143000,178,370,0.02006,18444.666002
5446,518100422021019,89,213,0.1279,1665.363565
4953,518100462251013,43,142,0.01796,7906.458797
4954,518100462253012,26,88,0.01118,7871.198569
5447,518100428022000,0,0,0.00978,0
4955,518100462253009,13,46,0.00761,6044.678055
5448,518100454051008,85,191,0.05627,3394.348676
4957,518100404032021,0,0,0.00039,0
4958,518100402001052,0,0,0.00154,0
5449,518100418024025,4,5,0.00965,518.134715
4960,518100460141032,0,0,0.00117,0
5450,518100454144009,0,0,0.00359,0
4961,518100454222007,94,279,0.04893,5702.023299
5451,518100460161018,12,48,0.01027,4673.807205
5453,518100426001006,0,0,0.01965,0
4962,518100454173011,18,61,0.00735,8299.319728
5454,518100460131010,66,201,0.02408,8347.17608
4963,518100454171000,3,6,0.08059,74.450924
4964,518100454171014,64,177,0.12509,1414.981214
5455,518100420001007,13,44,0.03559,1236.302332
5456,518100444013001,15,42,0.01489,2820.685024
4965,518100454172029,28,76,0.04356,1744.719927
5459,518100460131002,29,62,0.00432,14351.851852
4966,518100454202007,0,0,0.00151,0
5460,518100460131001,63,129,0.01842,7003.257329
4967,518100458081002,0,0,0.00152,0
5461,518100462143005,62,159,0.01685,9436.20178
4968,518100448061011,0,0,0.00734,0
5462,518100430021049,22,67,0.02782,2408.339324
4969,518100448061002,0,0,0.01039,0
4970,518100462042036,0,0,0.00124,0
5463,518100444021039,1,1,0.0033,303.030303
4971,518100402001017,0,0,0.01461,0
5464,518100438002027,1,1,0.00402,248.756219
5465,518100462143003,12,36,0.0073,4931.506849
4972,518100438002019,2,9,0.00364,2472.527473
5466,518100454212015,10,30,0.01114,2692.998205
4973,518100436002013,14,39,0.00472,8262.711864
4974,518100436001011,14,14,0.00223,6278.026906
5467,518100458062008,48,136,0.00757,17965.653897
4975,518100438001001,9,12,0.00399,3007.518797
5468,518100426002002,0,0,0.02215,0
4976,518100438001003,6,0,0.00195,0
5469,518100410032028,0,0,0.00382,0
4977,518100438002000,5,10,0.02508,398.724083
5470,518100460022005,21,56,0.00884,6334.841629
4978,518100438002016,19,42,0.0565,743.362832
5471,518100454263013,0,0,0.00467,0
5472,518100418024037,11,18,0.00488,3688.52459
4979,518100438003014,5,9,0.00162,5555.555556
5473,518100400002038,0,0,0,0
4980,518100438003023,35,39,0.02528,1542.721519
5474,518100454171020,56,158,0.07514,2102.741549
4981,518100402002017,50,144,0.00375,38400
5475,518100454074032,0,0,0.02608,0
4982,518100406003018,7,13,0.0042,3095.238095
4983,518100406003023,16,29,0.00974,2977.412731
5476,518100462192014,13,43,0.00423,10165.484634
4984,518100452002015,0,0,0.15043,0
5477,518100462192002,29,85,0.00841,10107.015458
4985,518100450001060,0,0,0.01171,0
5479,518100426001024,55,76,0.00824,9223.300971
4986,518100454081016,32,52,0.00254,20472.440945
4987,518100452002011,94,182,0.02429,7492.795389
5480,518100462071019,0,0,0.0038,0
5481,518100410021026,3,10,0.01006,994.035785
4988,518100454261009,120,353,0.0482,7323.651452
5482,518100404031009,55,63,0.00334,18862.275449
5483,518100410032027,0,0,0.01955,0
4989,518100454173014,26,79,0.01013,7798.617966
5486,518100444021028,18,53,0.0288,1840.277778
4990,518100448071018,0,0,0.00106,0
4991,518100454233024,0,0,0.00019,0
5487,518100454232024,11,33,0.00969,3405.572755
4992,518100452003004,0,0,0,0
4993,518100452003014,0,0,0.02479,0
5488,518100462231009,17,42,0.0062,6774.193548
4995,518100454202005,128,220,0.02313,9511.456982
5489,518100462114007,14,34,0.00722,4709.141274
4996,518100454202004,27,67,0.0144,4652.777778
5490,518100458032002,24,54,0.03801,1420.678769
4997,518100440012004,1,2,0.00042,4761.904762
4998,518100454252002,14,39,0.00564,6914.893617
5493,518100454211007,43,140,0.03225,4341.085271
4999,518100454172005,18,61,0.00633,9636.650869
5494,518100418024060,0,0,0,0
5000,518100462191008,51,164,0.02001,8195.902049
5497,518100456011011,10,21,0.05622,373.532551
5499,518100456032007,24,38,0.01131,3359.858532
5500,518100458063005,8,24,0.00486,4938.271605
5501,518100436002009,12,21,0.00877,2394.526796
5502,518100460091028,16,44,0.03081,1428.107757
5504,518100456041019,21,80,0.00566,14134.275618
5505,518100422021014,27,70,0.03302,2119.927317
5506,518100444013023,5,10,0.00886,1128.668172
5508,518100404033035,18,37,0.00405,9135.802469
5510,518100448063007,2,4,0.01786,223.964166
5511,518100404042027,8,20,0.02358,848.176421
5512,518100404042026,8,20,0.00197,10152.284264
5513,518100414001025,2,2,0.00125,1600
5514,518100460051011,16,22,0.0027,8148.148148
5515,518100460051045,0,0,0.00241,0
5516,518100404023002,125,265,0.02491,10638.297872
5517,518100454071015,18,32,0.01325,2415.09434
5518,518100454084027,0,0,0.0015,0
5519,518100460154003,107,350,0.0494,7085.020243
5520,518100406001007,32,95,0.02668,3560.71964
5521,518100430031004,37,62,0.00275,22545.454546
5524,518100462131008,0,0,0,0
5525,518100462131001,423,1077,0.11641,9251.782493
5527,518100454212006,150,431,0.13587,3172.149849
5528,518100462252000,37,109,0.01016,10728.346457
5529,518100462253005,37,133,0.02276,5843.585237
5530,518100454281002,72,158,0.19565,807.564528
5531,518100460122005,34,100,0.05926,1687.478907
5532,518100460052013,300,487,0.14648,3324.685964
5533,518100430021052,22,57,0.05585,1020.590868
5534,518100448063021,0,0,0.00237,0
5535,518100448062016,0,0,0.00041,0
5538,518100424002011,142,179,0.04938,3624.949372
5539,518100456031015,0,0,0.00024,0
5540,518100440031000,398,124,0.08084,1533.894112
5541,518100456032011,0,0,0.01158,0
5542,518100406003044,1,2,0.02709,73.827981
5543,518100456031014,0,0,0.00057,0
5544,518100410021009,0,0,0.01463,0
5545,518100448063027,19,47,0.01537,3057.90501
5546,518100428011001,0,0,0.00541,0
5547,518100440031007,0,0,0.00254,0
5548,518100460102005,391,1068,0.08582,12444.651596
5549,518100460091016,0,0,0.00881,0
5550,518100460051026,0,0,0.00042,0
5551,518100460052028,8,13,0.00034,38235.294118
5552,518100456042009,0,0,0.00055,0
5553,518100458013007,0,0,0.00744,0
5554,518100458013006,0,0,0.00655,0
5555,518100458011005,270,781,0.18754,4164.444918
5556,518100404032006,15,34,0.00682,4985.337243
5557,518100404033023,0,0,0.00255,0
5558,518100412001034,0,0,0.011,0
5559,518100402001051,0,0,0.00137,0
5560,518100402001068,24,64,0.01241,5157.131346
5561,518100404043000,0,0,0.00156,0
5562,518100404044008,28,75,0.00867,8650.519031
5563,518100404044011,13,37,0.00424,8726.415094
5564,518100404042040,20,44,0.01171,3757.472246
5565,518100404042042,20,43,0.01176,3656.462585
5566,518100404024004,72,182,0.01322,13767.019667
5567,518100442002000,284,652,0.08622,7562.050568
5568,518100406003012,0,0,0.00071,0
5569,518100400002048,92,354,0.06728,5261.593341
5570,518100412001018,2,6,0.00441,1360.544218
5571,518100454233049,43,149,0.01435,10383.275261
5572,518100412001005,8,19,0.00598,3177.257525
5573,518100400002032,0,0,0.01261,0
5574,518100400002033,0,0,0.00397,0
5575,518100412001022,28,71,0.02028,3500.986193
5576,518100412002023,3,4,0.0046,869.565217
5577,518100412002030,8,20,0.01443,1386.001386
5578,518100428012001,7,30,0.00364,8241.758242
5579,518100428015003,1,3,0.00298,1006.711409
5580,518100428015005,19,51,0.00765,6666.666667
5581,518100428015018,18,40,0.00686,5830.90379
5582,518100428012007,15,47,0.0062,7580.645161
5583,518100428012008,20,62,0.00766,8093.994778
5584,518100428014010,18,52,0.00717,7252.440725
5585,518100428013015,24,64,0.00881,7264.472191
