OBJECTID,SUBDIVISIO,HANSENID,SHAPEarea,SHAPElen
140,PINE HURST ESTATES,384,88709.1344071156,1348.10472071031
141,DAM NECK ESTATES,099,407528.632304945,2961.04385029767
142,UPTON ESTATES,389,465030.300660474,3530.16555339044
143,OCEAN LAKES,390,4477850.84528774,17377.4567142355
144,REDWING,294,663859.494797576,4482.10310966993
145,BEACONS REACH,676,63950.5223558142,1028.4209397863
146,PARK PLACE,523,317186.422363362,3201.88679785673
147,VIRGINIA VILLAGE,345,99351.8082619405,1357.92561423954
148,BIRDNECK LAKE,036,264353.322694205,2449.72631782645
149,LARK DOWNS,194,375953.977371701,3131.38532109175
150,FOX RUN,128,568267.240637349,3270.47700696364
151,DUNBARTON,110,488412.804271489,3908.0447943541
152,KEMPSVILLE MANOR,167,137529.713701744,1607.26434944617
153,KEMPSVILLE GARDENS,165,193213.800884103,1945.42986145959
154,BUCKNER FARMS,559,1191856.30764829,5446.3776296582
155,GREEN RUN,139,6264723.9106875,13261.8540911924
156,TIMBERLAKE,342,1628788.5280523,9594.37043980152
157,WOODSCAPE,475,43195.3359387646,847.047741176351
158,LARKSPUR MEADOWS,197,797141.046063983,5303.77007584717
159,LARKSPUR,195,1540890.59711591,6653.28237973301
160,KEMPSVILLE GREENS,421,979601.959046477,4636.46497250483
161,KEMPSVILLE LAKES,077,873975.554631466,5103.81981674944
162,POCAHONTAS VILLAGE,280,724117.789224537,4099.02431285685
163,CHIMNEY HILL,087,1208213.92524807,6457.67049340926
164,OAK SPRINGS,248,797061.445673787,4246.90240548582
165,HOLLAND MEADOWS,616,82548.6242439703,1158.09663522123
166,WINDSOR OAKS WEST,360,2197279.24240278,9591.65904766006
167,PECAN GARDENS,273,692829.098557848,3951.55539900471
168,WINDSOR WOODS,361,2929254.09076214,9760.20020472735
169,THALIA GARDENS,333,72946.4925143143,1067.94872638151
170,THALIA VILLAGE,336,514824.381220282,4082.32060372591
171,CHESTNUT VILLA,086,23346.1860029216,735.402506563031
172,THALIA MEADOWS,429,31149.8850547841,903.738080087253
173,THALIA TRACE,578,146203.829130222,2010.53692492526
174,SCARBOROUGH SQUARE,501,382855.564787749,2987.73838875976
175,CARDINAL ESTATES,067,471470.36650723,3195.25831532384
176,MAGIC HOLLOW,234,1099335.71489992,4755.37263969014
177,LAMPLIGHT MANOR,193,265812.725809292,2338.16357953307
178,THE LAKES,337,848540.346639518,4511.77316961561
179,PRINCESS ANNE PLAZA,288,6518282.81337523,15261.2449015936
180,KINGS ARMS,169,86975.0567595858,2378.71582988047
181,LYNNHAVEN WOODS,465,568595.909360191,3832.06796369277
182,WASHINGTON PARK,346,123760.319323875,1481.61805407955
183,NOTTINGHAM SOUTH,436,92576.6531422657,1703.24613035268
184,NOTTINGHAM ESTATES,247,190591.18291972,1946.1594030549
185,BROOKGREEN COMMONS,290,101284.498781706,1435.4088531244
186,CHELTENHAM SQUARE,083,194973.481497485,2317.40627676485
187,GATEWOOD PARK,131,306345.603684296,2752.8345825986
188,KINGSWOOD SQUARE,452,33592.9335810348,850.29575187591
189,PINEWOOD GARDENS,278,372528.072397533,2734.59177964679
190,ROSEGATE,420,31338.1759524677,756.760451844574
191,EUREKA PARK,118,81368.612593425,1429.75066018367
192,CHESOPEIAN COLONY,085,1171256.29492821,4966.39606480297
193,BELLE HAVEN,029,98395.3808094111,1342.46535289029
194,FAIR MEADOWS,119,341914.719876826,2765.49074010137
195,BOULEVARD MANOR,042,105122.949372136,1386.13783075744
196,NORTHRIDGE,553,193828.046486671,1915.92503959876
197,WESLEYAN FORREST,576,62071.3144042381,996.852304145712
198,CROATAN BEACH,095,711273.244458098,6199.74768722256
199,CROATAN WOODS,415,196684.428490031,1871.50353803621
200,HARBOUR POINT,143,132879.924391112,1730.71452881889
201,SHADOWLAWN HEIGHTS,314,904034.985492999,4271.98571073568
202,SALT MARSH POINT,307,181081.510739635,1965.21360836716
203,SEATACK,312,375243.399399606,4850.00365401527
204,AMHURST,007,117686.828709775,1830.36314973148
205,NEWSOME FARM,244,491453.108079777,3668.63736408719
206,LYNBROOK LANDING,221,476158.431810217,5655.45678258843
207,LAKE EDWARD NORTH,098,221542.332532353,2801.95963795204
208,CAMPUS EAST,551,529262.511976679,3210.77858195543
209,LAWSON FOREST,202,289199.756713592,2409.73039185973
210,WESLEYAN PINES,351,491723.509886876,4308.1867800917
211,L&J GARDENS,177,385913.143764127,3220.84619235581
212,ANTHONY HOMES,009,57613.1316914765,1123.75977320569
213,WESLEYAN CHASE,409,810996.959617626,4459.61673169794
214,CYPRESS POINT NORTH,446,442233.464897239,3000.2639709028
215,SAJO FARMS,301,562985.492054444,5848.57930626622
216,CYPRESS POINT,422,2033771.99788739,10949.5383980857
217,HAYGOOD SQUARE,147,55881.1381657403,1207.08217800799
218,WITCHDUCK LANDING,365,198266.047674443,2138.37005552854
219,PEMBROKE MANOR,275,1877511.65311986,7063.87630678538
220,ARAGONA VILLAGE,011,5714118.54642418,15529.26309905
221,OCEANA VILLAGE,254,267544.802901047,2116.29462971428
222,MAXEY MANOR,239,219884.752121659,1978.61079046601
223,OCEANA GARDENS,253,1001515.52638754,7957.46078273364
224,FREMAC SHORES,129,103773.503901223,1486.88038520162
225,BIRDNECK ACRES,035,176426.451313128,2415.81510870035
226,LYNN RIVER COMMON,395,61766.4644618481,1107.02295504281
227,REAGAN WOODS,562,18538.1305942322,658.948943762897
228,DEERWOOD TRACE,102,102516.188363252,1645.34674167583
229,KENSTOCK,168,334838.862466219,2496.64261602953
230,POINT O WOODS,282,497659.519924772,3356.06487589279
231,WASHINGTON SQUARE,347,366992.800711034,2949.83494465859
232,HILLTOP MANOR,150,363447.42491394,2884.85499814166
233,SHANNON KNOLL,433,48808.4046392756,1030.06016555796
234,GLOUCESTER VILLAGE,133,175652.230160797,1746.84410512338
235,CAMDEN ESTATES,062,83270.4090216866,1422.39238298823
236,ARROWHEAD INDUSTRIAL PARK,C1008,164097.425155356,1948.9809649401
237,OWLS CREEK ESTATES,596,54630.3237283412,1148.19300927523
238,THE POINTE,574,49109.8770948277,1017.24956037028
239,BAXTER WOODS,474,40409.3831360374,853.179731791733
240,WINDSOR FOREST,608,51363.9891387955,909.917446824819
241,LYNNHAVEN FOREST,228,91357.0963862064,1417.76636029883
242,TALL PINES,328,19595.6651283155,761.508789526559
243,LONDON BRIDGE LANDING,669,26351.6575652153,668.878663420199
244,LONDON BRIDGE MANOR,219,28652.2733969749,748.36013667461
245,RIVERS EDGE COVE,556,108205.39086255,1503.94472603932
246,LAKE EDWARD WEST,695,445849.344818736,2864.10006031702
247,CROATAN LANDING,392,71575.3807969608,1360.23509994546
248,SEABRIDGE SQUARE,564,44852.4807379712,898.221964729152
249,LAKEWOOD,742,452786.000576868,3978.1953450888
250,GRAND LAKE,555,78552.1584049247,1329.23383794363
251,BAYSIDE ESTATES,642,30316.3023123802,944.759530981681
252,FIRST COLONIAL ESTATES,125,35237.0565147579,831.045591435371
253,LINKHORN COMMONS,339,42260.2231767321,863.520612500517
254,CHESHIRE,620,53053.4280257469,975.657851799338
255,GREAT NECK MEADOWS,136,887465.962172178,4117.48862933548
256,LAUREL MANOR,200,264309.127210703,2173.16280720014
257,LINLIER,210,589398.474337686,7810.97770163168
258,BIRDNECK POINT,037,2568651.72310332,10183.6986671508
259,ARAGONA ACRES,010,345305.441605073,2540.43690301207
260,ALEXANDER ESTATES,006,61982.1977428983,1222.08866867982
261,DOGWOOD ACRES,107,79370.9617750433,1516.15774479133
262,QUAIL POINT COVE,408,187132.406323457,1849.49729179943
263,LINKHORN,205,211374.287205611,2939.5218417757
264,WOLFSNARE PLANTATION,367,841482.116152501,3964.74458324656
265,WELLINGTON WOODS,349,507000.859721828,3178.52662277712
266,GREAT NECK PINES,530,66208.6364295858,1234.26354719947
267,FOREST PARK,127,69684.6727170519,1308.96861941375
268,SOUTHERN POINTS,319,1448154.15630155,5594.29307577393
269,THALIA ACRES,331,536010.578172637,3025.76385619035
270,THALIA FOREST,332,30817.2146715651,744.590996364774
271,THALIA MANOR,334,635979.50033465,3461.03982609719
272,BIRCHWOOD SOUTH,034,179601.505266856,1719.65070675396
273,BIRCHWOOD GARDENS,033,1327340.64076931,5886.4278557077
274,KINGS GROVE,172,353719.783618399,2677.9432385591
275,KINGS POINT,174,56082.4129009058,1147.04848373229
276,THALIA SHORES,335,783643.288089434,4019.95027746166
277,PEMBROKE MEADOWS,276,1556546.4904946,6109.36526254648
278,OLD DONATION MANOR,271,276787.482280923,3616.99065938381
279,DONATION SHORES,108,271845.151106317,2091.86637119144
280,WISHART COVE,362,591368.90419099,3228.51562718798
281,SAW PEN POINT,310,515744.475758545,5027.35991135633
282,WITCHDUCK BAY,363,124126.393520855,1490.47004648434
283,WITCHDUCK POINT,366,966034.133793051,7304.47931282846
284,LAKESIDE,187,107288.189642843,1709.24084450735
285,GARDENWOOD PARK,130,504980.948910071,3392.69441114699
286,DIAMOND SPRINGS HOMES,106,998726.866236435,5046.25614705566
287,HAYGOOD POINT,146,963164.463463412,7532.40690456224
288,LAKEVIEW PARK,190,1605784.66202704,8337.93920002285
289,LAKEVIEW SHORES,191,886807.075751143,4513.60653320139
290,LAKE SHORES,184,2466725.00875477,7758.39860881
291,GREENWELL COMMONS,386,9057.79361268408,395.41509218255
292,HERMITAGE,148,64451.9261525047,1078.38652352723
293,GRACETOWN,050,235925.935760637,2010.94434116591
294,REED TOWN,296,91582.6028479341,1541.5335057712
295,BRADFORD TERRACE,046,166922.370799154,1962.43551130566
296,BRADFORD ACRES,044,195663.710109712,2583.60243287819
297,THOROUGHGOOD ESTATES,340,965046.526447742,5205.50122053792
298,THOROUGGOOD,338,3738185.03574609,12300.0315202031
299,LAKE BRADFORD,079,12653.4428161123,481.281378681124
300,POWELLS POINT,283,431027.150510323,3714.82595373491
301,BAYLAKE PINES,023,729489.679852167,5537.36218226211
302,AERIES ON THE BAY,057,152988.594213964,1702.67449868901
303,OCEAN PARK,251,836723.295494153,4772.3454352365
304,MARINERS LANDING,237,226093.428270948,2367.17753371323
305,LITTLE NECK VILLAGE,216,202711.108453035,2137.98282246029
306,EASTERN PARK,113,472868.537312281,3185.88687851673
307,LYNNHAVEN ACRES,226,747626.672258614,4451.42596423615
308,BISHOPSGATE,403,451729.236982254,3996.49843339628
309,KINGS GRANT,170,5681041.34113652,20816.9568522582
310,KINGS GRANT LANDING,171,388308.048246946,2597.31072180364
311,QUAIL RUN,291,139684.051726817,1607.77202892953
312,LITTLE HAVEN,212,628696.999389834,4822.71266662641
313,MIDDLE PLANTATION HILLS,380,48893.1531394031,990.675633936927
314,BRIAR CLIFF POINT,049,167733.518431156,1832.99799479065
315,MICHAELWOOD,240,261899.721772715,2527.2938323626
316,REDWOOD FARM,295,719316.898639628,3521.21817288321
317,LYNNFIELD,225,275314.698861585,2339.42387933111
318,LYNN SHORES,223,347313.430921671,2443.07695194759
319,SEA BREEZE FARMS,311,760856.150428847,4179.32647755436
320,ROBINHOOD FOREST,647,780523.528879125,5060.55056135368
321,MIDDLE PLANTATION,241,2143110.70279343,6057.07064503559
322,LITTLE NECK COVE,214,1845458.06302199,10634.0195632615
323,LYNNDALE ESTATES,224,495648.710121541,3109.74227860975
324,LYNNWOOD,232,1314299.54463185,5434.22949842858
325,TRANT BERKSHIRE,343,1536660.48820325,8794.1183308138
326,COLONIAL OAKS,090,497953.490896483,3178.07533306709
327,GREAT NECK FARM,135,372149.40206201,2981.76366694037
328,LAUREL COVE,198,1179407.76471801,4850.63643393994
329,LAUREL COVE EAST,199,51867.5859157008,912.800160224365
330,GREAT NECK POINT,137,1769172.99479595,12218.7696625206
331,FOREST HILLS,126,589435.156113362,4309.851919686
332,SHOREHAVEN,317,972384.308656119,7194.60825499947
333,GREAT NECK ESTATES,134,1034590.02805289,6853.75725584432
334,MARTIN ACRES,238,137966.708868497,1763.7631089562
335,LAYDEN COVE ESTATES,449,54335.6312946181,1204.13588806914
336,BAYSHORE ESTATES,024,123217.948427985,1493.36293404382
337,WIMBLEDON ON THE BAY,431,392539.011031743,2750.01605227516
338,BROAD BAY ESTATES,059,497113.951577333,3772.78885525744
339,GREAT NECK MANOR,410,142205.327502811,2150.36781296684
340,MILL DAM CROSSING,611,27708.4380311792,1098.26474584819
341,WOODHURST,371,203721.350841746,1861.61657118173
342,SYLVAN LAKE,327,163396.475446897,1756.23375114318
343,MILL DAM FOREST,510,83327.2140642807,1258.76017461343
344,LYNNHAVEN COLONY,227,867191.270172488,4414.48110307888
345,GREEN HILL FARM,138,282509.80631394,3394.55040735371
346,CHELSEA,082,424520.87802216,2820.29103695474
347,CAPE STORY,066,704633.882606699,3597.64185645093
348,CAPE HENRY,064,195654.651236836,1765.71581071576
349,CAPE HENRY SHORES,065,501382.50211765,2826.86933106533
350,BAY ISLAND,021,965533.4197121,5219.26430392995
351,BROAD BAY POINT GREENS,407,1640132.05207246,5776.70847038123
352,THE RESERVE AT GREAT NECK,623,479998.608280471,3024.04160382491
353,BAYCLIFF,005,1326612.92558694,6166.57284713411
354,ALANTON ESTATES,004,155614.033605217,2485.71918540279
355,ALANTON,003,1891035.15751278,9642.37757899006
356,BRIGHTON ON THE BAY,404,526541.186422076,3687.59074277005
357,LINKHORN SHORES,209,551131.849940018,4191.50474275149
358,PRINCESS ANNE HILLS,286,693408.83647267,4006.19700308904
359,WILDER POINT,358,23505.5983846535,626.813183414397
360,CAVALIER PARK,072,144122.967775421,1949.5779090091
361,BAY COLONY,020,1032623.45531749,4388.45766778527
362,LINKHORN PARK,208,2279890.63973012,6505.21014535864
363,SOUTHALL QUARTER,536,145373.297284059,1834.54704346193
364,WELLINGTON WOODS NORTH,350,127892.821841943,1536.98199216869
365,MICHAELS GLEN,550,33211.8181173544,755.162410970065
366,HUDGING SHORES,155,391050.874229208,3257.15739622847
367,BIRCHWOOD CEDAR,032,89958.5310237642,1218.78907984481
368,WITCHDUCK FARM,364,157439.951771965,1555.49802019393
369,CRYSTAL POINT,491,47700.7289348103,1480.58236343372
370,LAKE FRONT VILLAGE,218,26294.9361000837,737.718627826233
371,GREENWELL PLACE,486,7856.38084199936,360.188314548983
372,WOOD BEACH,369,13394.5094449602,471.200154039155
373,WOODS OF CHESAPEAKE,479,13628.1337199736,521.603256578681
374,BERRIE GARDENS,031,39325.7801586991,823.784052721098
375,CHICKS BEACH LANDING,609,21784.7911108808,670.211344772579
376,THOROUGHGOOD COLONY,575,123249.250947975,1678.71647488153
377,WHITEACRE,357,55821.9620144899,1156.2620696608
378,CHUBB LAKE TERRACE,084,26853.31695704,782.138174155157
379,CHUBB LAKE VILLA,084,123242.974807689,1936.84036570669
380,KURDISTAN AT CHESAPEAKE,084,12585.766934685,524.984036653957
381,CHESAPEAKE SHORES,688,348414.364008895,3049.50901291892
382,BRIDGETTS LANDING,628,17337.5866497347,625.730989777686
383,BLAIR POINT,041,79468.25367197,1137.95778933583
384,WOODS OF LITTLE NECK,701,51046.1705897574,938.570429073779
385,HIDDEN POINTE,526,356736.973351395,2957.99406057136
386,MILL DAM POINTE,558,89107.9044177006,1494.38874152699
387,CHESAPEAKE BAY SHORES,662,34526.8596404349,817.712974895075
388,LINKHORN OAKS,525,307132.172469863,2836.19749841811
389,PIRATES HILL,279,37494.1714680391,817.710035463046
390,OCEAN HILLS,493,32137.1015421993,774.154533063502
391,BROOKEFIELD CROSSING,060,101246.52213271,1318.20445603078
392,HUNTS POINTE ON THE ELIZABETH,637,171649.590989327,2722.87236771287
393,TOWN CENTER,C2000,299019.846767127,2214.35373618423
394,CARRIAGE HILL,070,150891.422959851,1887.48104241133
395,HUNTINGTON ESTATES,158,132127.728587436,1912.65212503388
396,FERRY POINT ESTATE,682,13126.4830433467,487.281297579527
397,NEW LIGHT,243,726724.540215225,5929.54079006244
398,TALLWOOD MANOR,740,23790.0081682289,648.453593819891
399,AMPHIBIOUS MANOR,008,100330.201069809,1505.13653097131
400,BARTON HEIGHTS,019,56770.7689194822,1025.31363879907
401,BACK COVE POINT,040,31457.0516576867,765.642364993258
402,BRADFORD PARK,045,52361.9306840574,889.324110532882
403,BRANDONWOOD FARM,048,167560.908485369,1895.53869504033
404,BRIGADOON WOODS EAST,056,267911.085730407,2480.4461125205
405,BRIGADOON FOREST,053,85652.7329247867,1194.81703458538
406,BRIGADOON WOODS,055,71020.3182748423,1096.22061000161
407,BURTON STATION,061,979917.133091321,4731.79926909033
408,CANDLE WOOD COVE,063,56751.7787317278,1119.34504415067
409,CAROLANNE GARDENS,069,43685.1091400067,963.876559984162
410,CAVALIER SHORES,071,70584.5108850151,1134.85527501184
411,CHARLESTOWNE EAST,078,132935.317155746,1493.0807366275
412,CHARLESTOWNE LAKES SOUTH,080,1187870.59223307,4930.31104777856
413,CHESAPEAKE BEACH,084,1093556.20168058,11982.0379966157
414,CHESAPEAKE PARK,265,74627.0287260718,1483.39113091338
415,CLEAR ACRES,088,13295.6403550456,483.619698086547
416,CRYSTAL ACRES,096,330656.981943142,2631.42276024973
417,CYPRESS TERRACE,097,72219.6844509747,1085.41030358458
418,BELHAVEN GARDENS,103,71530.971282425,1169.719124982
419,EUCLID PLACE,116,967375.452192954,4975.73378215373
420,FAIRFIELD PARK,123,30326.4063413031,735.008709714533
421,HILLTOP SOUTH,151,70324.1881036317,1081.38843543219
422,KINGS NECK WOODS,173,134764.776488603,2609.60599529195
423,KINGS POINT EAST,175,27652.5111307669,920.798532862332
424,LAKE CHRISTINE,179,0,0
425,LARKSPUR GREENS,196,450020.314336662,3542.93283550677
426,LAURELWOOD,201,76714.212992983,1116.0759521962
427,LINKHORN COVE,206,460260.359019952,2965.31780646116
428,LINKHORN ESTATES,207,129367.369140621,2098.19186304235
429,LITTLE NECK POINT,215,70912.6305860716,1055.88569931167
430,LYNN LOCHAVEN,222,123724.726384203,1856.54246437342
431,LYNNHAVEN SHORES,231,661455.848027786,4841.71254827348
432,OCONEE PARK,255,389474.064856357,3336.27441536148
433,LARKSPUR COMMON,263,78643.5541501137,2134.35819294863
434,HUNTERS RUN,076,7530.60377248439,456.579039224992
435,HUNT CLUB FOREST,156,774918.684599331,4474.6766661185
436,LAKE SMITH TERRACE WEST,186,298398.100183407,2921.68095703922
437,MALIBU,235,1357784.88363117,6804.62014914838
438,GROVELAND PARK,141,264849.443506579,2706.50225203602
439,KINGS FOREST,622,104215.558727465,1383.00817199928
440,ALANTON NORTH,245,555658.044108402,8585.24245992667
441,ALANTON EAST,749,67776.8668496785,1224.22595532853
442,ATLANTIC PARK,013,56193.9009900392,1459.49926526949
443,LEISUREVILLE EAST,268,134627.36704541,1816.81249461952
444,LIBERTY RIDGE,270,38768.3091329787,1288.01560090674
445,OYSTER POINT,272,40803.1394836724,1416.3516606788
446,PELICAN DUNE,274,57647.0286096257,1411.24388668516
447,THE LANDINGS,572,30661.7957129059,734.980309204026
448,POWHATAN HEIGHTS,284,66645.7011577904,2051.42856819262
449,PLEASURE HOUSE STATION,444,11819.2733862818,463.290632904922
450,SOUTH SHORE ESTATES,644,752013.398335029,4281.90399318559
451,RUDEE HEIGHTS,300,181430.094533265,2428.09361630028
452,SANDEE LAKES,309,54291.5002892144,1110.67539942609
