OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA,SHAPEarea,SHAPElen
62,Charlestowne Lakes South Sec. A Park,1464361179,City,NP,Neighborhood Parks,8.7491,Kempsville,55275.3968022285,1204.86543731916
63,Saw Pen Point Park, ,City,NP,Neighborhood Parks,2.1116,Bayside,13377.1113556185,470.573555173522
64,Pembroke Wayside Park,1478822289,City,NP,Neighborhood Parks,0.8544,Bayside,5411.88206034108,600.56680380873
65,Little Neck Park,1488572608,City,NP,Neighborhood Parks,3.5766,Little Neck,22663.7673362936,737.966948353671
66,Middle Plantation Park,1488937576,City,NP,Neighborhood Parks,7.2802,Little Neck,46116.9577759219,1092.1839128591
67,Blackwater Park,1389443113,City,NP,Neighborhood Parks,7.0243,Pungo Blackwater,44211.226764853,969.377823579192
68,Munden Point Park,2308528074,City,MP,Metro Parks,100.8627,Pungo Blackwater,634242.072861522,3856.97708409803
69,Brill Field Park,1488721435,City,NP,Neighborhood Parks,9.0893,Little Neck,57573.4098977617,956.125676489091
70,Kings Grant West,1488318574,City,NP,Neighborhood Parks,7.0762,Little Neck,44819.3438521094,951.669526335638
71,Birchwood/Malibu Park, ,City,NP,Neighborhood Parks,16.1412,Little Neck,102210.375162593,1655.12172864295
72,Birchwood South Park,1487357282,City,NP,Neighborhood Parks,1.4,Little Neck,8863.22618975955,434.534918827206
73,Creeds Wayside Park,2318065439,City,NP,Neighborhood Parks,1.9816,Pungo Blackwater,12464.7040567042,492.309678753054
74,Creeds Ath. Airfield Park,2318594274,City,NP,Neighborhood Parks,269.9877,Pungo Blackwater,1698611.94501384,5837.2957600247
75,Nawney Creek North Park,2410385572,City,NP,Neighborhood Parks,3.0121,Pungo Blackwater,18977.1163098213,616.362575034948
76,Blackwater Fire Station Park,1398213588,City,NP,Neighborhood Parks,4.9141,Pungo Blackwater,30901.6585319231,755.960689702737
77,Pembroke Meadows Park,1478636290,City,NP,Neighborhood Parks,2.7421,Bayside,17371.085643675,630.393057216962
78,Adam Thoroughgood Property,1489131417,City,GOS,General Open Space sites,2.4507,Bayside,15535.8369143688,493.03180679589
79,Eureka Park,1497643229,City,NP,Neighborhood Parks,1.4027,Little Neck,8879.60085808855,377.719481185091
80,Bay Colony Park, ,City,NP,Neighborhood Parks,1.4699,Oceanfront,9313.42371879667,386.304906171702
81,Beach Garden Park,2418817133,City,CP,Community Parks,18.1841,Oceanfront,115163.272268094,1325.84854928655
82,24th Street Park,2427193796,City,SURA,Special Use – Recreation Areas,0.7037,Oceanfront,4456.48360311948,270.178021967253
83,Seatack Park, ,City,NP,Neighborhood Parks,11.5576,Oceanfront,73175.7316377109,1307.02489441884
84,Salt Marsh Point Park, ,City,NP,Neighborhood Parks,0.6243,Oceanfront,3951.68615776443,332.904015820088
85,Seatack Comm. Park,2417515588,City,NP,Neighborhood Parks,5.0608,Oceanfront,32029.1952812349,736.481032928087
86,17th Street Park,2427270166,City,SURA,Special Use – Recreation Areas,0.1469,Oceanfront,930.314782600507,122.00461241983
87,Pine Wood Gardens Park,1497334641,City,NP,Neighborhood Parks,2.6669,Little Neck,16881.779485149,628.233917331691
88,Thalia Trace Oaks Park, ,City,GOS,General Open Space sites,1.2307,Little Neck,7789.82046335488,373.13181263756
89,Thalia Trace Park,1487129784,City,NP,Neighborhood Parks,0.5557,Little Neck,3517.27085432563,240.249714632212
90,Groveland Park, ,City,NP,Neighborhood Parks,2.4831,Little Neck,15721.7900973912,593.5005250527
91,Thalia Park, ,City,NP,Neighborhood Parks,6.1496,Little Neck,38936.7197086591,817.183809697333
92,Little Neck Rd. Park Sec-3,1487783424,City,GOS,General Open Space sites,2.3634,Little Neck,14965.6489336704,794.831515998566
93,Little Neck Rd. Park Sec-2,1487774434,City,GOS,General Open Space sites,2.2801,Little Neck,14437.3211585506,829.927573656059
94,Little Neck Rd. Park Sec-1,1487765443,City,GOS,General Open Space sites,2.2884,Little Neck,14488.6027438978,826.677656652674
95,Francis Land Park,1497143770,City,NRA,Natural Resource Areas,1.5227,Little Neck,9639.47094433196,422.979086206197
96,Francis Land Park,1497146755,City,NRA,Natural Resource Areas,1.9044,Little Neck,12055.7322643625,472.869130892611
97,Kings Grant Parcel 1,1488726013,City,GOS,General Open Space sites,2.5976,Little Neck,16453.1573240948,455.727517040003
98,Lynnhaven Baseball Complex,1487997303,City,SUAC,Special Use ? Athletic Complex sites,12.4515,Little Neck,78852.314512226,1185.9203535904
