SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,"# OF BOAT SLIPS","# OF CAR PARKING SPACES","# OF CB USING SITE","# OF HB USING SITE","# OF RAMPS","# OF TRAILER PARKING SPACES",BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SHORE AREA,SHORE MODE,TACKLE SHOPS
0363,,HARBORTON RAMP,Harborton Rd,PUNGOTEAGUE,,001,ACCOMACK,51,VA,37:	39.98,75:	49.854,,,Active,,0,20,0,0,2,75,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0251,,BENNETS CREEK MARINA (HARBOR SIDE MAR,3305 Ferry Rd.,SUFFOLK,,800,CITY OF SUFFOLK,51,VA,36:	51.907,76:	28.685,,7574848700,Active,,5,25,0,0,1,25,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
0002,,INLET STATION MARINA,,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.876,75:	58.66,,7574222999,Active,,60,50,6,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
0015,,LYNNHAVEN BOATEL,,LYNNHAVEN AREA OF,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.326,76:	4.165,BRIAN SIMONELLI,7574810700,Active,,0,100,0,0,0,0,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
0022,,FIRST LANDING STATE PARK BOAT RAMP,Hwy 343,CAPE HENRY,,810,CITY OF VIRGINIA BEACH,51,VA,36:	53.523,76:	1.093,,,Active,,0,50,0,0,3,100,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0088,,VA BEACH FISHING CENTER,200 Winston Salem Ave.,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.938,75:	58.391,DOCKMASTER,7574225171,Active,,50,50,15,3,0,0,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NA,N/A,YES
0089,,DOCKSIDE FISHING CENTER (LYNNHAVEN CE,,VIRGINIA BEACH,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.390,76:	05.190,KEVIN SELDON,7574814545,Active,,0,30,0,1,0,0,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NA,N/A,NO
0091,,FISHERMANS WHARF MARINA,524 Winston Salem Ave.,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.905,75:	58.61,DOCKMASTER,7574282111,Active,,90,30,1,0,0,0,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NA,N/A,NO
0093,,LYNNHAVEN MUNICIPAL MARINA,,LYNNHAVEN AREA OF,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.325,76:	5.061,GEORGE HIL/JIM STAN,7574966845,Active,,40,20,1,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
0149,,SEA GULL FISHING PIER,,VIRGINIA BEACH,,810,CITY OF VIRGINIA BEACH,51,VA,36:	57.986,76:	6.771,,7574644641,Active,,0,100,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,INLAND,MAN-MADE,NO
0150,,LYNNHAVEN FISHING PIER,2350 Starfish Rd.,LYNNHAVEN AREA OF,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.747,76:	4.673,BARBARA OR HOYT DUFF,7574817071,Active,,0,71,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,INLAND,BOTH,YES
0152,,VIRGINIA BEACH FISHING PIER,1506 Atlantic Avenue,Virginia Beach,23451,810,CITY OF VIRGINIA BEACH,51,VA,36:	50.605,75:	58.332,BOB LACHMAN,7574282333,Active,,0,50,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,OCEAN,BOTH,YES
0157,,LYNNHAVEN PUBLIC LAUNCH & BEACH FACIL,3576 Piedmont Cir.,LYNNHAVEN AREA OF,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.42,76:	5.686,Jim Landon,7574607569,Active,,0,50,0,0,4,100,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NA,N/A,NO
0200,,BUBBAS MARINA,3323 Shore Dr.,LYNNHAVEN AREA OF,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.406,76:	05.246,DEMITRI HIONIS (OWNER,7574813513,Active,,0,50,0,0,1,50,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NA,N/A,YES
0265,,LONG BAY POINT MARINA,,VIRGINIA BEACH,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.5,76:	4.666,STEVE RAY/CONNY BAR,7574817517,Active,,200,50,3,0,0,0,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NA,N/A,YES
0338,,1ST ST BEACH,401 Atlantic Ave.,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.783,75:	58.2,,,Retired,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,BOTH,BEACH/BANK,NO
0387,,MARINA SHORES,2100 Marina Shores Dr.,GREAT NECK,,810,CITY OF VIRGINIA BEACH,51,VA,36:	54.334,76:	03.948,RUSTY MALBON,7574811300,Active,,200,100,2,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NA,N/A,YES
0392,,SANDBRIDGE BEACH,,SANDBRIDGE,,810,CITY OF VIRGINIA BEACH,51,VA,36:	41.376,75:	55.354,,,Active,,0,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OCEAN,BEACH/BANK,NO
0438,,OWLS CREEK PUBLIC RAMP,705 General Booth Blvd.,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.363,75:	58.871,,,Active,,0,20,0,0,3,100,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
0447,,NORTH BANK RUDEE INLET,,RUDEE INLET AREA,,810,CITY OF VIRGINIA BEACH,51,VA,36:	49.806,75:	58.213,,,Active,,0,40,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0456,,LITTLE ISLAND REC AREA & FISHING PIER,3856 Sandpiper Rd.,SANDBRIDGE,,810,CITY OF VIRGINIA BEACH,51,VA,36:	41.606,75:	55.47,DALTON SAWYER,7574260013,Active,,0,100,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,OCEAN,BOTH,NO
0386,,TOM''S COVE CAMPGROUND,Toms CV,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	54.545,75:	23.232,KEN BURTON/MR. COLE,7573366498,Active,,50,50,0,0,1,50,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,INLAND,BOTH,YES
0391,,ASSATEAGUE BEACH & NEARBY ESTUARY,,ASSATEAGUE BEACH,,001,ACCOMACK,51,VA,37:	53.296,75:	20.578,RANGER STATION,7573366577,Active,,0,500,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,BOTH,BEACH/BANK,NO
0422,,JOHNSONS LANDING,18782 Johnsons Landing Rd.,LEEMONT,23421,001,ACCOMACK,51,VA,37:	47.023,75:	42.103,,,Active,,0,5,0,0,2,5,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0445,,FOLLY CREEK PUBLIC BOAT RAMP,25201 Folly Creek Rd,DAUGHERTY,23301,001,ACCOMACK,51,VA,37:	41.621,75:	37.926,,,Active,,4,15,0,0,2,10,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0458,,ASSATEAGUE CHANNEL MARINA,7462 East Side St,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	55.046,75:	22.598,ANN SWIFT,7573365555,Active,,26,26,0,0,0,7,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,NA,N/A,YES
0473,,SCHOONER BAY PUBLIC RAMP,20300 Bluebill Ln.,ONANCOCK,,001,ACCOMACK,51,VA,37:	45.775,75:	46.360,,,Active,,0,15,0,0,1,15,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0474,,INLET VIEW CAMPGROUND,2376 Curtis Merritt Harbor Rd.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	54.238,75:	24.320,EDDIE TULL,7573365126,Active,,0,4,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,INLAND,BOTH,YES
0954,,QUEEN SOUND RAMP,Hwy 175,CHINCOTEAGUE,23337,001,ACCOMACK,51,VA,37:	56.085,75:	25.113,,,Active,,0,10,0,0,1,6,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NA,N/A,NO
0955,,CAPT BOB''S MARINA,2503 Main St.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	54.529,75:	24.086,DONNA ROESKE,7573366654,Active,,65,40,1,0,2,25,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,NA,N/A,YES
0957,,VA LANDING PRIVATE RESORT,44732 Upshur Rd.,QUINBY,23420,001,ACCOMACK,51,VA,37:	29.561,75:	47.008,Gretchen Stracuzzi,7574424853,Active,,4,10,0,0,1,10,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,INLAND,N/A,NO
1199,,CAPTAIN ZEDS,17 Atlantic Ave,WACHAPREAGUE,23430,001,ACCOMACK,51,VA,37:	36.24,75:	41.271,DEBBIE SHREIVES,7577893222,Active,,9,25,2,0,1,0,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
1216,,ISLAND MARINA,6367 Waters Edge Dr.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	55.899,75:	23.006,Spider Flemming,7579904242,Active,,30,15,0,0,0,0,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NA,N/A,NO
1837,,TRAILS END RESORT,6173 Nautilus Dr.,HORNTOWN,23395,001,ACCOMACK,51,VA,37:	57.097,75:	26.981,RANDY FOX,7578243428,Active,,20,20,0,0,2,15,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,INLAND,N/A,NO
1849,,TALL PINES HARBOR CAMPGROUND,8107 Tall Pines Ln,SANFORD,,001,ACCOMACK,51,VA,37:	56.097,75:	39.127,RAY & SHERRI BARKER,7578240777,Active,,1,100,0,0,1,15,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,INLAND,BOTH,YES
1852,,SAXIS PUBLIC PIER,19373 Saxis Rd.,SAXIS,23359,001,ACCOMACK,51,VA,37:	55.236,75:	43.791,MARTHA JANE LINTON,7578245885,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
3084,,ANNS COVE RAMP,15001 New Rd.,GUILFORD,23308,001,ACCOMACK,51,VA,37:	50.19,75:	40.444,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0959,,HOSKIN''S CREEK LANDING & DOCK (VAGIF),Dock Street,TAPPAHANNOCK,22560,057,ESSEX,51,VA,37:	55.216,76:	51.433,,,Active,,0,20,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,INLAND,MAN-MADE,NO
0960,,GARRETT''S MARINA,339 Catchpenny Ln,BOWLER''S WHARF,22560,057,ESSEX,51,VA,37:	48.643,76:	44.681,LEWIS MUSE,8044432751,Active,,300,50,0,0,1,40,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,INLAND,N/A,YES
0961,,JUNE PARKER MARINA,531 Church Ln,TAPPAHANNOCK,22560,057,ESSEX,51,VA,37:	56.068,76:	51.726,TRY PARKER,8044432131,Active,,25,100,0,0,1,50,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,INLAND,N/A,YES
0055,,GLOUCESTER POINT MARINA,7998 Marina Way,GLOUCESTER POINT,,073,GLOUCESTER,51,VA,37:	15.905,76:	29.232,VICKY WEST,8042882238,Active,,34,15,0,0,1,5,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0308,,CARLISLE WILDLIFE MGMT AREA,Landing Rd,HOG ISL NWR,,181,SURRY,51,VA,37:	8.35,76:	40.572,,,Active,,0,20,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0070,,DEEP POINT PUBLIC LANDING  (VGIF),Deep Point Ln,HARCUM,,073,GLOUCESTER,51,VA,37:	32.162,76:	29.748,,,Active,,0,5,0,0,1,8,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0075,,CROWN POINTE MARINA,Cooks Landing Rd,"hayes ",23072,073,GLOUCESTER,51,VA,37:	16.115,76:	25.346,ROBERT LINN,8046426177,Active,,100,30,0,0,1,15,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,YES
0013,,PORT KINSALE MARINA,406 Allen Point Rd,KINSALE,22488,193,WESTMORELAND,51,VA,38:	1.866,76:	33.492,Dori Nairn,8044722044,Active,,60,15,0,0,1,15,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,INLAND,N/A,NO
0208,,HAMPTON HALL BRIDGE (BANK FISHING),14911 Cople Hwy,HYACINTH,,193,WESTMORELAND,51,VA,38:	0.470,76:	35.290,,,Active,,0,0,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0224,,STEPP''S VIEW MARINA,,OAK GROVE,,193,WESTMORELAND,51,VA,38:	12.288,76:	58.768,MRS. STEPP,8042249265,Active,,150,30,0,0,1,40,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0226,,Coles Point Marina,Black Beards Pond Rd,COLES POINT,22469,193,WESTMORELAND,51,VA,38:	8.554,76:	36.928,TERESA SAUNDERS,8044724011,Active,,210,2,0,0,1,30,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,NA,N/A,YES
0229,,SANDY POINT MARINA,1276 Skipjack Rd,TUCKER HILL,,193,WESTMORELAND,51,VA,38:	2.809,76:	33.046,DAVID BRYANT,8044723237,Active,,35,5,0,0,1,10,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0230,,WHITE POINT MARINA,175 Marina Dr,KINSALE,,193,WESTMORELAND,51,VA,38:	2.490,76:	33.467,ROB REDFEARN,8044722977,Active,,50,20,0,0,0,0,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0236,,WESTMORELAND STATE PARK,145 Cliff Rd,Montross,22520,193,WESTMORELAND,51,VA,38:	10.431,76:	52.748,SCOTT FLICKINGER,8044930216,Active,,0,50,0,0,1,40,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,INLAND,BEACH/BANK,NO
0238,,THE GLEBE PRIVATE LANDING,219 Osprey Dr,GLEBE HARBOR,,193,WESTMORELAND,51,VA,38:	7.857,76:	39.216,,,Retired,,0,0,0,0,1,0,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,INLAND,N/A,NO
0259,,HORNER''S BEACH PRIVATE RAMP,Horner Rd,OAK GROVE,,193,WESTMORELAND,51,VA,38:	12.18,76:	58.935,,,Active,,0,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0469,,COLONIAL BEACH MUNICIPAL PIER,Beach ter,COLONIAL BEACH,22443,193,WESTMORELAND,51,VA,38:	15.035,76:	57.668,,,Active,,0,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,INLAND,BEACH/BANK,NO
0470,,LEEDSTOWN CAMPGROUND,2195 Leedstown Road,LEEDSTOWN,22443,193,WESTMORELAND,51,VA,38:	6.628,77:	0.311,,,Active,,0,15,0,0,1,10,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0476,,MONROE BAY CAMPGROUND,1510 Monroe Bay Cir,COLONIAL BEACH,22443,193,WESTMORELAND,51,VA,38:	14.354,76:	58.036,L L CURLEY JR,8042247418,Active,,0,20,0,0,1,30,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,INLAND,BEACH/BANK,YES
0984,,MONROE BAY LANDING (VAGIF RAMP),Moinroe Bay Ave,COLONIAL BEACH,22443,193,WESTMORELAND,51,VA,38:	13.935,76:	57.668,MIKO HANNA,,Active,,0,40,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,INLAND,BEACH/BANK,NO
3382,,CURRIOMAN LANDING,Currioman Rd,CURRIOMAN BAY,22520,193,WESTMORELAND,51,VA,38:	9.223,76:	45.682,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
3436,,ROBBERECHTS SEAFOOD,440 Mcquires Wharf Rd,MONTROSS,22520,193,WESTMORELAND,51,VA,38:	6.144,76:	43.229,GEORGE,8044723556,Active,,0,15,0,0,1,15,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0016,,WORMLEY CREEK PUBLIC RAMP,Old Wormley Rd,HORNSBYVILLE,,199,YORK,51,VA,37:	12.309,76:	28.245,,,Active,,0,10,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0206,,BACK CREEK PARK PUBLIC RAMP & PIER,3066 Goodwin Neck Rd,yorktown,23692,199,YORK,51,VA,37:	12.353,76:	26.28,York County,,Active,,0,10,0,0,2,80,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0305,,MILLS MARINA,1742 Back Creek Rd,SEAFORD,,199,YORK,51,VA,37:	12.185,76:	25.514,JOHN WYDOUR,7578984411,Active,,60,5,0,0,1,5,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,INLAND,N/A,YES
0348,,WORMLEY CREEK MARINA,1221 Waterview Rd,HORNSBYVILLE,,199,YORK,51,VA,37:	12.833,76:	28.016,BRETT CHERRY,7578988062,Active,,100,20,0,0,0,0,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NA,N/A,NO
0358,,YORKTOWN PIER,water St,YORKTOWN,,199,YORK,51,VA,37:	14.167,76:	30.374,,,Active,,0,100,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,INLAND,MAN-MADE,NO
0455,,YORKTOWN BEACH,Water St,YORKTOWN,,199,YORK,51,VA,37:	14.161,76:	30.374,,,Active,,0,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,INLAND,BOTH,NO
0986,,ROGERS A SMITH PUBLIC LANDING,705 Tide Mill Rd,TABB,,199,YORK,51,VA,37:	8.055,76:	25.771,,,Active,,0,25,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0987,,DARE MARINA,821 Railway Rd,DARE,,199,YORK,51,VA,37:	10.94,76:	25.353,MIKE HANNAH,7578983000,Active,,30,20,1,0,1,10,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,NA,N/A,NO
0989,,COLONIAL NAT PARK BCH PICNIC AREA,Conte Degrass St,YORKTOWN,,199,YORK,51,VA,37:	13.932,76:	30.088,,,Active,,0,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,INLAND,MAN-MADE,NO
0439,,GLOUCESTER POINT LANDING,Greate Rd,GLOUCESTER POINT,23062,073,GLOUCESTER,51,VA,37:	14.727,76:	30.255,,,Active,,0,10,0,0,2,5,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0451,,GLOUCESTER POINT BCH & COUNTY PIER,Greate rd,GLOUCESTER POINT,,073,GLOUCESTER,51,VA,37:	14.782,76:	30.185,,,Active,,0,64,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0964,,TANYARD LANDING (VAGIF RAMP),Tanyard Landing Rd,SIGNPINE,,073,GLOUCESTER,51,VA,37:	27.276,76:	40.071,DGIF,,Active,,0,5,0,0,1,3,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
3384,,WARE HOUSE LANDING,Ware House Rd,GLOUCESTER,23061,073,GLOUCESTER,51,VA,37:	24.202,76:	29.395,DGIF,,Active,,0,15,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0079,,TYLER''S BEACH LANDING (VAGIF RAMP),15026 Tylers Beach Rd,RUSHMERE,,093,ISLE OF WIGHT,51,VA,37:	5.008,76:	39.916,,,Active,,10,10,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0332,,RAGGED ISLAND NWR BEACH,12473 Carrolton Blvd.,JAMES RIVER,,093,ISLE OF WIGHT,51,VA,36:	57.921,76:	30.854,DGIF,,Active,,0,30,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
1002,,JONES CREEK RAMP & PIER,21001 Boundary Ln,RESCUE,,093,ISLE OF WIGHT,51,VA,36:	58.52,76:	33.723,,,Active,,0,20,0,0,2,10,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
1778,,CLONTZ PARK PIER," 230 Clontz Way Rd",SMITHFIELD,,093,ISLE OF WIGHT,51,VA,36:	59.37,76:	37.756,,7573569939,Active,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
1826,,NIKE PARK,13036 Nik ePark Rd,CARROLTON,,093,ISLE OF WIGHT,51,VA,36:	57.652,76:	33.78,,,Retired,,0,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0003,,PULL OFF BETWEEN COLLEGE CREEK BEACH,,JAMESTOWN,,095,JAMES CITY,51,VA,37:	13.179,76:	41.931,Colonial Pkwy.,,Active,,0,10,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0389,,COLLEGE CRK RIPRAP(BOTH SIDES OF BRG,,JAMESTOWN,,095,JAMES CITY,51,VA,37:	13.535,76:	41.690,,,Retired,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0942,,COLLEGE CREEK BEACH PULLOFF,1272 Colonial Pky.,JAMESTOWN,,095,JAMES CITY,51,VA,37:	13.429,76:	41.733,,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0965,,YORK RIVER STATE PARK (CROAKER LANDIN,Croaker Landing Rd.,NORGE,,095,JAMES CITY,51,VA,37:	25.627,76:	43.510,D MCADOO,7575649057,Active,,0,20,0,0,2,50,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0966,,JAMESTOWN YACHT BASIN,2168 Jamestown Rd.,JAMESTOWN,,095,JAMES CITY,51,VA,37:	13.618,76:	46.695,LISA SHEV,7575647714,Active,,50,30,5,0,1,25,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,INLAND,N/A,NO
0967,,MILL CREEK BRIDGE AREA,Colonial Pkwy.,JAMESTOWN,,095,JAMES CITY,51,VA,37:	12.846,76:	44.574,,,Active,,0,12,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0095,,DAHLGREN MARINE WORKS,Potomac Rd,DAHLGREN,22485,099,KING GEORGE,51,VA,38:	19.355,77:	2.983,DON PAUL,8046632741,Active,,30,20,0,0,1,20,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,INLAND,MAN-MADE,YES
0098,,FAIRVIEW BEACH CAMPGROUND & RV PARK,Pavilion Dr,FAIRVIEW BEACH,,099,KING GEORGE,51,VA,38:	19.834,77:	14.842,,,Active,,0,20,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
