FID,ORDINANCE,ZONING,AMENDMENT
428, ,RM, 
430, ,CSL, 
429, ,RB, 
431, ,CRMU/H, 
432, ,OCM(50), 
433, ,CL, 
435, ,RM, 
434, ,RB, 
436, ,CG, 
437, ,RA, 
438, ,CL, 
439, ,POS, 
440, ,UT, 
441, ,CD, 
442, ,OC, 
445, ,OCM(50), 
446, ,WPR, 
443, ,POS, 
444, ,POS, 
448, ,RD, 
449, ,OCM(100), 
447,4053,POS, 
450, ,RM, 
451, ,RM, 
452, ,OCM(100), 
453, ,CL, 
454, ,CL, 
456, ,RM, 
455,4294,CDD #1, 
457, ,RM, 
458, ,CDD #3, 
459, ,RM, 
461, ,OCM(50), 
463, ,CL, 
462, ,CDD #2, 
465, ,RA, 
460, ,RM, 
464, ,OCM(100), 
