OBJECTID,FTR_CODE,ELEV,DEMO
5456,Residential Building,38.1,No
4790,Other Building,19.505,No
5457,Residential Building,21.3,No
4791,Residential Building,32.8,No
5458,Commercial / Industrial Building,18.87,No
4792,Residential Building,34.6,No
5459,Other Building,25.9,No
4793,Residential Building,32.1,No
5460,Residential Building,30.9,No
4794,Garage,23.524,No
5461,Residential Building,24.2,No
4795,Residential Building,43.1,No
5462,Commercial / Industrial Building,30.3,No
4796,Residential Building,33.2,No
5463,Residential Building,26.7,No
4797,Commercial / Industrial Building,22.082,No
4798,Other Building,18.674,No
5464,Residential Building,23.7,No
4799,Residential Building,29.7,No
5465,Residential Building,25.3,No
4802,Residential Building,32.1,No
5466,Residential Building,30.8,No
4803,Garage,25.465,No
5469,Residential Building,29.402,No
4806,Garage,26.89,No
5470,Residential Building,39.64,No
4807,Garage,19.7,No
5471,Garage,23.2,No
4810,Institutional Building,71,No
5472,Residential Building,33.2,No
4811,Commercial / Industrial Building,43.1,No
5473,Residential Building,23.4,No
4812,Residential Building,36.8,No
5474,Other Building,24.7,No
4813,Residential Building,38.6,No
5475,Residential Building,32.6,No
4817,Residential Building,34.2,No
5476,Garage,22.3,No
5477,Residential Building,33.9,No
4818,Residential Building,43.498,No
4819,Residential Building,33.2,No
5478,Residential Building,28.7,No
6366,Residential Building,22.3,No
4820,Garage,27.354,No
5479,Residential Building,27.2,No
4821,Garage,20.1,No
6529,Residential Building,35,No
5480,Commercial / Industrial Building,15.9,No
4823,Residential Building,25.4,No
6463,Residential Building,18,No
5481,Residential Building,24.7,No
4824,Residential Building,18,No
6657,Other Building,19,No
5482,Other Building,20.9,No
4825,Other Building,23.128,No
6786,Residential Building,39.922,No
5483,Residential Building,32.4,No
4827,Residential Building,40.824,No
6001,Other Building,20,No
5484,Residential Building,32.5,No
4828,Other Building,21.4,No
6002,Commercial / Industrial Building,24.6,No
5485,Residential Building,26.4,No
4829,Residential Building,24.2,No
6003,Commercial / Industrial Building,29.932,No
4830,Residential Building,33,No
5486,Commercial / Industrial Building,32.4,No
6004,Residential Building,35.8,No
4832,Residential Building,34.2,No
5488,Residential Building,23.8,No
4833,Commercial / Industrial Building,28.749,No
5489,Residential Building,21.7,No
6005,Residential Building,30.2,No
4834,Residential Building,28.2,No
6006,Residential Building,29.9,No
5490,Residential Building,23.993,No
4835,Residential Building,27.4,No
6007,Residential Building,39.386,No
5491,Garage,19.9,No
4836,Garage,24.062,No
5492,Other Building,17.2,No
4837,Residential Building,38.317,No
6008,Residential Building,33.6,No
5493,Other Building,22.6,No
4838,Commercial / Industrial Building,28.7,No
6009,Residential Building,0,No
5494,Residential Building,22.3,No
6010,Residential Building,34.3,No
4839,Commercial / Industrial Building,31.1,No
5495,Residential Building,22.6,No
4840,Residential Building,44.635,No
5496,Other Building,20.5,No
4841,Residential Building,24.556,No
5498,Other Building,21.8,No
6011,Residential Building,39.5,No
4842,Residential Building,41.854,No
5499,Commercial / Industrial Building,23.4,No
6012,Other Building,20.1,No
4843,Residential Building,34.8,No
5500,Other Building,20.3,No
6013,Commercial / Industrial Building,20.877,No
4845,Residential Building,35.5,No
5501,Residential Building,29.2,No
6014,Residential Building,22.2,No
4846,Commercial / Industrial Building,92.4,No
6015,Other Building,18.2,No
5502,Residential Building,22.1,No
4848,Commercial / Industrial Building,20,No
6016,Residential Building,33.4,No
5503,Garage,20.4,No
4849,Residential Building,33.4,No
6017,Other Building,17,No
5505,Residential Building,32.7,No
4850,Commercial / Industrial Building,27.3,No
6018,Residential Building,44.1,No
5506,Garage,21.2,No
4851,Commercial / Industrial Building,34.532,No
6020,Residential Building,39.3,No
5509,Commercial / Industrial Building,25.8,No
4852,Residential Building,36.6,No
5510,Other Building,17.6,No
4853,Other Building,19.1,No
5511,Residential Building,22.3,No
6021,Residential Building,34.2,No
4854,Residential Building,38.9,No
5512,Other Building,22.7,No
4855,Residential Building,42.214,No
5513,Residential Building,40.6,No
4857,Residential Building,39.385,No
6022,Residential Building,0,No
4858,Residential Building,24.675,No
5514,Other Building,20.4,No
6023,Residential Building,30.1,No
4859,Other Building,19.2,No
5515,Residential Building,25.5,No
4860,Residential Building,23.5,No
6024,Residential Building,33.9,No
5516,Other Building,21.9,No
4861,Residential Building,40.638,No
5517,Residential Building,35.6,No
4863,Institutional Building,37,No
5519,Residential Building,41.2,No
5520,School,0,No
4865,Residential Building,23.9,No
6025,Residential Building,33.6,No
4866,Residential Building,32.9,No
6027,Residential Building,32.4,No
4867,Commercial / Industrial Building,28.749,No
5521,Residential Building,23.9,No
6028,Residential Building,30.7,No
4870,Commercial / Industrial Building,21.7,No
5522,Residential Building,40.8,No
4871,Garage,19,No
6029,Garage,19.42,No
5526,Commercial / Industrial Building,29.1,No
4872,Residential Building,37.4,No
6030,Garage,20.9,No
5527,Residential Building,23.3,No
4873,Residential Building,32.8,No
6031,Residential Building,0,No
5528,Residential Building,34.2,No
4874,Commercial / Industrial Building,30.3,No
5531,Residential Building,45.232,No
6032,Residential Building,31.5,No
4875,Other Building,25.919,No
5532,Residential Building,24.5,No
6033,Residential Building,44.1,No
4876,Residential Building,52.7,No
5533,Commercial / Industrial Building,16,No
6034,Library,25.7,No
4878,Residential Building,40.905,No
5534,Garage,20.8,No
4880,Residential Building,25.2,No
6035,Other Building,18.8,No
5535,Commercial / Industrial Building,22.4,No
6036,Residential Building,28.4,No
4882,Residential Building,29.9,No
5537,Residential Building,40.7,No
4885,Garage,19,No
5538,Residential Building,30.9,No
6037,Residential Building,0,No
4887,Other Building,19,No
5539,Residential Building,32.1,No
4888,Residential Building,23.9,No
6038,Commercial / Industrial Building,38.8,No
5542,Commercial / Industrial Building,27.6,No
4889,Commercial / Industrial Building,27.5,No
5543,Residential Building,26.8,No
6039,Residential Building,30.8,No
4890,Residential Building,23.9,No
6040,Residential Building,33.6,No
5544,Residential Building,21.9,No
4892,Residential Building,24.9,No
6041,Commercial / Industrial Building,55.3,No
5545,Residential Building,32.3,No
4893,Commercial / Industrial Building,29,No
5546,Residential Building,32.5,No
6043,Residential Building,30.9,No
4894,Residential Building,22.5,No
5548,Commercial / Industrial Building,25.5,No
6044,Other Building,16.6,No
4895,Institutional Building,36.9,No
5550,Residential Building,24.3,No
6045,Residential Building,35.4,No
5553,Residential Building,24.7,No
6046,Residential Building,29.8,No
4896,Commercial / Industrial Building,124.3,No
5554,Commercial / Industrial Building,37.5,No
6047,Residential Building,0,No
4897,Residential Building,33,No
5555,Garage,19.2,No
6048,Residential Building,39.458,No
4898,Residential Building,47.5,No
5556,Residential Building,23.1,No
6049,Residential Building,34,No
4899,Commercial / Industrial Building,28.5,No
6050,Residential Building,30.5,No
5557,Residential Building,31.9,No
4901,Commercial / Industrial Building,78.8,No
6051,Residential Building,0,No
5558,Residential Building,32.8,No
4902,Commercial / Industrial Building,26.49,No
6052,Residential Building,44.2,No
5559,Residential Building,34.417,No
4904,Residential Building,32,No
5560,Residential Building,40.8,No
6053,Residential Building,40.8,No
4905,Residential Building,28.8,No
5561,Commercial / Industrial Building,57.3,No
6054,Other Building,20.3,No
4906,Residential Building,36.5,No
6055,Residential Building,0,No
4907,Residential Building,23.4,No
5563,Residential Building,23.2,No
4909,Residential Building,23.9,No
6056,Residential Building,33.6,No
5565,Residential Building,32.4,No
4911,Residential Building,41.3,No
6057,Garage,18.9,No
5566,Residential Building,22.7,No
6058,Residential Building,29.7,No
5567,Residential Building,32,No
4912,Residential Building,33.8,No
6059,Residential Building,24.3,No
5568,Commercial / Industrial Building,33.4,No
4913,Residential Building,34.6,No
6060,Residential Building,34.1,No
5569,Residential Building,41.8,No
4914,Garage,19,No
6061,Residential Building,31.3,No
6062,Residential Building,32.4,No
5571,Residential Building,30.9,No
4915,Commercial / Industrial Building,26.3,No
6063,Residential Building,0,No
5573,Residential Building,26.5,No
6064,Residential Building,30.4,No
5574,Residential Building,23.3,No
6065,Residential Building,0,No
4916,Other Building,17.2,No
5575,Residential Building,27,No
6066,Commercial / Industrial Building,20.368,No
4917,Other Building,17.4,No
5576,Residential Building,32.6,No
6067,Residential Building,0,No
4918,Other Building,17.4,No
5577,Residential Building,34.4,No
4919,Residential Building,18.2,No
6068,Residential Building,31.2,No
5578,Residential Building,25.4,No
4920,Residential Building,33.3,No
6069,Commercial / Industrial Building,24.3,No
4921,Residential Building,24.2,No
5581,Commercial / Industrial Building,29.5,No
4922,Residential Building,33.3,No
5582,Residential Building,23.1,No
4923,Residential Building,38.136,No
6070,Residential Building,36.4,No
5584,Residential Building,32.4,No
4924,Residential Building,31.6,No
6071,Other Building,20.2,No
5588,Residential Building,21.7,No
4925,Residential Building,29.8,No
6072,Residential Building,34.3,No
5589,Commercial / Industrial Building,52.6,No
4928,Garage,19.3,No
6073,Residential Building,29.6,No
5591,Residential Building,40.732,No
5592,Residential Building,27,No
4929,Garage,25.431,No
6074,Residential Building,43.88,No
5594,Residential Building,33.9,No
4930,Commercial / Industrial Building,25.3,No
6077,Residential Building,36.1,No
5595,Residential Building,31.3,No
6078,Residential Building,34.1,No
4931,Residential Building,23.3,No
5596,Residential Building,32.6,No
6079,Commercial / Industrial Building,17.651,No
4932,Residential Building,22.7,No
5598,Commercial / Industrial Building,26,No
6081,Residential Building,25.01,No
4933,Residential Building,38.881,No
5599,Residential Building,33.6,No
6082,Residential Building,0,No
4935,Residential Building,25,No
5600,Residential Building,0,No
6083,Residential Building,0,No
4936,Residential Building,24.5,No
5602,Commercial / Industrial Building,26.2,No
6084,Residential Building,0,No
4937,Garage,24.416,No
5603,Commercial / Industrial Building,20.1,No
6085,Residential Building,39.4,No
4938,Other Building,18.755,No
5604,Residential Building,25.928,No
6086,Residential Building,33.5,No
4939,Residential Building,26.7,No
5606,Commercial / Industrial Building,97.5,No
6087,Residential Building,31,No
4940,Residential Building,42.633,No
6088,Residential Building,0,No
4942,Residential Building,43.085,No
6090,Other Building,19.7,No
4944,Institutional Building,28.6,No
6091,Residential Building,0,No
4946,Residential Building,28.2,No
6092,Residential Building,22.4,No
5607,Commercial / Industrial Building,36.864,No
4947,Commercial / Industrial Building,24.8,No
6093,Residential Building,36.2,No
5608,Residential Building,26.9,No
6094,Residential Building,0,No
4948,Garage,23.6,No
4949,Other Building,20.3,No
6095,Residential Building,0,No
5609,Residential Building,0,No
4950,Commercial / Industrial Building,53.2,No
5610,Residential Building,22.8,No
6098,Residential Building,36.9,No
4951,Residential Building,30.9,No
5611,Residential Building,32.7,No
6099,Residential Building,42.018,No
4952,Residential Building,23.3,No
5612,Commercial / Industrial Building,20.412,No
6100,Other Building,20.8,No
5613,Residential Building,30.7,No
6101,Residential Building,0,No
4953,Other Building,19.2,No
5614,Residential Building,33.8,No
4955,Residential Building,33,No
6103,Residential Building,30.2,No
4956,Residential Building,25.6,No
5619,Commercial / Industrial Building,62.4,No
6104,Residential Building,23.7,No
4957,Residential Building,22.5,No
6105,Residential Building,49.7,No
5620,Residential Building,25.445,No
4958,Residential Building,26,No
6106,Garage,19.9,No
5621,Commercial / Industrial Building,28.9,No
4960,Residential Building,22.4,No
6108,Residential Building,50,No
5623,Commercial / Industrial Building,19.1,No
4961,Residential Building,31.8,No
6110,Commercial / Industrial Building,26.5,No
4962,Other Building,21.5,No
5624,Commercial / Industrial Building,57.442,No
4964,Other Building,20.382,No
6111,Residential Building,34,No
4965,Garage,21.1,No
6112,School,40.8,No
5625,Residential Building,32.7,No
4966,Other Building,20.9,No
4967,Residential Building,18.5,No
5629,Residential Building,27.5,No
4968,Residential Building,34.4,No
5631,Institutional Building,41.2,No
5632,Commercial / Industrial Building,30.4,No
4969,Residential Building,34,No
5634,Residential Building,53.6,No
4970,Residential Building,31.3,No
5635,Commercial / Industrial Building,47,No
4972,Institutional Building,58.9,No
6113,Residential Building,30.9,No
5636,Other Building,17.7,No
4975,Residential Building,34,No
5639,Commercial / Industrial Building,38.6,No
6115,Residential Building,0,No
4976,Other Building,12.4,No
6116,Residential Building,0,No
5640,Residential Building,23.1,No
4977,Commercial / Industrial Building,22.9,No
6117,Residential Building,49.9,No
5641,Commercial / Industrial Building,26.19,No
4979,Institutional Building,23.2,No
5642,Commercial / Industrial Building,26.205,No
6119,Residential Building,30.6,No
5643,Garage,17.4,No
4980,Garage,19.1,No
6120,Residential Building,0,No
5644,Institutional Building,23.4,No
4981,Other Building,17.5,No
6121,Garage,19.1,No
5645,Residential Building,23.2,No
4982,Commercial / Industrial Building,24.7,No
6122,Residential Building,34.2,No
5646,Residential Building,37.1,No
4983,Residential Building,22.5,No
4984,Commercial / Industrial Building,27.2,No
5647,Commercial / Industrial Building,33.8,No
6123,Residential Building,37.6,No
4985,Other Building,21.8,No
6124,Residential Building,31.3,No
4987,Residential Building,34.1,No
5648,Residential Building,21.9,No
6126,Residential Building,42.634,No
5649,Residential Building,23.3,No
6127,Residential Building,31.3,No
5650,Commercial / Industrial Building,26.607,No
4988,Residential Building,24.8,No
6128,Residential Building,36.3,No
5652,Commercial / Industrial Building,24,No
4990,Residential Building,35,No
6130,Residential Building,33,No
5653,Residential Building,40.8,No
6132,Other Building,19.3,No
4991,Residential Building,25.8,No
6134,Residential Building,0,No
5654,Residential Building,31.444,No
4992,Residential Building,31.7,No
6135,Residential Building,0,No
5655,Residential Building,23.4,No
4993,Garage,20.3,No
5656,Residential Building,33.4,No
6136,Garage,19.1,No
4994,Other Building,16.6,No
5657,Residential Building,30.6,No
6137,Residential Building,0,No
4995,Residential Building,24.6,No
5658,Residential Building,22.6,No
6138,Residential Building,0,No
5659,Commercial / Industrial Building,28.954,No
4997,Commercial / Industrial Building,121.8,No
6139,Other Building,20.1,No
5661,Commercial / Industrial Building,26.496,No
6141,Residential Building,25.2,No
4999,Other Building,20.5,No
5662,Commercial / Industrial Building,22.5,No
6142,Residential Building,30.3,No
4314,Other Building,19.51,No
5663,Institutional Building,23.6,No
4071,Residential Building,42.966,No
6143,Residential Building,34.8,No
5665,Other Building,17.515,No
4782,Residential Building,36.2,No
5667,Commercial / Industrial Building,34.7,No
6144,Residential Building,31.6,No
4114,University,51.4,No
6145,Residential Building,30.6,No
5668,Residential Building,37.7,No
4200,Residential Building,43.546,No
6146,Commercial / Industrial Building,36.2,No
5669,Residential Building,32,No
4046,Commercial / Industrial Building,81.4,No
6147,Residential Building,0,No
5670,Commercial / Industrial Building,34.5,No
4017,Commercial / Industrial Building,89.5,No
6148,Commercial / Industrial Building,37.1,No
5671,Other Building,23.825,No
5672,Residential Building,23.7,No
4814,Commercial / Industrial Building,75.5,No
6149,Residential Building,31.3,No
5674,School,0,No
6150,Garage,19.8,No
4599,Commercial / Industrial Building,27.3,No
6151,Residential Building,30.7,No
4193,Commercial / Industrial Building,29,No
5675,Commercial / Industrial Building,29.634,No
6152,Residential Building,31.4,No
4856,Residential Building,33.5,No
6153,Residential Building,40.5,No
5676,Residential Building,21,No
4568,Residential Building,24.2,No
6154,Residential Building,42.478,No
5677,Commercial / Industrial Building,32,No
4580,Residential Building,33.1,No
6155,Other Building,12.2,No
5678,Residential Building,50,No
4098,Residential Building,24.6,No
6156,Residential Building,31.5,No
5679,Other Building,19.2,No
4804,Other Building,22.449,No
6157,Residential Building,32,No
5680,Residential Building,30.4,No
4869,Residential Building,43.559,No
6159,Garage,28.6,No
5683,Residential Building,50.4,No
4971,Residential Building,41.551,No
6160,Residential Building,31.9,No
5686,Garage,16.3,No
4934,Residential Building,41.076,No
6163,Other Building,24.9,No
5687,Residential Building,31.9,No
4926,Residential Building,105.7,No
6164,Residential Building,38.219,No
6166,Residential Building,29.8,No
5688,Residential Building,28.7,No
5000,Residential Building,26.7,No
6167,Residential Building,36.6,No
5690,Residential Building,35,No
4815,Residential Building,43.6,No
6168,Residential Building,42.953,No
4805,Residential Building,41.8,No
5691,Recreation Center,44.5,No
6169,Residential Building,30.9,No
6170,Residential Building,0,No
4660,Residential Building,47.4,No
4703,Residential Building,42.7,No
6171,Commercial / Industrial Building,33.1,No
5692,Commercial / Industrial Building,27.3,No
4910,Residential Building,59.4,No
6172,Other Building,19.2,No
5694,Residential Building,0,No
6173,Residential Building,27.7,No
4900,Residential Building,44.6,No
6174,Residential Building,30.3,No
4986,Residential Building,37,No
5695,Commercial / Industrial Building,38.7,No
4974,Residential Building,50.1,No
6176,Residential Building,0,No
5697,Commercial / Industrial Building,39.2,No
4973,Residential Building,34,No
6177,Residential Building,0,No
5698,Commercial / Industrial Building,26.6,No
4605,Commercial / Industrial Building,46.156,No
6178,Residential Building,30.1,No
5701,Commercial / Industrial Building,32.4,No
4555,Commercial / Industrial Building,38.6,No
6179,Residential Building,0,No
5702,Residential Building,0,No
4467,Residential Building,42.968,No
6180,Residential Building,33.8,No
5703,Residential Building,21.4,No
4386,Residential Building,42.894,No
6182,Institutional Building,28.2,No
5704,Residential Building,22.3,No
4349,Residential Building,41.626,No
5705,Residential Building,0,No
6183,Residential Building,31.2,No
4451,Residential Building,41.5,No
6184,Storage Tank,68.7,No
5706,Residential Building,31.6,No
4767,Residential Building,38.8,No
5707,Residential Building,34.1,No
4755,Residential Building,37.3,No
5708,Residential Building,33,No
6186,Residential Building,31.8,No
4989,Commercial / Industrial Building,36.1,No
5709,Residential Building,23.5,No
6187,Garage,18.1,No
4868,Residential Building,48.2,No
6188,Residential Building,0,No
5711,Residential Building,33.3,No
4886,Commercial / Industrial Building,26.8,No
6189,Residential Building,38.4,No
5712,Residential Building,27.6,No
5713,Residential Building,0,No
4844,Residential Building,42.1,No
6190,Residential Building,0,No
5714,Residential Building,31,No
4884,Residential Building,45.3,No
6192,Residential Building,32,No
5715,Residential Building,30.3,No
4879,Residential Building,31.4,No
6193,Residential Building,38.5,No
5716,Residential Building,32.5,No
4877,Residential Building,22.8,No
6194,Residential Building,0,No
5717,Residential Building,22.3,No
4759,Residential Building,44.9,No
6195,Residential Building,42.2,No
5719,Residential Building,34.5,No
6196,Residential Building,0,No
4633,Residential Building,51.425,No
5720,Residential Building,35,No
4571,Commercial / Industrial Building,46.6,No
6197,Residential Building,40.342,No
5721,Garage,19.1,No
4433,Residential Building,36.2,No
6198,Other Building,18.6,No
5722,Commercial / Industrial Building,27.4,No
6199,Residential Building,0,No
4394,Residential Building,57.3,No
5723,Residential Building,34.2,No
6200,Residential Building,32,No
4100,Commercial / Industrial Building,105.3,No
5725,Residential Building,0,No
6201,Garage,18.6,No
5727,Residential Building,32.9,No
4171,Institutional Building,112.4,No
6202,Residential Building,40.98,No
4746,Residential Building,48.193,No
5728,Residential Building,29.5,No
6203,Residential Building,23.9,No
4773,Residential Building,50.9,No
5729,Residential Building,31.7,No
6204,Residential Building,40.872,No
4862,Residential Building,37.2,No
6205,Residential Building,32.2,No
5730,Residential Building,21.8,No
6206,Residential Building,28.6,No
5731,Residential Building,34.3,No
4334,Institutional Building,66.6,No
6207,Residential Building,0,No
5733,Residential Building,30.6,No
4362,Institutional Building,17.799999,No
6209,Commercial / Industrial Building,31.1,No
5737,Residential Building,33.1,No
4221,Residential Building,57.929,No
6210,Other Building,21,No
5738,Other Building,20.8,No
4275,Residential Building,57.764,No
5739,Residential Building,25.2,No
6212,Residential Building,0,No
4225,Commercial / Industrial Building,34.6,No
5740,Commercial / Industrial Building,28.2,No
6214,Residential Building,36.1,No
5741,Residential Building,39.2,No
6215,Residential Building,38.8,No
4213,Residential Building,52.958,No
5743,Commercial / Industrial Building,53.1,No
6217,Residential Building,0,No
4196,Residential Building,52.913,No
5744,Other Building,18.9,No
4296,Residential Building,57.884,No
6218,Other Building,18.2,No
4120,Institutional Building,37.8,No
5745,Residential Building,28.9,No
6219,Residential Building,41.4,No
4781,Commercial / Industrial Building,42.3,No
5747,Residential Building,32,No
6220,Commercial / Industrial Building,33.9,No
5748,Residential Building,34.6,No
4607,Residential Building,38,No
6221,Residential Building,41.1,No
5749,Residential Building,32.6,No
4610,Residential Building,38.8,No
6222,Residential Building,41.091,No
5750,Garage,17.8,No
4238,Residential Building,68.7,No
6223,Residential Building,30.3,No
5751,Residential Building,22.4,No
6224,Residential Building,22.4,No
5752,Residential Building,20.7,No
4244,Residential Building,53.4,No
6225,Commercial / Industrial Building,41.1,No
5753,Residential Building,32.4,No
6226,Residential Building,31.3,No
4299,Residential Building,51.3,No
5754,Commercial / Industrial Building,23.037,No
6227,Residential Building,30.7,No
4364,Residential Building,44.126,No
5755,Commercial / Industrial Building,36.9,No
6228,Residential Building,0,No
4426,Residential Building,34,No
6229,Residential Building,41.823,No
5756,Residential Building,0,No
4420,Residential Building,40.267,No
6231,Institutional Building,35.5,No
5758,Residential Building,36.9,No
4423,Residential Building,45.202,No
6232,Residential Building,23.9,No
5759,Residential Building,22.3,No
4418,Residential Building,40.516,No
6233,Residential Building,0,No
5760,Commercial / Industrial Building,44.6,No
4306,Residential Building,45.444,No
6234,Residential Building,43.5,No
4338,Residential Building,46.406,No
5761,Residential Building,34,No
6236,Residential Building,22.8,No
4343,Residential Building,39.826,No
5762,Residential Building,50.3,No
6237,Commercial / Industrial Building,51.1,No
4297,Residential Building,43.603,No
5764,Residential Building,37.037,No
4280,Residential Building,43.437,No
5765,Residential Building,30.6,No
4259,Residential Building,41.976,No
6238,Residential Building,29.7,No
5766,Commercial / Industrial Building,30.8,No
4927,Residential Building,40.592,No
6239,Institutional Building,41.7,No
5767,Residential Building,33.3,No
4908,Residential Building,42.195,No
4826,Residential Building,43.749,No
5768,Residential Building,50.6,No
6240,Residential Building,0,No
4809,Residential Building,43.72,No
6241,Residential Building,0,No
5770,Residential Building,30.1,No
4694,Residential Building,33.6,No
5771,Commercial / Industrial Building,31.1,No
6242,Residential Building,31.9,No
4653,Residential Building,32.2,No
6243,Residential Building,31.9,No
4542,Residential Building,43.996,No
6244,Residential Building,30.5,No
4551,Residential Building,31.1,No
5772,Institutional Building,58.3,No
4424,Residential Building,31.2,No
6245,Other Building,20.6,No
4522,Residential Building,23,No
6247,Residential Building,32.3,No
4361,Residential Building,26.6,No
6248,Residential Building,36.9,No
4373,Residential Building,33.6,No
6249,Other Building,19.1,No
4502,Residential Building,42.751,No
6250,Residential Building,23.8,No
4484,Residential Building,30,No
6251,Residential Building,31.5,No
4486,Residential Building,22.6,No
6252,Residential Building,36,No
4670,Residential Building,32.8,No
4808,Residential Building,30.2,No
6253,Residential Building,32.2,No
4800,Residential Building,35.2,No
6255,Residential Building,33.8,No
5775,Commercial / Industrial Building,32,No
4704,Residential Building,46.5,No
6256,Residential Building,39.771,No
5776,Residential Building,22.3,No
6258,Residential Building,27.3,No
5777,Residential Building,28.8,No
4822,Residential Building,40.2,No
6259,Residential Building,43.1,No
5778,Garage,17.7,No
4816,Residential Building,0,No
6260,Residential Building,28.5,No
5779,Residential Building,0,No
6261,Residential Building,31.8,No
4941,Commercial / Industrial Building,0,No
5780,Residential Building,20.6,No
6263,Garage,17.8,No
5781,Residential Building,33.6,No
4764,Residential Building,34.6,No
6264,Commercial / Industrial Building,34.6,No
4661,Commercial / Industrial Building,49.7,No
5782,Residential Building,35,No
6265,Residential Building,40.1,No
6266,Garage,15.7,No
4063,Commercial / Industrial Building,104,No
5783,Residential Building,23,No
6268,Residential Building,23.2,No
5784,Other Building,18.7,No
6269,Residential Building,35.6,No
5786,Residential Building,30.1,No
6270,Residential Building,30.2,No
5787,Residential Building,32.5,No
6272,Residential Building,42.2,No
5788,Commercial / Industrial Building,28.5,No
6274,Residential Building,32.5,No
5790,Commercial / Industrial Building,24.4,No
6275,Residential Building,32.2,No
5792,Residential Building,35.6,No
6276,Residential Building,24.9,No
5793,Commercial / Industrial Building,31.6,No
6277,Residential Building,30.7,No
5794,Residential Building,0,No
6278,Residential Building,41.9,No
5795,Residential Building,22.2,No
6279,Other Building,22.4,No
5796,Other Building,17,No
6280,Residential Building,31.6,No
5797,Residential Building,0,No
6281,Residential Building,30.69,No
5801,Commercial / Industrial Building,209.392,No
6283,Residential Building,31.9,No
6284,Residential Building,32.7,No
5802,Residential Building,38.2,No
6285,Residential Building,31.07,No
5803,Residential Building,34.2,No
6287,Residential Building,33.7,No
5804,Commercial / Industrial Building,26.9,No
6289,Garage,18.3,No
5805,Residential Building,22.6,No
6291,Commercial / Industrial Building,21.4,No
6294,Residential Building,32,No
5806,Residential Building,22.2,No
5807,Residential Building,23.7,No
6295,Residential Building,31.4,No
5808,Institutional Building,49,No
6296,Garage,19,No
6298,Commercial / Industrial Building,71.6,No
5809,Residential Building,32.4,No
5810,Garage,18,No
6299,Residential Building,29.6,No
5811,Commercial / Industrial Building,35.1,No
6300,Residential Building,30.5,No
6301,Residential Building,30.3,No
6302,Residential Building,44.8,No
6303,Residential Building,36.3,No
5812,Garage,17.4,No
6304,Residential Building,33.2,No
6305,Residential Building,31.7,No
5813,Residential Building,30,No
6306,Residential Building,42.5,No
5814,Residential Building,39,No
6308,Commercial / Industrial Building,23,No
6309,Commercial / Industrial Building,33.5,No
5815,Residential Building,29.9,No
6311,Residential Building,21.4,No
6312,Residential Building,31.2,No
5816,Residential Building,38.73,No
6313,Residential Building,41.039,No
5817,Commercial / Industrial Building,41,No
6315,Public Safety,23.1,No
6316,Residential Building,33.2,No
6320,Residential Building,33.2,No
5818,Residential Building,28.8,No
6322,Commercial / Industrial Building,139.2,No
5819,Residential Building,31.2,No
5820,Residential Building,29.5,No
5821,Residential Building,39.092,No
6323,Residential Building,23,No
5822,Residential Building,0,No
6324,Other Building,19.4,No
6325,Storage Tank,18.979,No
5823,Commercial / Industrial Building,43.5,No
6326,Residential Building,41.5,No
5824,Residential Building,32.4,No
6327,Residential Building,35.1,No
5825,Residential Building,33.7,No
6329,Residential Building,42.262,No
5826,Residential Building,33.7,No
6330,Garage,20.1,No
6331,Other Building,19.2,No
5827,Residential Building,30.8,No
6332,Residential Building,41.1,No
5828,Residential Building,34.3,No
6334,Residential Building,25.4,No
6335,Garage,20.8,No
5829,Commercial / Industrial Building,28.5,No
6336,Residential Building,34.9,No
5830,Residential Building,0,No
6339,Residential Building,31.2,No
5831,Residential Building,0,No
6340,Residential Building,41.6,No
5832,Other Building,24.1,No
6342,Residential Building,30,No
5833,Other Building,18.7,No
6343,Residential Building,33.5,No
5834,Residential Building,36.7,No
5836,Garage,17.4,No
6345,Residential Building,37,No
6346,Residential Building,45.8,No
5837,Other Building,18.2,No
6347,Residential Building,41.017,No
5838,Other Building,17.4,No
5839,Residential Building,41,No
6350,Residential Building,36.6,No
5840,Residential Building,22.2,No
6351,Residential Building,30.9,No
5841,Commercial / Industrial Building,25.3,No
6355,Residential Building,40.2,No
5842,Garage,17.2,No
6357,Residential Building,21.3,No
5843,Residential Building,33.3,No
6358,Garage,16.9,No
5844,Residential Building,30.1,No
6359,Residential Building,31.7,No
5845,Garage,16.4,No
6361,Garage,17.6,No
5847,Commercial / Industrial Building,32.8,No
6362,Other Building,22.4,No
5848,Residential Building,20.1,No
6363,Residential Building,40.6,No
5850,Commercial / Industrial Building,32.6,No
6364,Institutional Building,77.9,No
5851,Commercial / Industrial Building,25.9,No
5852,Residential Building,36.9,No
6365,Residential Building,37.768,No
5853,Garage,16,No
6368,Garage,18.4,No
5854,Commercial / Industrial Building,63.3,No
6370,Residential Building,30.6,No
5855,Other Building,17.6,No
6371,Residential Building,31.7,No
5856,Residential Building,21.2,No
6372,Residential Building,31.9,No
5859,Garage,16.3,No
6373,Residential Building,19.972,No
5861,Residential Building,30.8,No
6374,Residential Building,29.4,No
5863,Residential Building,34.2,No
6375,Commercial / Industrial Building,60.1,No
5865,Residential Building,33.8,No
6376,Residential Building,39.9,No
5866,Other Building,19.912,No
6377,Residential Building,31.4,No
5867,Residential Building,27.9,No
6380,Commercial / Industrial Building,23.3,No
5868,Residential Building,34.9,No
6381,Residential Building,40.7,No
5869,Institutional Building,35.1,No
6382,Residential Building,36.614,No
