OBJECTID,FLD_ZONE,FLOODWAY,STATIC_BFE,DEPTH,LEN_UNIT,SOURCE_CIT,Area_mi
57,AE, ,4,-9999,FEET,STUDY1,
144,AE, ,10,-9999,FEET,STUDY1,
145,A, ,-9999,-9999, ,STUDY1,
146,AE, ,-9999,-9999, ,STUDY2,
147,AE, ,4,-9999,FEET,STUDY1,
149,A, ,-9999,-9999, ,STUDY1,
150,A, ,-9999,-9999, ,STUDY1,
148,AO, ,2,2,FEET,STUDY1,
151,A, ,-9999,-9999, ,STUDY2,
152,AE, ,10,-9999,FEET,STUDY1,
154,AE, ,-9999,-9999, ,STUDY2,
153,AE, ,4,-9999,FEET,STUDY1,
155,AE, ,-9999,-9999, ,STUDY1,
156,A, ,-9999,-9999, ,STUDY1,
157,A, ,-9999,-9999, ,STUDY1,
158,AO, ,1,1,FEET,STUDY1,
159,AE, ,4,-9999,FEET,STUDY1,
161,AE, ,4,-9999,FEET,STUDY1,
160,AE, ,-9999,-9999, ,STUDY2,
162,AE, ,10,-9999,FEET,STUDY1,
163,AE, ,6,-9999,FEET,STUDY1,
164,AE, ,4,-9999,FEET,STUDY1,
165,AE, ,4,-9999,FEET,STUDY1,
167,AE, ,4,-9999,FEET,STUDY1,
166,AH, ,3,-9999,FEET,STUDY1,
168,VE, ,13,-9999,FEET,STUDY1,
169,AE, ,4,-9999,FEET,STUDY1,
170,AH, ,8,-9999,FEET,STUDY1,
171,AO, ,2,2,FEET,STUDY1,
172,AE, ,-9999,-9999, ,STUDY2,
174,AE, ,4,-9999,FEET,STUDY1,
175,A, ,-9999,-9999, ,STUDY1,
173,AE, ,10,-9999,FEET,STUDY1,
176,AE, ,4,-9999,FEET,STUDY1,
178,AE, ,-9999,-9999, ,STUDY1,
177,AE, ,4,-9999,FEET,STUDY1,
179,AE, ,4,-9999,FEET,STUDY1,
180,AE, ,9,-9999,FEET,STUDY1,
182,AE, ,4,-9999,FEET,STUDY1,
181,AE, ,4,-9999,FEET,STUDY1,
183,AE, ,4,-9999,FEET,STUDY1,
184,AO, ,2,2,FEET,STUDY1,
186,AE, ,4,-9999,FEET,STUDY1,
185,A, ,-9999,-9999, ,STUDY1,
187,A, ,-9999,-9999, ,STUDY1,
188,AE, ,4,-9999,FEET,STUDY1,
193,AE, ,4,-9999,FEET,STUDY1,
189,AE, ,4,-9999,FEET,STUDY1,
191,AE, ,4,-9999,FEET,STUDY1,
192,AE, ,4,-9999,FEET,STUDY1,
194,AE, ,6.8,-9999,FEET,STUDY2,
195,AE, ,4,-9999,FEET,STUDY1,
196,AO, ,3,3,FEET,STUDY1,
197,A, ,-9999,-9999, ,STUDY1,
199,AO, ,2,2,FEET,STUDY1,
198,AE, ,10,-9999,FEET,STUDY1,
200,AE, ,4,-9999,FEET,STUDY1,
190,AE, ,-9999,-9999, ,STUDY2,
201,AE, ,4,-9999,FEET,STUDY1,
203,AE, ,4,-9999,FEET,STUDY1,
202,AE, ,4,-9999,FEET,STUDY1,
204,AE, ,4,-9999,FEET,STUDY1,
205,AE, ,4,-9999,FEET,STUDY1,
207,AE, ,4,-9999,FEET,STUDY1,
208,AE, ,4,-9999,FEET,STUDY1,
206,AE, ,4,-9999,FEET,STUDY1,
209,AE, ,4,-9999,FEET,STUDY1,
210,AH, ,8,-9999,FEET,STUDY1,
212,AE, ,10,-9999,FEET,STUDY1,
211,A, ,-9999,-9999, ,STUDY1,
213,AE, ,4,-9999,FEET,STUDY1,
215,AE, ,4,-9999,FEET,STUDY1,
217,AO, ,2,2,FEET,STUDY1,
216,AE, ,-9999,-9999, ,STUDY2,
214,AE, ,10,-9999,FEET,STUDY1,
218,AO, ,1,1,FEET,STUDY1,
54,AE, ,4,-9999,FEET,STUDY1,
220,AE, ,4,-9999,FEET,STUDY1,
219,AH, ,8,-9999,FEET,STUDY1,
221,AE, ,4,-9999,FEET,STUDY1,
222,AO, ,1,1,FEET,STUDY1,
223,AE, ,4,-9999,FEET,STUDY1,
225,A, ,-9999,-9999, ,STUDY1,
226,AE, ,4,-9999,FEET,STUDY1,
224,A, ,-9999,-9999, ,STUDY1,
227,AE, ,4,-9999,FEET,STUDY1,
228,A, ,-9999,-9999, ,STUDY1,
229,AE, ,4,-9999,FEET,STUDY1,
231,AE, ,4,-9999,FEET,STUDY1,
230,AE, ,4,-9999,FEET,STUDY1,
233,A, ,-9999,-9999, ,STUDY1,
232,AO, ,1,1,FEET,STUDY1,
234,AE, ,4,-9999,FEET,STUDY1,
235,AE, ,-9999,-9999, ,STUDY2,
236,AE, ,4,-9999,FEET,STUDY1,
237,AO, ,2,2,FEET,STUDY1,
238,AE, ,9,-9999,FEET,STUDY1,
239,AE, ,10,-9999,FEET,STUDY1,
240,A, ,-9999,-9999, ,STUDY1,
242,AE, ,4,-9999,FEET,STUDY1,
244,AE, ,4,-9999,FEET,STUDY1,
243,A, ,-9999,-9999, ,STUDY1,
241,AE, ,-9999,-9999, ,STUDY2,
245,AE, ,4,-9999,FEET,STUDY1,
247,A, ,-9999,-9999, ,STUDY1,
248,AE, ,10,-9999,FEET,STUDY1,
249,AE, ,4,-9999,FEET,STUDY1,
246,AE, ,-9999,-9999, ,STUDY2,
250,AE, ,4,-9999,FEET,STUDY1,
252,AE, ,4,-9999,FEET,STUDY1,
251,AE, ,4,-9999,FEET,STUDY1,
253,AE, ,4,-9999,FEET,STUDY1,
254,A, ,-9999,-9999, ,STUDY1,
256,AE, ,10,-9999,FEET,STUDY1,
255,A, ,-9999,-9999, ,STUDY1,
257,VE, ,10,-9999,FEET,STUDY1,
258,AO, ,1,1,FEET,STUDY1,
259,VE, ,10,-9999,FEET,STUDY1,
261,AE, ,4,-9999,FEET,STUDY1,
260,AO, ,1,1,FEET,STUDY1,
262,AH, ,8,-9999,FEET,STUDY1,
263,AO, ,2,2,FEET,STUDY1,
264,VE, ,10,-9999,FEET,STUDY1,
265,AE, ,10,-9999,FEET,STUDY1,
266,VE, ,10,-9999,FEET,STUDY1,
268,VE, ,10,-9999,FEET,STUDY1,
267,AE, ,10,-9999,FEET,STUDY1,
269,VE, ,12,-9999,FEET,STUDY1,
270,VE, ,10,-9999,FEET,STUDY1,
271,AE, ,10,-9999,FEET,STUDY1,
273,AE, ,10,-9999,FEET,STUDY1,
272,VE, ,10,-9999,FEET,STUDY1,
274,VE, ,10,-9999,FEET,STUDY1,
275,AH, ,8,-9999,FEET,STUDY1,
276,VE, ,10,-9999,FEET,STUDY1,
277,AE, ,10,-9999,FEET,STUDY1,
279,AE, ,10,-9999,FEET,STUDY1,
280,VE, ,10,-9999,FEET,STUDY1,
281,AE, ,10,-9999,FEET,STUDY1,
278,VE, ,10,-9999,FEET,STUDY1,
282,VE, ,10,-9999,FEET,STUDY1,
285,AE, ,9,-9999,FEET,STUDY1,
283,AO, ,1,1,FEET,STUDY1,
284,VE, ,10,-9999,FEET,STUDY1,
286,VE, ,10,-9999,FEET,STUDY1,
287,AE, ,10,-9999,FEET,STUDY1,
289,AE, ,10,-9999,FEET,STUDY1,
290,AE, ,10,-9999,FEET,STUDY1,
288,VE, ,10,-9999,FEET,STUDY1,
291,AH, ,8,-9999,FEET,STUDY1,
293,AO, ,2,2,FEET,STUDY1,
292,AE, ,4,-9999,FEET,STUDY1,
295,AO, ,1,1,FEET,STUDY1,
294,AE, ,4,-9999,FEET,STUDY1,
296,AE, ,4,-9999,FEET,STUDY1,
297,AO, ,1,1,FEET,STUDY1,
299,AO, ,1,1,FEET,STUDY1,
298,AE, ,4,-9999,FEET,STUDY1,
300,AE, ,4,-9999,FEET,STUDY1,
301,AO, ,2,2,FEET,STUDY1,
303,AO, ,1,1,FEET,STUDY1,
302,AE, ,4,-9999,FEET,STUDY1,
304,AE, ,4,-9999,FEET,STUDY1,
305,AO, ,2,2,FEET,STUDY1,
307,AO, ,2,2,FEET,STUDY1,
306,AE, ,4,-9999,FEET,STUDY1,
310,VE, ,11,-9999,FEET,STUDY1,
309,AO, ,1,1,FEET,STUDY1,
311,VE, ,12,-9999,FEET,STUDY1,
308,AE, ,4,-9999,FEET,STUDY1,
312,AE,FLOODWAY,-9999,-9999, ,STUDY2,
315,AO, ,1,1,FEET,STUDY1,
313,AE, ,-9999,-9999, ,STUDY2,
314,AE, ,10,-9999,FEET,STUDY1,
316,AO, ,1,1,FEET,STUDY1,
317,AE, ,10,-9999,FEET,STUDY1,
318,AE, ,9,-9999,FEET,STUDY1,
319,AO, ,1,1,FEET,STUDY1,
321,AE, ,10,-9999,FEET,STUDY1,
320,AO, ,2,2,FEET,STUDY1,
322,AE, ,10,-9999,FEET,STUDY1,
323,AO, ,1,1,FEET,STUDY1,
324,AO, ,2,2,FEET,STUDY1,
325,AE, ,10,-9999,FEET,STUDY1,
327,AO, ,2,2,FEET,STUDY1,
326,AE, ,10,-9999,FEET,STUDY1,
328,AE, ,10,-9999,FEET,STUDY1,
329,AO, ,1,1,FEET,STUDY1,
