OBJECTID,TITLE2,DISTRICT_NO,TEXT,CARE_NAME,Shapearea
44,PD 54 - NORTH COLLEY,54,NORTH COLLEY,Colonial Place/Riverview/Highland Park,7376417.09383595
45,PD 53 - COLONIAL PLACE,53,COLONIAL PLACE,Colonial Place/Riverview/Highland Park,17739252.2776067
46,PD 51 - LAYFAYETTE,51,LAYFAYETTE,Fairmont Park/Lafayette,33391866.7992329
47,PD 55 - LAMBERTS POINT-ODU,55,LAMBERTS POINT / ODU,ODU/Park Place,18941381.1510115
48,PD 56 - LAMBERTS POINT INDUSTRIAL,56,LAMBERTS POINT INDUSTRIAL,ODU/Park Place,66410348.7287108
49,PD 74 - CROMWELL ROAD INDUSTRIAL,74,CROMWELL ROAD INDUSTRIAL,Estabrook/Coleman Place,9709778.19850051
50,PD 76 - LAKE TAYLOR,76,LAKE TAYLOR,Military Circle,33332656.732834
51,PD 48 - FOXHALL,48,FOXHALL,Foxhall,15447450.2222522
52,PD 47 - ESTABROOK,47,ESTABROOK,Estabrook/Coleman Place,16774386.6517894
53,PD 52 - PARK PLACE,52,PARK PLACE,ODU/Park Place,21889197.1901549
54,PD 75 - RIVER OAKS,75,RIVER OAKS,Ingleside/Poplar Halls,19516527.7794474
55,PD 57 - WEST 21st STREET,57,WEST 21st STREET,ODU/Park Place,8506541.63301935
56,PD 50 - BALLENTINE PARK,50,BALLENTINE PARK,Fairmont Park/Lafayette,12242121.3245287
57,PD 61 - WEST GHENT,61,WEST GHENT,Ghent/West Ghent,7802911.59006987
58,PD 49 - COLEMAN PLACE,49,COLEMAN PLACE,Estabrook/Coleman Place,10520731.6481374
59,PD 58 - EAST 21st STREET-MONTICELLO,58,EAST 21st STREET / MONTICELLO,Huntersville,11609145.6865212
60,PD 86 - CROWN POINT,86,CROWN POINT,Ingleside/Poplar Halls,17962600.5721302
61,PD 62 - NORTH GHENT,62,NORTH GHENT,Ghent/West Ghent,5562538.73841699
62,PD 67 - LINDENWOOD,67,LINDENWOOD,Huntersville,12206837.0289605
63,PD 77 - LAKE TERRACE,77,LAKE TERRACE,Military Circle,10113777.3426171
64,PD 73 - INDUSTRIAL PARK,73,INDUSTRIAL PARK,Ingleside/Poplar Halls,27902099.7342531
65,PD 63 - EAST GHENT,63,EAST GHENT,Ghent/West Ghent,5732805.54649003
66,PD 60 - MEDICAL CENTER,60,MEDICAL CENTER,Ghent/West Ghent,13335451.3464823
67,PD 66 - HUNTERSVILLE,66,HUNTERSVILLE,Huntersville,14477026.8954361
68,PD 78 - MAPLE HALL-HOLLYWOOD,78,MAPLE HALL - HOLLYWOOD,Military Circle,9753050.66543759
69,PD 64 - GHENT,64,GHENT,Ghent/West Ghent,8707987.95774136
70,PD 87 - JANAF-MILITARY CENTER,87,JANAF - MILITARY CENTER,Military Circle,14035043.5498748
71,PD 68 - TIDEWATER DRIVE INDUSTRIAL,68,TIDEWATER DRIVE INDUSTRIAL,NSU/Brambleton,14118007.1205896
72,PD 70 - LIBERTY-ROBERTS PARK,70,LIBERTY - ROBERTS PARK,Middle Towne Arch/Chesterfield,17694267.7721666
73,PD 69 - BRAMBLETON,69,BRAMBLETON,NSU/Brambleton,25559102.7762472
74,PD 79 - KEMPSVILLE,79,KEMPSVILLE,Military Circle,19980343.8641656
75,PD 59 - DOWNTOWN,59,DOWNTOWN,Downtown,21547189.2031919
76,PD 65 - TIDEWATER-YOUNG PARK,65,TIDEWATER - YOUNG PARK,Huntersville,10590688.9160053
77,PD 84 - POPLAR HALLS,84,POPLAR HALLS,Ingleside/Poplar Halls,23930603.8321649
78,PD 83 - INGLESIDE,83,INGLESIDE,Ingleside/Poplar Halls,28884575.545905
79,PD 85 - GLENROCK,85,GLENROCK,Military Circle,7210776.39731695
80,PD 80 - EASTON,80,EASTON,Military Circle,11774633.7030802
81,PD 81 - RIVER FORREST,81,RIVER FORREST,Military Circle,31075799.4342472
82,PD 72 - CHESTERFIELD,72,CHESTERFIELD,Middle Towne Arch/Chesterfield,13565656.5286121
83,PD 90 - BERKLEY,90,BERKLEY,Southside,39478000.1024264
84,PD 88 - CAMPOSTELLA HEIGHTS,88,CAMPOSTELLA HEIGHTS,Southside,25783147.3266232
85,PD 89 - CAMPOSTELLA,89,CAMPOSTELLA,Southside,13259642.8103669
86,PD 26 - NAVAL BASE,26,NAVAL BASE,Not Assigned,276874186.485608
87,PD 1 - WILLOUGHBY,1,WILLOUGHBY,West Ocean View,21567347.9407611
