OBJECTID_1,BROOK,BROWN,RAINBOW,REACHCODE,NAME,CLASS,TYPE,USGS_HUC
1107, , , ,12JOH-01,Johnson Creek,VI, ,3040101
1108,Y, , ,12LFR-01,Little Fisher Creek,I, ,3040101
1109,Y, ,Y,12LIT-01,Little Pauls Creek,II, ,3040101
1110, , , ,12LIT-01T,Little Pauls Creek,II,tributary,3040101
1111, , ,Y,12LOV-01,Lovills Creek,III, ,3040101
1112,Y, , ,12PAU-01,Pauls Creek,II, ,3040101
1113, , , ,12PAU-01T,Pauls Creek,II,tributary,3040101
1114,Y, , ,12STA-01,"Stewarts Creek, SF",I, ,3040101
1115,Y, , ,12STE-01,Stewarts Creek,III, ,3040101
1116, , , ,12STE-01T,Stewarts Creek,III,tributary,3040101
1117,Y, , ,12STW-01,"Stewarts Creek, NF",I, ,3040101
1118, , ,Y,12SUN-01,Sun Run,III, ,3040101
1119,Y, ,Y,12THO-01,Thompsons Creek,II, ,3040101
1120,Y, , ,12TUR-01,Turkey Creek,II, ,3040101
1121, , ,Y,12WAT-01,Waterfall Branch,II, ,3040101
1122, , , ,04PTY-01,Poverty Creek,VI, ,5050001
1123, , , ,10CRG-01,Craig Creek,VI, ,2080201
1124,Y, , ,10LVR-01,Little Valley Run,III, ,2080201
1125,Y, ,Y,04LIC-01,Little Indian Creek,III, ,5050001
1126,Y, , ,07MLR-01,Mill Run,II, ,2070006
1127,Y, , ,07RSR-01,Richards Run,II, ,2070006
1128,Y, , ,07SLK-01,Slate Lick Branch,IV, ,2070006
1129,Y,Y,Y,03STA-01,Staley Creek,VI, ,6010102
1130, , , ,10BAR-02,Barbours Creek,VI, ,2080201
1131, , , ,10BSH-01,Bolshers Run, , ,2080201
1132, , , ,07WBR-01,Westbrook Run,V, ,2070007
1133, ,Y,Y,03BEV-01,Beaver Creek,II, ,6010101
1134,Y, , ,04LRD-01,Little Reed Island Creek,VII, ,5050001
1135,Y, , ,04RFK-01,Rush Fork,OT, ,5050001
1136, , , ,10ROK-01,Rocky Branch,II, ,2080201
1137, , , ,10DCK-01,Dicks Creek,OT, ,2080201
1138,Y,Y, ,04TOR-01,Tory Creek,III, ,5050001
1139, , , ,04CAM-01,Camp Creek,VI, ,5050001
1140, , , ,04SNK-01,Sinking Creek,V, ,5050002
1141, , , ,07RVR-01,Roseville Run,V, ,2070007
1142,Y, , ,07WSR-01,West Swift Run,III, ,2070005
1143,Y, , ,07FGP-01,Fetzer Gap Run,III, ,2070006
1144,Y, , ,07SNN-01,Stony Run,II, ,2070005
1145, , , ,07GAT-01,Gate Run,VIII, ,2070006
1146, , , ,10DUF-01,Duff Run, , ,2080201
1147,Y, , ,07SUL-01,Sulpher Springs,III, ,2070006
1148,Y, , ,07MTN-01,Mountain Run,III, ,2070006
1149, , , ,04CGG-01T,Crigger Creek,IV,tributary,5050001
1150,Y, ,Y,04MID-01,Middle Creek,II, ,5050001
1151,Y, , ,10BGI-01,Big Branch,IV, ,2080204
1, , , ,01BAW-01,Baldwin Branch,VIII, ,5070202
2, , , ,01BIP-01,Big Prater Creek,VIII, ,5070202
3, ,Y, ,01FRY-01,Fryingpan Creek,VI, ,5070202
4, , , ,01LEV-01,Levisa Fork,VIII, ,5070202
5, ,Y, ,01PNR-01,Pound River,VI, ,5070202
6, , , ,02AMO-01,Amos Branch,VI, ,6010205
7, , , ,02BAT-01,Batie Creek,VI, ,6010206
8, , , ,02BRR-01,Berry Creek,VI, ,6010102
9, , , ,02BRR-01T,Berry Creek,VI,tributary,6010102
10, , , ,02BUC-01,Burns Creek,VIII, ,6010205
11, , , ,02CED-01,Big Cedar Creek,VI, ,6010205
12, , , ,02COC-01,Cowan Creek,VI, ,6010205
13, , , ,02COP-01,Copper Creek,VI, ,6010205
14, , , ,02COV-01,Cove Creek,VI, ,6010205
15, , , ,02CRC-01,Clear Creek,VIII, ,6010205
16, , , ,02CUL-01,Culberston Creek,VI, ,6010205
17, , , ,02DBR-01,Dry Branch,VI, ,6010206
18, , , ,02DEV-01,Devil Fork,VI, ,6010205
19, ,Y, ,02FLC-01,Fall Creek,VI, ,6010205
20, , , ,02FLC-01T,Fall Creek,VI,tributary,6010205
21, , , ,02FTB-01,Fleenortown Creek,VI, ,6010206
22, , , ,02GIL-01,Gillenswater Branch,VI, ,6010205
23, , , ,02GRY-01,Gray Branch,VI, ,6010205
24, , , ,02HAR-01,Hardy Creek,VI, ,6010206
25, , ,Y,02JES-01,Jessee Branch,VI, ,6010205
26, , , ,02LAR-01,Lark Creek,VI, ,6010205
27, , , ,02LIB-01,Liberity Creek,VI, ,6010205
28, , , ,02LIC-01,Lick Branch,VI, ,6010206
29, , , ,02LON-01,Lone Branch,VI, ,6010206
30, , ,Y,02LSR-01,Little Stony Creek,VI, ,6010205
31, , , ,02LTR-01,Little River,V, ,6010205
32, , , ,02LUF-01,Laurel Fork,VIII, ,6010205
33, , , ,02MAC-01,Machine Branch,VI, ,6010206
34, , , ,02MIF-01,Mill Creek,V, ,6010205
35, ,Y,Y,02MSC-01,Maiden Spring Creek,III, ,6010205
36,Y, ,Y,02MTN-01,Martin Creek,VI, ,6010206
37, , , ,02OBE-01,Obeys Creek,VI, ,6010205
38, , , ,02PAL-01,Palmer Branch,VI, ,6010205
39, , , ,02POO-01,Poor Valley Branch,VI, ,6010206
40, , , ,02PWR-01,Powers Branch,VI, ,6010205
41, , , ,02SHF-01,Shafer Creek,VI, ,6010206
42, , , ,02SHT-01,Straight Fork,VI, ,6010205
43, , , ,02SIM-01,Sims Creek,VI, ,6010206
44, , , ,02SIN-01,Sinking Creek,VI, ,6010205
45, , , ,02SNY-01,Stony Creek,VI, ,6010205
46, , , ,02STO-01,Stock Creek,VI, ,6010205
47, , , ,02STT-01,Station Creek,VI, ,6010206
48, , , ,02VLE-01,Valley Creek,VI, ,6010205
49, , , ,02WAL-01,Wallen Creek,VI, ,6010206
50, , , ,02WHI-01,White Branch,VI, ,6010206
51, , ,Y,03BAC-01,Back Fork,II, ,6010102
52, , , ,03BAC-01T,Back Fork,II,tributary,6010102
53, , ,Y,03BCK-01,Bark Camp Branch,III, ,6010102
54,Y, ,Y,03BEL-01,Bell Hollow,III, ,6010102
55, , ,Y,03BIG-01,Big Branch,II, ,6010102
56,Y, , ,03BKE-01,Buckeye Creek,III, ,6010102
57, , , ,03BKE-01T,Buckeye Creek,III,tributary,6010102
58, , ,Y,03BLC-01,Big Laurel Creek,II, ,6010102
59, , , ,03BLC-01T,Big Laurel Creek,II,tributary,6010102
60,Y, ,Y,03BRK-01,Barkcamp Branch,II, ,6010101
61, , ,Y,03BRS-01,Brush Creek,III, ,6010102
62, , ,Y,03BRT-01,Beartown Branch,II, ,6010101
63, ,Y, ,03BRU-01,Brumley Creek,III, ,6010101
64, , , ,03BRU-01T,Brumley Creek,III,tributary,6010101
65, , , ,03BUK-01,Bucks Branch,VI, ,6010102
66, ,Y, ,03BVD-01,Beaverdam Creek,III, ,6010102
67, , , ,03BVD-01T,Beaverdam Creek,III,tributary,6010102
68, , , ,03BVR-01,Beaver Creek,VI, ,6010102
69, , ,Y,03CAM-01,Campbell Creek,III, ,6010101
70, , ,Y,03CHR-01,Charlies Branch,II, ,6010102
71, , ,Y,03CMR-01,Comers Creek,VI, ,6010102
72,Y, ,Y,03COL-01,Cold Branch,III, ,6010102
73, ,Y,Y,03CON-01,Coon Branch,II, ,6010101
74, , , ,03CON-01T,Coon Branch,II,tributary,6010101
75, , ,Y,03CRS-01,Cressy Creek,II, ,6010102
76, , , ,03CRS-01T,Cressy Creek,II,tributary,6010102
77, , ,Y,03CXC-01,Cox Mill Creek,II, ,6010102
78, , , ,03CXC-01T,Cox Mill Creek,II,tributary,6010102
79, , ,Y,03DAV-01,Daves Branch,II, ,6010102
80, , ,Y,03DIC-01,Dickey Creek,III, ,6010102
81, , ,Y,03DRK-01,Dry Fork,II, ,6010102
82, , , ,03DRU-01,Dry Run,VI, ,6010102
83, , , ,03DRY-01,Dry Fork,II, ,6010102
84, , , ,03DRY-01T,Dry Fork,II,tributary,6010102
85, , ,Y,03ENI-01,"Nick Creek, EF",III, ,6010102
86, ,Y,Y,03FEA-01,Feather Camp Branch,II, ,6010102
87, , , ,03GRC-01,Grosses Creek,VI, ,6010102
88, , , ,03GRC-01T,Grosses Creek,VI,tributary,6010102
89,Y, , ,03GRD-01,Grindstone Branch,II, ,6010102
90,Y,Y,Y,03GRE-01,Green Cove Creek,II, ,6010102
91, , , ,03GRE-01T,Green Cove Creek,II,tributary,6010102
92, , , ,03GRN-01,Greendale Creek,VI, ,6010101
93,Y, ,Y,03GRS-01,Grassy Branch,II, ,6010102
94, , , ,03HAL-01,Hall Creek,V, ,6010102
95, , , ,03HAL-01T,Hall Creek,V,tributary,6010102
96,Y, , ,03HES-01,Henshaw Branch,II, ,6010101
97, , ,Y,03HOP-01,Hopkins Branch,III, ,6010102
98, , , ,03HOP-01T,Hopkins Branch,III,tributary,6010102
99,Y, ,Y,03HOU-01,Houndshell Branch,III, ,6010102
100, , , ,03HOU-01T,Houndshell Branch,III,tributary,6010102
101,Y, ,Y,03HTB-01,High Trestle Branch,III, ,6010102
102, , , ,03HTB-01T,High Trestle Branch,III,tributary,6010102
103,Y,Y,Y,03HUR-01,Hurricane Creek,VI, ,6010102
104,Y, ,Y,03HUT-01,Hutton Branch,III, ,6010102
105,Y, , ,03JER-01,Jerrys Creek,III, ,6010102
106, , , ,03JER-01T,Jerrys Creek,III,tributary,6010102
107, , , ,03LAE-01,Laurel Creek,VI, ,6010101
108, ,Y,Y,03LAL-01,Laurel Creek,II, ,6010102
109, , , ,03LAL-01T,Laurel Creek,II,tributary,6010102
110, , , ,03LAU-01,Laurel Bed Creek,V, ,6010101
111,Y, ,Y,03LLC-01,Little Laurel Creek,II, ,6010102
112, , ,Y,03LND-01,London Bridge Branch,II, ,6010102
113,Y, , ,03LON-01,Long Branch,III, ,6010102
114, , , ,03LRL-01,Laurel Spring Creek,VI, ,6010102
115,Y, , ,03LTC-01,Little Tumbling Creek,VI, ,6010101
116,Y, , ,03LTC-02,Little Tumbling Creek,III, ,6010101
117, , ,Y,03MFH-01,Middle Fork Holston River,VI, ,6010102
118, , ,Y,03MLC-01,Mill Creek,II, ,6010102
119, , , ,03MLC-01T,Mill Creek,II,tributary,6010102
120,Y, , ,03NIK-01,Nick Creek,III, ,6010102
121,Y, , ,03PNN-01,Pennington Branch,II, ,6010102
122,Y, ,Y,03PRK-01,Parks Creek,III, ,6010102
123, , , ,03PRS-01,Preston Hollow,VI, ,6010102
124, , , ,03PUJ-01,Punch and Judy Creek,VI, ,6010101
125,Y, ,Y,03QRT-01,Quarter Branch,III, ,6010102
126, , ,Y,03RAC-01,Raccoon Branch,III, ,6010102
127, , ,Y,03RCH-01,Rockhouse Run,II, ,6010102
128, , , ,03RCH-01T,Rockhouse Run,II,tributary,6010102
129, , , ,03RED-01,Red Creek,V, ,6010101
130,Y, , ,03ROA-01,Roaring Fork,II, ,6010101
131, , ,Y,03ROW-01,Rowland Creek,II, ,6010102
132, , , ,03ROW-01T,Rowland Creek,II,tributary,6010102
133, , ,Y,03RUS-01,Rush Creek,II, ,6010102
134, , , ,03RUS-01T,Rush Creek,II,tributary,6010102
135, , ,Y,03SCO-01,Scott Branch,III, ,6010102
136,Y, ,Y,03SHA-01,Shanty Branch,IV, ,6010102
137, ,Y,Y,03SHF-01,"Holston River, SF",II, ,6010102
138,Y, ,Y,03SLM-01,Slemp Creek,III, ,6010102
139, , , ,03SLM-01T,Slemp Creek,III,tributary,6010102
140, , , ,03SNK-01,Sinking Creek,VI, ,6010102
141, , , ,03SPR-01,Spring Creek,VI, ,6010102
142, , , ,03SPR-01T,Spring Creek,VI,tributary,6010102
143, , , ,03SRA-01,Straight Creek,VI, ,6010102
144, , ,Y,03SRU-01,Sprouts Creek,II, ,6010101
145, , , ,03SRU-01T,Sprouts Creek,II,tributary,6010101
146,Y, ,Y,03STC-01,St. Clair Creek,II, ,6010102
147, , , ,03STE-01,Steel Creek,VI, ,6010102
148,Y, ,Y,03STR-01,Star Hill Branch,II, ,6010102
149, , , ,03STR-01T,Star Hill Branch,II,tributary,6010102
150,Y, , ,03STU-01,Sturgill Branch,II, ,6010102
151, , ,Y,03TOO-01,Toole Creek,II, ,6010101
152, , , ,03TOO-01T,Toole Creek,II,tributary,6010102
153, , ,Y,03TUM-01,Tumbling Creek,II, ,6010101
154, , , ,03TUM-01T,Tumbling Creek,II,tributary,6010101
155,Y,Y,Y,03VAL-01,Valley Creek,III, ,6010102
156, , , ,03VAL-01T,Valley Creek,III,tributary,6010102
157,Y,Y,Y,03WLC-01,Whitetop Laurel Creek,I, ,6010102
158,Y, ,Y,04BCC-01,Bark Camp Branch,IV, ,5050001
159,Y, , ,04BDW-01,Baldwin Branch,II, ,5050001
160,Y,Y, ,04BFL-01,Buffalo Branch,II, ,5050001
161,Y,Y, ,04BHC-01,Big Horse Creek,III, ,5050001
162, , , ,04BHC-01T,Big Horse Creek,III,tributary,5050001
163,Y, , ,04BIB-01,Big Branch,II, ,5050001
164,Y, , ,04BIC-01,Big Indian Creek,II, ,5050001
165, , , ,04BIC-01T,Big Indian Creek,II,tributary,5050001
166,Y, , ,04BIR-01,Big Run,III, ,5050001
167, , , ,04BIR-01T,Big Run,III,tributary,5050001
168,Y, ,Y,04BKR-01,Baker Branch,II, ,5050001
169, ,Y, ,04BLC-01,Big Laurel Creek,II, ,5050001
170,Y, , ,04BLL-01,Big Laurel Creek,III, ,5050001
171, ,Y,Y,04BLU-01,Blue Spring Creek,II, ,5050001
172, , , ,04BLU-01T,Blue Spring Creek,II,tributary,5050001
173,Y, ,Y,04BMK-01,Big Macks Creek,IV, ,5050001
174,Y, , ,04BNP-01,"Buckhorn Creek, NP",II, ,5050001
175,Y, , ,04BON-01,Brannon Branch,III, ,5050001
176, , , ,04BON-01T,Brannon Branch,III,tributary,5050001
177,Y, , ,04BOT-01,Boothe Creek,II, ,5050001
178,Y, , ,04BOU-01,Bournes Branch,II, ,5050001
179,Y,Y, ,04BRC-01,Bear Creek,II, ,5050001
180,Y,Y, ,04BRF-01,Burks Fork,III, ,5050001
181, , , ,04BRF-01T,Burks Fork,III,tributary,5050001
182, , ,Y,04BRR-01,Brier Run,II, ,5050001
183, , ,Y,04BSB-01,Bear Spring Branch,II, ,5050002
184, , ,Y,04BST-01,Bluestone River,III, ,5050002
185,Y, , ,04BUR-01,Burgess Creek,III, ,5050001
186, , , ,04BUR-01T,Burgess Creek,III,tributary,5050001
187,Y, , ,04BVD-01,Beaverdam Creek,III, ,5050001
188, , , ,04BVD-01T,Beaverdam Creek,III,tributary,5050001
189, ,Y, ,04BVR-01,Beaver Creek,III, ,5050001
190, , , ,04BVR-01T,Beaver Creek,III,tributary,5050001
191, ,Y,Y,04BWC-01,Big Wilson Creek,II, ,5050001
192, , , ,04BWC-01T,Big Wilson Creek,II,tributary,5050001
193, , , ,04BWC-02,Big Wilson Creek,VI, ,5050001
194, , ,Y,04CAB-01,Cabin Creek,II, ,5050001
195, , , ,04CAB-02,Cabin Creek,I, ,5050001
196,Y, , ,04CCE-01,"Cove Creek, EF",II, ,5050002
197, , , ,04CCE-01T,"Cove Creek, EF",II,tributary,5050002
198,Y,Y, ,04CCW-01,"Cove Creek, WF",II, ,5050002
199, , , ,04CCW-01T,"Cove Creek, WF",II,tributary,5050002
200,Y, , ,04CEF-01,"Chestnut Creek, EF",II, ,5050001
201, , , ,04CEF-01T,"Chestnut Creek, EF",II,tributary,5050001
202,Y, ,Y,04CGG-01,Crigger Creek,IV, ,5050001
203,Y, , ,04CHR-01,Cherry Creek,II, ,5050001
204,Y,Y, ,04CHS-01,Chisholm Creek,II, ,5050001
205, ,Y, ,04CLR-01,Clear Fork,III, ,5050002
206, , , ,04CLR-01T,Clear Fork,III,tributary,5050002
207,Y,Y, ,04COK-01,"Crooked Creek, EF",III, ,5050001
208, , , ,04COK-01T,"Crooked Creek, EF",III,tributary,5050001
209,Y, , ,04COV-01,Cove Branch,II, ,6010101
210,Y, , ,04COX-01,Cox Branch,II, ,5050002
211,Y,Y, ,04CRK-01,Crooked Creek,III, ,5050001
212, , , ,04CRK-01T,Crooked Creek,III,tributary,5050001
213,Y,Y, ,04CRK-02,Crooked Creek,II, ,5050001
214, , , ,04CRK-02T,Crooked Creek,II,tributary,5050001
215,Y, , ,04CRW-01,"Corners Rock Branch, WF",III, ,5050001
216, , , ,04CRW-01T,"Corners Rock Branch, WF",III,tributary,5050001
217,Y, , ,04CST-01,Chestnut Creek,III, ,5050001
218, , , ,04CST-01T,Chestnut Creek,III,tributary,5050001
219, , , ,04CVR-01,Cove Creek,II, ,5050002
220, , , ,04CWF-01,"Chestnut Creek, WF",III, ,5050001
221,Y, , ,04DAL-01,Daniel Branch,III, ,5050001
222,Y, , ,04DBB-01,Dobbins Creek,III, ,5050001
223, , , ,04DBB-01T,Dobbins Creek,III,tributary,5050001
224,Y, , ,04DEF-01,"Dry Run, EF",II, ,5050001
225,Y, , ,04DIS-01,Dismal Branch,III, ,5050002
226, , , ,04DIS-01T,Dismal Branch,III,tributary,5050002
227, , ,Y,04DML-01,Dismal Creek,III, ,5050002
228, , , ,04DML-01T,Dismal Creek,III,tributary,5050002
229,Y, , ,04DNG-01,Ding Branch,III, ,5050002
230, , , ,04DNG-01T,Ding Branch,III,tributary,5050002
231,Y,Y, ,04DRC-01,Dry Creek,IV, ,5050001
232, , , ,04DRC-01T,Dry Creek,IV,tributary,5050001
233,Y, , ,04DWF-01,"Dry Run, WF",III, ,5050001
234,Y, , ,04DWK-01,"Dodd Creek, WF",III, ,5050001
235, , , ,04DWK-01T,"Dodd Creek, WF",III,tributary,5050001
236,Y, , ,04DXN-01,Dixon Branch,II, ,5050002
237,Y, , ,04DYF-01,Dry Fork,II, ,5050002
238,Y, , ,04DYR-01,Dry Run,III, ,5050001
239,Y, , ,04ECN-01,"Elk Creek, NB",II, ,5050001
240, , , ,04ECN-01T,"Elk Creek, NB",II,tributary,5050001
241, , , ,04ECS-01,"Elk Creek, SB",VI, ,5050001
242, , , ,04ECS-01T,"Elk Creek, SB",VI,tributary,5050001
243,Y, , ,04EKN-01,Elkhorn Creek,II, ,5050001
244, ,Y, ,04ERL-01,Earl Branch,III, ,5050001
245, , , ,04ERL-01T,Earl Branch,III,tributary,5050001
246,Y, , ,04FEP-01,"Furnace Creek, EP",II, ,5050001
247, , , ,04FEP-01T,"Furnace Creek, EP",II,tributary,5050001
248, , ,Y,04FMC-01,Francis Mill Creek,III, ,5050001
249, , , ,04FMC-01T,Francis Mill Creek,III,tributary,5050001
250,Y, , ,04FNC-01,Furnace Creek,II, ,5050001
251,Y, , ,04FWP-01,"Furnace Creek, WP",III, ,5050001
252,Y, ,Y,04FXC-01,Fox Creek,II, ,5050001
253, , , ,04FXC-01T,Fox Creek,II,tributary,5050001
254,Y,Y, ,04GNF-01,"Greasy Creek, NF",III, ,5050001
255,Y, , ,04GRN-01,Greens Creek,III, ,5050001
256, , , ,04GRN-01T,Greens Creek,III,tributary,5050001
257,Y, , ,04GRS-01,Grassy Creek,III, ,5050001
258, , , ,04GRS-01T,Grassy Creek,III,tributary,5050001
259,Y,Y, ,04GSC-01,Greasy Creek,III, ,5050001
260, , , ,04GSC-01T,Greasy Creek,III,tributary,5050001
261,Y, , ,04GUF-01,Guffey Creek,III, ,5050001
262, , , ,04GUF-01T,Guffey Creek,III,tributary,5050001
263, , ,Y,04HCC-01,Hunting Camp Creek,III, ,5050002
264,Y, , ,04HEM-01,Hemlock Branch,II, ,5050002
265, , , ,04HEM-01T,Hemlock Branch,II,tributary,5050002
266,Y, , ,04HKS-01,Hanks Branch,III, ,5050001
267, , , ,04HKS-01T,Hanks Branch,III,tributary,5050001
268,Y, , ,04HMF-01,"Helton Creek, MF",I, ,5050001
269,Y, , ,04HMF-02,"Helton Creek, MF",I, ,5050001
270,Y, ,Y,04HTN-01,Helton Creek,II, ,5050001
271,Y, , ,04HUB-01,Hunters Branch,II, ,5050002
272,Y, , ,04HWL-01,Howell Creek,II, ,5050001
273,Y, , ,04JER-01,Jerry Creek,II, ,5050001
274,Y, , ,04JNC-01,Jones Creek,III, ,5050001
275,Y, ,Y,04KLN-01,Killinger Creek,II, ,5050001
276,Y, , ,04KNS-01,Kinser Creek,III, ,5050001
277, , , ,04KNS-01T,Kinser Creek,III,tributary,5050001
278,Y, , ,04LAC-01,Laurel Creek,III, ,5050002
279, , , ,04LAC-01T,Laurel Creek,III,tributary,5050002
280,Y, , ,04LCB-01,Little Cranberry Creek,III, ,5050001
281,Y, , ,04LCK-01,Laurel Creek,II, ,5050002
282, , , ,04LCK-01T,Laurel Creek,II,tributary,5050002
283,Y, , ,04LEF-01,"Little Reed Island Ck., EF",III, ,5050001
